episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_failure_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
18,0.9243017924135056,-3.1157773772662156,-0.31481767016596285,-0.1398158132057454,-0.054889250180199974,-0.09869047283017682,-0.05416382229202318,-0.00880922526608904,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9238203621292931,-3.139757923078874,-0.32699322498700073,-0.14524428377515594,-0.05706700624320486,-0.1026426888292632,-0.0564305167642427,-0.009150958580312752,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.922863633326652,-3.16487097319607,-0.33965459494720873,-0.15089175388488327,-0.05916436316521309,-0.10679089760458624,-0.058646339459457436,-0.009511441150826184,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9191005515485787,-3.189968535160744,-0.35244891783516535,-0.15672099458550323,-0.06121353312246371,-0.1108602395932129,-0.060809896996563445,-0.00986972502082087,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9255365380758174,-3.2130718647699,-0.3643230269352887,-0.16191706326865504,-0.06341577716123074,-0.11450499904399818,-0.06291219094052754,-0.010201085456314022,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9200033689884612,-3.2375095417489144,-0.3769333537495743,-0.16752061957288952,-0.06562902877190761,-0.1182875729459544,-0.06508931904557595,-0.010550826114129256,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9263129867536444,-3.2594817321752227,-0.38800991319015143,-0.17224310077915425,-0.06776022276188877,-0.12150321184717797,-0.0671057229713869,-0.010866165974464487,0.005806,0.01,0.0,0.97,100,11,0,11
25,0.9169897185235125,-3.2838662615064016,-0.4004210536880973,-0.1777546413735241,-0.06992274911568803,-0.12540419703252897,-0.06920071735565896,-0.011215234511560583,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9168519267043923,-3.307976999943765,-0.4125934721572558,-0.1832598023535971,-0.07193306476735228,-0.12924223768575818,-0.07120948047537569,-0.011560856467407883,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9219338286742411,-3.316803339247455,-0.4171536854041609,-0.18646748694992646,-0.07274393002645217,-0.1326527941369035,-0.07318620390243456,-0.011678775930722217,0.005517,0.01,0.0,0.97,100,11,1,12
28,0.928624335061612,-3.336309276048554,-0.4270392126719977,-0.19076575683945227,-0.07450513286235468,-0.13570041280687864,-0.07501506311830597,-0.011957992458850073,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9271427854118198,-3.3561240478488785,-0.4371014464328086,-0.19527232406870193,-0.07624006258435885,-0.13889420055441887,-0.07677366899360062,-0.012241185437933842,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9251536659082419,-3.3757987834768457,-0.4470059624700686,-0.19956620233546501,-0.07803468100426905,-0.14178077729372712,-0.07860514144293657,-0.012522542651291371,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.9218040288401466,-3.3961843669324763,-0.4572883067258758,-0.20412818535775182,-0.07980538588113562,-0.14515576699551666,-0.08037325837854017,-0.012814673760213514,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.921425454057139,-3.4040433017735556,-0.46096806264655726,-0.20690722180293977,-0.08015967589347946,-0.1480979460822513,-0.0822240738007263,-0.012919632235443559,0.005094,0.01,0.0,0.97,100,11,1,12
33,0.920203217612193,-3.4242389025701714,-0.47133460911129427,-0.21149231494438497,-0.08197936214420865,-0.15120869092323755,-0.08403543597802832,-0.013207748639072881,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9249106874561784,-3.4406164776646806,-0.47999818773509284,-0.21551680610818041,-0.08350433884241594,-0.15399001279133062,-0.08569269698097866,-0.013441322121485324,0.004942,0.01,0.0,0.97,100,11,1,12
35,0.9280320985982258,-3.4580196949855906,-0.48894618004353596,-0.2194295268290111,-0.0850715179107407,-0.15671886620873254,-0.08713060571906299,-0.013691346128607703,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9231496169293597,-3.476628603494966,-0.4985572129040998,-0.22357867419784255,-0.08683780744323577,-0.15950228754839096,-0.0889001495001846,-0.013956916666619397,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9225617840024476,-3.4949710628919872,-0.5080382749910487,-0.22785332614142315,-0.08849869457620611,-0.16236067006778818,-0.09062321660701142,-0.01421984034807559,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9227916498858907,-3.513348961767277,-0.5172699624500098,-0.231876691972469,-0.09017059204019194,-0.16513825044242533,-0.09227939166708951,-0.014482589348895786,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9209108758033931,-3.5266382209775724,-0.5241940757291763,-0.2354816751657718,-0.09138289317405743,-0.1681363943267277,-0.09391744210358224,-0.014668556679078048,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9229435497315861,-3.5440519828870927,-0.5330625576628697,-0.23942041488714041,-0.09291691643474485,-0.170908832346603,-0.09549198310693119,-0.014916105733973645,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.9214351735148307,-3.554735651503573,-0.5386253991361452,-0.2425595647490003,-0.09389848775619938,-0.17357384954489175,-0.09699634508962256,-0.015064326097082529,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9219439365217829,-3.570876834979835,-0.5470656991312419,-0.2465662673432467,-0.09530695641665715,-0.17631886435732294,-0.09854522539018942,-0.015295063445897197,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9227851260294485,-3.5880268755719316,-0.5558296513614022,-0.2504553435772614,-0.0968075433621753,-0.17900901553585202,-0.10007568723666244,-0.015541051984753135,0.004359,0.01,0.0,0.97,100,11,0,11
44,0.9199899337303917,-3.6054369521992977,-0.5646494436278592,-0.2544819230070896,-0.09829987086692747,-0.1818942814570805,-0.1016023484301127,-0.015789244325465232,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.926288685818145,-3.6186970021517415,-0.5714131355124581,-0.2576689964295346,-0.09944599472129206,-0.1842737150821878,-0.10305865185717267,-0.01597751165014378,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9312103620683869,-3.632900043575289,-0.578523446489989,-0.260684573187663,-0.10076103013251148,-0.18645084019499727,-0.10440118366813779,-0.016180388270116884,0.004194,0.01,0.0,0.97,100,11,0,11
47,0.917585275414842,-3.6471632454944394,-0.5860523801486391,-0.2643841920207868,-0.10200933972798486,-0.1892650550393455,-0.1058872230324154,-0.016382341878006832,0.004141,0.01,0.0,0.97,100,11,1,12
48,0.9278257978723404,-3.6557840091915206,-0.5907429138449394,-0.26708888407795117,-0.10279529622196773,-0.19154787005542603,-0.10729237066357844,-0.016501815992736382,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.921043771043771,-3.6645523975365335,-0.5948783457877866,-0.26955344694399713,-0.10339036064970133,-0.19389267013366798,-0.10858191645869208,-0.01662348106252848,0.004041,0.01,0.0,0.97,100,11,1,12
50,0.9247672565629456,-3.678478455959886,-0.6019730238774793,-0.27278360710081545,-0.10469957361171356,-0.19617804915251025,-0.10997340560584985,-0.016820988242366282,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9207575757575758,-3.6942430284172287,-0.6099987121849921,-0.2763590453250636,-0.10614832750031054,-0.19865508523390266,-0.11140928269688301,-0.017046794241812747,0.003945,0.01,0.0,0.97,100,10,1,11
52,0.9208277479892761,-3.709795939631849,-0.6180404834256931,-0.2798645594418432,-0.10764150856457418,-0.2010444513482724,-0.1128525262920878,-0.017269904359362962,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9210063483023735,-3.7250997254929468,-0.6257759598860038,-0.2832603887829629,-0.10901223149202806,-0.20336761685641602,-0.11409673963118044,-0.01748843466053197,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9219567843242518,-3.7383700478051467,-0.6325683139702574,-0.2864059075921341,-0.11021018848367012,-0.20569611364236481,-0.11545669795399466,-0.01767634487325023,0.003809,0.01,0.0,0.97,100,11,1,12
55,0.92083354272409,-3.7533540968721644,-0.6402528266464687,-0.2898239148483165,-0.11157487999989277,-0.20797873118733368,-0.11669141325943148,-0.017890698080330527,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9223554373084566,-3.767719262365998,-0.6476483299439681,-0.293236190236439,-0.11279522595666862,-0.21033339791463845,-0.11795244736499062,-0.018096450449953567,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9168036774821327,-3.783215090637182,-0.6554466430964794,-0.2967649882992742,-0.11407238228402797,-0.21292877727798848,-0.1193087188438342,-0.01831747075737412,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9306667563748907,-3.792920295657715,-0.6606530755078557,-0.2992859458629665,-0.11501250748283962,-0.21467912624210095,-0.12044252348623258,-0.018454557019374443,0.003642,0.01,0.0,0.97,100,11,1,12
59,0.9214173573948714,-3.8070006373254843,-0.6679263542318755,-0.3026027989337819,-0.11624421426925492,-0.21695453390412334,-0.1217105683066264,-0.018655996280482156,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.9266490854380093,-3.8119662347705194,-0.6707331201330872,-0.304536814336883,-0.11669202754840072,-0.21879576333894296,-0.1228172434374051,-0.018721466318751646,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9196216306713544,-3.8262606844124165,-0.6780036244595891,-0.3078604846944128,-0.11788650284185116,-0.22110214313482365,-0.12411953358392265,-0.0189256940478289,0.003526,0.01,0.0,0.97,100,10,1,11
62,0.9229043683589138,-3.838303471104557,-0.6841230161138757,-0.31075079851522736,-0.11887633493127524,-0.22330384665122893,-0.12521413019239,-0.01909754298780609,0.003489,0.01,0.0,0.97,100,11,1,12
63,0.9228026714426795,-3.85163736691869,-0.6909208656578198,-0.31378200193696415,-0.12006983106152576,-0.22546055355799766,-0.12638708312586766,-0.019288636377652348,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.9311285088159523,-3.8598002317835176,-0.6950024843968051,-0.31583857604960996,-0.12079674219703584,-0.22714301462861716,-0.12738589057751296,-0.019403100979188282,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9189607592380696,-3.8720574683511972,-0.7012924647182407,-0.31875868923221723,-0.1218997940919516,-0.22934749797998025,-0.12855749740625483,-0.019577858953405892,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9193835409461774,-3.8855810970836604,-0.7081553644354287,-0.32186206665600564,-0.12303801032280136,-0.23156647427380525,-0.1297359041371086,-0.01977083780379594,0.003348,0.01,0.0,0.97,100,10,1,11
67,0.9193064129811422,-3.8989226767855905,-0.7149633486909052,-0.3249683235377475,-0.12419988336967705,-0.23380948511048066,-0.13088532432099928,-0.01996124558013452,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9179320620783178,-3.912460919497645,-0.7220192303094815,-0.3280996501024671,-0.12548509337215547,-0.23589955550991165,-0.132114324628865,-0.020155455316051285,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9251547740885526,-3.9244669342138643,-0.7281686093923777,-0.3308341478758195,-0.1266129814716714,-0.23783687219734195,-0.1332634217988922,-0.020327086540337415,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9267248643365129,-3.9354884398857393,-0.7338803078573588,-0.33344020273824476,-0.12754802870954812,-0.23971681238029863,-0.13423780431016247,-0.020484607091481186,0.003219,0.01,0.0,0.97,100,11,1,12
71,0.9265689816673357,-3.9445879191504782,-0.7384716315351756,-0.3356431830969941,-0.1282665262149901,-0.2414392796350482,-0.13519394180752092,-0.020613447951532665,0.003188,0.01,0.0,0.97,100,11,1,12
72,0.9217730983955605,-3.9507598503346575,-0.7418466625734962,-0.33770217965836696,-0.12879471246098367,-0.24321503773968636,-0.13617131002485044,-0.020698136358877718,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9245289395859738,-3.962322924329829,-0.747691658153449,-0.3403740015382242,-0.1297536996382549,-0.24506293185338152,-0.13711577203994751,-0.020863388710532952,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9216118448725499,-3.9743141690803867,-0.7537815660711095,-0.3430057906941827,-0.13087643494928486,-0.2468101975794364,-0.138170767677718,-0.021034976317708138,0.003098,0.01,0.0,0.97,100,10,1,11
75,0.9174290247442866,-3.985567042527144,-0.7595790054671389,-0.3457853900221317,-0.131916394028867,-0.24878773888848563,-0.13922941866670557,-0.02119501386917738,0.00307,0.01,0.0,0.97,100,11,1,12
76,0.9235039787352164,-3.996019076858874,-0.764793741086913,-0.3482285147694488,-0.13273336787331652,-0.25059458301718324,-0.1402798625337989,-0.021344685070798387,0.003042,0.01,0.0,0.97,100,11,1,12
77,0.9197984113210066,-4.008126750918517,-0.7711318717220846,-0.35110006355389545,-0.1338599638113516,-0.25256279696405154,-0.14139985873345726,-0.02151828886986365,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9245787059594415,-4.019188979328764,-0.7767387608484478,-0.35355613301647987,-0.1349240050302781,-0.2542907502297755,-0.14241549946766713,-0.02167661763232623,0.002987,0.01,0.0,0.97,100,10,1,11
79,0.9256432917502294,-4.02982762952594,-0.7822028644154742,-0.3559214417969611,-0.1359480167946338,-0.2559762048576811,-0.14338887563814762,-0.021828958109200526,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9245191096178076,-4.0406436851006005,-0.787611787857167,-0.358341928490168,-0.13685356793802644,-0.2577750832194161,-0.14427457349764164,-0.021983416085034752,0.002934,0.01,0.0,0.97,100,11,0,11
81,0.9230421384069136,-4.051709502517686,-0.7932640600518794,-0.3608404839335445,-0.1378587008567194,-0.2594649062921227,-0.1452780681131029,-0.0221419929278159,0.002909,0.01,0.0,0.97,100,10,1,11
82,0.9191358753393932,-4.0632235000983705,-0.7991750352760696,-0.3635404544852919,-0.13886455427368202,-0.2613763558802603,-0.14631781380457265,-0.022306354283564655,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.9283194274917652,-4.072653649216592,-0.8040098932852169,-0.36574225043921743,-0.13972157150723405,-0.26297290730124884,-0.14723359962638033,-0.02244074890017059,0.002859,0.01,0.0,0.97,100,11,1,12
84,0.9228931763133718,-4.083496072594311,-0.8095576799285402,-0.3681909990146434,-0.14071991681492707,-0.2646163340408806,-0.14819109430181102,-0.022596131317075635,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9201540262251701,-4.094406096111096,-0.8151972464438051,-0.37068419906258626,-0.1417454582540868,-0.26636599850420606,-0.14924212767126255,-0.02275260767242621,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9238748450842911,-4.104695021183658,-0.8204720013245476,-0.3730414789238854,-0.14265375569421868,-0.2679936505076112,-0.150132410687807,-0.022899710415367248,0.002787,0.01,0.0,0.97,100,10,1,11
87,0.9189848706686188,-4.115759958250202,-0.8261829594000937,-0.37564707791396756,-0.14364424290790045,-0.26984923191797555,-0.15111063814680195,-0.023057860123313442,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.922712669834683,-4.126182000488031,-0.8314156141622281,-0.37796830202541637,-0.1445370065103101,-0.2715752672585046,-0.1520584330502832,-0.02320683570392663,0.002741,0.01,0.0,0.97,100,11,1,12
89,0.920653954635275,-4.136719661981999,-0.8367554750293886,-0.3802925804606732,-0.1454899082451882,-0.27318404710903976,-0.15298952018088086,-0.02335753799074414,0.002718,0.01,0.0,0.97,100,10,1,11
90,0.9261514781415736,-4.146447607511305,-0.8416257584640865,-0.3824010291024604,-0.1463721224645815,-0.2747038803448191,-0.15388873284270588,-0.02349697894377026,0.002696,0.01,0.0,0.97,100,10,1,11
91,0.9232442722142906,-4.156085381141489,-0.8464494812713854,-0.38457710226979,-0.14718249758601237,-0.2763400399140891,-0.15470710047380795,-0.023634391368150775,0.002674,0.01,0.0,0.97,100,11,1,12
92,0.9276720500262672,-4.165255958119585,-0.8510921567648154,-0.38658904861598903,-0.1480129703964052,-0.2778050815664916,-0.1555519878483837,-0.023765398217720474,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.9158500284290445,-4.176311247055261,-0.8567896727477426,-0.3892066536732744,-0.14897485884163839,-0.2797158739157266,-0.15653410779873606,-0.023923254197846952,0.002632,0.01,0.0,0.97,100,10,1,11
94,0.918397878344837,-4.186665152372011,-0.8620902589459749,-0.3915766829450629,-0.14988263005290167,-0.2813879509518988,-0.15740647966606605,-0.024071098611437667,0.002611,0.01,0.0,0.97,100,10,1,11
95,0.922203886437881,-4.191438880264729,-0.8649286696160575,-0.3932249253686385,-0.15040667630513574,-0.2828785741276857,-0.15830055747832264,-0.02413605971006578,0.002591,0.01,0.0,0.97,100,11,1,12
96,0.9235228501892915,-4.199066679022635,-0.8687237414857277,-0.39506783528914546,-0.15104450043880613,-0.28432981129192975,-0.1591460270277472,-0.02424382516993169,0.002571,0.01,0.0,0.97,100,11,1,12
97,0.92961719274681,-4.2041076485448885,-0.871594874243428,-0.39667223125034623,-0.15153557552278266,-0.28560341110843,-0.15990948495840016,-0.0243134007944295,0.002551,0.01,0.0,0.97,100,11,1,12
98,0.9248326899411675,-4.213310496296572,-0.8763456955703992,-0.3988115927846417,-0.15236267316036095,-0.2871397957626902,-0.1607169490212674,-0.024445009262754617,0.002532,0.01,0.0,0.97,100,10,1,11
99,0.9215636046928634,-4.218187580630794,-0.8789826383953897,-0.4004280380039458,-0.1527869266565397,-0.28844720618884306,-0.16157964073093703,-0.024511914548952574,0.002513,0.01,0.0,0.97,100,11,1,12
100,0.9197588590895428,-4.227576826376956,-0.8837914508218901,-0.40269341013788407,-0.15360321336571578,-0.2901140817600475,-0.16243484231424538,-0.02464544702708152,0.002494,0.01,0.0,0.97,100,11,1,12
101,0.9208414294162373,-4.237092253507596,-0.8886337657035569,-0.4048429718296769,-0.154470708241122,-0.29150562708208766,-0.16329795909548525,-0.02478220847888464,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9258861619499756,-4.2451097256810835,-0.8926946210842464,-0.40671724716289526,-0.15516846186159283,-0.292871038393679,-0.1640783366500762,-0.02489642098299761,0.002457,0.01,0.0,0.97,100,11,1,12
103,0.927253022657229,-4.25297354531242,-0.8966846003309455,-0.4085571360491694,-0.15585648734762125,-0.29419250469779984,-0.16481489103425176,-0.025008204942249767,0.002439,0.01,0.0,0.97,100,11,1,12
104,0.9274341034546401,-4.261498578262498,-0.9009795412598136,-0.4104071030112207,-0.156665378186351,-0.2954665942096991,-0.1656160969097644,-0.025130177774501383,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9208381839348079,-4.270845686716713,-0.9057469304351687,-0.41256281855275656,-0.15748489733741086,-0.29698664970405836,-0.16649239355383225,-0.025263689011725196,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.9228186229243969,-4.2780400771387175,-0.9095077276464668,-0.4144015635330779,-0.15812270302927087,-0.29839722749711395,-0.16733822559606978,-0.02536557434938684,0.002386,0.01,0.0,0.97,100,11,1,12
107,0.9201523475681688,-4.287274378183227,-0.9141644907222286,-0.41650791113291036,-0.15890806381830072,-0.299968218815078,-0.16820230373575315,-0.025497707592056617,0.002369,0.01,0.0,0.97,100,10,1,11
108,0.9261721483554933,-4.295719626110547,-0.9184121925685319,-0.41837385952531514,-0.1596458542026789,-0.30129989208564095,-0.16895886539198388,-0.025618682464550614,0.002352,0.01,0.0,0.97,100,11,0,11
109,0.9142162207498112,-4.305704689868643,-0.9235454287864459,-0.42070025882094214,-0.16051365676628648,-0.3029632258437364,-0.16983836336314617,-0.02576206788742449,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9251620107950796,-4.31219457762403,-0.9268910693492242,-0.4223421253829559,-0.16106247644431662,-0.30425248947031663,-0.17055433411829088,-0.025853641770162424,0.00232,0.01,0.0,0.97,100,11,1,12
111,0.9202070779937198,-4.320076966043508,-0.9309281677717772,-0.4242621094786978,-0.16173642528401125,-0.30568199041189476,-0.17133059601782447,-0.025965570248313825,0.002304,0.01,0.0,0.97,100,11,1,12
112,0.9275029157722148,-4.327949884386831,-0.9348831190100348,-0.42598479350695984,-0.16249287998635278,-0.30690299905548857,-0.1720919989269486,-0.026078158795442143,0.002288,0.01,0.0,0.97,100,10,1,11
113,0.9205305927342257,-4.336539177668352,-0.9393135597701585,-0.4279773892675351,-0.16325670270884118,-0.30832391943600523,-0.17281757817866425,-0.026200453177356635,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.9218791946308724,-4.343818325831451,-0.9431207509297981,-0.4298066930263411,-0.16388474945086734,-0.3097292573412467,-0.17358758534629767,-0.026303545828972468,0.002257,0.01,0.0,0.97,100,11,1,12
115,0.9259246743152595,-4.346230938993309,-0.9442967169106667,-0.4309552980304872,-0.16395915369783054,-0.31084296388982907,-0.1742116854675702,-0.026334504799039295,0.002241,0.01,0.0,0.97,100,11,1,12
116,0.9314900988417513,-4.35043387836996,-0.9465749949351393,-0.43224465342312757,-0.1643599274725875,-0.3118976978569757,-0.1748260713883046,-0.026392738636692118,0.002226,0.01,0.0,0.97,100,11,1,12
117,0.9235323465824048,-4.358669930050504,-0.9507399351669035,-0.434110126191667,-0.1650788139755484,-0.3132578685939028,-0.17554497384825754,-0.02651049174194218,0.002212,0.01,0.0,0.97,100,10,1,11
118,0.9184095146903191,-4.364075786871776,-0.9532876268502702,-0.4355110289835771,-0.16549416316690044,-0.3146035106496497,-0.17631902442162128,-0.02658581837179565,0.002197,0.01,0.0,0.97,100,11,1,12
119,0.9219913824777046,-4.372369166355757,-0.957585540155352,-0.43736054355563164,-0.16629724999853732,-0.31582571024099937,-0.17707954661552688,-0.026704028352919868,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.9308244689775511,-4.377860878830649,-0.9603203339251154,-0.43873885676779945,-0.1667336804972209,-0.31693263364562035,-0.17765932505562332,-0.026782214906484407,0.002168,0.01,0.0,0.97,100,11,1,12
121,0.917339523617279,-4.386548422435046,-0.9647219422513144,-0.44077112606269575,-0.16742169569215834,-0.318396000065232,-0.17839658143416248,-0.02690651887446164,0.002154,0.01,0.0,0.97,100,10,1,11
122,0.9213686183777211,-4.394388060971809,-0.9687705414987334,-0.4426629399449803,-0.1680753072362223,-0.31970889164664384,-0.1791085605887984,-0.02701844294578894,0.00214,0.01,0.0,0.97,100,11,1,12
123,0.9217782685807985,-4.402456699258424,-0.9729622401172899,-0.44454651258439903,-0.16880866916084103,-0.32101340906207715,-0.17981882491527104,-0.0271337385389645,0.002127,0.01,0.0,0.97,100,10,1,11
124,0.9231650603221675,-4.410276446459921,-0.9769280787189564,-0.44631684769864,-0.16947871753002872,-0.3222180626425887,-0.18043066652670212,-0.02724563215134674,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.9264598632994692,-4.417581287632627,-0.9806213235761865,-0.44797541506462185,-0.1701376443198213,-0.3233277148616175,-0.18114352854811153,-0.027350170512835528,0.0021,0.01,0.0,0.97,100,11,1,12
126,0.9200451019000017,-4.425682234785177,-0.9848159143132634,-0.4498062770295867,-0.17091910728290652,-0.32457602471184954,-0.18186861323281633,-0.027466145923075367,0.002087,0.01,0.0,0.97,100,10,1,11
127,0.929222049794211,-4.4322699323058,-0.9881889035202731,-0.45132877640580943,-0.17151708140975513,-0.3256549518363618,-0.18246716795030046,-0.027560143319867312,0.002074,0.01,0.0,0.97,100,11,1,12
128,0.9223035040251194,-4.440044313011998,-0.9921065781782377,-0.45307842567745876,-0.17221266807654054,-0.32691515477239147,-0.18317428329665364,-0.027671441933266278,0.002061,0.01,0.0,0.97,100,10,1,11
129,0.9227107582587634,-4.447646055197714,-0.996009074028566,-0.4548411679926627,-0.1728919221795006,-0.328099766378878,-0.1838314271770719,-0.027779928048203024,0.002048,0.01,0.0,0.97,100,10,1,11
