episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_failure_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9209012061936956,-2.5426917146537074,-0.021889778365406138,-0.00965896503016299,-0.003743658305056697,-0.006794960228992736,-0.0038473937610146026,-0.0006101382840023479,0.01,0.01,0.0,0.97,100,11,1,12
1,0.922617853560682,-2.582859039915584,-0.04244293202458728,-0.018641460116460465,-0.007417238644793875,-0.01298653154697785,-0.007401740475205816,-0.0011854498265378459,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9172990267517631,-2.6247470387381666,-0.06409114377204236,-0.028204880240993307,-0.01114644901148129,-0.019451526280628396,-0.0109180710812903,-0.0017833482752054627,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9218352310783657,-2.6628534706441043,-0.08383573879711721,-0.03697094582023292,-0.01471094948113059,-0.02590333230564894,-0.014196617731846358,-0.00232711629108213,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.920836370866194,-2.701186160944932,-0.10337415535396097,-0.04593047034195272,-0.017940881961976244,-0.03237867270392544,-0.017337460414360278,-0.002876005977893326,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9251217838190736,-2.735676714186718,-0.12085950269785359,-0.05362339303299418,-0.021074899152378757,-0.03770228386500123,-0.02036531436752979,-0.0033698948984246017,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9212773795967579,-2.769371694361155,-0.13823519091673436,-0.06153411579235214,-0.024037504402108858,-0.043357107797986766,-0.023592421830502325,-0.003850487880962555,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9251971786363409,-2.8020324061253077,-0.15500526142822688,-0.06891997539880237,-0.026894802798610448,-0.04851946924912193,-0.026412272297308224,-0.0043183919242316925,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9285980864490737,-2.8317688807864023,-0.17001617475810152,-0.07554915931312883,-0.02962866678316791,-0.05338081170119675,-0.029127509046754794,-0.004743023262868151,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9278691830664,-2.861397499449836,-0.18482326851922498,-0.08182542282863964,-0.03233681950802303,-0.05769976298518287,-0.031853178465476736,-0.005168087194708688,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9157326970577857,-2.89561629465692,-0.20248762589783478,-0.08963241731455451,-0.035469740816391176,-0.0629520394948472,-0.034896945103396214,-0.005655965681513504,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9175764100321284,-2.9280969709764464,-0.219052619870403,-0.09713804337326201,-0.03827614236107027,-0.06833835592991115,-0.03776026465007611,-0.0061226211371271195,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9243032593292395,-2.9569192620278466,-0.2338003248961658,-0.10349113544400257,-0.04110984292691087,-0.07275324725661388,-0.04044388455630799,-0.006534553349686174,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9258238063214526,-2.9844676073689733,-0.24789503083667908,-0.10978707024015606,-0.04354834370283704,-0.07706793426388946,-0.04276836971506716,-0.006928600734449746,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9263282605793619,-3.010789138318279,-0.26137291401630275,-0.1158878726780588,-0.04589807947442423,-0.0813943890890786,-0.045204789245092684,-0.007305256537216907,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9300455056840126,-3.035521304484992,-0.2736471056212,-0.12130206145707391,-0.047945613968852184,-0.08529973043883937,-0.04719842614513271,-0.007659404583164153,0.006889,0.01,0.0,0.97,100,10,1,11
16,0.9195591545982997,-3.0638657746456706,-0.28837633112319616,-0.12785224450855678,-0.05062471037006946,-0.0900587641104293,-0.04973466298837886,-0.008064801406048532,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9225411637420969,-3.0903334834157645,-0.30180726246122963,-0.13397593380605474,-0.05278870387835512,-0.0944580959042135,-0.05204643072620223,-0.008442962273557293,0.006615,0.01,0.0,0.97,100,10,1,11
