episode,service_level,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty
0,0.9007211034978008,-0.7218562235404115,-14.299649788885453,-10.06943086953171
1,0.927857121012875,-2.6876843841033407,-59.576594221025836,-41.480125977127535
2,0.9362160867221656,-4.210501587287849,-98.50940801054638,-68.37443039017751
3,0.9384490238611713,-5.479505563059248,-133.16199345016176,-92.1820943836285
4,0.9399042082115854,-6.543606631644729,-164.24846844702455,-113.56031046327226
5,0.9372423959806252,-7.50342962852253,-192.86148695788918,-133.25728437493544
6,0.9347619047619048,-8.398637241980406,-219.55524947549938,-151.25907095412134
7,0.9369849156526138,-9.198091618559449,-244.1029816457095,-167.78880221580823
8,0.9401934119069205,-9.922269114805873,-267.14897654235347,-183.21405530684086
9,0.9293308890925757,-10.591001202360607,-287.8236118047218,-196.9570536310143
10,0.9283730099465336,-11.235452925282612,-308.2585524536178,-210.41518077205623
11,0.9360428386630968,-11.833583995893827,-327.3357858564793,-223.21245012366384
12,0.9408805414964327,-12.380679185518696,-344.8414085241633,-234.94167872163146
13,0.9339447341605227,-12.934599240792583,-361.9654173082549,-246.38807626534296
14,0.9313144880639843,-13.443661881586229,-377.8095690925122,-257.1281854155632
15,0.9353302381308971,-13.934915664408495,-393.374390581946,-267.496554658995
16,0.9341015484335614,-14.397539734444278,-408.41915431658,-277.4741594175161
17,0.9385034013605442,-14.849981352676773,-422.4166404215748,-286.87494467918316
18,0.9413912781047231,-15.279267801042334,-434.96286660758415,-295.2613107363021
19,0.9372163840458563,-15.650374843121284,-447.0361810334201,-303.3776828979558
20,0.9376242994033629,-16.008732102885435,-458.25863876857335,-310.80144097112213
21,0.9347395583293328,-16.35604026117909,-468.76024136992834,-317.72316701951627
22,0.9318587227970032,-16.705476085385886,-479.74364755303014,-325.33973051460055
23,0.9308270676691729,-17.029590454726574,-488.8331207613193,-331.46732700042276
24,0.9347188190095895,-17.305231561153366,-496.6779921697331,-336.60165574347724
25,0.9309746369089303,-17.59922439867164,-505.8650503276775,-343.0214205926465
26,0.9371713590336829,-17.8612634758748,-514.0197252984304,-348.50523162492203
27,0.9438632458018029,-18.156779428620208,-522.4980799209783,-354.1020909591232
28,0.9364347541568756,-18.424003575409714,-530.2544506507702,-359.295741987268
29,0.9308951543420779,-18.671893163720256,-538.2201173463234,-364.8739169594066
30,0.9378681245658018,-18.924616646247305,-545.5409476749586,-369.87942598200436
31,0.9351094138328181,-19.166719606921703,-553.3108554174468,-375.0857394726972
32,0.9318290782692077,-19.38147389817057,-559.6968698904333,-379.53088526905753
33,0.9282950967161494,-19.59031459210835,-564.9500716088,-383.2277678265552
34,0.9283239756301517,-19.76786000725996,-569.7012190380477,-386.3501890207751
35,0.9344693988740238,-19.973599139062117,-575.5568194118066,-390.2610641376121
36,0.9388318863456985,-20.147613447783172,-580.3601914146465,-393.69258272156543
37,0.9409742120343839,-20.3014898982345,-584.1846586672395,-396.47036591527643
38,0.942550712514564,-20.467877155876394,-588.8063290236523,-399.78010383527584
39,0.940161424993042,-20.658975838065817,-593.7111955455233,-403.23874459645924
40,0.9312384919556884,-20.847210263889206,-597.8630952264601,-406.1796961016698
41,0.9303133800707053,-21.020314132207226,-601.9841117065743,-408.88774453561996
42,0.9392208729109054,-21.1483559194401,-604.9091015015634,-410.8710399598003
43,0.9367291900245447,-21.288071636932152,-607.4768569167584,-412.60956984410427
44,0.9323737511767028,-21.4355293571762,-611.1627142662517,-415.2746584953555
45,0.9456264056896238,-21.561843212935095,-614.8292866345838,-417.7818399725798
46,0.9341464152770632,-21.7059355137492,-617.7493181015955,-419.90299946475795
47,0.9376172324075754,-21.830482657106355,-620.2895207165645,-421.73211085575383
48,0.929146926581973,-21.95971494800591,-623.2651758968638,-423.8519977017425
49,0.9388074056263525,-22.073039791190563,-624.9073537403174,-425.0200787404441
50,0.9387260765550239,-22.220937117957178,-628.4709213282448,-427.5435979069165
51,0.9391157570552874,-22.333456657218296,-631.5267540964536,-429.76465028781274
52,0.9365397261911879,-22.453274792856604,-633.1696858856909,-430.99648333458657
53,0.9352030947775629,-22.553104393592495,-634.8911888335728,-432.2984370933541
54,0.9352281226626776,-22.702154767845364,-638.1521739545487,-434.7256512455297
55,0.9332108765696047,-22.78469869048761,-639.7639602981642,-435.9474845215281
56,0.9413511729765405,-22.884261792324775,-641.8207735533528,-437.5115619880406
57,0.9352270346313868,-22.999542262695986,-644.192964367025,-439.232768193245
58,0.9364068041113182,-23.068468486971167,-645.1442590667214,-439.9735138584726
59,0.9363666436111028,-23.14482970159119,-647.0488540598514,-441.28549470467834
60,0.9362650602409639,-23.211499386565443,-647.5827910624315,-441.79428569407463
61,0.9323370448034496,-23.29545943245106,-649.1892227919042,-443.0881894524188
62,0.9391844988380165,-23.385561781346375,-650.6652713146224,-444.23722366355514
63,0.9320023060351367,-23.460187331114863,-652.352576411952,-445.57754585537185
64,0.9365031688342895,-23.558371107096516,-653.9325568592947,-446.80210241016846
65,0.9419440584788256,-23.642638150212047,-655.2815748629805,-447.8921798939241
66,0.9372183562735661,-23.72438559820792,-656.9704550588502,-449.07605063531923
67,0.9429321872015282,-23.825742883610875,-659.3122690349772,-450.9024902795803
68,0.937658682817901,-23.921593015193846,-660.8493475122318,-451.98702708931387
69,0.9377254949519449,-23.990277161551937,-661.0941323846558,-452.3888856237134
70,0.9281323449647442,-24.080004302336054,-663.1747193233336,-453.9181870290599
71,0.9423129169559574,-24.146380609813374,-664.6705900209375,-455.13291610013266
72,0.9374343900902793,-24.222852510782776,-665.8796522548013,-456.18293805937833
73,0.937956094777621,-24.28770787771069,-667.303108101368,-457.4461084007529
74,0.9430818085588991,-24.365482152842773,-668.2236617221554,-458.2329078557059
75,0.9359270480247173,-24.443614028046476,-669.8087220521722,-459.4943484653815
76,0.9345367745785469,-24.517843399625914,-671.1273107679108,-460.61670122143244
77,0.9378372674926894,-24.563342467336756,-671.2584391919282,-460.7576301028184
78,0.9411187739463601,-24.608755851147173,-672.141479103249,-461.5514659112247
79,0.93324567304752,-24.67196113256094,-672.894663932442,-462.1955390053166
80,0.940068803186674,-24.72214448791628,-672.9775375532955,-462.4151068604727
81,0.9445591450085014,-24.77278054821792,-673.5613266300877,-463.0564768486814
82,0.9261171497584542,-24.815331957032658,-673.9823218617285,-463.44131436268435
83,0.9328668797876832,-24.88069523683186,-674.6450019310315,-464.14047901486373
84,0.9334416561352832,-24.91998465888438,-674.6059184630809,-464.31161944861213
85,0.9386640401146131,-24.975907234661562,-675.3734868843945,-464.9381593039628
86,0.9400471641069053,-25.02181990797094,-675.8846262139451,-465.43541354271554
87,0.9337503383153399,-25.07813105912146,-676.5067394838109,-466.05240941642313
88,0.9346770499312872,-25.12943684052588,-676.9393272202133,-466.49728058269045
89,0.9310827250608272,-25.16785895795478,-677.452188400769,-467.07550530305974
90,0.9395687822654115,-25.20254698730165,-677.6023495627053,-467.36991060304086
91,0.931530599829663,-25.238878858140747,-677.4839432755333,-467.3887217593823
92,0.9361766211861089,-25.27405996086794,-677.720859268177,-467.7598954692087
93,0.9350645460808099,-25.326152622482795,-678.3106572850838,-468.3370877685947
94,0.9427899686520376,-25.37083934482145,-678.9960617694902,-468.9359756718792
95,0.9339249600048296,-25.417531427901547,-679.2200370240241,-469.23206500878524
96,0.9355921948268038,-25.45762456384389,-679.2837947627747,-469.37958133409967
97,0.9413699285436661,-25.50136670486521,-680.1569850891728,-470.09381521605604
98,0.9329030686799805,-25.544345484760207,-680.1050206172756,-470.20489768694955
99,0.9390910463536162,-25.569703011580067,-679.8638181281061,-470.17116249480944
100,0.9322850774143021,-25.614182954751527,-679.8737058242177,-470.28099304469856
101,0.9370233627890086,-25.660069684399456,-680.277667920487,-470.7697654409225
102,0.9292226487523992,-25.68527895934406,-680.3732292299286,-471.0281542712499
103,0.9337492391965916,-25.726909223335923,-680.645537503402,-471.3705333321007
104,0.9368554752472253,-25.769593065624456,-680.7049090171573,-471.5351065946029
105,0.9350514546694741,-25.801946149775368,-680.9535462091789,-471.8252204919691
106,0.9364026412682956,-25.83310804712437,-681.2481543085271,-472.1942833824272
107,0.9299851411589896,-25.856209899553267,-681.1316768939872,-472.22090434990554
108,0.9394334982847081,-25.89529448665036,-681.3343078396936,-472.5208875193881
