episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9201632188905798,-4.014114805692207,-2.0954028411547534,-0.9405942771915284,-0.37870485304617035,-0.6692723080942241,-0.3606496000667869,0.01,0.01,0.2
1,0.9198836505481203,-6.775564307456807,-3.548287160203175,-1.6207849122112343,-0.6375987324771519,-1.1771620446523166,-0.6314151525502963,0.009708,0.01,0.198006
2,0.9186771210293526,-8.756686768393141,-4.601129118568796,-2.1252141104424105,-0.8162350706446949,-1.5680393998815625,-0.866956942799993,0.009432,0.01,0.196032
3,0.9224566275743229,-9.979065349253638,-5.275892530095146,-2.46596891236773,-0.9482964224149462,-1.841014210832019,-1.0383933289646354,0.009172,0.01,0.194078
4,0.9131270293552448,-11.327568121021196,-6.019975683973975,-2.869754509151814,-1.067616767418577,-2.1885722984181935,-1.2294047147943457,0.008925,0.01,0.192143
5,0.9171269793445147,-12.126285428678342,-6.462689116626815,-3.1404196470416106,-1.1332433516534872,-2.438728880830326,-1.3791091973561036,0.008692,0.01,0.190228
6,0.9146002258896512,-12.768791658110093,-6.834111487089163,-3.376817179618047,-1.1806465177976335,-2.675352654614903,-1.518031854079997,0.00847,0.01,0.188331
7,0.9150695478968247,-13.183433638083534,-7.080611826287608,-3.557931500419131,-1.2157421955660346,-2.8682556009209526,-1.640596305248471,0.00826,0.01,0.186454
8,0.9227547854393787,-13.16014757136418,-7.101581715337301,-3.651571568088116,-1.192483557094262,-3.000525247060758,-1.722442304393374,0.008059,0.01,0.184595
9,0.9226122558560977,-13.162550749864556,-7.129491296628729,-3.736811368942602,-1.1791941372194479,-3.1169535574338063,-1.8129255484923879,0.007868,0.01,0.182755
10,0.9033303662899081,-13.920390018165131,-7.552814669177169,-4.01143136114356,-1.2247412583800394,-3.38887869640463,-1.9843076028252002,0.007686,0.01,0.180933
11,0.9275005895630496,-13.559187623030525,-7.406190313986142,-4.015213466478966,-1.1859982248414829,-3.4411649606628028,-2.03021942009107,0.007513,0.01,0.179129
12,0.9270036076738932,-13.224191846502768,-7.256005883384261,-4.023661739013223,-1.1419560431743658,-3.4947672145362842,-2.0814015652379476,0.007346,0.01,0.177343
13,0.922074865950616,-13.194876282684222,-7.284798976927961,-4.102149612442349,-1.1350685289969265,-3.5916483728079562,-2.1618690993347585,0.007188,0.01,0.175575
14,0.9268926875912163,-13.027678929914204,-7.201493236158757,-4.130617415400437,-1.1002075900967967,-3.6514396386714507,-2.2104595493874397,0.007035,0.01,0.173825
15,0.9285223137169403,-12.791132412606476,-7.114667355063018,-4.158106288288865,-1.0677099384577842,-3.713798746334562,-2.268740287775325,0.006889,0.01,0.172092
16,0.9255567302690094,-12.695202476963305,-7.105431326363528,-4.225518932944702,-1.055092348308367,-3.810467145473749,-2.3429695387118614,0.006749,0.01,0.170376
17,0.9214672949283073,-12.726579509622733,-7.138813789111601,-4.302382699192911,-1.0490606879903785,-3.9180881393996394,-2.4197018831479125,0.006615,0.01,0.168678
18,0.9154553940525403,-13.034961081837901,-7.30497163487142,-4.4320060178225456,-1.0641718022252757,-4.056923880742404,-2.5112724895877245,0.006486,0.01,0.166996
19,0.9251069173851062,-12.89434306275862,-7.255861865631582,-4.4741632177864865,-1.04198027217852,-4.128141132939971,-2.5648149301328456,0.006362,0.01,0.165332
20,0.9194753142648935,-12.955221051127635,-7.3239556550853555,-4.565047060161665,-1.0456188880570607,-4.249144005039445,-2.6451894073117077,0.006242,0.01,0.163683
21,0.9223188995742804,-12.955124629513582,-7.336180294172874,-4.6298164804254665,-1.0371265412034834,-4.341234877612803,-2.71504835346768,0.006127,0.01,0.162052
22,0.9212802623433552,-12.979108335170835,-7.357885419878834,-4.692429590809557,-1.0325387227823928,-4.433640702252379,-2.7829208296357835,0.006016,0.01,0.160436
23,0.9207997572406352,-12.952327296845807,-7.382210188328171,-4.756902719899031,-1.0297865407655622,-4.502392215713034,-2.84974423619741,0.005909,0.01,0.158837
24,0.926955074875208,-12.802147469500248,-7.351560874408265,-4.79504699382301,-1.017477431666756,-4.5626433870129555,-2.89677703613105,0.005806,0.01,0.157253
25,0.9205587006335085,-12.821264903501259,-7.3837875693556265,-4.872097981119804,-1.0090717483042322,-4.66186340184637,-2.9605139352148973,0.005706,0.01,0.155686
26,0.9212705330204493,-12.828001667873428,-7.3945976660896475,-4.931561964214306,-0.99370157280116,-4.7589616687841,-3.0244578114601506,0.00561,0.01,0.154133
27,0.9240664314717433,-12.728609511313874,-7.358760536763577,-4.969745026824939,-0.9747495422582229,-4.833068651537065,-3.080208721929883,0.005517,0.01,0.152597
28,0.9214940691511735,-12.712821015424897,-7.367790303725717,-5.022094740298899,-0.965930127032856,-4.89792419367318,-3.1312463069659735,0.005426,0.01,0.151076
29,0.9233909581170304,-12.689009563901264,-7.37264195574314,-5.070254838917971,-0.9632657336197292,-4.9704361564180015,-3.1890539729997815,0.005339,0.01,0.14957
30,0.9218665127648017,-12.664158087350655,-7.38161573200427,-5.122615765488164,-0.959753094138233,-5.035505182758058,-3.2499579924546387,0.005255,0.01,0.148078
