episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.9055127551785125,-50.15078063563399,-24.19073646824136,-14.691203492402522,-21.78834919393501,-12.708492195264204,-85.75891952337916,-75.79481147713736,-1.5951324967004765,-14.153842516651444,-5.310315676209018,-13.919257371230541,-1.5875761106420327,-0.9770312140822611
1,0.9420346528696908,-56.678685229942694,-31.83864205780579,-14.186093742378914,-28.675659196985382,-11.258489358125022,-81.70676455172381,-53.18018361893595,-0.5766582387677145,-20.13482675285842,0.0,-9.282500238068987,-1.5412525080851691,-0.8494768573648771
2,0.9415711149060747,-61.41592253893565,-38.64332082964672,-14.752546633849768,-34.99567274924613,-11.487944390965968,-73.53934326757998,-38.43325111808845,-1.0164841323643308,-26.05722353223652,-0.0012128790007423726,-4.938383371848398,-2.5513919883624876,-1.5104968920529698
3,0.9357368183866607,-71.65555597325472,-46.3992059206684,-17.520643378322102,-41.85218590241309,-13.78879908234892,-70.01204868959546,-38.301074630442436,-0.20763730074254824,-30.541823418178097,-1.0085845723270914,-3.211849086423349,-2.9619876005070633,-2.570537577921399
4,0.9371242410780394,-81.92962934840226,-52.57139522519486,-18.502489541742232,-46.75796819123074,-14.146870338096214,-70.07843667423651,-40.0564601161865,-0.4769636946955163,-31.22556283407317,-0.07462971379102654,-5.307444358993953,-3.047564116354382,-3.4648434102286347
5,0.9459088330994955,-89.32658993142796,-56.3462710503361,-18.7111183060551,-49.39068724443711,-13.623394765889316,-64.42344308047709,-38.18306294071641,-1.2744769319140423,-29.95713279000169,-0.3007577012341978,-6.481884802268968,-3.0761696672401078,-4.076532100037097
6,0.9404873053639732,-96.59955904876392,-60.0477549104443,-18.97759181096465,-52.080480228154556,-13.252265501748658,-57.245461021222596,-34.620788497746844,-1.658438227799363,-29.15941079060244,-0.07939695439298584,-7.6677768543009055,-3.073055376660892,-4.734985914857379
7,0.9324762742184894,-107.89471449452437,-64.75900362278215,-19.1221054315531,-55.50940265358207,-12.540222889768238,-65.71002268125578,-39.45724149239146,-1.9049023708712347,-28.000185717591734,0.0,-12.230397594615523,-3.37005288578423,-5.258834701128847
8,0.9353500120279048,-113.23510203237915,-66.63699062055105,-18.05566792764323,-56.418042953529415,-10.818775210886955,-58.20934022197105,-33.1401897042872,-1.3861515313998056,-25.570823292297845,0.0,-13.476032949693288,-3.310008035346112,-5.753624518456392
9,0.9371097913811481,-118.1744253910031,-67.61808198629144,-16.497405928461934,-56.33860067127244,-8.69048126457114,-52.57880548244409,-30.0315903119038,-0.6122142115109567,-21.568556432718076,0.0,-16.759687655027644,-3.03798048639075,-6.327767953398649
10,0.9375635732663197,-123.97791580350261,-70.00085404404892,-15.841282421253325,-57.56527827958731,-7.453697942965359,-48.188990050569856,-26.115662023527786,-0.3436266350321044,-18.68999387185425,0.0,-18.36893181847812,-3.0215825081825614,-7.002312587743965
11,0.9388835706593275,-134.07497080399847,-73.16314953954497,-15.745238001201752,-59.39582172711909,-6.584251828868084,-55.5139296020939,-31.844070197313933,-0.24769625967176032,-15.5873464811478,0.0,-23.88441842482787,-2.739361881392843,-7.535913169393949
12,0.9380844303222878,-136.68368912291328,-73.5030947661607,-14.225454179759689,-58.83737435490895,-4.715417510444373,-49.53901615688871,-29.619781838937445,-0.8127113876263347,-11.727633568788912,-0.002411560862866804,-25.757443550207633,-2.634481117673702,-8.147667786266927
13,0.9355015530787503,-143.48002178448544,-76.2207594546304,-13.781721570037943,-60.47805452497597,-3.834645881418789,-55.09494460319803,-33.13608168382904,-0.012422400677587708,-9.48520635659101,-0.007173178324285831,-29.531445156603656,-2.765985987834884,-9.048030816642195
14,0.9392209842436018,-144.62939839537043,-75.72425325891358,-11.65988220149657,-59.17713436233763,-1.2537184831820904,-45.86817605356807,-24.58561549874232,-0.7724475165874071,-5.401925456130865,0.0,-31.094598489208266,-2.331499711597055,-9.390274460838727
15,0.9441519937072669,-147.40403100008749,-76.47890140339251,-10.305145001143746,-59.03269274884246,0.0,-43.26487899462821,-24.181004583117026,0.0,-1.9903478528567629,0.0,-33.54201126500656,-2.413043685782609,-10.220141848053162
16,0.9356087896253602,-152.98429558196284,-77.99585943331445,-9.300968952013678,-59.63690487491024,0.0,-48.79868456908488,-29.841462984943785,0.0,0.0,0.0,-38.17682336237036,-2.3857143497169497,-10.875726123443735
17,0.9366931329171465,-154.59937077211214,-77.88939092712592,-7.38910621204537,-58.61165379022244,-0.05501487830931065,-45.11146766855174,-25.91279722934908,0.0,0.0,-0.00284344654812458,-40.1465675240323,-1.8668101798650192,-11.277492279623143
18,0.9393521709166093,-160.01726504910275,-79.40777075083905,-6.997496942716514,-59.091240168658125,-0.44172859494132544,-48.00027151737532,-31.274146329836675,-0.09747974466276643,0.0,-0.05627209315539382,-43.392753125038816,-1.819538106695582,-11.934168537365675
19,0.9377500977825917,-160.32741767606424,-79.73877215191594,-4.5692039315337905,-58.748340359089084,-0.262516239772897,-43.45141973710539,-26.062751283841237,-0.6926627360842266,0.0,0.0,-45.03422427917303,-1.7500242076691224,-12.46852485616454
20,0.9344711335861778,-165.09466415958096,-81.4117770679826,-3.9918761358900827,-59.53594466936013,-0.18274338754119393,-45.963427628891175,-27.472679982016608,-2.0373448382564834,-0.008693401209520784,-0.0005735002690268265,-47.70639918152672,-1.5836543560982248,-13.141969267350868
21,0.9341557533955213,-169.51999515676297,-82.87352886190608,-2.855899761749511,-60.01223207835051,-0.26076842752796997,-47.77340491278433,-28.30391779847062,-0.683611395595818,-0.057180271403734835,-0.052003027128772424,-50.869633914445146,-1.6652239498662926,-13.860582590780988
22,0.9400616612259702,-171.61031859008202,-82.88062426409664,-1.0152384600744104,-58.9654578303028,-0.29206571653416874,-45.33694154201371,-26.273080372980896,-0.24045518967689294,0.0,-0.0038325508807343046,-53.05120670839625,-1.3163872944675648,-14.440335474857244
