episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
41,0.9271523178807947,-1.3682831230959418,-0.5642684861279467,-0.28110153603317084,-0.40924610248139626,-0.26604232600569155,-0.3138498493464972,0.02238,0.05,0.132626
42,0.9250083808246732,-1.3896456672862834,-0.573153127175401,-0.28530889132039244,-0.41572253576456614,-0.27009440250169114,-0.3190787284816848,0.022083,0.05,0.131304
43,0.9202627421634655,-1.412021197625992,-0.5822947854149564,-0.2899206290908647,-0.4221182980373853,-0.2743250059952709,-0.3243550254501004,0.021793,0.05,0.129995
44,0.9234766574469868,-1.433050401439717,-0.591127226186415,-0.29399661917733205,-0.4284086731303507,-0.27860138556747727,-0.32965923094577704,0.021511,0.05,0.128699
45,0.9212530898451294,-1.4540856886991624,-0.5997818629977958,-0.29821062159071876,-0.4349344138852118,-0.282512926240027,-0.33466062604338853,0.021236,0.05,0.127416
46,0.9208146694180214,-1.4756845509634129,-0.6086105319887757,-0.3026778931745949,-0.44117840313306883,-0.286729251194392,-0.34011097428866016,0.020968,0.05,0.126145
47,0.9237849346991467,-1.4959962601483883,-0.6168517548129411,-0.3068145556925173,-0.447127050565901,-0.29071297799034734,-0.34564982048919274,0.020706,0.05,0.124888
48,0.9162882329370909,-1.5183936854583813,-0.6262182645537128,-0.31129364023034434,-0.4537569722467858,-0.2947755139230449,-0.35001272518941623,0.020451,0.05,0.123643
49,0.9239135916617635,-1.538248111276468,-0.6345112542736008,-0.3152527248752058,-0.4598977943266881,-0.2989300433009126,-0.3551462651683153,0.020203,0.05,0.12241
50,0.9270310638226459,-1.5565654602738368,-0.6418030013592962,-0.3189654575899037,-0.465119272099517,-0.302426083056183,-0.3591978855172503,0.01996,0.05,0.12119
51,0.9249037119262661,-1.5755460550321507,-0.6494677634772498,-0.32291198668220694,-0.47095534280078344,-0.3062522007089935,-0.3636686566255528,0.019723,0.05,0.119982
52,0.9322211163779288,-1.5917346062947002,-0.6560228230171967,-0.32598464490179574,-0.47577035253908256,-0.3093494563820965,-0.36755667151876054,0.019492,0.05,0.118786
53,0.9258614921378387,-1.610327885122331,-0.6634976615964667,-0.3297812683972218,-0.4811738447476044,-0.31310317928346815,-0.371855785611664,0.019265,0.05,0.117601
54,0.923899181098134,-1.6287722702407117,-0.6712626676428346,-0.3332690777752339,-0.4866569127428893,-0.31649308627850664,-0.37750678265890136,0.019045,0.05,0.116429
55,0.9161517206731977,-1.6490734011269967,-0.6795976397662151,-0.3374617853902639,-0.49274229520916707,-0.32067162972308605,-0.3808759822550575,0.018829,0.05,0.115268
56,0.9297484382914064,-1.6655852019313122,-0.6863640417011864,-0.3405945748287974,-0.49755327241402914,-0.3237783063221808,-0.38472351785581543,0.018618,0.05,0.114119
57,0.9213556594760396,-1.6841861532633615,-0.6940296248734724,-0.34413380293197715,-0.5032218342757444,-0.3273022508127495,-0.3887311121090337,0.018411,0.05,0.112982
58,0.9232540549626019,-1.7021793483638583,-0.7013394408192059,-0.34788774701606023,-0.5084982214369943,-0.33089113025962147,-0.3934336190592736,0.01821,0.05,0.111855
59,0.9205698178810742,-1.7202668866032185,-0.7087954079009242,-0.3514669328827724,-0.5139548118529673,-0.33432924726525415,-0.39784621452784846,0.018012,0.05,0.11074
60,0.9214645387044466,-1.7376857424654852,-0.7160607241004731,-0.3548055115670808,-0.5192002388547202,-0.3375888225203834,-0.4025287509877402,0.017819,0.05,0.109636
61,0.9242700577260938,-1.7549563893456197,-0.7230539112087727,-0.358412262799874,-0.5241261843816883,-0.3408280428593071,-0.4061497549135528,0.01763,0.05,0.108543
62,0.9289121092104154,-1.7704934993996322,-0.7295285714574303,-0.36145850734994395,-0.5288980238963662,-0.3436571764920028,-0.41026702873544435,0.017445,0.05,0.107461
63,0.9261986444648983,-1.7868937436543129,-0.7362527791860531,-0.36474303112185896,-0.533703988044567,-0.346739595495138,-0.4137717451724832,0.017263,0.05,0.10639
64,0.9221354645621896,-1.8037681036683675,-0.7432632111859886,-0.36807034717388576,-0.5387172470561605,-0.34998782523618677,-0.4180885792333485,0.017086,0.05,0.105329
65,0.9206405215579527,-1.8215259893944518,-0.7507020035381821,-0.3717348638477552,-0.5440420183168433,-0.3534313686744858,-0.4220048698004682,0.016912,0.05,0.104279
66,0.9188109505346023,-1.839294848266452,-0.7580520999118353,-0.3753102290735146,-0.5493486588331732,-0.35674936275128855,-0.4261424458647464,0.016741,0.05,0.10324
67,0.9253179931846554,-1.8553270746189015,-0.7648305500841744,-0.37842513663703714,-0.554222660701752,-0.3598279284558018,-0.43001685850123667,0.016574,0.05,0.10221
68,0.9209373373843855,-1.872394734966204,-0.7718531223460768,-0.38193437178548256,-0.5591825211123213,-0.36322149283021915,-0.43356997700354744,0.016411,0.05,0.101191
69,0.9319176038750985,-1.88612008538008,-0.7774383169010903,-0.38465190284978595,-0.563237994380957,-0.3658484996999174,-0.4367902116608578,0.01625,0.05,0.100183
70,0.9265491948402327,-1.9008716443549796,-0.7834694346687859,-0.3876212521986104,-0.5675161059532212,-0.368592749688794,-0.44054856539662196,0.016093,0.05,0.099184
71,0.9253773758379165,-1.9159280256062863,-0.7895019374143571,-0.3906626682333605,-0.5716854747979652,-0.3715871772636742,-0.4440524311198182,0.015938,0.05,0.098195
72,0.9236620756677055,-1.9312990360019544,-0.7957837527149075,-0.3937661238867964,-0.5761307624930971,-0.3744150629719719,-0.4473840918128695,0.015787,0.05,0.097216
73,0.925382438169688,-1.9462791680538327,-0.8021070071702274,-0.39656214632340836,-0.5808387374760535,-0.3772514906183431,-0.45114398402145156,0.015638,0.05,0.096247
74,0.9271092178440421,-1.9607534971524487,-0.8079402913976309,-0.3995681132105879,-0.5852297658420385,-0.3801671214072101,-0.4542287460202633,0.015492,0.05,0.095288
75,0.9250254496097726,-1.975662580303177,-0.8139481986076903,-0.40267200526260405,-0.5895156749541629,-0.38320024610936937,-0.45731259937965907,0.015349,0.05,0.094338
76,0.9271689652829675,-1.9896952689512615,-0.8196297069483599,-0.4055991065696488,-0.5937243657991687,-0.3860507103407351,-0.46059702530960905,0.015209,0.05,0.093397
77,0.9158073881269396,-2.0063141629414623,-0.826691694008674,-0.4088763709120037,-0.5989394947148903,-0.3893870469238417,-0.4650206272568255,0.015071,0.05,0.092466
78,0.9256310777447473,-2.020343206498774,-0.8325543929393524,-0.4116875564317837,-0.6031803348378137,-0.3920123405213925,-0.46812079106868587,0.014935,0.05,0.091544
79,0.9207910698812376,-2.0351883514733045,-0.8386674270694027,-0.4146580452124345,-0.6077866722334883,-0.39486165802996176,-0.4721031825843833,0.014802,0.05,0.090632
80,0.9335146569960713,-2.04746735819356,-0.843628661052858,-0.41714604796980687,-0.611328569015562,-0.39715904240165145,-0.4750605765871635,0.014671,0.05,0.089728
81,0.9257580862533693,-2.061273502540898,-0.8491988811600104,-0.41999405742086493,-0.6152616025879846,-0.3997625440358213,-0.47818220466869354,0.014543,0.05,0.088834
82,0.9256127347763834,-2.074774797150241,-0.8547331833752666,-0.42261441960513263,-0.6194207624693014,-0.4025578815866242,-0.48110805993300565,0.014417,0.05,0.087948
83,0.9254657340776111,-2.088724929957951,-0.8604025167314212,-0.4254906633310872,-0.623473778151658,-0.4051171266958998,-0.48426363821192714,0.014293,0.05,0.087071
84,0.9264564155395301,-2.1022293500847544,-0.8659782071420059,-0.4281673879599419,-0.6274520913229831,-0.4075923166720012,-0.48718331076053856,0.014171,0.05,0.086203
85,0.9189408268035666,-2.117190036384441,-0.8724113833075117,-0.4309880359776841,-0.6322323591140128,-0.4103821759913249,-0.4910587858099398,0.014051,0.05,0.085344
86,0.9213174282659969,-2.130948553719583,-0.8781650012823452,-0.4334492433397037,-0.6363003280484945,-0.4130484935817674,-0.494913470139041,0.013933,0.05,0.084493
87,0.9217442446647622,-2.1448801373819464,-0.8839380854486756,-0.43616441416631124,-0.6407762512345683,-0.4157280580430053,-0.498798212086176,0.013817,0.05,0.083651
88,0.9258352607499198,-2.1576522564732143,-0.8892464967399297,-0.4386866219279823,-0.6445293551383583,-0.4181756225733328,-0.5016298340754304,0.013703,0.05,0.082817
89,0.9176313746667116,-2.1720078560186074,-0.8951451284372406,-0.441544834238006,-0.6487772241753406,-0.4208390862435923,-0.5050644216782119,0.013591,0.05,0.081991
90,0.9272989808425259,-2.1844487778740533,-0.9003168427150673,-0.44401318624419384,-0.6526958081103111,-0.4232827683167071,-0.5077547394952814,0.013481,0.05,0.081174
91,0.9305748215312786,-2.19590962986432,-0.9049423046827147,-0.4463501709486533,-0.6560959634668327,-0.4256525062696974,-0.510272457786408,0.013372,0.05,0.080365
92,0.9290544548582276,-2.207773086841517,-0.909631176702186,-0.44883979071610286,-0.6594233387383611,-0.42804771275611,-0.5124397616265824,0.013265,0.05,0.079563
93,0.9200287461978139,-2.2212090804605795,-0.9152374224079397,-0.45142362306545847,-0.6636475302790552,-0.4307673697876433,-0.5154495795654817,0.01316,0.05,0.07877
94,0.9304506822876104,-2.232545447215515,-0.9198701558235503,-0.4536367821135143,-0.666962223378597,-0.4329108257404446,-0.518107358052795,0.013057,0.05,0.077985
95,0.923403398701582,-2.2452717697535505,-0.9251485100060601,-0.45614691996307527,-0.6706358982310892,-0.4352216885169404,-0.5210140837154721,0.012955,0.05,0.077207
96,0.922387152338011,-2.2581953764743203,-0.9304182952522813,-0.45870395027422955,-0.6744492716069279,-0.43767307210070466,-0.5242002731360357,0.012855,0.05,0.076438
97,0.9236361804657722,-2.270571752566113,-0.9355371757980765,-0.4610758350082795,-0.678101101820354,-0.4400446700984847,-0.5273482679178241,0.012756,0.05,0.075676
98,0.9296111597816564,-2.281731691833284,-0.9401539200779019,-0.46329520305416744,-0.6814100954821684,-0.4421495738116512,-0.5298953627456228,0.012659,0.05,0.074921
99,0.9313966291183197,-2.2922470632930043,-0.9444015957998494,-0.46533855946459385,-0.684576903987654,-0.44416689025113637,-0.5325945783576292,0.012563,0.05,0.074174
100,0.921094362929207,-2.3048014377847514,-0.9495637940387085,-0.4677916841063183,-0.6881550236285514,-0.4465232679588463,-0.5353671667674015,0.012469,0.05,0.073435
101,0.9216570405647313,-2.3172110870791873,-0.9546634912099466,-0.4701563723942829,-0.6917083628032249,-0.44885249170774383,-0.538748802736772,0.012376,0.05,0.072703
102,0.927878249501366,-2.328344481447826,-0.9592036367973037,-0.47231665972814874,-0.6949545791330592,-0.451051618146111,-0.5417769486321694,0.012284,0.05,0.071978
103,0.9283818283260351,-2.3395044189930125,-0.9639242570670427,-0.47441350237416835,-0.6983338859945043,-0.45316148303872295,-0.5444385089591396,0.012194,0.05,0.071261
104,0.9257315334954306,-2.351132612355847,-0.9688081197563658,-0.47666846684860775,-0.7019016559252752,-0.45540236350563623,-0.547554645992106,0.012105,0.05,0.07055
105,0.9269119070667957,-2.3625312270726346,-0.9735043348474548,-0.47890110494943644,-0.7052071315209939,-0.45747463742248284,-0.5506457555831724,0.012018,0.05,0.069847
106,0.9236661875369916,-2.3742832639712375,-0.9784182958412204,-0.48106313576940596,-0.7087466540046137,-0.4596488893522465,-0.5541609309392789,0.011931,0.05,0.06915
107,0.9282633795164358,-2.3847838476665757,-0.9826496441068299,-0.4831778827059694,-0.7119546553877829,-0.46173626341376883,-0.5564089526335668,0.011846,0.05,0.068461
108,0.9211047663442489,-2.396706158308148,-0.9876018266367695,-0.4854602588968235,-0.715706038807916,-0.46399789631656024,-0.5596997247946525,0.011762,0.05,0.067779
109,0.9235705166969025,-2.4079379858467673,-0.9923133397820083,-0.48755077810985714,-0.7191258216062032,-0.46610123377644747,-0.56304186786253,0.01168,0.05,0.067103
110,0.9328443770021919,-2.4176561773477405,-0.9962784121016387,-0.4894388894555735,-0.7220556755394638,-0.46790412323338765,-0.5653591991848185,0.011598,0.05,0.066434
111,0.9219081212162322,-2.4292091566144363,-1.0012329515232241,-0.49153418858236136,-0.7255174768906014,-0.47016653139738174,-0.5687138680831975,0.011518,0.05,0.065772
112,0.9250365000251725,-2.440168227586777,-1.0057916902042303,-0.49359497794602164,-0.728761194531466,-0.472175765031954,-0.5716633126271654,0.011438,0.05,0.065116
113,0.9276650398150527,-2.450258511250642,-1.0098953200339693,-0.49554340287283666,-0.7317478055655191,-0.4742246883528366,-0.5738963770081363,0.01136,0.05,0.064467
114,0.9218062044163614,-2.461569285945181,-1.01456605942344,-0.49782490434403476,-0.7352265927222181,-0.47646911533398006,-0.576538782272444,0.011283,0.05,0.063824
115,0.9320196545261131,-2.471228047721085,-1.0184417425915497,-0.4997406899632555,-0.7380231543960976,-0.4781590787520236,-0.5789569183372402,0.011207,0.05,0.063188
116,0.9277186189093256,-2.481276648048881,-1.0224590431983644,-0.5017343748010717,-0.7408557003440848,-0.48007339266743304,-0.5810975652798842,0.011132,0.05,0.062558
117,0.9228843180748807,-2.4923035227096713,-1.0270840806031323,-0.5038437525723788,-0.7440718302505649,-0.4819649975256439,-0.5840475734598265,0.011058,0.05,0.061934
118,0.9193483372522674,-2.5039066448543483,-1.0318957767713166,-0.506127339383108,-0.7475168580139656,-0.4842266598454569,-0.5874872317398181,0.010985,0.05,0.061317
119,0.9269128666957895,-2.514047151713445,-1.0361444204671744,-0.5080889215646092,-0.7505671713724908,-0.4861862404318566,-0.5901092887792107,0.010912,0.05,0.060706
120,0.9312588022265442,-2.52341700804979,-1.040008709499588,-0.509892781953055,-0.7534669661148237,-0.48792596321054205,-0.5922291976184607,0.010841,0.05,0.0601
121,0.9206649547236113,-2.5345331286220687,-1.0447026569733748,-0.5121139819751936,-0.7568460337498418,-0.49005574495573445,-0.5949397994085508,0.010771,0.05,0.059501
122,0.9290608625554212,-2.544401250906936,-1.0487910876514461,-0.514041963128931,-0.759813144846629,-0.491865552867287,-0.5970432414228574,0.010702,0.05,0.058908
123,0.9284269306003712,-2.554245510074338,-1.0527716190544052,-0.5159733860937826,-0.7627013461555899,-0.4936881523582107,-0.5995596991660185,0.010633,0.05,0.058321
124,0.9207282254543012,-2.5650554092996227,-1.057322049216565,-0.5180523579974093,-0.766091465428717,-0.495680025576087,-0.602349994512524,0.010565,0.05,0.057739
125,0.9250425314732902,-2.5748324713409008,-1.061363888525995,-0.5199199540839227,-0.7689198020315049,-0.4973417677656568,-0.6046927685221007,0.010499,0.05,0.057164
126,0.9248108925869895,-2.5848231903974543,-1.0654726620302333,-0.5219392100617779,-0.7719138934865674,-0.499274506100611,-0.6070574863460773,0.010433,0.05,0.056594
127,0.9254154365246732,-2.5943412675400404,-1.069361220013998,-0.5237856928126666,-0.7747214369192215,-0.5010361659779934,-0.6096697624391433,0.010368,0.05,0.05603
128,0.9274992068660355,-2.6038903973960204,-1.0732403674270676,-0.5257423172965241,-0.7776103423272643,-0.5028279007481513,-0.6120265456350475,0.010303,0.05,0.055471
129,0.9254110210805904,-2.613854188496288,-1.0774090150547477,-0.5277235145209324,-0.7806751688490887,-0.5047658984536584,-0.6146549681718595,0.01024,0.05,0.054918
130,0.9203259923689672,-2.624144159456989,-1.081715117741924,-0.5297187053945077,-0.7839388982847728,-0.506817800378818,-0.6170781904941222,0.010177,0.05,0.054371
131,0.9273881926010551,-2.63335750652059,-1.085473728665221,-0.5315424933654718,-0.7867214606569373,-0.508632099770671,-0.6191581206238524,0.010115,0.05,0.053829
132,0.9260498018295232,-2.642749934363124,-1.0893940370024466,-0.5333171649972116,-0.7895852665752694,-0.5103980002492493,-0.6214110072070915,0.010054,0.05,0.053292
133,0.9277106400216041,-2.6518281842125044,-1.093144738039154,-0.5350423731185264,-0.7922735146059314,-0.5121265526564108,-0.6238447844437712,0.009993,0.05,0.052761
134,0.923817774154097,-2.6612994924108273,-1.0970928935283926,-0.5368873302076718,-0.7952030870479833,-0.5138667718405086,-0.6265009917985038,0.009934,0.05,0.052235
135,0.9235580732723012,-2.670817140777985,-1.100982194282812,-0.5388779763245038,-0.7980535458282194,-0.5156992315106584,-0.6282055268839507,0.009875,0.05,0.051714
136,0.9253956798308185,-2.680172651008754,-1.1047435341902925,-0.5407635423973275,-0.8007481162235724,-0.5174122412625209,-0.630186750880896,0.009816,0.05,0.051198
137,0.9277421767435535,-2.6891761333992568,-1.1084212240710278,-0.5425547368205967,-0.8034192651722543,-0.5191797137448896,-0.6320251649707316,0.009758,0.05,0.050688
138,0.9276706355861144,-2.6978261457207218,-1.112088410866062,-0.5440698772819893,-0.8061398997871527,-0.5208803751741707,-0.6343605304933144,0.009701,0.05,0.050183
139,0.9284243390461007,-2.7066207124490425,-1.1156849179514265,-0.5457846194592659,-0.8087099660690883,-0.5225571734304494,-0.6361061856931999,0.009645,0.05,0.049682
140,0.9251017593433579,-2.715560239645589,-1.1193186592533797,-0.547516004389301,-0.8113208446472705,-0.5242209490000885,-0.6382038465303579,0.009589,0.05,0.049187
141,0.927962180986188,-2.724292109039077,-1.1228533635143132,-0.5492180404753145,-0.8139093244592153,-0.5259010383432957,-0.6400455934768545,0.009534,0.05,0.048697
142,0.9268047792764149,-2.733020927883182,-1.1265569202565722,-0.550733183837513,-0.8166365566402191,-0.5274904933163561,-0.6425447178594091,0.00948,0.05,0.048211
143,0.9212864931557097,-2.742757033956781,-1.1306726232630147,-0.5526086466927342,-0.8195485660181144,-0.5295300463434524,-0.6447237731189844,0.009426,0.05,0.047731
144,0.9236362412266675,-2.7517798774445583,-1.1344928993560386,-0.5543202899286517,-0.8223452422891596,-0.5313720966870482,-0.6467222191906873,0.009373,0.05,0.047255
145,0.9249890679134851,-2.760456021110167,-1.138066792897172,-0.5560148176967793,-0.8249569720139672,-0.5331099914967803,-0.6483816555094802,0.00932,0.05,0.046784
146,0.9244277623244747,-2.7694023422693004,-1.1417892503762284,-0.5577553351438814,-0.8276737783423558,-0.534839763340003,-0.6503609537704736,0.009268,0.05,0.046317
147,0.92442332408848,-2.7782862798089645,-1.1454253294482772,-0.5595298928427574,-0.830237167029234,-0.5366812699115253,-0.6523216187416918,0.009217,0.05,0.045856
148,0.92653955954323,-2.786792771718972,-1.1489037986907333,-0.5612415346582685,-0.8327538945906117,-0.5383751947905793,-0.654117713353342,0.009166,0.05,0.045399
149,0.924926439680538,-2.795430953923405,-1.1524421143027508,-0.5629233412892334,-0.8353552699898517,-0.5400110021054457,-0.6563832949796016,0.009116,0.05,0.044946
150,0.9297560143320253,-2.80325400480526,-1.155606598416779,-0.5644131794582665,-0.8377325329174908,-0.5415299539037155,-0.6582031562102462,0.009066,0.05,0.044498
151,0.9221702056512289,-2.81223133229661,-1.1593174189324453,-0.5661197185092799,-0.840316030988578,-0.5432158724774502,-0.6605162535189196,0.009017,0.05,0.044054
152,0.9209366023114437,-2.8214739341948567,-1.163236799409547,-0.5678118628394158,-0.843096122101516,-0.5450306240937114,-0.6630032520860609,0.008968,0.05,0.043615
153,0.9245386624956321,-2.830070618686028,-1.1667978444444178,-0.5694103820019033,-0.8457801676864184,-0.5468686493763047,-0.6646694166487442,0.00892,0.05,0.04318
154,0.9260950420084348,-2.8385628893935215,-1.170297037855933,-0.5711024017281264,-0.8483430995411012,-0.5486009312479564,-0.6664024398695448,0.008872,0.05,0.04275
155,0.9256490689448041,-2.8471225705974152,-1.1738324844958705,-0.5728813900817121,-0.850848847265956,-0.5502712403439831,-0.6681357216554829,0.008825,0.05,0.042324
156,0.9190046230619023,-2.8565296323068816,-1.1778677903664474,-0.5746035857605587,-0.8537612394789783,-0.5520891793930408,-0.6710090499081701,0.008779,0.05,0.041902
157,0.9277595352361707,-2.8645399900188577,-1.1811213321410967,-0.5761834696680632,-0.856057908703169,-0.5536771867132324,-0.6730513451693018,0.008732,0.05,0.041484
158,0.9257875605815832,-2.872802235032404,-1.1845423036138203,-0.5777915984602182,-0.8585128005522864,-0.55527488253058,-0.675054953547865,0.008687,0.05,0.04107
159,0.9235373918941835,-2.881163248775661,-1.1880111743487483,-0.5794744731552586,-0.8609956596662159,-0.5569004472186165,-0.6767741917165341,0.008642,0.05,0.040661
160,0.9241165633897169,-2.8893439082736143,-1.1913986826458374,-0.5809753769827879,-0.8634100665901646,-0.5585563934279959,-0.6787181752377178,0.008597,0.05,0.040256
161,0.920742273591413,-2.8980351546310383,-1.195133860609465,-0.5825812806909827,-0.8660926907488756,-0.5601989121495842,-0.6810160403458212,0.008553,0.05,0.039854
162,0.9268707769558697,-2.905809618255034,-1.1983898986640746,-0.5840360635917193,-0.8685194708693511,-0.5615858412721563,-0.6827065436907601,0.008509,0.05,0.039457
163,0.9235119849178561,-2.913969901694355,-1.2018688425190995,-0.5855458644382118,-0.8711025325897976,-0.5632465008129626,-0.684605589112679,0.008465,0.05,0.039064
