episode,service_level,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
0,0.9230216688614868,-0.5854119514748035,-50.704744395613126,-33.66818174655257,-40.96115558395376,-12.950598771410132,-61.76621395258308
1,0.9161576564256845,-0.31494798968202925,-67.21675771203851,-50.47077142086714,-39.51910464630214,0.0,-83.38233154567219
2,0.9155191551915519,-0.9084869885857744,-83.27725486454905,-64.89942969171919,-7.965264125166035,-0.9084869885857744,-102.42475631402839
3,0.9102003364428812,0.0,-89.34068804175033,-74.7143739447021,-17.012970914602697,0.0,-111.83007456827067
4,0.9148776007949173,-0.581410118204809,-82.94818440232255,-77.1803647857164,-0.8632041931985632,-0.3343134209103885,-105.3486216236864
5,0.9133723547951373,-0.5117619146917233,-75.79925611197544,-74.27290887733417,-12.757196620860514,-1.1966668558895142,-98.02448198136952
6,0.9119932279227257,-1.2913535259722089,-77.84183002708141,-80.92609435840431,-2.0186280070633082,-2.631863912342612,-100.33241171990731
7,0.9140568099053168,-0.21214591995238993,-78.19849506725538,-81.77780992906482,-8.815825361103643,-1.542717681797089,-103.47552481724136
8,0.9188187434081664,0.0,-80.67147464361261,-84.24974192151369,-14.888679286633401,0.0,-105.64161275174843
9,0.9092401714859072,-1.4447072696634866,-85.23513061330833,-97.4736397724398,-4.593150302413184,-4.962081928112461,-113.88885166338916
10,0.9128298834736243,0.0,-90.30116284834864,-102.78576341879257,0.0,0.0,-121.84061602999404
11,0.9173548755217874,0.0,-81.42854706877863,-99.94836058872627,-4.748103771269868,-0.02590843858504832,-112.15518214773485
12,0.9178267130685227,-1.1587889786927692,-76.46185651359863,-103.90257900884868,-6.02117827234574,-1.9013161348702543,-107.91680602393768
13,0.9065984280753061,-0.8862375063119994,-89.33406260746666,-113.20938571508766,-6.018540933493556,-1.4876418655969716,-124.20737173121941
14,0.9104746767735428,-0.9498249539805673,-84.91907565348944,-109.37259020922154,-21.912977765978223,0.0,-117.37163662676231
15,0.9143229877734292,-0.31340392926192884,-79.0670537683922,-107.31446651718309,-0.5770916413293019,-0.7289578627317499,-110.66385769067656
