episode,service_level,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
0,0.9066987834253133,0.0,-60.523108456542346,-48.24945081703773,-2.015722808706065,-0.5394275077387398,-72.0019689866916
1,0.9060510519614382,-1.656285911937271,-83.58001537198837,-72.72759361940571,-37.44077006008844,-11.354307885800374,-106.13295360303105
2,0.9115375331885107,0.0,-92.75513057981937,-81.42293464703879,0.0,0.0,-113.77724560124008
3,0.9187369819180728,-0.32214795344374414,-85.04788275009788,-77.05044577746797,0.0,0.0,-102.9454875181316
4,0.9176946044575806,-0.10985467569860097,-76.43016820036497,-77.56868910393496,0.0,0.0,-94.35364420984729
5,0.9179714396910457,0.0,-74.48036191494703,-77.92996017349387,-20.56056870705643,0.0,-93.52504699866832
6,0.9173391953746085,0.0,-76.88230457433477,-81.94725128729141,-2.360097199458642,0.0,-97.40470362591563
7,0.9153848469341681,0.0,-71.62503489536479,-83.1390294603514,-16.92479559493966,0.0,-95.36967920431518
8,0.9104554085415474,0.0,-85.6255246061137,-97.37327284537687,-1.268247008387172,0.0,-110.04075162969644
9,0.9090798553059549,0.0,-89.83449659637338,-98.58178196045131,-16.526465088267436,0.0,-116.91617382318488
10,0.9074680691209617,0.0,-89.30179122633399,-107.52690416428032,0.0,0.0,-117.2918867958467
11,0.9144399623911923,-0.8348980441945247,-76.6448482760153,-102.73954223655699,-6.440979921143426,0.0,-104.3479093631101
12,0.9054499289665388,0.0,-94.05126325602325,-118.46812302349976,-8.218410984953213,0.0,-126.79461321723004
13,0.908360517095566,0.0,-84.40161276937027,-114.00362924398654,-5.086510949158907,0.0,-115.52328245564135
14,0.9226611605380621,-1.7588309198301426,-77.15748832762864,-114.88451550671068,-14.770046520157896,-0.8972223837063292,-108.27304790838775
15,0.9218441739763863,-0.8767075140558046,-61.55629082057949,-105.73075683610847,-0.37822038211768927,-0.47775206162234435,-88.81288372755661
16,0.9132326900567244,-0.1836810547006011,-67.15772878526336,-109.72912857850991,-3.8307331494459405,0.0,-96.8907590478727
17,0.911941194119412,-0.1966133430402884,-71.6997486687247,-116.17955468354138,-0.3458938442375444,-0.4369185400895298,-103.67548013825639
18,0.9165605867733527,0.0,-73.20149499900184,-118.38761489373361,0.0,0.0,-105.90538812783828
19,0.9197374759152216,0.0,-75.0559829740095,-125.40574989729438,-5.5226343956913215,0.0,-106.6704951067838
20,0.9116451350618846,0.0,-79.75168078603818,-128.0093380768331,0.0,0.0,-113.62562161234663
21,0.9193372838311766,0.0,-81.9263521569396,-131.81112967585543,0.0,0.0,-115.48480878812492
22,0.9115322435782288,-1.2335247574154227,-80.93978732445137,-138.07218366375105,-7.205028385688194,0.0,-116.48818056318613
23,0.923908135929928,0.0,-77.83487007673395,-138.45509779670104,-7.390905253621655,0.0,-112.8101865577091
