episode,service_level,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
0,0.9185725132877752,0.0,-49.907803807540546,-37.39650275003358,-31.44067591110655,-3.5786465076268072,-62.899160465363636
1,0.9160523544456145,-0.07457733810859493,-74.70827601575506,-55.821628097451296,-12.322681624131215,0.0,-92.37292395942731
2,0.9153636880026309,0.0,-77.99207605504662,-60.864007841112034,-14.016599440265015,0.0,-99.73590028068847
3,0.9157580868622373,-0.36254780438848283,-81.21110421401929,-72.20589253078859,-0.4643944944407722,-0.586603571925186,-103.98097582851194
4,0.9100459418070445,-0.4637819753631975,-81.86664900022372,-80.93850816868638,-0.44504330969195716,-0.5621599701372091,-104.87546678210482
5,0.9105806911293195,-1.2787574199031342,-86.28334892907284,-89.24179568303313,-19.09293041710615,-14.440880034170984,-111.72613000535003
6,0.9182888875328004,0.0,-75.93670378916542,-87.60043310136516,0.0,0.0,-101.44414143702906
7,0.9142058938388056,0.0,-81.56219128047988,-96.0076079839991,0.0,0.0,-108.00954630334945
8,0.9116679861153401,-0.3259481133671099,-73.44674495231605,-100.52632698135548,-2.5249928221825675,0.0,-103.04851559786495
9,0.915838584585555,-0.025542568448759684,-72.9811711095929,-103.78171142853591,-7.676776304052007,0.0,-104.29796958807597
10,0.909257369274179,0.0,-74.4011333589388,-107.42808445823974,0.0,0.0,-104.37140002319681
11,0.9193934073917123,0.0,-70.91533835361425,-107.20666574859628,-0.11030842551389738,-0.13933695854387038,-100.37140157686264
12,0.9117745927940593,-1.2431717523215324,-70.24774776966662,-107.54464293059941,-1.8996497314803023,-0.2701946866959206,-97.89042404194848
13,0.91456073429491,0.0,-83.85036143997928,-111.93308296483161,-0.7600573850159633,0.0,-112.20350712111197
14,0.911120509954382,0.0,-80.69069889575069,-115.46839857084251,-8.155206791260749,0.0,-111.00043964329197
15,0.902241688718557,-1.0138478577340528,-86.00010557396398,-121.40778243704946,0.0,0.0,-113.89274552716734
16,0.9255403108305003,-0.7132939084205588,-78.3084112909421,-122.32646417165724,-11.371607801831304,0.0,-104.13339887061812
17,0.9156583095631287,-1.7878991428146913,-85.41275160007686,-125.66653567312653,-1.236921639929908,-0.8325360459314964,-111.56941358233165
18,0.910308972073678,-0.054707050801110345,-91.04916931210943,-130.66788937615223,-6.389710170571861,-0.10240210358529704,-116.97489747642821
19,0.9137219730941704,0.0,-94.84646541195244,-132.55341923452312,-7.9364292935422815,0.0,-121.1368977169884
20,0.9062219563266527,0.0,-99.59758745607779,-135.61419549268726,-10.62464321069094,0.0,-122.67479529226807
21,0.9178907034029742,-0.45638210995962647,-96.7266973509874,-133.10444931258084,-1.7055901157525328,0.0,-117.80473681887479
22,0.9025611458396553,0.0,-107.84540552501508,-143.26521654748197,0.0,0.0,-128.17530874873555
23,0.9121235567194381,-0.8616168194520573,-96.4190375974746,-141.12001506851232,-3.579917487413086,-0.5086690108952255,-115.77458652936178
24,0.9095438982636341,-0.5477014022408675,-100.89468225888733,-145.55046459812067,-0.014722776927637793,-0.0185971919085951,-116.58877367121057
25,0.9149019489712926,-0.14772434955206076,-95.73901469907626,-145.36205858507878,-10.975771886003631,0.0,-109.384615194219
26,0.9150861682745438,0.0,-98.29502599069987,-148.70565990798235,0.0,0.0,-110.14854586760235
27,0.9124190453346126,-0.15140453927643324,-97.64574143604834,-150.8245033497718,-0.11986192692717632,-0.15140453927643324,-107.33960962552216
28,0.921953598975641,0.0,-85.86135235677126,-142.73941023935328,0.0,0.0,-93.58644831635034
29,0.9092049834184817,0.0,-100.80460101899008,-155.3421447380606,-6.4263325043929935,-2.040988544420736,-109.75082456864862
30,0.9144519530894876,0.0,-102.22903586770738,-159.4839078470966,-12.695669062951202,0.0,-113.01773205659887
31,0.9150330764095406,0.0,-100.00856381743363,-156.59658015696095,-3.012325069792692,0.0,-109.18785016692243
32,0.9057934055383877,0.0,-102.3864078205052,-155.00698351715982,0.0,0.0,-110.24774512030561
33,0.9127069834413247,-1.4174403841881316,-106.15224932027533,-157.8530144611634,-2.4464163424799663,-0.10070413087107966,-111.134181344138
34,0.9145101802152988,-0.4913907050512617,-106.15515331975777,-158.73055500714057,-4.806688515719824,-2.1748668807085227,-108.65245262059186
35,0.9151378933300935,-0.674555054955924,-110.01451927501073,-162.05825985775203,0.0,0.0,-110.65341851261245
36,0.9212798068216118,-0.8951578505633151,-109.98424406404095,-165.6242731939021,-11.64743865338573,-1.1463157515948321,-110.47035363547717
37,0.9097413318657127,0.0,-110.58163007957462,-165.5477444555522,0.0,0.0,-110.83545269848128
38,0.91873377995051,0.0,-106.32250146554341,-164.57668828751696,0.0,0.0,-104.38363901531444
39,0.9160919194048731,0.0,-119.66122629591769,-177.61051743270173,-23.110045441873254,-0.0874800239786313,-119.90873233120581
40,0.9141721375655002,0.0,-128.1962432073811,-181.81756894245626,-9.871144702755224,0.0,-123.50135104119566
41,0.9236394403650319,0.0,-119.37006826498889,-176.67931375474498,0.0,0.0,-111.38014569732694
42,0.9137191691250266,0.0,-123.0642585104697,-182.75415573410876,-2.6175468640720205,0.0,-116.37234675440843
43,0.9224078254326561,0.0,-125.37273800287873,-182.15859225788378,-8.933674821635766,0.0,-116.46550628511879
44,0.916141367669465,-0.2689091508581124,-130.35460997719966,-187.11397538017866,-13.412601429293654,0.0,-121.5740785903885
45,0.9103294450975074,0.0,-134.1808007310799,-188.68591138616924,-4.120987019903308,0.0,-124.95365526950522
46,0.9172761205353078,0.0,-130.3579516565098,-188.7405041733849,-4.808739895781782,0.0,-120.25302849236289
47,0.9186160141696695,-1.043675455164552,-126.43623691512546,-189.00955833350346,-21.306697689637016,-1.4858058660532896,-116.40994047902342
48,0.9239354858014902,0.0,-123.01919745481933,-187.5671340007758,-3.339932123102977,0.0,-110.91066365424409
49,0.9160973848144693,0.0,-125.23319652079604,-192.2889850032984,0.0,0.0,-113.77332365930457
50,0.9195440628126231,0.0,-130.6290228607033,-196.59884528737769,-7.511347441587108,0.0,-118.31238048567005
51,0.9021502490232919,0.0,-148.08372200250705,-210.59332971660626,-26.145261492379017,-2.8862567636654393,-140.97568087435866
52,0.9244581288296803,-0.23561950219230243,-138.6084678954956,-203.52492403434,-1.139340539901471,-0.2832806208879336,-128.07855351087846
53,0.9242593881441583,0.0,-135.58559414650554,-201.28404168928589,-4.704544997009364,0.0,-122.89429917478952
54,0.916180580872524,-0.046724298641095174,-141.81511467919643,-202.34206606419258,-16.992158957854965,0.0,-127.34782726337126
55,0.9143824231617759,-0.07187390191583926,-144.10658533830983,-203.84972588698275,-0.11168222291236196,-0.14107228157350993,-128.54641696512115
56,0.9128609399540897,-0.11886197572903683,-151.45756344079206,-207.6943000648767,-6.5525488343073715,-0.16740392832756645,-135.6012769883201
57,0.918341937443061,-0.29804923830916596,-154.32672803581337,-210.42131061104055,-14.600741090896847,-0.8285289193613435,-137.94197930960627
58,0.9257412518920844,0.0,-150.85741900409775,-207.26005823262003,-12.825798145869372,0.0,-130.92052962131032
59,0.9074262461851476,0.0,-164.21104646420673,-216.4013772311498,-24.916710989165036,-0.6297396873005539,-147.62457813107184
60,0.9200804901489669,-0.5765626859846618,-167.93554603373968,-221.85877947325653,-20.223071090264682,-2.9914453040697166,-149.9421823891635
61,0.9106732745074338,-0.40321783006739026,-174.7851180146452,-227.25502295511845,-13.954134282574685,-0.4244398211235687,-157.11027439676812
62,0.896481773041056,0.0,-191.14366372426417,-243.40467015660738,-21.146205924184446,0.0,-175.85610462047615
63,0.9100277208629626,-0.031632478224606575,-196.27525644435892,-248.31953523260222,-21.926867229812625,0.0,-182.98716040254462
64,0.9253462688388553,-0.32162849251641656,-185.59941790278452,-241.94995042017663,-14.358605950137537,-0.571069978740385,-169.94385261948088
65,0.9313559833443968,0.0,-175.3924212942815,-236.56052909177666,-12.399637661734172,0.0,-157.6068466226944
66,0.910259130171238,-0.16280474706096534,-174.01980141382964,-235.97207930714782,-9.74132262183465,0.0,-155.0699024915197
67,0.9226682949168066,0.0,-173.9867431333557,-236.52352494588732,-13.847680169668381,0.0,-155.25144586636782
68,0.9159990434054766,0.0,-182.85944887724042,-241.43962464093002,-28.65160257893733,0.0,-165.118864587305
69,0.9172052663076002,-0.06592479222651576,-187.06275054303077,-248.66864737600332,-19.324585945951284,0.0,-168.98964353431836
70,0.9215231586013304,-1.769476359512017,-185.39944576415778,-250.23913727675267,-17.315522580829953,-0.24523657178826824,-168.96402268813054
71,0.8860264242934962,0.0,-206.67308834136273,-268.646126703839,-35.42782722391362,-4.489310242427586,-194.54775180835978
72,0.8888253872762821,0.0,-217.3470426798772,-278.9915149187739,-42.575972225633485,0.0,-209.1652302160346
73,0.9205404098410204,-0.2344152792132484,-215.062351932519,-278.04376914033503,-32.62356714235583,-1.9393927277807639,-205.51814097948693
74,0.9207230158008067,0.0,-209.7681764730143,-276.17051650870974,-35.93580950380277,0.0,-200.68339871749566
75,0.9171773612112473,0.0,-212.94770401405884,-280.11177440093536,-27.451885913812326,0.0,-204.2749265438746
76,0.9134375094089664,-0.4286845809670994,-222.16518009088034,-290.0065744180368,-38.85083821385937,-1.238356246750006,-215.33597623460227
77,0.91332277902941,-0.40757793388828334,-223.84232501067308,-291.0759830360924,-27.01350289834557,0.0,-212.97429153528978
78,0.9017615779936429,0.0,-229.7088825937492,-296.8292413766031,-34.34624629990237,-6.616381675835599,-221.36908266999788
79,0.9235682034220533,-0.19271931541156423,-229.76873701914144,-294.79431246449815,-37.537050482784835,-0.9087772401764362,-220.75539382864116
80,0.8751579707528435,-15.160428945517234,-243.49302905712696,-305.97956461857143,-56.62159305282203,-16.488386588025058,-239.0228397609381
81,0.9167447059178926,-0.18374854083267556,-238.4462025130234,-302.6194932233042,-34.662885837211036,-0.589319460841853,-231.6594682293348
82,0.9254932580557975,0.0,-237.66039411374243,-303.9715567074993,-34.29565119205953,0.0,-231.3462103138148
83,0.918714668253496,0.0,-238.15377932563456,-303.96338103910034,-38.73704317461907,0.0,-232.39409932386152
84,0.9226847918436704,-2.0315555169786688,-233.33464602112122,-301.63337270633934,-43.08845654491041,-1.9289936435477708,-226.1064707081376
85,0.9157474842102082,-2.2946295037811373,-238.90760299285904,-306.5177387730922,-46.12534576942669,-0.4105543758578899,-231.74056703583523
86,0.9154532216963961,-0.7040526731764382,-242.88454513932444,-311.94090614698416,-39.497133423020934,-10.177640120764632,-236.8189415522764
87,0.9219194916524294,-0.5174405796140955,-241.03955142276254,-312.6891653638015,-48.91575796665297,-1.1655538079488341,-234.04740083262146
88,0.9228863986468119,-2.2109930865079006,-241.65677911908423,-314.24821677797587,-48.05471745864024,-12.392967400522794,-236.29804731732997
89,0.9159101912369886,-1.114096914640145,-245.44644078862498,-318.0063486259023,-43.48951323727426,-2.8207302789341595,-239.09450303963547
90,0.925765244637262,0.0,-240.10566298172992,-316.01630427360845,-43.83302437733249,0.0,-233.04615599094691
91,0.909267169559817,-14.86103210745266,-238.32300969752393,-316.37746379025936,-51.79521880188484,-11.817654713042145,-233.2809910832406
92,0.8475313302128944,-1.3215788709766731,-262.91002231118205,-334.1627743799554,-68.54470492782752,-5.7745765298941745,-261.1576122721581
93,0.9214192553948305,0.0,-260.8344069586824,-334.99261961515185,-59.60176730685907,-1.7858430256767472,-259.0882108294968
94,0.9331034899897175,0.0,-253.41717898011106,-331.30069470005145,-56.82090373986605,-4.821829903565773,-250.67603143210877
95,0.9175661822348188,-0.7308046761288917,-249.7236002769771,-330.7064967355318,-63.50352068109348,-5.308665288111957,-246.38835086363454
