episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9339113227797156,-2.5344921892188474,-0.01740508016787879,-0.007273821723609731,-0.0032281399244743782,-0.00333056311041119,-0.0007365096428617856,-0.005215898684148444,-0.0037331354971481797,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9354062588762092,-2.5673998190287346,-0.033768431390365984,-0.013966530253723897,-0.006293149073391715,-0.0064813297458261865,-0.0013993400551813476,-0.009840528136139953,-0.006966015343827961,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9373544051349947,-2.598257665639034,-0.049301067943090145,-0.020369279347036924,-0.009144413421283866,-0.009559445086989766,-0.0019596088260143995,-0.014264674200702272,-0.010287327218244095,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9396749409972717,-2.6267787498719937,-0.06362573056083866,-0.026098833733445292,-0.012075273340266743,-0.01226958960690236,-0.002661763507735045,-0.018167756516323963,-0.013239194524628685,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9357404430893635,-2.6558276718574816,-0.07785852040675778,-0.03208355910894046,-0.014663753030522237,-0.01513720205287894,-0.0031817051843062616,-0.022443830206335655,-0.01640146308308707,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9328123431172395,-2.686376677608086,-0.09314343533764988,-0.03839837514700613,-0.017584444554242788,-0.018201300889311236,-0.0037509388897299678,-0.026732840721287156,-0.019748799940957955,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9377271585294364,-2.713530750234566,-0.10664568066180266,-0.043961912686677804,-0.02021093257473481,-0.020866765582890513,-0.004298234962747393,-0.03059509045713095,-0.022552171359717252,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9346731154102735,-2.731699303204409,-0.1156429642312215,-0.048665219351958604,-0.0219254114550533,-0.023781238498570396,-0.004842762337201582,-0.034922757988616486,-0.025585521959881237,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9387318926620756,-2.756788178217769,-0.12816850998241394,-0.05382498433199221,-0.02437533436269584,-0.026197340170459188,-0.005424196238901338,-0.038763650295794885,-0.028328063742785466,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9383664073395729,-2.779192423482809,-0.13951181674700044,-0.05865058490844615,-0.026550283487737823,-0.02853807985621624,-0.006020103301025032,-0.042148918618944334,-0.031058441801066674,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9306017538554581,-2.8068418484319593,-0.15345819189955237,-0.0645334231012158,-0.029055544766594475,-0.03147181006427055,-0.0064768038697398615,-0.04614733305217114,-0.0340804912301632,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9338414685444114,-2.8322652195246616,-0.16633314050148695,-0.06987530449377934,-0.03152984523554471,-0.034020136990758176,-0.007081373936055394,-0.049795007208564196,-0.036787054534410925,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9386743127002868,-2.855126667711572,-0.17785182017146786,-0.07468267883589783,-0.03372001575725079,-0.036304409278110225,-0.0075299880415270115,-0.05317833506708923,-0.039312715351187265,0.007346,0.01,0.0,0.97,100,13,1,14
13,0.9373402824478816,-2.8778195153475394,-0.18928533148284613,-0.07944659556301255,-0.035923441201978656,-0.03869828178615337,-0.00801918043382819,-0.056505227940368545,-0.04164903794096059,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9374614345513066,-2.9003852236308134,-0.20071740108546038,-0.08424472669638468,-0.038095930856326086,-0.04101004268336804,-0.008479560736326622,-0.05991089798295928,-0.043957706719768834,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.943666465175633,-2.9197760865187354,-0.21029876912110437,-0.08818132695512985,-0.039865509756449376,-0.042809708221227386,-0.008821548377064042,-0.06272430554988488,-0.04594415957718593,0.006889,0.01,0.0,0.97,100,13,1,14
16,0.936364400369779,-2.940439607967266,-0.22069697124695475,-0.09263449848781286,-0.041867928914869436,-0.04501627549007641,-0.009233086776075372,-0.06592066096945745,-0.04827657803532855,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9387344766410408,-2.960798084126598,-0.23072567451000098,-0.09677629137247389,-0.043753414601640624,-0.04692041702169048,-0.009588030468848744,-0.06888550407127284,-0.05051862849805105,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9368738644129952,-2.9812626376222155,-0.24083634605991383,-0.10090415891332336,-0.04566707121410507,-0.048911041599791844,-0.009982007204541583,-0.07190763543195536,-0.05281593378386999,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.93606685463872,-3.0007823266047873,-0.25074221006254227,-0.10523716637009951,-0.04747280177790145,-0.051073507067431384,-0.010420268883277309,-0.0750339933008504,-0.055082474740265765,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9328856818333667,-3.021287976309041,-0.26113770675810744,-0.10975591766363735,-0.04933575214516843,-0.0533067345474531,-0.010809696548681271,-0.07830260513112101,-0.05767428162110369,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9359398598313224,-3.040939513384668,-0.27082855412771406,-0.11394067893639034,-0.050980399249405055,-0.05539716819996546,-0.01106419240338889,-0.08131015881641258,-0.05980878205087438,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9404706196938298,-3.058328480982011,-0.27937881354321087,-0.11741865587904017,-0.05261952039792443,-0.05701436116686744,-0.011422683713665576,-0.08382841388586268,-0.06163415773877167,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9331636437192368,-3.0777832346323466,-0.28929197339054785,-0.12151695696078486,-0.05453187620625161,-0.0591054819167234,-0.011800648788832744,-0.0865864837658452,-0.06376887735569711,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9346465083752373,-3.097156911774169,-0.2992081479083454,-0.1255858059465367,-0.05640756129518934,-0.06113886015095673,-0.01222636510314093,-0.08932433904342224,-0.06581615753231827,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9351712980906961,-3.1154354898868015,-0.3083292727130115,-0.12926446568351063,-0.05824043659859522,-0.06292271807790466,-0.01264727756374923,-0.09191528321614283,-0.06782814149175533,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.935916868768526,-3.131981728807163,-0.31655715901131437,-0.13273609205292944,-0.05977683993965919,-0.06456844527087378,-0.013004119566891393,-0.09437725052357221,-0.06966907357571189,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9398521281555985,-3.148653192145601,-0.32486023259605923,-0.13615375945329408,-0.06138217177193947,-0.06625390882224526,-0.013341087594098282,-0.09683901112395492,-0.07140020913056461,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.9379302219903395,-3.164868606085679,-0.3330943325761441,-0.1395856287071427,-0.0630129562221106,-0.06788974609265246,-0.013707616816166569,-0.09932060757759306,-0.07331555694583279,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9361937114074868,-3.1820809234320966,-0.3417853552726058,-0.14324786581976656,-0.0646301534508877,-0.06968520143455471,-0.014032264182442666,-0.10196895511066335,-0.07518644750380192,0.005339,0.01,0.0,0.97,100,13,1,14
30,0.9396559044820734,-3.193871854068398,-0.34792151497394974,-0.1460851885255802,-0.06576217304751089,-0.07119005291466717,-0.01434464733577917,-0.10405501589256998,-0.07667012662491733,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9346512256060504,-3.210772870518084,-0.3563494642725294,-0.14959434549062278,-0.06732750715926954,-0.07283747425382497,-0.014668792120271877,-0.10661231856729733,-0.0785086379015682,0.005173,0.01,0.0,0.97,100,13,1,14
