episode,service_level,rebalancing_imbalance,projected_starvation_risk,projected_congestion_risk
0,0.8960481359417047,-146.03472843421125,-7.929054703917924,-4.377658617041246
1,0.944213578881282,-320.9293171388341,-17.362166650806902,-9.410718430629387
2,0.9346219957178613,-373.62344899581905,-20.050503120259076,-11.024984847932556
3,0.9356372667797431,-376.80625178765973,-20.723806556966046,-11.756851784626662
4,0.9437328591663904,-374.88356042085377,-20.818858266446597,-12.074673573725383
5,0.9329571653925495,-379.94912145725505,-21.124263619852982,-12.660124813523188
6,0.9417271167564639,-378.4941655364479,-20.893901378617194,-12.770835818794811
7,0.9367445242206671,-373.975725587972,-20.97736387858241,-12.884346631748503
8,0.9429575560962422,-371.7555454972225,-20.641987085040864,-12.976669466194071
9,0.9387462258228454,-369.9247342743051,-20.246101887998883,-13.057170420922315
10,0.9437275549333496,-366.37826262197973,-19.825852952318833,-13.057738306798383
11,0.937775909186462,-366.762847380403,-19.609300850737043,-13.20694788629737
12,0.9358807702772152,-367.50803741895936,-19.63153846824074,-13.376630088232034
13,0.940389071838029,-372.4024622243711,-19.35730891420506,-13.642028253021286
14,0.939499744153147,-364.39868527772904,-19.204114878808333,-13.652839389792698
15,0.9452881152460985,-371.6720123366542,-19.158059435810834,-13.794139129723707
16,0.9311125003721235,-368.3549059081759,-18.87505864504085,-13.810712300632384
17,0.9419464307356684,-367.8490137572677,-18.543503537227217,-13.967968351125851
18,0.9492393432745896,-367.56552585022825,-18.20708633386834,-14.051497848494439
19,0.941089258698941,-370.82886891546747,-17.80539901702281,-13.938679354399643
20,0.9335388521171457,-370.1446061446305,-17.33981242023204,-13.931533265536663
21,0.9368208771032116,-374.01697864749656,-17.06272623906459,-13.946848398044915
22,0.9372612225405922,-377.4479526589699,-16.777336822717707,-13.928668429089461
23,0.9388711907194807,-380.06703902375386,-16.386429716385596,-13.855941184180466
24,0.9402662081641123,-375.74154244385363,-15.957886678740719,-13.801418543024155
25,0.9373464000728178,-379.06485061949365,-15.67292683756934,-13.939851264232706
26,0.9352250957854407,-381.2173820637285,-15.426650337873767,-13.969115913389349
27,0.942573842190402,-382.0728720942067,-15.140803975047136,-13.983443524648001
28,0.9443100006049973,-385.99431820838635,-14.794420096345243,-13.925697321161136
29,0.9410371629827544,-377.9631820824958,-14.285082478007881,-13.867380523454544
30,0.9448222381293248,-376.49028295386574,-13.77295407190404,-13.774163844139213
31,0.9377231138443078,-381.8651936770325,-13.31717312473518,-13.662989412255078
