episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
22,0.9195736920477171,-2.627390152174112,-0.06729715762964861,-0.028909979875134818,-0.013269135570613478,-0.020319362982794527,-0.01227822804059115,-0.018360149883430023,-0.001611502666976839,-0.0015432173349676614,0.012032,0.02,0.160436
23,0.92090090697596,-2.6315917518961283,-0.0695017264329163,-0.029841622697671585,-0.013707083050609168,-0.020974763035344776,-0.012712443148705808,-0.018837813585876582,-0.0016474236675100115,-0.001587383788309107,0.011818,0.02,0.158837
24,0.9240099833610649,-2.6355963571779384,-0.07158984877393242,-0.030700049272786356,-0.01415563590433183,-0.02153975289829333,-0.013115330546335263,-0.019238467256355668,-0.0016998533851372592,-0.001615155944941003,0.011612,0.02,0.157253
25,0.9225973850923305,-2.6396400633363624,-0.07369215674610016,-0.0315791109935731,-0.01459791694772892,-0.022148354665149535,-0.01350778620566959,-0.019831437158969865,-0.00174706968526979,-0.0016616983571624915,0.011412,0.02,0.155686
26,0.9166946027489105,-2.6439506222001854,-0.07594736631273324,-0.03256889153850754,-0.015010703358315537,-0.022823120503313882,-0.01391674811894132,-0.020417691406907086,-0.0017948075042565415,-0.001711757020732203,0.01122,0.02,0.154133
27,0.9224023164481129,-2.647846350518789,-0.0779650781912013,-0.03341711140052574,-0.015411921806711802,-0.023432755692799574,-0.014262602927478085,-0.02103059428407242,-0.0018360806169911224,-0.0017549701499241098,0.011033,0.02,0.152597
28,0.9216623201817111,-2.65167267557082,-0.07994821983400174,-0.034256002614706356,-0.01579039919578471,-0.024013688542003205,-0.01461905959019463,-0.02160281854100323,-0.0018774971430207395,-0.0017896724389960966,0.010853,0.02,0.151076
29,0.9284982275758951,-2.6550405322595707,-0.08169417678689075,-0.03499207177734967,-0.016139028635713464,-0.02453054712760309,-0.014946191102159966,-0.022040959964655438,-0.0019218970298949638,-0.0018209383921794786,0.010679,0.02,0.14957
30,0.9242938620315047,-2.658574297416083,-0.08353500265823259,-0.03576625566062629,-0.016502176296372646,-0.025049992946920768,-0.01528577678932179,-0.02258703036466511,-0.0019619412734526087,-0.001859281923255704,0.01051,0.02,0.148078
31,0.9212004656106079,-2.6623177896225965,-0.08548307856040789,-0.03658443357595965,-0.01691092087329294,-0.02563311840060986,-0.015663788542666115,-0.02302104932472905,-0.002012660629146623,-0.0018993811592688764,0.010346,0.02,0.146602
32,0.9219929711278145,-2.665904719887668,-0.08737982280371118,-0.03741077666724685,-0.0172839045143309,-0.02619056707038536,-0.015999589449813445,-0.023583182203575317,-0.0020577296232706377,-0.0019368962971851472,0.010187,0.02,0.145141
33,0.9183625097348729,-2.6696232180621267,-0.08931844875161238,-0.03824413535653157,-0.017668839299254228,-0.026788514882409922,-0.016364725229831616,-0.024037226735038972,-0.0021115816804842032,-0.0019751322673707983,0.010034,0.02,0.143694
34,0.9219141473191916,-2.673147566990257,-0.09115882547437279,-0.03903941641318931,-0.01802361775936533,-0.027335683219174227,-0.016697883688207283,-0.024420819605017168,-0.0021510914647990247,-0.0020066089448437818,0.009884,0.02,0.142261
35,0.923143292167146,-2.6765641423977855,-0.09293579816871915,-0.03977545358635493,-0.018394773008529302,-0.027879898356244586,-0.017032502689144847,-0.02479434332587855,-0.002183205258823823,-0.002039176828776422,0.009739,0.02,0.140843
36,0.9204629817101977,-2.680052241520631,-0.09479991997123023,-0.04057241688171975,-0.018770374923227022,-0.02843855963529074,-0.01738847835925131,-0.025264677996112244,-0.002215976707713152,-0.002077094883495432,0.009599,0.02,0.139439
37,0.9234313295304959,-2.683367091658152,-0.0965333255352971,-0.04131946873526321,-0.01910538014050234,-0.02896728676724223,-0.017730063221256337,-0.02567929459446251,-0.002266648159801514,-0.002112589449216076,0.009462,0.02,0.138049
38,0.9212703943180676,-2.686723557986397,-0.09828896076742438,-0.04205989480568074,-0.019459605896395914,-0.02948271988270923,-0.018047090384497314,-0.02613688881749994,-0.0023073824947241724,-0.0021456259564614742,0.009329,0.02,0.136673
39,0.9251148596532413,-2.6898309494621886,-0.09993556260565699,-0.04276760629219181,-0.019784350684319656,-0.029988456000229025,-0.018357598151750382,-0.026573515779930872,-0.0023411741498106002,-0.002177291663763262,0.0092,0.02,0.13531
40,0.9253487156133515,-2.6928722474123936,-0.10149389709528295,-0.04341202493443671,-0.020091333533241457,-0.03042822478920942,-0.018654115270647514,-0.026950376192871727,-0.002380381471584809,-0.0022100147684866248,0.009074,0.02,0.133961
41,0.9219417084075705,-2.6959873893789967,-0.10308673657317219,-0.04410801417875208,-0.020372135093688494,-0.03092192640725543,-0.018936053949275597,-0.02754224147074041,-0.002417139507840534,-0.002244042955851514,0.008952,0.02,0.132626
42,0.9220750921890715,-2.6991184918793665,-0.10472723152834278,-0.04481123257721267,-0.02069494822669786,-0.031415045510864235,-0.019249453571512202,-0.027955663401166803,-0.002456554510337612,-0.002282155504464602,0.008833,0.02,0.131304
43,0.9231894903134614,-2.702193352113984,-0.10633159683403816,-0.04549870828336502,-0.020996411472846886,-0.031908586000295155,-0.019546488446899397,-0.028453674929700926,-0.0024894753633058556,-0.002318864759126477,0.008717,0.02,0.129995
44,0.9198390746794066,-2.7053125212038136,-0.1079592484853476,-0.04621454783565915,-0.021284475521862467,-0.03237572504743475,-0.019837206408628513,-0.028961430283076947,-0.0025250257613591855,-0.0023574498041151826,0.008604,0.02,0.128699
45,0.9208158872689973,-2.7083674979535397,-0.10953191049906615,-0.04688902999415577,-0.021590459606001627,-0.0328744497914939,-0.020148437856924536,-0.029282662468877035,-0.0025604889999873864,-0.0023802162484721835,0.008494,0.02,0.127416
46,0.9158823628097371,-2.7115816659154914,-0.11120897551298511,-0.04762605078258047,-0.021902148659018874,-0.033391625032539826,-0.020447927019554238,-0.029728279074986666,-0.0026088998565905663,-0.002418886376376671,0.008387,0.02,0.126145
47,0.9226951900347042,-2.7144860381489635,-0.11269580429357691,-0.04824739387978586,-0.02219661166150515,-0.03382590755285857,-0.020713725986242725,-0.030080863632507424,-0.0026410019780419157,-0.0024523350990236425,0.008283,0.02,0.124888
48,0.9177073594229999,-2.7175908711132504,-0.11433532067985942,-0.04893989641497214,-0.022528619718347367,-0.03429684175224591,-0.021004574314320706,-0.030512700830793795,-0.0026739862775752867,-0.0024832637241028526,0.008181,0.02,0.123643
49,0.9217281667647306,-2.720501901961178,-0.11585124929977184,-0.04958725557174899,-0.02282488652401574,-0.03474889460585052,-0.021296224542472392,-0.03092470088322971,-0.0027084879461323264,-0.002515806562980704,0.008081,0.02,0.12241
50,0.9233725477033581,-2.723220468213811,-0.11726191617721728,-0.05018699078397802,-0.02310137328267412,-0.035159953060187626,-0.021553666041030168,-0.031248151898587085,-0.002739676863965151,-0.002539809213798113,0.007984,0.02,0.12119
51,0.9196898598987504,-2.726178856126132,-0.1188045937759458,-0.05085854228351699,-0.023393993167932687,-0.03565767549096507,-0.021838063156133944,-0.031645601332636594,-0.00277910349990044,-0.0025646140254223506,0.007889,0.02,0.119982
52,0.9305848416862064,-2.7285817711717124,-0.12002777051790078,-0.05136444994564205,-0.023634727451403915,-0.036023406682109585,-0.02206897014268164,-0.03194668113074982,-0.002811044745459848,-0.0025907037625769428,0.007797,0.02,0.118786
53,0.9156741385078622,-2.7315939437519137,-0.12159407148370852,-0.05203860735280998,-0.023930843885481955,-0.03648617451846208,-0.02235568979287082,-0.032398189693485915,-0.002844658782823846,-0.0026257668974183877,0.007706,0.02,0.117601
54,0.9207947375486643,-2.7343202489068403,-0.12303019437266441,-0.05266339483995767,-0.02419556089151585,-0.03692943747178102,-0.022613868290689666,-0.03282496721753775,-0.0028845160269190583,-0.002658002707377867,0.007618,0.02,0.116429
55,0.9210248681235871,-2.7370696712034794,-0.12444426853361194,-0.05325705324296555,-0.02447069095615786,-0.03736334648270881,-0.022871435820818697,-0.03314313004575081,-0.00292206445985435,-0.0026815466291385598,0.007531,0.02,0.115268
56,0.9302380550396758,-2.739420961829212,-0.12565510103678817,-0.0537596992976756,-0.024711905039447903,-0.03771114506235264,-0.023091059806787894,-0.03342641943139817,-0.002954909566854851,-0.0027050926758833095,0.007447,0.02,0.114119
57,0.91939457937346,-2.7420886012005603,-0.12703532163538991,-0.05436009094497742,-0.024959927064600762,-0.038137430754977324,-0.023329990912995657,-0.033873371398787044,-0.002985279141077944,-0.002733740361827626,0.007365,0.02,0.112982
58,0.9224136482057316,-2.7446999336339615,-0.12838657282044344,-0.054945065069187324,-0.025218608191922755,-0.0385597230314352,-0.023581041868081236,-0.03423301301453987,-0.0030180749845160394,-0.002759047591419994,0.007284,0.02,0.111855
59,0.9186287913312067,-2.7474148460929873,-0.12976453650273365,-0.055542600638088156,-0.02546031421846668,-0.03898300002691604,-0.023820522623212333,-0.03462809612711043,-0.003061189285447668,-0.002787220573322453,0.007205,0.02,0.11074
60,0.9221643765468976,-2.74989685063182,-0.13105108851995903,-0.05609192084648831,-0.02570242525016325,-0.03937575451798692,-0.024061959823512537,-0.03495178871019643,-0.0030898889573108003,-0.0028136305227818227,0.007128,0.02,0.109636
61,0.9243537187316991,-2.75230140692567,-0.1323197647622574,-0.05664004847132974,-0.025955026211814603,-0.039749218459614835,-0.024303965902362168,-0.035246377800564554,-0.0031235536467365973,-0.002837943745464036,0.007052,0.02,0.108543
62,0.9196258532063706,-2.7548423975789293,-0.1336443866757926,-0.05721939488118164,-0.026190409891788533,-0.04014172477756431,-0.02453089462277375,-0.03565332625196882,-0.0031506279762500223,-0.002868929456842497,0.006978,0.02,0.107461
63,0.9239561542967116,-2.757244439235405,-0.1348889048010032,-0.05775951336848,-0.026415962079054146,-0.04052395672899173,-0.024756685847642616,-0.03602377228676707,-0.0031839921802375537,-0.0028978890236821763,0.006905,0.02,0.10639
64,0.922035145212259,-2.7596032846846006,-0.13608105550906538,-0.05827638444123336,-0.02662169740188587,-0.04089043888633304,-0.02496373279295829,-0.03645840655958016,-0.00321151202351542,-0.002924354074108675,0.006834,0.02,0.105329
65,0.9194139194139194,-2.7621291413899867,-0.1373848918533906,-0.05883929393113395,-0.026868922750420902,-0.041302470732701435,-0.025204389863259142,-0.03681207888401199,-0.003240661188585806,-0.002949702083415485,0.006765,0.02,0.104279
66,0.9189788005438341,-2.7645519919989634,-0.13864140255267568,-0.05939388198294973,-0.027098743596252285,-0.041690559754907146,-0.02541820697981206,-0.037203672723096715,-0.003266815804424747,-0.002973911856342126,0.006697,0.02,0.10324
67,0.9213030129221633,-2.7669665340142737,-0.13987503145599395,-0.05992394227937925,-0.02733543880934629,-0.04206652350945867,-0.02564622175587551,-0.037561194411687295,-0.0032972221408394753,-0.0029975290875809443,0.00663,0.02,0.10221
68,0.9213234183270945,-2.7692713305610583,-0.14105186572185335,-0.06042888760569928,-0.027552553496831014,-0.04240805371563937,-0.02587606931166473,-0.037923081393795785,-0.0033190152180311958,-0.0030191401625509033,0.006564,0.02,0.101191
69,0.924609892228014,-2.7714966256738363,-0.14220902066066224,-0.06092100628668094,-0.027782410278288674,-0.042762739276984464,-0.026098867329746447,-0.038254330445600025,-0.0033463051568134975,-0.0030489876455102828,0.0065,0.02,0.100183
70,0.9255543377455526,-2.7736348133253186,-0.1433290682826859,-0.061407750521312636,-0.02799569172381994,-0.04310831899310168,-0.026299807403524857,-0.03858450083087668,-0.003373851939086632,-0.0030701080923516075,0.006437,0.02,0.099184
71,0.9240233362865883,-2.7758657207275346,-0.14446134094167717,-0.061871451468663165,-0.028214811731385157,-0.043432337433363034,-0.026493591133393495,-0.03888770420022862,-0.003397144313515809,-0.0030900523046784828,0.006375,0.02,0.098195
72,0.9233102107838209,-2.778064155508084,-0.14562283747896984,-0.06235806141709492,-0.02844081360243753,-0.04377085897178523,-0.026691897815910477,-0.039219814490245995,-0.003425743095787679,-0.0031132070876423537,0.006315,0.02,0.097216
73,0.9218613114091246,-2.780246362751649,-0.14673872207607358,-0.06284632914107637,-0.02864443960879102,-0.044119835791636544,-0.026878235315304866,-0.039625887027164776,-0.003448743558542344,-0.003139294985255878,0.006255,0.02,0.096247
74,0.9268894636306777,-2.782236194597954,-0.14777769869311572,-0.06329175827252483,-0.0288483163994388,-0.04443330072265263,-0.02706982382500867,-0.03988571605073462,-0.0034767571820302477,-0.003160417272562849,0.006197,0.02,0.095288
75,0.9217848659653886,-2.784390319378565,-0.14888809737139175,-0.06378108329113258,-0.029047025534916227,-0.04477837417554276,-0.02726209869729402,-0.04025223106708227,-0.003505168814100579,-0.0031861723909357236,0.00614,0.02,0.094338
76,0.9246212378558326,-2.7863813121250214,-0.14992888722450304,-0.06421219880882195,-0.02925747545566959,-0.04506863090218037,-0.027448679173312927,-0.040503809421688346,-0.003525431103663269,-0.003207937746965248,0.006083,0.02,0.093397
77,0.9196449427703808,-2.788621564971966,-0.15110774430825266,-0.0647076555436993,-0.029501400047763422,-0.045425805670600186,-0.02766391194006167,-0.04083641322860522,-0.0035528900297887946,-0.0032353968083856997,0.006028,0.02,0.092466
78,0.922792697468971,-2.790693485993829,-0.15217825446579136,-0.06517579730905954,-0.029707491784859034,-0.04575625915643051,-0.02785064950738871,-0.04114601571097805,-0.0035763310124210623,-0.0032535821279743066,0.005974,0.02,0.091544
79,0.9246138946939192,-2.792690823899272,-0.1531936360717457,-0.06559895990651778,-0.029905068109607087,-0.04606543265340219,-0.028032673808360734,-0.041423497281849415,-0.0035968481697521123,-0.003271857295530161,0.005921,0.02,0.090632
80,0.9229374433363554,-2.7947561427467873,-0.15426496534678832,-0.06605920535853474,-0.030100535579825793,-0.046374420379198075,-0.028220281621113404,-0.041733041325392996,-0.0036301146535172362,-0.003294894752905508,0.005868,0.02,0.089728
81,0.9239049865229111,-2.7967660117949285,-0.15531081710961425,-0.06650498331668427,-0.030298991094608714,-0.046685335101751935,-0.028400944165443025,-0.04202922134963907,-0.0036560212796955868,-0.0033138565676102743,0.005817,0.02,0.088834
82,0.9267750357955024,-2.7986318404695223,-0.15626302435273282,-0.06691492190147438,-0.030482138783270052,-0.046983437923945326,-0.028599030228235733,-0.042266791311502856,-0.0036783120543024497,-0.0033331958325186887,0.005767,0.02,0.087948
83,0.9154953258457192,-2.800899997529373,-0.15741971279834716,-0.06742781723632775,-0.030682988377187338,-0.04734736789738563,-0.02879621511915052,-0.0426217078877079,-0.0037098418890255365,-0.0033518499752691914,0.005717,0.02,0.087071
84,0.9254262071715795,-2.8028306439262254,-0.158394841871431,-0.06785049837402159,-0.030855005585443136,-0.04764961716308776,-0.028958443312535782,-0.04292143434964779,-0.0037368862659519705,-0.003370788252217866,0.005668,0.02,0.086203
85,0.9183835449878411,-2.8049321994087544,-0.1594757725628147,-0.06831399598935758,-0.03105768376469978,-0.04798308283763253,-0.029149777113383898,-0.04319752877013103,-0.003764057066939882,-0.0033911168360257296,0.00562,0.02,0.085344
86,0.9188570071097687,-2.807002034987873,-0.16055298442387123,-0.06877707726444113,-0.03125550100147557,-0.048302446168718614,-0.029329271220849502,-0.043546300533744316,-0.0037926607161258056,-0.0034203958899286647,0.005573,0.02,0.084493
87,0.9170727608805243,-2.809167735102367,-0.16168040247846388,-0.06926281049127339,-0.031474268565720144,-0.048650607971884585,-0.029541382366102473,-0.04384284917008876,-0.0038233336882436807,-0.003443598888104741,0.005527,0.02,0.083651
88,0.9224081170968885,-2.8110609916856686,-0.16264478681485936,-0.06968218320841311,-0.031645715488575976,-0.048945581121288016,-0.02970351494322143,-0.04415229694144902,-0.0038490825487179836,-0.0034614166224584534,0.005481,0.02,0.082817
89,0.9124843902932938,-2.8132017563081613,-0.16374840596388307,-0.07015961162589952,-0.031844784060336626,-0.04928332783756828,-0.029893526993252272,-0.04454577894857855,-0.0038731303168509103,-0.003487574911891866,0.005436,0.02,0.081991
90,0.9216575160764956,-2.8151228472197114,-0.16473545983177332,-0.07058140991871906,-0.032033450073727564,-0.049577892811614135,-0.030063413674782595,-0.04483896759223385,-0.003894562810088709,-0.0035048553087979844,0.005392,0.02,0.081174
91,0.9282741820888453,-2.8167884512110755,-0.16559165653269362,-0.07094759784809049,-0.03219324119506531,-0.049834507022154244,-0.030210072440182176,-0.04507531680842334,-0.0039129572290863565,-0.0035212354260779235,0.005349,0.02,0.080365
92,0.9268511770587936,-2.8185197947367415,-0.16648233134854923,-0.07132346566540733,-0.03235620905884436,-0.050100615212323805,-0.030379389214002142,-0.04530640690133473,-0.003934494300443385,-0.0035389743585537686,0.005306,0.02,0.079563
93,0.9213323528428653,-2.820425618033126,-0.1674773470813055,-0.07175161471228896,-0.032549421373842015,-0.05039530542554568,-0.030559976769333096,-0.04561016049292732,-0.003958290747359346,-0.003558351757634958,0.005264,0.02,0.07877
94,0.928368266007517,-2.822050214379332,-0.1683036606691743,-0.07209184754272181,-0.03270885318266375,-0.05063472003008049,-0.0307223508208584,-0.045826173694250814,-0.003975722973342691,-0.0035772147738372746,0.005223,0.02,0.077985
95,0.9181862407944843,-2.82399376014165,-0.16930195767640674,-0.0725329548112035,-0.032885491481364236,-0.05093905602062702,-0.03089534906679917,-0.046116719286611325,-0.00399912956696149,-0.003594833262702057,0.005182,0.02,0.077207
96,0.9243460492763902,-2.8257337000908898,-0.17018998781065384,-0.07290769612900172,-0.03304484997718778,-0.051198904242424806,-0.031053783783735255,-0.04641416426597156,-0.004020627169429757,-0.003613415117652159,0.005142,0.02,0.076438
97,0.9186157798411606,-2.8276322727335805,-0.17119210429460696,-0.07334840861456549,-0.03323051108099634,-0.051501834209288375,-0.031234008156629047,-0.046696572268186305,-0.004045492554007143,-0.003632118900443238,0.005102,0.02,0.075676
98,0.9257362355953905,-2.8293367135400938,-0.17207325039698923,-0.07373488796133276,-0.03339400367323003,-0.05175732335975404,-0.031387652802576105,-0.046968811363237536,-0.004067051620253251,-0.003649386953678964,0.005064,0.02,0.074921
99,0.9281104429575675,-2.8309411291009843,-0.17290134227505283,-0.07408725231648544,-0.03354834018517251,-0.052014842936071996,-0.031539431160422036,-0.04719775141260279,-0.004088221898666858,-0.0036631522849300425,0.005025,0.02,0.074174
100,0.9204934314854691,-2.8327667320542456,-0.17384912780363918,-0.07450426383160415,-0.03373148743087358,-0.052320284047566945,-0.031719396248118044,-0.04743709347694467,-0.0041119907791036915,-0.003686329782033411,0.004987,0.02,0.073435
101,0.9187523220859932,-2.8346002253246168,-0.17479480897980787,-0.0749207700714729,-0.03390060859654874,-0.05260181646503271,-0.03188728161162368,-0.04775994421016392,-0.004133245505518408,-0.003703533463370816,0.00495,0.02,0.072703
102,0.924727217873724,-2.836276891848004,-0.17565147062394215,-0.07528553147609243,-0.03405877316852891,-0.05285860626063796,-0.032040147361116614,-0.04799023304305759,-0.004155205057636706,-0.003720528865207397,0.004914,0.02,0.071978
103,0.9317294199198607,-2.837694814255955,-0.17636428517174518,-0.07559638441801186,-0.0341832149679654,-0.05308434155175731,-0.03216545538980353,-0.04820960254227565,-0.004173234000116037,-0.003735750511323021,0.004878,0.02,0.071261
104,0.9203655571392638,-2.8394483286435555,-0.17726923943808578,-0.07599997065980912,-0.03434527017457176,-0.05336408442408411,-0.032334973538116284,-0.048503126702716094,-0.004197498932892738,-0.0037503784236980384,0.004842,0.02,0.07055
105,0.9218880395233168,-2.8411304227620984,-0.17813583075584222,-0.0763812842984164,-0.03449912785539246,-0.053630734171051304,-0.032496365342185175,-0.048756251779321025,-0.0042215583815683405,-0.003774319885819161,0.004807,0.02,0.069847
106,0.9233279783546123,-2.84275383851425,-0.17896574193288528,-0.07674421809083881,-0.03464417015209846,-0.05387966648801107,-0.032647831340242316,-0.04903677915868919,-0.004241183151799528,-0.003793546356342176,0.004773,0.02,0.06915
107,0.9250882912252105,-2.8443447394528096,-0.17978344853805717,-0.07708903716770311,-0.03479831829234451,-0.05413657302330606,-0.032805316272268924,-0.049250930107237335,-0.00426004761925053,-0.0038102527609653624,0.004739,0.02,0.068461
108,0.9198728086969551,-2.8460849802785138,-0.18068201586316543,-0.07747368654187418,-0.034966999432930405,-0.05441370293484861,-0.032967028721217435,-0.04948679950302363,-0.004282039197039391,-0.0038294642192051725,0.004705,0.02,0.067779
109,0.9217395686353558,-2.8477484266075344,-0.18152996916866482,-0.07784907014517664,-0.035112886213265776,-0.05468427839971042,-0.03312054184541774,-0.04978218294058949,-0.004304927146497899,-0.0038451198118405476,0.004672,0.02,0.067103
110,0.9290507502950599,-2.849217984679323,-0.18227662610605233,-0.07816749543116847,-0.03524995037856432,-0.05491088672349385,-0.033252758790253516,-0.049996628956711114,-0.004321984131355767,-0.0038575976010345155,0.004639,0.02,0.066434
111,0.9215520018993031,-2.850836891704044,-0.18311330327424283,-0.07854304280097661,-0.03538934738073103,-0.055170610552505654,-0.03339266982330971,-0.05025827967501443,-0.00433853084242855,-0.0038723728576046143,0.004607,0.02,0.065772
112,0.9156052291530316,-2.8525852114001853,-0.18401871464524866,-0.07893738540624892,-0.035547558497843565,-0.05543949709276348,-0.03354439638075227,-0.05058917744913646,-0.004359508771169952,-0.0038915666168997613,0.004575,0.02,0.065116
113,0.9283157804606559,-2.8540144000553984,-0.18473202112969656,-0.07924315374467347,-0.035676157395012356,-0.05566622820068812,-0.03367764775737015,-0.050826177397676996,-0.004375381271834517,-0.003909128584253742,0.004544,0.02,0.064467
114,0.9222599401741001,-2.8556001242935802,-0.18554308733557592,-0.07960263406066996,-0.03582047063877943,-0.055926412436022636,-0.033827729547782265,-0.051064993177310544,-0.004392133396221069,-0.003923882518804549,0.004513,0.02,0.063824
115,0.9211117302399405,-2.8571960565650536,-0.18636622213597465,-0.07995968970643438,-0.03596476733685415,-0.056181122399909834,-0.03396619373682226,-0.05133876994615381,-0.004414393126579416,-0.0039441355871618405,0.004483,0.02,0.063188
116,0.9217064927565768,-2.858774532019276,-0.1871862440116194,-0.08031543050660364,-0.03611785736848808,-0.056433912649732285,-0.03411319697757046,-0.051556036646416614,-0.004432979483716247,-0.003957883554371618,0.004453,0.02,0.062558
117,0.9232540162667204,-2.860290234288966,-0.18796243439239418,-0.08065736772533233,-0.0362571897297285,-0.056668732786027014,-0.03423540750077145,-0.05180846151181307,-0.004449113417208491,-0.0039721099185085935,0.004423,0.02,0.061934
118,0.919734632180047,-2.8618998028067573,-0.18879908959585615,-0.08101343119710433,-0.036414199779026046,-0.056915550059478556,-0.03438718055741765,-0.05205240725203691,-0.004466411634267016,-0.003988741585466083,0.004394,0.02,0.061317
