episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.8751442380052511,-2.505770987578966,-0.003494061237600371,-0.0016833879550767394,-0.0006758779239372579,-0.00121673606547174,-0.0005810890365140023,-0.0015483354610327674,-0.00014298744499495887,-0.0001677230146834591,0.02,0.02,0.2
1,0.9217163225502724,-2.5125977061405704,-0.007040714714552957,-0.0032212449548061303,-0.001350710090960177,-0.002311563658662981,-0.0012249068931571325,-0.0023734636559210537,-0.00021861423067901328,-0.00022380648370590175,0.019416,0.02,0.198006
2,0.9191462270473127,-2.5195513068188182,-0.010677898549122065,-0.004777829562171528,-0.0020573461657397187,-0.0034221632868847484,-0.0019228931271897463,-0.0032694199659073693,-0.00031300682511959754,-0.00029152969595047564,0.018864,0.02,0.196032
3,0.9176885884931324,-2.526673124593976,-0.014437262384610964,-0.0063650652515046665,-0.00282580729529747,-0.004564098248018201,-0.002591791139419332,-0.004156754021951602,-0.0003901138594614556,-0.00035123907366478834,0.018344,0.02,0.194078
4,0.918544165396594,-2.533463961714021,-0.01801163602003074,-0.007937356990625456,-0.003491134329496071,-0.005697484146304021,-0.003235451170514644,-0.005066940377553402,-0.00047022118589195504,-0.00043050182489784476,0.017851,0.02,0.192143
5,0.9218640152656423,-2.53966762361869,-0.021271180603080985,-0.009307594672894177,-0.0041518034756633185,-0.006659390469164954,-0.0038581385090687595,-0.005803696597920544,-0.0005477602149563441,-0.0004958472494348717,0.017384,0.02,0.190228
6,0.9157128167090912,-2.5463463254229253,-0.02484628071476881,-0.010828717101522152,-0.004907769959845821,-0.007741718837651732,-0.004508966524356203,-0.006677527728679839,-0.0006272317028459789,-0.0005764809985446046,0.016941,0.02,0.188331
7,0.9205932075724352,-2.552416319184317,-0.02796878638806162,-0.012153709567990391,-0.00550659853905031,-0.008674858951344028,-0.005077730219058868,-0.00749705711828164,-0.0007046865299450873,-0.0006445450352890014,0.016519,0.02,0.186454
8,0.9201776843390245,-2.558192901543993,-0.03100602043588238,-0.01346472998544109,-0.0061136744603711695,-0.009591700234548906,-0.005623096291487213,-0.008385222084490234,-0.0007854135040004961,-0.0007251734787906492,0.016119,0.02,0.184595
9,0.9228975098999933,-2.563614338913539,-0.033852125353753856,-0.014652197127644317,-0.006691028701133806,-0.010453693856774998,-0.006165191001060454,-0.009095028874652836,-0.0008449551655548474,-0.0007903276546113868,0.015737,0.02,0.182755
10,0.9128025124699797,-2.5698196801665953,-0.03711528792133973,-0.01608120878549612,-0.007290552224226304,-0.011462962579256252,-0.006810708889864935,-0.010157229128167508,-0.0009072370594340477,-0.0008719324902348959,0.015373,0.02,0.180933
11,0.9192467068692518,-2.5752993669930575,-0.04001798297878188,-0.017325405689966666,-0.007851397735941406,-0.012312095220705595,-0.007305039643437988,-0.010941423254159347,-0.0009664682912517718,-0.0009335542664111323,0.015025,0.02,0.179129
12,0.9265990087325938,-2.580039395687938,-0.0425351364565364,-0.018371299194553114,-0.008395754816734166,-0.013013799765599998,-0.0077862526281590565,-0.011486681773896525,-0.0010244127504888156,-0.0009792366661307264,0.014693,0.02,0.177343
13,0.9199905871278974,-2.585344904396862,-0.045320488415723795,-0.019571877511028343,-0.008937687766047165,-0.01381893488571125,-0.008262709778678155,-0.01228881678804352,-0.0010922062153755482,-0.0010446123270285454,0.014375,0.02,0.175575
14,0.9223297713509252,-2.5903931503627353,-0.047952523865283425,-0.020681264326057842,-0.009466196601045921,-0.014599507470183942,-0.008756608641193375,-0.01302642826357896,-0.0011485697073433155,-0.0011000303872589167,0.014071,0.02,0.173825
15,0.9216630050145068,-2.5952967879981177,-0.050518459678500376,-0.021757532829298713,-0.009980758632534588,-0.015357608383982181,-0.009211487943802393,-0.013704480480510964,-0.001201620670838038,-0.0011587746094613262,0.013779,0.02,0.172092
16,0.9226702914967527,-2.6000646754252723,-0.05304842415368151,-0.022850022336757488,-0.010484909152220844,-0.01608269818252674,-0.009662348093211964,-0.014478312925927384,-0.0012626220211841147,-0.00121924743685161,0.013499,0.02,0.170376
17,0.9219570687878942,-2.6047584392273335,-0.05550667824145291,-0.023869589006741954,-0.010974108596525199,-0.01678649749035143,-0.010100392352234765,-0.015147962029023332,-0.0013182346282720693,-0.0012800519251912066,0.01323,0.02,0.168678
18,0.9221229497266302,-2.6093207717304607,-0.05792163754231976,-0.024881214464065195,-0.011453658463169909,-0.01749828465923568,-0.010548962824770596,-0.01582995253597711,-0.0013709249089696428,-0.0013382106328283416,0.012972,0.02,0.166996
19,0.9238340913719367,-2.6136468872357317,-0.06016171932757421,-0.02585306423489491,-0.011897173360297863,-0.018162605353741184,-0.010980780741296155,-0.01637487817885507,-0.0014268281419011265,-0.001383361440393958,0.012723,0.02,0.165332
20,0.9199721757564716,-2.618204566372332,-0.0625462655503261,-0.026869842483967708,-0.012353304309684733,-0.018878224042464094,-0.011403370800690815,-0.017108004579403147,-0.001487870073566051,-0.0014357023549446373,0.012484,0.02,0.163683
21,0.9160772740378907,-2.6229145916535797,-0.0649729061587671,-0.027913078091169115,-0.012813762221854517,-0.019614319256838684,-0.011860800417554315,-0.017699766260856162,-0.0015593093333865521,-0.001492791906880996,0.012254,0.02,0.162052
