episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty
0,0.9068282396269566,-14.427605153839732,-9.70659265182432
1,0.9292121506978441,-49.60254434842397,-33.945287861348916
2,0.9292197643664343,-80.93351933270105,-55.95355627457359
3,0.9371588818864397,-109.10842907922654,-75.61959166776124
4,0.9405104295964397,-134.460208196286,-93.12359133817398
5,0.9306389786001026,-156.83883683672886,-108.54508142491254
6,0.9304101752677703,-178.38309361153745,-123.74578257198102
7,0.9265249401259572,-199.22923946375408,-138.23957866308828
8,0.9390654093338939,-217.66757485133826,-150.9202627375491
9,0.931918119787718,-235.6582848409928,-163.31162822027554
10,0.9341892135101086,-252.5034169298279,-174.93003691481368
11,0.931331119830969,-267.1078289596934,-184.77907468454663
12,0.9391720221192646,-281.24941377913956,-194.52089038464823
13,0.9390456706179674,-293.8202710693659,-203.0646728836449
14,0.9354224010163033,-305.7049717534659,-211.16396322456734
15,0.935204860383683,-316.7405056653789,-218.7015920691735
16,0.9375456760048722,-326.9815623153399,-225.69469863453506
17,0.935159190012544,-336.59331021343286,-232.37963109911442
18,0.9328477741847744,-346.0109738653838,-238.81026115747898
19,0.9382405745062836,-354.4397536130854,-244.59783214237333
20,0.9363289121477337,-362.55889418474385,-250.0870490954039
21,0.9377062081908164,-369.80915552646303,-254.95586514729266
22,0.9359298752936924,-376.97559664073367,-259.8610708041049
23,0.9318410232983098,-384.24119734497094,-264.79502014122244
24,0.9311337269679257,-390.3384247922932,-268.7932632090468
25,0.9305874288439185,-396.3765163939438,-272.78170727554743
26,0.9317397954593168,-402.39235100562576,-276.81688398858313
27,0.9346922680256013,-407.92831724515094,-280.3087208371229
28,0.9365681675580388,-413.375570104602,-283.9289686109573
29,0.9398637966678828,-418.73840541275644,-287.49867757047446
30,0.9396782841823056,-423.49419684315086,-290.53910057475133
31,0.9379875195007801,-427.96192818300983,-293.3796194072944
32,0.9434917232344885,-431.835169346493,-295.90058264673263
33,0.9370826441217913,-435.90858677901593,-298.48776067084015
34,0.9311108414730328,-440.0027416590145,-301.21733189005647
35,0.9271961492178099,-443.34641548236425,-303.2966242099655
36,0.9376211240310077,-446.9798625092712,-305.6271495954256
37,0.9333029889242908,-450.3351615575405,-307.7244329979996
38,0.9288494102967826,-453.33681450962933,-309.5904727614461
39,0.936276287164612,-456.3997847847697,-311.55132878050983
40,0.9380218852681398,-459.94485081716107,-313.83930701299283
41,0.9303514183753705,-462.27145680415043,-315.1812294071162
42,0.9364969228912755,-465.4266401636804,-317.19840677470734
43,0.9325956937799043,-467.85934390933403,-318.6788743401446
44,0.9392397395123429,-470.7292236108641,-320.48125195243034
45,0.9345098745422895,-472.57191715985914,-321.4888886740598
46,0.9389091787147988,-474.7212940440762,-322.6974245436395
47,0.9380330248593721,-477.30410525721106,-324.25112053406014
48,0.9348543891483476,-479.6041886466708,-325.6226824334029
49,0.939148744172056,-481.556986355357,-326.75995332300977
50,0.9356485905398949,-483.57678659623383,-327.98553721225295
51,0.9333073673487731,-485.9718176948649,-329.56546162420466
52,0.9355619286610504,-487.7199824669299,-330.516674153739
53,0.935603323699422,-489.521156602881,-331.58255909875544
54,0.9412485431670801,-491.54335196787343,-332.7373527319787
55,0.9408404484822703,-493.5249773206704,-333.8615887740891
56,0.9391013184250651,-496.1115589308441,-335.5121547501076
57,0.9369145420923394,-497.74498778245135,-336.5438290572395
58,0.9411479630470998,-499.25131792686244,-337.4715786880615
59,0.9401450665387843,-500.7017927329626,-338.3753214914587
60,0.9375437955092466,-502.212071860422,-339.2472243078982
61,0.9370483475947147,-503.65574251626975,-340.09789310449725
62,0.9414731980065637,-504.76510527392406,-340.65678779396063
63,0.9402698650674662,-506.3808905539823,-341.73054149356915
64,0.9410872926836663,-508.1411571284854,-342.7939651771482
65,0.9363404874499818,-509.5040084610111,-343.5556680339611
66,0.9359929722525142,-510.9062096931564,-344.3340704495434
67,0.9342927127985303,-512.1258136102482,-345.04911445307346
