episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-3.2140302363317463,-3.1479839385487143,-0.5056647968551261,-0.4022405242736568
1,0.9374868827391839,-0.43010886558924255,-0.2886882283307893,-1.303909813215441,-1.1704660299363607,-0.4126942534623653,-0.2660024482620908
2,0.9276798275810458,-0.6226874495742605,-0.4012916625734215,-2.0006378911000824,-1.7814553243341704,-0.5668605396430124,-0.3950528951372698
3,0.9344422700587084,-0.5961260233665036,-0.31941525785355207,-1.535299832092643,-1.222253309093646,-0.5913797416075194,-0.39796229750828727
4,0.9313705162761766,-0.6789498416634902,-0.34828597196643957,-1.7891677450787329,-1.397587935247861,-0.6777875285390969,-0.472420122960293
5,0.9358288770053476,-0.6926265076779731,-0.3188563683587769,-1.6316546238482257,-1.1586161792280831,-0.7108353089607208,-0.5045074587341246
6,0.9390497093368134,-0.7078092913674335,-0.2939013551980343,-1.497976702560285,-0.9891124425397314,-0.7466861813233219,-0.5357332648887017
7,0.9244291835417033,-0.8872653754719646,-0.40257171766864236,-2.1362174479809615,-1.5649979833353864,-0.8815443727277505,-0.6552273736957962
8,0.940516982266306,-0.863982374004332,-0.33230031005859545,-1.7431409873108064,-1.1098222009569694,-0.9238545340793752,-0.7002223540063244
9,0.9342334756720996,-0.9148807900723712,-0.3349054306524396,-1.7836681581095777,-1.1106925568149693,-0.9845294753518197,-0.7570188693586115
10,0.9269931899961341,-1.0067455471182511,-0.36224704218444104,-1.9640888228417892,-1.2624756631535075,-1.0817859602451467,-0.8365172454762748
11,0.9386849781234808,-1.0304813404129525,-0.3616711003451446,-1.8543506503513942,-1.1891684796831428,-1.1299163358300846,-0.8844143049148421
12,0.931538946799243,-1.0880445181445346,-0.37602216735732674,-1.9289510545717374,-1.2094089372210262,-1.1635687744834355,-0.9366465787522174
13,0.9386860437184723,-1.0632847486764463,-0.3323491755124948,-1.5947425202387011,-0.8769204733794154,-1.1733065343912887,-0.9295300839793743
14,0.934242205368966,-1.0924047390144482,-0.3141430425210547,-1.5027347852371915,-0.7412313623938017,-1.2144938270873482,-0.9751276600496579
15,0.9349458376613741,-1.2090465964627937,-0.3935045280113414,-1.9225634176555324,-1.141985605481712,-1.3283341993977231,-1.0733466718135642
16,0.9317458901869854,-1.246382416884757,-0.39974096755870253,-1.9448606358310478,-1.1295024561730203,-1.3557494709906872,-1.105316689512832
