episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9420952839558191,-0.9247826024590602,-0.7763624560577805,-0.5888093392465902,-0.48422342446816935
1,0.9372777828425563,-1.7385632218295708,-1.460384602823735,-1.123014819438226,-0.9501015382516516
2,0.9400042208085864,-2.3683902832993073,-1.9414297960240179,-1.5402888107218116,-1.367475935425578
3,0.9379287519557107,-2.8620740194716876,-2.3293764358801323,-1.8458658339569793,-1.6911611039621628
4,0.9361210649450648,-3.356648009727491,-2.7500915829830985,-2.1159875939884447,-2.0037707592884724
5,0.9339836525266989,-3.768071282371031,-3.0877371404023184,-2.349416447121284,-2.2080541053129727
6,0.9370708699026807,-4.02964058989305,-3.291543572423463,-2.574689550050914,-2.4130776446134026
7,0.9384213029006182,-4.237499077070345,-3.479230987449619,-2.664894440040344,-2.5850938388362015
8,0.9332497462535077,-4.578674976981175,-3.7437538144652427,-2.844190170256277,-2.8093566287997342
9,0.9381620125180549,-4.673387498060683,-3.8093786025773455,-3.000991421008866,-2.9569518436297706
10,0.9387609990223091,-4.782705851891848,-3.884702910159918,-2.9954147489115504,-3.0396618317160966
11,0.9374098557692307,-4.940111731043524,-4.01959336433065,-3.090054910375877,-3.2130265716243143
12,0.9299226010817918,-4.9947318407706565,-4.068660372374535,-3.031311238630451,-3.250626461518279
13,0.9329436450839328,-5.192910552842459,-4.222874779130995,-3.096467795159164,-3.355120939837
14,0.9395878394616679,-5.202336930996737,-4.270143554443072,-3.165877492857237,-3.40449372557242
15,0.9371317481680873,-5.170514722151042,-4.298866011619703,-3.2585043523932833,-3.511951058681846
16,0.9347637948013966,-5.186349659573759,-4.271784455111218,-3.2775577767733357,-3.5910863375776434
17,0.9416581371545547,-5.209476581119164,-4.291832170511561,-3.281512911621092,-3.5900053180047204
18,0.9403251211031531,-5.218417714065167,-4.305777274893427,-3.268178010440321,-3.651148832465542
19,0.9389893425937014,-5.162992537729168,-4.220427242427372,-3.091453247655555,-3.577619184928693
20,0.9352969291432668,-5.30678594220005,-4.317092931444462,-3.190326528867821,-3.621405416970375
21,0.9350278325921126,-5.396443026137339,-4.435802300301858,-3.225981533725044,-3.732175883960028
22,0.9417224909129142,-5.4527822081764405,-4.463178806672421,-3.1570657193711438,-3.758221485719587
23,0.9394545237526856,-5.4683997405439655,-4.492263035998145,-3.054985194480019,-3.7669426228824
24,0.9417206569233088,-5.47272507563068,-4.542255879276087,-2.928257098640131,-3.7013010752356363
25,0.9350128657770331,-5.547926612578668,-4.570282657581954,-2.9143971167420903,-3.7509957544459027
26,0.9364396654719236,-5.560858280226837,-4.564737161090094,-2.9189816243086897,-3.7450120052751257
27,0.9378502292409577,-5.588380636788811,-4.641628317544215,-2.868259690421857,-3.687327490620917
28,0.9345817046935128,-5.633151609583972,-4.676614639029687,-2.9547216071972664,-3.764700207784765
29,0.931113355513308,-5.749493134134423,-4.77642746247118,-2.9500666481109716,-3.8185540692619186
30,0.9345718169460806,-5.77485148494348,-4.8286601586704405,-2.945636872261988,-3.8662732055956015
31,0.9391009430874959,-5.710048144320763,-4.765342027999534,-2.9067731955776015,-3.848263043969438
32,0.9382189902843178,-5.7241546023091185,-4.794819409675144,-2.9435565163868906,-3.8979644020676534
33,0.9392304499911069,-5.784727285883687,-4.8345740657866125,-3.054088350254719,-4.027134341415624
34,0.9371316888270307,-5.939004434217406,-4.936211892436355,-3.1536614707095745,-4.138789247514907
35,0.9369272878733785,-5.946027279050868,-4.91987617767091,-3.1238057674990247,-4.122805590031599
36,0.9369793553060486,-5.845983174987383,-4.887888334133439,-3.0303286374357548,-4.0995385475504404
37,0.9353676117251322,-5.899144170251111,-4.936571474178226,-3.029802428931059,-4.120909920224766
38,0.9310230923996277,-5.984974707647502,-4.981609224714217,-3.1738312016687726,-4.213415344427959
39,0.9316324077413151,-6.021184338807141,-4.997426085320668,-3.171617308605386,-4.240358437944061
40,0.9394192854582387,-5.961938099692244,-4.972470910380924,-3.0188346554489285,-4.175658507166902
41,0.9415315886383531,-5.913331217165221,-4.943020419295968,-3.0231638011058672,-4.2056016612900695
42,0.9365844891112243,-5.8885759870646925,-4.923918402103718,-2.9388597640552834,-4.177327673450845
43,0.9380873742681279,-5.879730118561487,-4.924878956987782,-2.886662437213435,-4.185504445080376
