episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9237785453204118,-2.540415969377197,-0.021703127581132246,-0.008744975094110537,-0.005052525832976347,-0.006274330322927666,-0.0042278227882798615,-0.012426485752549654,-0.00020642783248248247,-0.0020072902135898144,-0.0029067803780548278,-0.0019999898363501417,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9321121770230972,-2.5757330220774635,-0.03989823321446406,-0.015814457583520885,-0.009282850179189577,-0.011148491165268708,-0.00769074882489713,-0.02239658725123261,-0.0003907606605901889,-0.0040644263917072754,-0.005103381450124766,-0.0038625982692234596,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9257199336605633,-2.61259557199199,-0.059133094585653724,-0.023478788507353035,-0.01368290160361388,-0.01649061731863014,-0.011323452981160446,-0.03336016968782936,-0.0005548493441996719,-0.0058958374473759,-0.008045208225968012,-0.0057040716090543675,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9309415839761718,-2.645912171022032,-0.07658376727051325,-0.030331833403616178,-0.017835632982154445,-0.021437048891702327,-0.014687046163384633,-0.04244753513349975,-0.000690158945053942,-0.007855973413044713,-0.010342022487480144,-0.007689145699830878,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9260523133500091,-2.682437731344584,-0.09551873820421702,-0.03791093801213868,-0.022193188303226558,-0.026807240694647193,-0.018352123474848693,-0.05349710723798161,-0.0009268918473450867,-0.00956680586660546,-0.012970634038579882,-0.009405073138784161,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.927745713090757,-2.7155450335498625,-0.1126506059455769,-0.04489185428358042,-0.025973225026852054,-0.031551685136809615,-0.021530174864736327,-0.06444910228935673,-0.0011037279025788366,-0.011632464556174919,-0.015610786149527696,-0.01124145275488837,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9296956099521146,-2.7470004035515743,-0.12899088853397328,-0.0513767227049416,-0.029643959923490823,-0.03621931841960891,-0.024716534715220364,-0.07399836487528519,-0.001255981804899862,-0.013255917639056806,-0.017846290560209147,-0.012936624103431608,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9311506579715463,-2.7768435456015736,-0.144733646020829,-0.057712963545622144,-0.03320208487991907,-0.04074069680633904,-0.028102130895172744,-0.08371623700554529,-0.0013831018057323884,-0.015198716086228324,-0.020135152738854224,-0.014522141378882735,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9284284454095135,-2.8070021597848025,-0.16028426719966968,-0.06407347389199904,-0.036790913302913474,-0.04554218886293146,-0.03137044617804836,-0.09307849492248021,-0.001539534361812025,-0.01697181730906381,-0.022358538422103044,-0.016033030525875604,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9324855530170676,-2.8346738071516406,-0.17446391627357327,-0.06961939736597392,-0.04007911122012706,-0.049357030611533556,-0.03419871696061898,-0.1011788214386629,-0.0016718443761138348,-0.018456050033793477,-0.02418737382856002,-0.01743849711511712,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9210429056210732,-2.86636044881012,-0.19122211629087305,-0.0764323677020513,-0.043931707869669975,-0.053826104209719915,-0.03756165254412404,-0.11162944803124765,-0.001833242298153054,-0.020309539301211623,-0.026890542243790307,-0.01910487908419145,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.925995119077674,-2.895380363699552,-0.20644268374989905,-0.08234672676055357,-0.0475385019580038,-0.05779345035353254,-0.04061222282001855,-0.1192563342065596,-0.0019745655372748806,-0.02175574974892688,-0.02858945867220236,-0.020789224011870635,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9314276077240914,-2.9212175591790706,-0.21985833266629415,-0.08766737225337873,-0.05062780687770041,-0.06137703630169537,-0.0431679817207257,-0.12706204109786945,-0.00209292127949938,-0.023070790845567943,-0.030656864731144932,-0.021890204859382544,0.007346,0.01,0.0,0.97,100,10,1,11
13,0.9289860192802706,-2.947620728301335,-0.23354663652673016,-0.09308126599897636,-0.053911593203906844,-0.06487679303800341,-0.04591718825084709,-0.13448659208470198,-0.0022429195330171676,-0.024295645310919867,-0.03239919666487649,-0.02300745378391077,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.928654834189631,-2.973388661610544,-0.2471822860155743,-0.09863890039385034,-0.057068585014862006,-0.06849631966074195,-0.04862787089217416,-0.142304269541286,-0.002375444100709485,-0.026174163365734807,-0.03403577913537069,-0.02430144402165181,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.9341221886539107,-2.9965482764921325,-0.25902236990897737,-0.10334942068342365,-0.059773625604717696,-0.0719846179189474,-0.051023913866523066,-0.1492215005052573,-0.0025000738704404253,-0.02730564707297378,-0.03568418988487663,-0.025392606114849222,0.006889,0.01,0.0,0.97,100,10,1,11
16,0.92736773131269,-3.0223794022901593,-0.272778903734826,-0.10888504255577855,-0.06297998627650972,-0.07585537232922548,-0.05374006652308775,-0.15754682792803812,-0.002656389829778036,-0.028995197691234844,-0.03788566649994469,-0.026670542948389196,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.930814739688979,-3.045600675519083,-0.2848486661598217,-0.11379521532479124,-0.06568220076245142,-0.07930283600710257,-0.05612793086502198,-0.16421934868419624,-0.0027635582800203838,-0.030447785613225174,-0.03935052707205002,-0.02804583734461723,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9334656570037029,-3.0679008970261354,-0.296065151512107,-0.11833386000484351,-0.06808085032808235,-0.08249879835725044,-0.058277055409622275,-0.17149455571161415,-0.00290123580394886,-0.03169188030828729,-0.0411388130521959,-0.029068898437332045,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.926364948628683,-3.091760348497728,-0.30838309488171295,-0.12335275945199678,-0.070917950887811,-0.08596386803483744,-0.06083659946064789,-0.17832893238136843,-0.003014492075194293,-0.03315163916430003,-0.04269658905973239,-0.030287992503247076,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.9309463769810123,-3.1140979774228374,-0.31993379305512065,-0.12794047918749163,-0.07355901111686107,-0.08913720647249578,-0.06328287875419256,-0.1850731278565231,-0.003127029791727034,-0.03460359681057455,-0.0441364677995226,-0.031471820621141997,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9310239481321815,-3.1354456053752315,-0.33091593947963865,-0.13225131099205578,-0.07616241187296113,-0.09203497001552141,-0.06546639049445507,-0.19133566884462558,-0.00323862091971682,-0.03579344877463385,-0.04544603781500917,-0.0326447691841454,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9311273116409725,-3.156620663788766,-0.34191628574590266,-0.13662093720522106,-0.07870048935149358,-0.09517491104805534,-0.06752042498574301,-0.1973073533407972,-0.003334730983843,-0.037004875692247655,-0.046871177110592056,-0.03360192886863101,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9293142096303912,-3.178129870322933,-0.35323167663270255,-0.14118051371037066,-0.08128129768695488,-0.09825117774727077,-0.06973132867332493,-0.20307597086723542,-0.0034419451815470205,-0.038077388368049185,-0.048200190297546006,-0.0345268852577151,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.929692571447594,-3.198983753021627,-0.36423869252255386,-0.14547321637721095,-0.0839152462791629,-0.1012108166214653,-0.0719674576274141,-0.20884913339188627,-0.0035302454076528217,-0.03900986459582858,-0.04962847523283738,-0.03564520213531982,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9258017222493723,-3.2205677540191777,-0.3753705224781282,-0.14992546933211376,-0.08643317956894542,-0.10435137140879021,-0.07419953219640534,-0.21549838926593232,-0.0036428717195895084,-0.0403911262005728,-0.05103102844272306,-0.03672115354826946,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9281516779201535,-3.24103094948134,-0.3858273132475714,-0.15403701862217917,-0.08882690396192451,-0.10721994394064993,-0.07626211383390787,-0.22142362670658758,-0.0037467441590831128,-0.041220670211083874,-0.05271370310074495,-0.037803632836320746,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9287379287379287,-3.2610630486320193,-0.3962386451069756,-0.15814387767683522,-0.09128092076473009,-0.11001438682635509,-0.07824530484582777,-0.22704722470977304,-0.0038307267513361222,-0.04214833044694532,-0.054106006652562905,-0.03886958672215157,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9295734373948732,-3.2802124565706916,-0.406227835043621,-0.1622107126093947,-0.09355077315366686,-0.11286719820587587,-0.08031261644765944,-0.23356367267487368,-0.003933225711006051,-0.043424790618214165,-0.05575483939211467,-0.0398455071137567,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9314653730344596,-3.2987835111527244,-0.41585738082465246,-0.16593363616446216,-0.09581633708048243,-0.11552643932908405,-0.0823065614412963,-0.2384226082620356,-0.004027834655972773,-0.044294348619065574,-0.056868435719079465,-0.04093295583002728,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9292020373514431,-3.3172856665695343,-0.4254708174856287,-0.16977309043876032,-0.09804319634593651,-0.11816616180528049,-0.08422683275099455,-0.24423169365978398,-0.0041355488810117655,-0.04532477420911927,-0.058244746587732994,-0.04192048025936409,0.005255,0.01,0.0,0.97,100,10,1,11
31,0.9334841476179221,-3.334301465856882,-0.4342310064580934,-0.17328316911294925,-0.10001561456500344,-0.12069620734623265,-0.08596589805970191,-0.24922781588830123,-0.004217913657180384,-0.04612846859021962,-0.05953250657975958,-0.04277062294442944,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9317746970561579,-3.3517369828627896,-0.44333668301395796,-0.1769688781950468,-0.10208962733692856,-0.12312768269074627,-0.08771499172626919,-0.25469379335211584,-0.0042928717189110845,-0.04708292783691912,-0.06095593918395887,-0.043908581136848854,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9303195450544987,-3.36887183543916,-0.45230971674969056,-0.18057409215248876,-0.10412178312356708,-0.12558954209083492,-0.0894702762445981,-0.25974154415529055,-0.004394384848646512,-0.0480891490792206,-0.062037832442525025,-0.04469698407254915,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.930911764214466,-3.386153851861647,-0.46140998839943503,-0.18420505692924213,-0.10618200400552122,-0.12794190105062775,-0.0911519419806458,-0.2651241014739484,-0.004477497403977941,-0.04918500407148087,-0.0631376054818843,-0.045690442652170406,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9311394975044412,-3.4028396162620975,-0.47005673949294485,-0.1876195947338036,-0.10815567931776224,-0.1303787946526975,-0.092812045131093,-0.2697099884271033,-0.004550902902649798,-0.04994002750065282,-0.06418432686398529,-0.04652890222062125,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9243058132865482,-3.4213017624690045,-0.47969194274082344,-0.191442355695719,-0.11045638187321616,-0.13304616779663472,-0.09477550883218888,-0.27496456946431497,-0.004644837839396807,-0.050782747739132626,-0.06548684461470304,-0.047405250663797215,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9276318025765662,-3.438247259806678,-0.4885723365296124,-0.19499034160055717,-0.11253548421403156,-0.13559760723616918,-0.09651934721070467,-0.27965712615203603,-0.004727071777928795,-0.051533610469521374,-0.0667620939625332,-0.04815923478550245,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9321049805342999,-3.4539702833215853,-0.49671537300760704,-0.19826880285858936,-0.11439594491378392,-0.13799110880911675,-0.09814179839754374,-0.2838428450110397,-0.004797497020780906,-0.05232576497899393,-0.0677454984642838,-0.04906685264530438,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9328101681841809,-3.4692767295561766,-0.504744266614569,-0.20148095855358647,-0.11630718181649985,-0.14033342784697594,-0.09972715223195347,-0.28818466375526164,-0.004873846982552769,-0.053014788309134225,-0.06880211198206009,-0.04996436636268765,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9296821613693561,-3.485246689208334,-0.5130107640756427,-0.20477632534802298,-0.11821566283241514,-0.14263344528716873,-0.10142828690697095,-0.2925534327141246,-0.004943447172937216,-0.05378718439220894,-0.06974243418922636,-0.050723250318144016,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.9280396605327283,-3.5014737879082496,-0.5214414312503898,-0.208261905219003,-0.12014587111794116,-0.14508609294108235,-0.10318438525465758,-0.2977330517998877,-0.005031160604121975,-0.0547399119962457,-0.07085260736495762,-0.05152645808701486,0.004476,0.01,0.0,0.97,100,10,1,11
42,0.9299193183152457,-3.5167755794010027,-0.5294810396258187,-0.2114922655203972,-0.12200051800012993,-0.1473578625051955,-0.10482334665987414,-0.3024091077566391,-0.005109942648859147,-0.05581463782458872,-0.07192563183774286,-0.05220851651401986,0.004417,0.01,0.0,0.97,100,10,1,11
43,0.9271190389031249,-3.53284011538006,-0.5380151405831012,-0.21490329555005,-0.12398751815281567,-0.1496072725601327,-0.10649166042955914,-0.3073564706291679,-0.00518925799996424,-0.05668206528904706,-0.07315727884538535,-0.05311084986514264,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9281091774804681,-3.548192880112674,-0.5460336599369897,-0.21814139502556298,-0.12582334959260152,-0.1517955708880376,-0.10803247799332612,-0.31227334692700104,-0.005271561087017852,-0.05766418496158653,-0.07423174771418953,-0.05388611580752348,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.9251699535572457,-3.564030791774397,-0.554320434415498,-0.22146335179748167,-0.12780348216395326,-0.15410829125465028,-0.10979906778774615,-0.3169035665248896,-0.0053498722349299924,-0.058547111243057955,-0.07530268784092933,-0.054722500203417665,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9324118031906863,-3.5779578452414706,-0.5616071930933657,-0.22434402243574855,-0.12946494013296814,-0.15616882070711652,-0.11130862937508353,-0.3210959516946247,-0.005421343793743923,-0.059252236075594655,-0.0762725898764926,-0.05536546423672274,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.9241269308260578,-3.593797504522353,-0.5698068755040337,-0.227603904693791,-0.13141594736320017,-0.15848436380359884,-0.11297411183308416,-0.3254681297487067,-0.005500246046297357,-0.06012895944733892,-0.0772390154033623,-0.05627101271565611,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9281204306792503,-3.608487537806999,-0.5776300378662909,-0.23078742056195017,-0.133198476040384,-0.16078926570503543,-0.11450145101584232,-0.32977184040070817,-0.005575620375939784,-0.060918924937619495,-0.07832452563892357,-0.057028609039327494,0.00409,0.01,0.0,0.97,100,10,1,11
49,0.9299451012091207,-3.622296609989123,-0.5848346140777715,-0.23367114739976647,-0.1348143582655947,-0.16275703665342942,-0.11586637666736888,-0.33418584804632295,-0.0056505430676873445,-0.06158216491222029,-0.07951141552683534,-0.05780543142585087,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.9286337404375251,-3.636384015714764,-0.592103188658059,-0.23660780725434274,-0.13649631227829898,-0.16477675395768487,-0.11736420653812087,-0.3382339359014674,-0.005717781909844521,-0.062261730900890835,-0.08045588898581599,-0.05857543766463235,0.003992,0.01,0.0,0.97,100,10,1,11
51,0.9332592704809035,-3.649202575309931,-0.5986962615689225,-0.23922366302804063,-0.13800728898616407,-0.1666462750427485,-0.11871337192451972,-0.3421072621401681,-0.005777753020414372,-0.06278593397043548,-0.08151747276055173,-0.05921293233414126,0.003945,0.01,0.0,0.97,100,10,1,11
52,0.9291215967315227,-3.662860987937009,-0.6058240567930167,-0.24204254261459868,-0.13969774763892728,-0.16864352007534558,-0.1202074105723811,-0.345601257730417,-0.005839549333612501,-0.06339781381872335,-0.08233629155471321,-0.05993129781812623,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9304445449823221,-3.676020898647596,-0.612743640855022,-0.24482176775739883,-0.14132334892016338,-0.17049060358991017,-0.12166036812673789,-0.3493825051166278,-0.00590260551164062,-0.06422265051916196,-0.08316152894313415,-0.06056038881406597,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9272769984562722,-3.689691264543111,-0.6199768321440319,-0.24777058923701578,-0.14294251198507404,-0.17251376305711866,-0.12308254050498611,-0.35370341937154365,-0.005975574166200558,-0.0649567674203858,-0.08430118088770146,-0.061295983120764556,0.003809,0.01,0.0,0.97,100,10,1,11
55,0.9279122351561846,-3.703250655540072,-0.6270212005922268,-0.250587343203855,-0.14463705742498714,-0.1744743363082037,-0.12451975499099627,-0.3572069209033516,-0.006037865102911397,-0.06550922480215889,-0.08522955101154436,-0.06207244301779137,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9334466395180561,-3.715152689194351,-0.6332527211076933,-0.25310905934008693,-0.14604993300994418,-0.1762673874787914,-0.12568587650491783,-0.3605386852728393,-0.006092589146247198,-0.06617562856476694,-0.0860724474505521,-0.06260740598682239,0.003724,0.01,0.0,0.97,100,10,1,11
