episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
57,0.9279233955492948,-3.72808822255899,-0.6400249877229127,-0.2559122943189584,-0.14760446088204507,-0.1782814729925614,-0.12705454090638052,-0.3645054074662699,-0.006155281329489395,-0.06683246409295435,-0.08701584474850228,-0.06334309322981253,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9276000605153893,-3.7410750434095297,-0.6467455644926666,-0.2585960706811682,-0.1491878838109698,-0.18015196896079363,-0.1284472613169881,-0.3680943468737081,-0.006209484697443272,-0.06748521529654507,-0.08781424225599492,-0.06401310115509397,0.003642,0.01,0.0,0.97,100,10,1,11
59,0.9327828994022895,-3.7529562145225706,-0.6529625672966318,-0.26112755430643225,-0.1505767666869116,-0.18186596340417294,-0.12965815274765638,-0.37174772052304883,-0.006277076601727126,-0.06818088869652818,-0.08865318913669204,-0.06459460946183716,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.9251750143731611,-3.766126744467122,-0.6597569242633565,-0.2639501013207484,-0.1520522793693055,-0.18383297993724346,-0.1309262322796829,-0.3760667976708787,-0.006343183369057691,-0.06906228234155563,-0.08972926622405579,-0.06528447903637198,0.003564,0.01,0.0,0.97,100,10,1,11
61,0.9299476071709546,-3.7781640997419923,-0.6660281985689542,-0.2664422020382283,-0.15353239760509915,-0.18556333330494487,-0.13218640357082415,-0.3793752515605884,-0.00639717346689975,-0.0696683704977202,-0.09049520765376112,-0.06598968696580652,0.003526,0.01,0.0,0.97,100,10,1,11
62,0.9251243152128108,-3.7910626614912055,-0.6728283190450723,-0.26924828756592956,-0.15508327950393858,-0.18746371153838493,-0.1335099105432048,-0.3832974971982093,-0.006464199267090254,-0.07025122158784061,-0.09151474943037798,-0.06671851379435732,0.003489,0.01,0.0,0.97,100,10,1,11
63,0.9276095403993032,-3.8032714734535396,-0.6792252769830593,-0.27188678958804496,-0.15652155643994223,-0.18932413535953035,-0.13474423246330025,-0.3872384973167914,-0.006539049034721188,-0.07109625423890886,-0.09246653771358629,-0.0673728913437663,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.931409452112087,-3.8146969316889767,-0.6851649087516771,-0.27428702172420777,-0.15787331240151425,-0.19106908631026934,-0.1359326586290811,-0.39084611399721275,-0.006598297156885728,-0.0717400632718306,-0.09325910548659028,-0.06793344460030606,0.003417,0.01,0.0,0.97,100,10,1,11
65,0.9212853028848583,-3.8279741433009113,-0.6922343440275672,-0.2771401354952941,-0.1595096779004054,-0.19307426157845628,-0.1372750403752122,-0.39496898021406524,-0.006653303771438467,-0.07253691984091098,-0.09432712162867435,-0.06870286224748065,0.003382,0.01,0.0,0.97,100,10,1,11
66,0.9307299711234974,-3.8392476427119613,-0.698124341197374,-0.2794779189959827,-0.16093058653694445,-0.19463686543933917,-0.13848163155989354,-0.39810642397494617,-0.0067047169218531055,-0.07310529858373202,-0.09503093757142572,-0.06934986628577523,0.003348,0.01,0.0,0.97,100,10,1,11
67,0.9257285483000539,-3.851277671514016,-0.704442186992609,-0.28207539168129314,-0.1623745423899519,-0.19639892060950523,-0.1397067391819548,-0.40185524801001266,-0.006764876417426757,-0.07381731591723643,-0.09600491427421937,-0.06996929935028498,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9243476659915979,-3.863622974667704,-0.7108339105154159,-0.28462915803821237,-0.16381144843795653,-0.19820812226799936,-0.14093339887167636,-0.4055754646139232,-0.006835228788291621,-0.07448705682324265,-0.0968867283605578,-0.07063388722267999,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.928661287887683,-3.8748994773634813,-0.7167188431140235,-0.28703423689700575,-0.16513739618912554,-0.200046289178428,-0.14212646644147728,-0.40912554583569133,-0.006891978403492441,-0.0751461513437682,-0.09774887650344811,-0.07122866092303404,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9294202922980969,-3.885883834997883,-0.722505781840074,-0.28936607849463186,-0.16650017854024785,-0.20169442106414395,-0.14327196288342786,-0.41220205332562493,-0.006942791836968587,-0.07572639471860364,-0.09849681242006726,-0.07182781967597457,0.003219,0.01,0.0,0.97,100,10,1,11
71,0.9300257430376785,-3.8967930236721315,-0.7281186733570066,-0.2916305222534031,-0.16778875781419766,-0.20329389414157395,-0.14442738526578933,-0.41532619429314993,-0.007000150781665286,-0.07633044934848138,-0.09916737623034107,-0.0724511352474585,0.003188,0.01,0.0,0.97,100,10,1,11
72,0.930583281609099,-3.907399317230593,-0.7337011415042674,-0.29389612190458103,-0.1690695665903569,-0.20483148069593227,-0.14547617084541936,-0.4184601307290294,-0.007047272653752213,-0.07681623670461403,-0.09998224165527,-0.07295121128432275,0.003157,0.01,0.0,0.97,100,10,1,11
73,0.9289482583699695,-3.918044639497302,-0.7391704896938682,-0.2961248853776361,-0.17029473471312426,-0.20639672148069715,-0.14657143709191586,-0.4216141615564444,-0.007107052761007576,-0.07742407130494781,-0.10075004779180836,-0.07349210292072691,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9310669649615637,-3.928319454945498,-0.7445969028178411,-0.29835690031496753,-0.17152256375631939,-0.20791385666268244,-0.147645388739963,-0.42461828271251517,-0.007154864933219121,-0.07784876853174288,-0.10164742700151287,-0.07399394174460935,0.003098,0.01,0.0,0.97,100,10,1,11
75,0.9193121023408097,-3.9405377689697776,-0.7511363721712924,-0.3009690679673636,-0.17308619280762516,-0.20961373258074248,-0.14894425858914564,-0.4282243107665947,-0.007217352941384213,-0.07848666006764976,-0.10246768657429675,-0.07463016311128756,0.00307,0.01,0.0,0.97,100,10,1,11
76,0.9328916614820669,-3.950220296494925,-0.7561065724928019,-0.3029180871117974,-0.174239021055222,-0.2109683415958817,-0.14990998346126222,-0.43087323040968845,-0.00726566509338516,-0.07898683099162997,-0.10303883544275792,-0.07516087278844773,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9256230074610673,-3.961204793866905,-0.7619609422644275,-0.30533382191765385,-0.17562468672332407,-0.21262586924645743,-0.15113949633131565,-0.4340752872668359,-0.007319763045952366,-0.07963131495320185,-0.10368905075218404,-0.075741212501165,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9300638226402419,-3.971325422184265,-0.7671935475027022,-0.3074206688074019,-0.17684114595826575,-0.21405150186256885,-0.1521710635401221,-0.43724989111099055,-0.007367507685669728,-0.08013519046684497,-0.10452385818992982,-0.07630612705391866,0.002987,0.01,0.0,0.97,100,10,1,11
79,0.9273175291018778,-3.981726011300416,-0.7726262212136206,-0.30961171178067315,-0.17809755771003463,-0.21565041204981947,-0.153262768333048,-0.4403438235748803,-0.007417609316224928,-0.08064451269651986,-0.10531124925503911,-0.0768924600867097,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9262438270568079,-3.992225634720098,-0.7780893780455566,-0.31178680785332114,-0.1793816047082029,-0.21716721389729374,-0.1543667725618404,-0.44326409126531785,-0.007468719920486817,-0.08121933483989247,-0.10600593775366948,-0.07734489675857881,0.002934,0.01,0.0,0.97,100,10,1,11
81,0.9300167504187604,-4.001989797944283,-0.7831002908674629,-0.3138352090459173,-0.18050617730199633,-0.21864494568652906,-0.15544809461823214,-0.44634582761276137,-0.007512026110868997,-0.08187142877101763,-0.1067277932182762,-0.07787860863090204,0.002909,0.01,0.0,0.97,100,10,1,11
82,0.9284751474304971,-4.011827185970829,-0.7882110567947271,-0.3159063329639309,-0.18172897128538842,-0.2200957401436114,-0.1565714537320157,-0.44902818598128647,-0.007552991898613449,-0.08228577577182795,-0.10733964747119645,-0.07842826484340862,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.9312396583710786,-4.021269745513886,-0.7931735743103391,-0.3179119043081574,-0.1828784667091294,-0.22147728741559297,-0.1575668221531745,-0.4514726471447076,-0.007598769202727636,-0.08278655932217241,-0.10798411383189631,-0.07890587835576342,0.002859,0.01,0.0,0.97,100,10,1,11
84,0.9284974785425641,-4.03115771452854,-0.7982785186543855,-0.3199940737477614,-0.18401666709146955,-0.22291058891738885,-0.15852374847806092,-0.4544690244490694,-0.007642463520900497,-0.08338801188903218,-0.10867167824804859,-0.07941502690235547,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9263404212025639,-4.041081715485123,-0.8034632403704101,-0.3220930297693778,-0.1852225674947297,-0.22445167415789874,-0.15960104333159436,-0.45746071098718116,-0.007693221299865633,-0.08394817386410917,-0.10936575974260912,-0.08002255020101022,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9310655055931829,-4.050185087385841,-0.8081705653747814,-0.3239932503788717,-0.18629132816962438,-0.2257802679921226,-0.16056758931564588,-0.46021995663956716,-0.007743393249647711,-0.08449796261819349,-0.1099992208932787,-0.08050861798230612,0.002787,0.01,0.0,0.97,100,10,1,11
87,0.9246006389776358,-4.06036026559173,-0.8135442480284849,-0.32621042256006116,-0.18751117736609366,-0.22729802194730575,-0.16163372531038422,-0.4633156563561785,-0.007796898987771037,-0.08508230919971825,-0.11072932143853777,-0.08103914212985162,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.9389270838560747,-4.068233418126886,-0.8174672778732478,-0.32771250368246396,-0.1884151412338243,-0.22839871591644048,-0.16246785074605338,-0.46534606999589573,-0.007839048349224099,-0.08542680609257353,-0.11117090752937728,-0.08142163972962166,0.002741,0.01,0.0,0.97,100,10,1,11
89,0.9261868558878189,-4.077825191781417,-0.8224165207025154,-0.3297279175049403,-0.18956456509545885,-0.22973474166679672,-0.16345670782258787,-0.4679930970840329,-0.00788537238471652,-0.08594574727387283,-0.11181868695603624,-0.08194726114412036,0.002718,0.01,0.0,0.97,100,10,1,11
90,0.9307990898139473,-4.086778109381587,-0.8270278665581889,-0.33159795747822873,-0.19063442037942224,-0.2311058860165265,-0.16434070699724587,-0.4702912374026611,-0.007932856923495697,-0.08640173594503918,-0.11235776626650025,-0.08238942282790129,0.002696,0.01,0.0,0.97,100,10,1,11
91,0.9351209896682979,-4.094856009798334,-0.8311398271792325,-0.3332196363581086,-0.19158538568358127,-0.23226453479617915,-0.16516502491838,-0.4724699286414902,-0.007969421455639548,-0.08690285427366887,-0.11280429278365883,-0.08276191044035068,0.002674,0.01,0.0,0.97,100,10,1,11
92,0.9295578940233508,-4.103692294944933,-0.835703302138053,-0.3350511635442758,-0.1926733971432268,-0.23360900270925272,-0.16610561150113826,-0.4748826386286119,-0.00800953300566163,-0.08729176291214484,-0.11336059460250268,-0.0832100989150899,0.002653,0.01,0.0,0.97,100,10,1,11
