episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-0.505664797166537,-0.40224052390403814
1,0.9411905832958465,-1.0281304266339397,-0.877275351047589,-0.689579006456691,-0.5763280860738391
2,0.9359001290400024,-1.334663071636597,-1.1331709256759372,-0.8897527662597686,-0.7727166774462881
3,0.9301576793452094,-1.6441510831236918,-1.3843960385537504,-1.0965649940365765,-0.9515922247009074
4,0.9320330440487907,-1.9235666597722423,-1.6072296888497606,-1.2580618162728614,-1.0989363997287591
5,0.9405784823913833,-2.120318992613581,-1.766765726425008,-1.3960618874226771,-1.2292114018053897
6,0.9368762775039077,-2.319832875402172,-1.9351424064483291,-1.5406416334664772,-1.3489360042887428
7,0.9410851787739509,-2.495414152696026,-2.071169518198347,-1.672500152032741,-1.4671448282044666
8,0.9377869194538843,-2.6632729286376438,-2.223021513060013,-1.7683910748662526,-1.5684075540767068
9,0.9321841144430478,-2.8497454268108466,-2.372104089979752,-1.880541353302437,-1.689572536883626
10,0.9357470075365746,-3.0064333420170093,-2.5042962645997067,-1.9730571340575778,-1.7827035282957595
11,0.9377909437156158,-3.0995406357923754,-2.587814594645287,-2.0340289044236,-1.8532517998255604
12,0.9316500434300776,-3.2818545659248985,-2.7411483315745446,-2.15992117121042,-1.9721852024560567
13,0.9339090800047979,-3.4107026924745005,-2.8488184647752086,-2.2377083416059325,-2.0515284133264315
14,0.9367896432261593,-3.5283173615690124,-2.9501368737144427,-2.3196837306409326,-2.127087620810527
15,0.9339396273365524,-3.6439893636407565,-3.0477125885807026,-2.3735053629606973,-2.1856614660381837
16,0.9342669505502744,-3.7752801868914476,-3.1423488529036026,-2.4680394903256406,-2.260906191924646
17,0.9349591069189899,-3.8555514421259764,-3.207730727245913,-2.507535976061907,-2.307309539377384
18,0.9396523450311578,-3.92989250894201,-3.2669652132600726,-2.5518746531563417,-2.3450925903720856
19,0.9406367723903268,-3.9795664451641843,-3.307002982397011,-2.583445129526728,-2.3827159163780367
20,0.9312395907684987,-4.085062717007591,-3.3917938720626455,-2.6384699651480483,-2.437014685491341
