episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.8917998191136569,-61.251555435491916,-28.32304542026914,-20.55209592828929,-25.35461004954741,-18.567530838603552,-97.29726423065145,-88.92256406284375,-1.6549496565934771,-14.116670643146684,-11.309441257613765,-16.977414074335925,-0.6954340363387708,-1.837777189934366
1,0.9361772288506505,-77.01457130990242,-40.45031575604833,-25.64014541040801,-35.96543941341072,-22.60750953972318,-91.65051668011698,-58.19311480829952,-0.6498515398481378,-16.13953054220231,-10.56406965186132,-14.887289334186757,0.0,-2.620433366111074
2,0.9418167485295009,-93.39910138396758,-51.56924026882218,-31.033362044299267,-45.54565279916567,-26.976413735720676,-74.27694162307489,-30.41390714136751,0.0,-16.107970440382744,-11.322254029474015,-11.258026994783354,-0.14011187829259228,-4.485731153256841
3,0.9373496910103808,-112.80493169724306,-63.28672408130338,-35.137284757730676,-55.229861508873306,-30.15716919133972,-75.80178521253553,-24.97855916667974,-0.5308690137949343,-14.906244843928226,-10.910446657918799,-12.057145690217494,-1.0403736240593457,-5.751878937913671
4,0.939278822961891,-123.0109078020737,-70.6287131699623,-36.218914015047744,-60.7709358473411,-30.638648880200222,-70.70434592538159,-17.35085474532824,-0.7974681456371454,-11.262526899226888,-9.04449793538662,-13.641848796028391,-0.7830816112659378,-6.827162813917033
5,0.9390111546578234,-132.8624695843772,-77.90515864961783,-37.052747241810685,-66.28131474723504,-31.136814346163412,-63.26412955497832,-10.579063663026734,-0.3203808656548464,-7.874062389043441,-8.353797620531635,-16.54528338553807,-0.39299677207397665,-8.56240759278249
6,0.9347092616796863,-140.06942470441558,-82.22237534409379,-35.841974708311746,-68.770004213204,-29.48244780845689,-55.24874900218479,-6.053568873186167,0.0,-1.615968638622998,-5.343548637444816,-21.572410160233343,0.0,-9.936719553234933
7,0.9413275325538536,-149.12129105845176,-87.8912970866672,-36.36542491372463,-72.99647715100501,-29.62755800591547,-54.538136234731205,-9.27756057463368,-0.8026096148089155,-0.06959078725379221,-3.662525651400771,-26.162554210247265,-0.2968167031766303,-11.70545742962178
8,0.9432551408068504,-155.0906594276945,-88.15940728470655,-34.28584021219472,-71.34270966099601,-27.393610751076114,-48.83278784503198,-14.693097398482344,-1.613174237175976,-0.12218891969308107,-1.2642065787976395,-34.506352434615955,-0.0013377037103720483,-12.706854187822938
9,0.9387979767926212,-159.8025157712698,-89.24572638011914,-31.20137291394082,-70.53260010004023,-23.76004794646838,-41.787928888696655,-8.579742387650175,-1.243714045088706,-0.06268158704141842,-0.03270242218318788,-39.65966086943517,-0.20083072655816117,-13.453781140256014
