episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,station_starvation_count,time_of_day_fraction,multi_horizon_starvation_risk
0,0.895188028316258,-13.847650281524942,-9.721982441763368,-2.074727476929404,-1.5454905770592213,-6.577961511938837,-52.87994753911629,-52.74480575220374,-27.715719174425512,-31.135165253038004,-17.24099127303324
1,0.9008724199775056,-24.82745329324994,-17.01304667378448,-4.342582931669217,-2.600427949491094,-9.47542972683833,-88.25408040665512,-87.37723281342029,-45.390209503396306,-53.98205570966288,-29.924008252537032
2,0.9094042196116039,-26.74492220439291,-17.814311570099914,-5.389721440585781,-2.131365899518506,-8.980996367479749,-86.06500411668978,-84.47836203015225,-42.820446006834345,-54.38041967087467,-31.122237087912886
3,0.9075367204430532,-28.845076333566407,-18.8795865166874,-6.539791770132315,-1.3400661127106719,-8.832465945144792,-83.82293011574201,-81.33755114393927,-40.13759691538826,-54.590800885421665,-32.49486381889331
4,0.901977358490566,-31.577531340385285,-20.208188397109993,-7.711587618411316,-0.6546788855531568,-9.245503089468702,-84.28745664761703,-80.95319829594925,-39.278999206693534,-55.7655047381372,-34.67914836759527
5,0.9114672945153792,-34.332591815658624,-21.647636141174512,-8.89564971157649,-0.004165199402042192,-9.426543970460322,-84.27928538882566,-80.34653890634314,-38.114729877750605,-57.112189260227105,-36.85949115369365
6,0.905762014283985,-36.415284469490494,-22.569582599948774,-9.975423397209743,0.0,-9.364894570087577,-82.0280358155636,-77.42254476251867,-35.74111364399557,-57.16766908679869,-38.226769683459636
7,0.9064297233971336,-39.28164522578505,-23.932657230649085,-10.915574522944008,-0.002103254902558145,-9.496357304151411,-82.69988852184798,-77.40635716133632,-35.26026547773091,-58.640228004773576,-40.55628723616714
8,0.9097234773179107,-41.3707411035709,-24.748561488379995,-11.771198161736278,-0.01654701577379654,-9.313655307375218,-81.2801804674781,-75.18934564962557,-33.735920145260735,-59.032598522494254,-42.002867045039814
9,0.9127910567599283,-44.00001189758112,-25.896048804202955,-12.584964166800068,-0.015447389266817293,-9.576345034753928,-82.35070505261149,-75.41022472042287,-33.680478525228416,-60.89183193714131,-44.133254394379755
10,0.9040990631557171,-45.98164543883239,-26.666349026085353,-13.360671335256207,-0.0034394390965936167,-9.491804627912265,-81.20401278287892,-73.51528006490453,-32.514740891907344,-61.410088027917055,-45.53360917588301
11,0.9006259546557249,-48.520706355220995,-27.82267648780561,-14.07840365120456,-0.01752993410421957,-9.78316690589725,-82.20882000658038,-73.81303855012686,-32.50871320967976,-62.6814553455081,-47.64401677067406
12,0.898953962172353,-50.6430022571325,-28.78719995432456,-14.8709822082335,-0.004844565108942792,-9.756263185812726,-81.79184061015141,-72.54646766151157,-31.756977758248006,-62.94049326884432,-49.244926713777915
13,0.9067649868641032,-52.70148872206851,-29.67250943655637,-15.57413510107065,-0.04238249106000299,-9.732123813378733,-81.67164799690735,-71.72932193687272,-31.223394078432584,-63.29010841372029,-50.87788113802382
14,0.9066852367688022,-54.89218250642774,-30.74782340214713,-16.326287548515637,-0.0008216657838501834,-9.814592480836374,-81.93254451327128,-71.32377306473136,-30.802542974363945,-63.940629219149294,-52.63776733391401
15,0.8974820683652952,-57.029670079016846,-31.742858299569278,-17.062922924048816,-0.006188074827537268,-10.18012511727391,-81.61761986251496,-70.34765495640508,-29.935861129518283,-64.87074643036568,-54.25719229977064
16,0.9109381624371631,-58.86628966144358,-32.64419846658165,-17.701721853265507,-0.031103768560204425,-10.228594914924432,-80.637373901504,-68.94548595424213,-28.787511269786886,-64.76034695741244,-55.627948837011324
17,0.9134208234481516,-60.51658047234803,-33.33664194761066,-18.368076402176868,-0.0015954765975772426,-10.293995853462958,-79.56931858842141,-67.36961015675344,-27.708510114430926,-64.81045555772795,-56.76526760292119
18,0.9032667492671723,-62.38997023457685,-34.140759910025714,-18.957851128030327,0.0,-10.351372708291386,-79.21705025182291,-66.4045874542498,-27.02339317159163,-64.6789109604565,-58.20107098792727
19,0.9111881424814726,-63.96947365711109,-34.827650864552915,-19.595879594990986,-0.000627078026891099,-10.401240132062435,-79.00010306374416,-65.6049672200217,-26.495991462191338,-64.97114597879275,-59.39278671271454
20,0.907910447761194,-65.46689360927299,-35.444602145347666,-20.17710433507366,-0.021394108963797162,-10.530044412762141,-78.09460759670336,-64.20139803764634,-25.613388364639835,-64.19947718407398,-60.434589937046006
21,0.9053544720311097,-67.28626447383135,-36.38405228198961,-20.817771196241345,-0.007919376210225907,-10.728235727582526,-79.26019843205869,-64.83814291604969,-25.8736578628586,-65.4653221873529,-61.96613768560715
22,0.9056965055050263,-69.00329530118464,-37.10529605585667,-21.397433634915497,0.0,-10.778867637627634,-79.20938527371045,-64.35612575890131,-25.420363666959712,-65.55098189772433,-63.20376928721748
23,0.9110976349302607,-70.46369462879878,-37.76920326333579,-21.894231107454665,-0.004419412521684995,-10.759150310236478,-78.67003842966437,-63.3480390216846,-24.832290423130058,-65.4073872892838,-64.25310694519304
24,0.9210438577880157,-71.88365463578953,-38.37415356599959,-22.372465232219717,-0.006016876976719236,-10.782060083701682,-78.52337889303901,-62.751972103829935,-24.531023078333074,-65.72407672670413,-65.33263630532485
25,0.9048551882101202,-73.00851515393346,-38.86000065148475,-22.899277185218065,-0.015062810978098392,-10.791375983286972,-77.08802063900127,-60.780375902035956,-23.496538199923098,-65.21314307014492,-65.99578291790276
26,0.9083024663474568,-74.45183880157603,-39.551400625379195,-23.36172789844678,0.0,-10.823020085611487,-77.38743531726556,-60.7474663069849,-23.545811008295622,-65.8267583908387,-67.16718742599483
27,0.9054678300775942,-75.76918668269172,-40.145018552404046,-23.805188193510503,-0.014258974678276285,-10.808776254380856,-77.09845771754063,-60.093130175369666,-23.102384116972267,-65.82689406182635,-68.12489064603022
28,0.8957635051484132,-77.27123090414798,-40.83790824916427,-24.290080594591664,-0.02957105230973106,-10.872963598863999,-77.3310671496584,-59.9440068164966,-22.940451234981772,-66.26057042277462,-69.29480954946958
29,0.9018698578908003,-78.37290623983547,-41.27293155985644,-24.714460209091545,-0.003529464543192956,-10.785173392271428,-76.0583257571793,-58.371581325593,-22.058761254960835,-65.79260582489792,-69.99242614243119
30,0.9042725632321008,-79.84188320163254,-41.96947760728707,-25.112395532747474,0.0,-10.918658916696785,-76.26232893403352,-58.20678353068813,-21.947461101115124,-66.5473085826936,-71.15109979065434
31,0.9063557058928253,-81.18661753490406,-42.56085128271142,-25.491477343552326,-0.0032505577979923717,-10.996643732970941,-76.33061313405372,-57.792557285577,-21.701451226313083,-66.46032505702092,-72.16608127314343
32,0.8989110707803993,-82.61870564388418,-43.26601527577578,-25.901983015958013,-0.0031107215347622604,-10.98003231229442,-76.62692475524518,-57.716791212664,-21.595672463493663,-66.82375484905992,-73.29336719918636
33,0.8960972833737683,-83.65675371449262,-43.62812101705072,-26.299190999054257,-0.006313050126164284,-10.99421703031904,-76.06885890199374,-56.774126087650146,-20.974324421577066,-66.81382331803914,-73.9626711692338
34,0.8970429138117562,-85.05576218887656,-44.27974808282869,-26.664012358992178,-0.0034662725600885106,-11.072977865984857,-77.00333150630563,-57.21987674108639,-21.221789001963145,-67.69939670039086,-75.0931216018694
35,0.9184318873441136,-86.29944362966405,-44.86333831540134,-27.030285712447494,0.0,-11.176211487721545,-77.53693196903791,-57.400161040023974,-21.2203777608784,-68.50873424327982,-76.05772083963544
36,0.9055867948485398,-87.39913266614845,-45.25275972718552,-27.44530723509213,-0.02030755291042812,-11.198443088963671,-77.70437966479307,-56.99349785364553,-21.003879287269257,-68.9890588442178,-76.87078949019629
37,0.8944073077039412,-88.65805268167475,-45.78751133282436,-27.82003269807311,-0.01845118005690526,-11.235459210188075,-78.30213215683347,-57.046062165298665,-21.08846038868759,-69.95381881736503,-77.87033122870513
38,0.9077470899787546,-89.17673896200829,-45.78436276307619,-28.120578507852784,0.0,-11.04598323854565,-76.00239851978296,-54.353249998389494,-19.70264343086423,-68.99239077204072,-77.99435093614476
39,0.9001556254005065,-90.20186629228064,-46.143271742573354,-28.427576484782495,-0.03205099778527675,-10.984476057202016,-75.60365617794417,-53.62730787548274,-19.304599037999285,-68.608859770784,-78.71057250420961
40,0.9056386302283964,-91.22261791420638,-46.59816688942753,-28.72594015731671,0.0,-10.906425306450025,-75.00556280726805,-52.7536365530607,-18.876713409708348,-68.4783950144555,-79.41674118346964
41,0.9021959661057406,-92.4510501936418,-47.162053217749545,-29.033075097027115,0.0,-10.971574527514635,-75.40955755260136,-52.78921956082476,-18.901597277732034,-68.96446971057178,-80.40386815673213
42,0.9029806436290226,-93.41697160149533,-47.42585172105476,-29.30942409469138,-0.001379637051004118,-10.939942621283178,-74.70119931357605,-51.820073365388865,-18.308856975269688,-68.35994355255306,-81.04703171563104
43,0.8997738579828132,-94.50676716467119,-47.886907854589666,-29.59321981163681,-0.03720201185288556,-10.929960887631227,-75.03108772821075,-51.90161360176206,-18.448433722963898,-68.89927440032601,-81.94511641474003
44,0.9016030788811782,-95.6868222737764,-48.407677158467344,-29.93374725033494,-0.011473692522402986,-10.993387606938766,-75.67286483824724,-52.194944238499545,-18.729197534383047,-69.73594562497199,-82.8924991988714
