Seed,Day,Hour,Station ID,Unusable Bikes
3,0,23,S0,6
3,0,23,S1,6
3,0,23,S2,6
3,0,23,S3,6
3,0,23,S4,6
3,1,23,S0,7
3,1,23,S1,7
3,1,23,S2,7
3,1,23,S3,7
3,1,23,S4,7
3,2,23,S0,8
3,2,23,S1,8
3,2,23,S2,8
3,2,23,S3,8
3,2,23,S4,8
