episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,maintenance_restoration_value,alpha,alpha_initial,epsilon
0,0.8702443266384601,-2.5059317076404293,-0.0035984998780489957,-0.0017980345790171472,-0.0006623138399890472,-0.00127560700651951,-0.0006276643178187458,-0.0015229156231810854,-1.388958247581933e-05,0.02,0.02,0.2
1,0.9218844575963414,-2.5113667117636185,-0.006491983738058779,-0.0030212347585200396,-0.0012777633838438262,-0.0021267758455513954,-0.0011677359697352353,-0.002022598331610558,-3.629407079791174e-05,0.015263,0.02,0.180371
2,0.9203357458785686,-2.5159992361313415,-0.008961584151065816,-0.004048671397714825,-0.001802769949409754,-0.002806414730477768,-0.001654586771686761,-0.00248568066682292,-5.5563688966082756e-05,0.01234,0.02,0.162669
3,0.9253843708697908,-2.519630522423701,-0.010873619402197898,-0.004848068217364025,-0.002205450507545187,-0.003367944620860292,-0.0020239928407390275,-0.00283228995084377,-7.175957735834359e-05,0.010357,0.02,0.146704
4,0.9194718706513816,-2.52307107469916,-0.012668363187284672,-0.005619492083585221,-0.00255933842091119,-0.003903968908765885,-0.0023383827490839827,-0.003296646346989926,-8.83544953643889e-05,0.008923,0.02,0.132305
5,0.9191523551270463,-2.5260589002367104,-0.014253849041509451,-0.006288793942786989,-0.0028834070044138843,-0.004363256207518395,-0.0026399960968690617,-0.0037446458813952064,-0.00010206247082037581,0.007838,0.02,0.11932
6,0.9235178098818294,-2.5285025905438294,-0.015539426567336158,-0.006816351956572299,-0.003143626825572708,-0.004728946549899424,-0.0028662787762565515,-0.004079161304390511,-0.00011363409894858963,0.006988,0.02,0.10761
7,0.9258155767202852,-2.5307013897021418,-0.016691710288940943,-0.007307837507721588,-0.003376248355629357,-0.005069891557217625,-0.0030811453775526675,-0.00433647892838209,-0.00012406083833541674,0.006304,0.02,0.097048
8,0.9290958105152507,-2.532575918535749,-0.017667030216152155,-0.007733320658756314,-0.0035608766283199067,-0.0053623396300910495,-0.0032590766253316056,-0.0045902270288730295,-0.0001326900234092457,0.005743,0.02,0.087524
9,0.9250453050540305,-2.534451902036902,-0.018643981797507397,-0.008149878973714402,-0.003747102139694894,-0.005650450837254784,-0.0034382349910406524,-0.004867746987628029,-0.00014097166081869172,0.005273,0.02,0.078934
10,0.9174378180474615,-2.5363532009100305,-0.019660826938598372,-0.008580964794058512,-0.003946701881275427,-0.005933492453245199,-0.0036293737116060397,-0.005149591974293492,-0.00015001034367669974,0.004874,0.02,0.071187
11,0.9267425799279049,-2.5379115550319336,-0.02046606591723057,-0.008928694623253878,-0.0041024382992004066,-0.006164185577288179,-0.0037732820001523558,-0.00535124894366887,-0.00015688297640999879,0.004531,0.02,0.0642
12,0.9289423109342864,-2.5393068145537003,-0.02118936315259508,-0.00922853787303705,-0.0042528838249401716,-0.006369160209261171,-0.003912962376266236,-0.005495745496526154,-0.00016347407970145628,0.004234,0.02,0.057899
13,0.9243776578757165,-2.5407240864981637,-0.021938258774523902,-0.009540414960999482,-0.0044062915161128275,-0.006572065321906135,-0.004049534508937355,-0.005660457399065093,-0.00017009403837801184,0.003973,0.02,0.052217
14,0.9241247420778045,-2.5420596057962515,-0.022647935252404446,-0.00983933671223832,-0.004550790229107277,-0.006775871916422052,-0.004183261043920651,-0.0058027513648936345,-0.00017682920311242153,0.003742,0.02,0.047092
