episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,gross_starvation_risk,gross_congestion_risk
30,0.9423266366160183,-4.313816009446706,-3.633506815152414,-2.9808132674290557,-2.7675276996569096
31,0.936646037013783,-4.358998295944795,-3.679785673052227,-2.995439429531115,-2.796270208019121
32,0.9357719742969993,-4.418662535784193,-3.734872522814855,-3.0386564428939553,-2.8510285391458896
33,0.931497005988024,-4.486564384643703,-3.803649931742845,-3.0907385175360282,-2.9021921988180064
34,0.9353762768396915,-4.541705910692307,-3.850938560709757,-3.1249856557365456,-2.948691847795438
35,0.9397576115873485,-4.5742206685535045,-3.8709919705419304,-3.152909801806914,-2.9880959229638315
36,0.9426821131800813,-4.6043749554603135,-3.8944042781751853,-3.176878369037047,-3.0012397401586797
37,0.9390410551957697,-4.635138993379712,-3.914408110989862,-3.2051010829275026,-3.0412804815674668
38,0.9382486265798085,-4.685170213518582,-3.956855307303764,-3.228594554224951,-3.0685077646977352
39,0.9394438784682687,-4.717359105292135,-3.9865651600315033,-3.2524730203638548,-3.0927590258965343
40,0.9347183639695017,-4.773240992962263,-4.027489987022042,-3.2811509847274656,-3.1346767028804314
41,0.9427323248833547,-4.792858374966045,-4.044954804322932,-3.293795883343599,-3.1630386739227974
42,0.9324490592083546,-4.847434843251916,-4.0859696748312215,-3.3139182184927285,-3.192276367369073
43,0.939521800281294,-4.868482488776806,-4.099314016485241,-3.3144703719928903,-3.2011674568610524
44,0.9351674641148325,-4.90541268207215,-4.138006438926191,-3.334168070867679,-3.2248090979064554
45,0.9369853204439671,-4.938767504236705,-4.172684353327914,-3.355824535131905,-3.247604480568687
46,0.9369548448347476,-4.980819681821834,-4.20785957701285,-3.3742957521609265,-3.265477039002597
47,0.9356786322742625,-5.012140455583633,-4.239956170587849,-3.405700123320672,-3.2990821876469085
48,0.941264653854226,-5.029277973925346,-4.261217943005784,-3.4074091504278496,-3.3122884498149134
49,0.9330134986143807,-5.084909819856164,-4.300483071955783,-3.4345832315493903,-3.3464359544190496
50,0.9383953310145611,-5.11984492868552,-4.328991909556662,-3.4575531525303007,-3.3758646546993747
51,0.9283236994219654,-5.153982322670532,-4.3610673242503655,-3.49075500990828,-3.4132564979295
52,0.9358522402000663,-5.186930295691041,-4.389280513254145,-3.5065684392522414,-3.434536414756022
53,0.9429448218329162,-5.194870857070894,-4.400821113334149,-3.4951207320845636,-3.4294758267379026
54,0.9441559216809933,-5.199570652810753,-4.411157829528427,-3.5019190057851017,-3.434939669265596
55,0.9376173027080168,-5.225047290199453,-4.435378011531692,-3.5067336355430303,-3.45156747597358
56,0.9376921685657442,-5.2553582193160455,-4.467068262297541,-3.514364684366933,-3.4760799216644367
57,0.9360210601041173,-5.2952150464700365,-4.5030184421529755,-3.538823173180773,-3.5020920305166894
58,0.9419238837278994,-5.315607288246455,-4.520676316824638,-3.5546130633897017,-3.5262768542153773
59,0.9395343276444391,-5.3343648109454,-4.539069282827375,-3.5724379636682877,-3.5497642150782047
60,0.9299139662459905,-5.385351926762815,-4.573941940091196,-3.592835127638674,-3.577282052472905
61,0.9375240008271054,-5.408483380867763,-4.596928667782406,-3.607495902591958,-3.597529199466043
62,0.9396188987737437,-5.426366508762023,-4.614957728675595,-3.632149792150601,-3.6235413884872525
63,0.9351493115574894,-5.450853578256466,-4.638898317236587,-3.6537678510449183,-3.6495404843403993
64,0.9393053234662211,-5.481599020843372,-4.668117110422399,-3.665603111065161,-3.6675614251540516
65,0.9403701165181632,-5.497643253650224,-4.677226429629131,-3.677533682213328,-3.677165814124155
66,0.9335044469647227,-5.5373838028749045,-4.704316909081237,-3.7056980053804462,-3.7078921467896055
67,0.9346930243669374,-5.562300956750883,-4.72002043657513,-3.716927485253176,-3.72482944003011
68,0.9416185144157361,-5.564780207745467,-4.724911970469655,-3.719152690191581,-3.7233037283075516
69,0.9392606680137882,-5.580316393549608,-4.7373659140742905,-3.7440924521812162,-3.7459060611369193
70,0.9384949348769899,-5.601751765820606,-4.752519938685028,-3.7478007579883896,-3.7563264933033986
71,0.9398320335932814,-5.605724858902084,-4.7624644332371435,-3.7478742957619895,-3.755576225935126
72,0.9384610764055743,-5.6307068290187,-4.7873292626875275,-3.7615100394125243,-3.765252586084464
73,0.9435937547005204,-5.638386432279077,-4.797478165611891,-3.75470706170359,-3.775769819427601
74,0.9413115140098893,-5.660801000071543,-4.813801677134984,-3.7711520869182964,-3.7945904081636694
75,0.9360663592262083,-5.693411446782771,-4.840483988450013,-3.7924859494542646,-3.812625687866889
76,0.9374326427972698,-5.716835056007115,-4.860604727692822,-3.799877683205336,-3.8279266303454924
77,0.9405712576641244,-5.7353588887162195,-4.8759811147137695,-3.8175807795794254,-3.8468407037518135
78,0.9438703760317946,-5.7365953034160695,-4.885458822325642,-3.8259146886283664,-3.8587555877006934
79,0.9422513308212214,-5.749245873876595,-4.900047518065486,-3.8158743357399887,-3.8569385213474776
80,0.9426965954505845,-5.761719572032319,-4.913864746036047,-3.820241481362385,-3.8640981642088423
81,0.9427908774642443,-5.782400450639616,-4.92992227142387,-3.8336056556761595,-3.8878317774951725
82,0.9422734004291716,-5.796444595494483,-4.943078112890128,-3.8354046602782357,-3.888994758619089
83,0.9398521403145821,-5.8205983410738344,-4.965728998461239,-3.849464000383537,-3.9079740395575358
84,0.9395614298588164,-5.829923265065251,-4.973110218833053,-3.857588624211334,-3.9247130038661187
85,0.9347839010760359,-5.85569168737205,-5.004375408347891,-3.880792132449283,-3.953557222161522
86,0.9380249918375827,-5.867457744640137,-5.016186835728517,-3.890160592848729,-3.962965264894519
87,0.9369065392654524,-5.889112282379547,-5.030450811779638,-3.910801431225591,-3.9808135070981887
88,0.9383058199783106,-5.920561342509445,-5.056001187527872,-3.9276361102978314,-3.992736199850893
89,0.9427826808031747,-5.9339943478206,-5.06487326083048,-3.9250330238226554,-4.003212317505879
90,0.9410970413490968,-5.949175300015936,-5.0787222341305345,-3.930884659974612,-4.018559264459778
91,0.9489461776613479,-5.951780230860901,-5.082730597644109,-3.9276131570573423,-4.025649484543466
92,0.9296467342409884,-5.982293610002497,-5.116449839474802,-3.947014230778776,-4.048756263942332
93,0.9375334323922734,-6.002172553133607,-5.136108669995482,-3.9682810955914087,-4.073560329163874
94,0.9448903797771655,-6.0130663052865945,-5.15281083889788,-3.972486770864471,-4.086802784576728
95,0.9428433763965429,-6.029058099859327,-5.161748704105775,-3.982443703944966,-4.092307995815141
96,0.9382009067048437,-6.04054595872105,-5.175524603422971,-3.9879513338031343,-4.10563291900375
97,0.9380645161290323,-6.054393722554886,-5.195339027024544,-3.9807852139846496,-4.117847212333225
98,0.93913984311604,-6.071357646158666,-5.213277255194043,-3.9846654725195676,-4.121387534510282
99,0.9395074784710682,-6.079531290925855,-5.223647785913449,-3.9813116265108452,-4.122649239201381
100,0.9388320038099773,-6.098262911103744,-5.235212458985718,-3.9910015191657906,-4.135564015891785
101,0.9439945010609366,-6.108035164795978,-5.249074560912794,-3.992956634565304,-4.149344884444229
102,0.9414004402403474,-6.119602009933241,-5.265949931015942,-3.9933635519245625,-4.154466029827043
103,0.9406887944611179,-6.132834401735346,-5.279229295793348,-4.0025578604842265,-4.174035598769983
104,0.9423494630143598,-6.147243703905702,-5.282356172469935,-3.9938370548904096,-4.176391149408892
105,0.9369896733909702,-6.154351929944914,-5.289114455912183,-4.004197140223669,-4.1856860084935015
106,0.9433348260934468,-6.159719814258785,-5.295887685396557,-3.9993091557500007,-4.191177712702187
107,0.9311926605504587,-6.1920583345891975,-5.319609448723922,-4.028966171484342,-4.222740686289112
108,0.9381493114278812,-6.2119897334965595,-5.339784067047616,-4.050559382025771,-4.245543892019437
109,0.9294844865870492,-6.230576192053591,-5.361090773384124,-4.0821891678977735,-4.279299188237998
110,0.9352250957854407,-6.253833254221211,-5.381467621160204,-4.080230653800146,-4.294435007189081
111,0.9393840879536588,-6.269327044320015,-5.40285271445048,-4.080188138017438,-4.303567863000195
112,0.9346046621982323,-6.28609281467899,-5.4193090213187,-4.100656955310776,-4.324148203420281
113,0.9393601302656576,-6.291852956401962,-5.427721008505263,-4.106002945162303,-4.333850102828352
114,0.9471934343736895,-6.2926043307663795,-5.428938892925437,-4.095794017451079,-4.335197890489953
115,0.9447592067988668,-6.295318334351996,-5.435713670934992,-4.098837299623034,-4.34133348897283
116,0.9362353647553288,-6.313315668487217,-5.45643238189461,-4.101633178400676,-4.356317414903784
117,0.943060283794776,-6.322087528991894,-5.470884008577518,-4.096539210374094,-4.355048066684378
118,0.9413533834586466,-6.334202761949211,-5.481219307917477,-4.102657889022113,-4.360176484263567
119,0.9351772335574047,-6.3477847081192795,-5.497497087508582,-4.117079262463985,-4.3815330452066625
120,0.9398620852940306,-6.354522441314714,-5.504877471981537,-4.124728186143883,-4.394273214795279
121,0.937606658483279,-6.364361296623395,-5.515308270395849,-4.1274850029749794,-4.4019255132024835
122,0.9423175861755894,-6.370465740224458,-5.515949707074779,-4.139942702303677,-4.41531449747628
123,0.9438228993096882,-6.374280547749332,-5.518831470499678,-4.149025685411609,-4.429598130794567
124,0.9480417833167766,-6.370254062301397,-5.520811713005742,-4.147065823340215,-4.440174152083562
125,0.9388710061993324,-6.383030554076469,-5.5426167633740535,-4.158357606953718,-4.45827565962693
126,0.9463642908567315,-6.395513745710172,-5.551200799129797,-4.164674845816253,-4.464677167106683
127,0.9397300628250218,-6.403577467277202,-5.55549903934327,-4.163937514353086,-4.472600192272576
128,0.9410755994441652,-6.419553667748669,-5.5719047795379595,-4.171109610561488,-4.481652531100482
129,0.9315726290516206,-6.443106574247649,-5.588640829337617,-4.192242142729188,-4.49472924248821
130,0.9350476074959063,-6.468763785211021,-5.614876203373632,-4.2031909280431,-4.51244321770871
131,0.9483327780974591,-6.4715072771944,-5.617193428457192,-4.202424970901803,-4.5166479389804035
132,0.9404262962519458,-6.480153581432419,-5.627223076681232,-4.206246714081545,-4.528096590312953
133,0.937695359461409,-6.492388797533108,-5.63787259078733,-4.226245962149319,-4.549554338790376
134,0.9443337559620841,-6.496151035747008,-5.638615845577353,-4.211988665242357,-4.549783705536913
135,0.9426415780383601,-6.501011347154913,-5.647555524537896,-4.206268602221822,-4.551988487163641
136,0.9428287871041472,-6.51051730550424,-5.656423702146971,-4.218194286696605,-4.563584291172422
137,0.9400403140888716,-6.5258847145133,-5.674856915206339,-4.220443971487608,-4.575371674923785
138,0.9442902817156301,-6.536193454295701,-5.681969052589479,-4.226834708924439,-4.579273763198059
139,0.9428452356145626,-6.5471792761159335,-5.696265661050126,-4.226593999138806,-4.585152295923889
140,0.9388835991430612,-6.562587255332246,-5.709991601309958,-4.236257302806212,-4.59916703602228
141,0.944181447746884,-6.566009025820116,-5.714712622645358,-4.241526048930656,-4.606938197747878
142,0.9359899026325279,-6.57856034833952,-5.729071148965941,-4.256813341227983,-4.622667743849801
143,0.948804738734927,-6.58452616241458,-5.736507472779746,-4.257767549488041,-4.632387345390223
144,0.941853924267993,-6.596275304925219,-5.741181032811716,-4.260010633011304,-4.639168313530031
145,0.9389569160997733,-6.599346860043333,-5.7471690551995485,-4.2710921981702095,-4.647800069109146
146,0.9457555689343768,-6.611464156541162,-5.7549656695915985,-4.2656472668685375,-4.6550675643119765
147,0.9381314260169871,-6.628071728135651,-5.773208961147534,-4.278426638059914,-4.666249898965879
148,0.9338953765490944,-6.647091397396495,-5.790666282992557,-4.293516699689104,-4.68136076621028
149,0.9339154356796843,-6.66379908413077,-5.804677244622882,-4.309936229525755,-4.690302371950343
150,0.9388845530407637,-6.675176240474733,-5.81358584289469,-4.3224969760354055,-4.705630470573011
151,0.9398678547614718,-6.687105109336021,-5.829244709186643,-4.328896458098567,-4.713038908114692
152,0.9362717323233829,-6.7068491741153515,-5.847779850337523,-4.332452077143586,-4.722960145235902
153,0.9391681627767804,-6.715601162225194,-5.857273618742715,-4.336823191479945,-4.73448014004678
154,0.9419890330506697,-6.721522335430531,-5.865778626393447,-4.337808817368884,-4.74310854609042
155,0.9356955775657043,-6.740318170667794,-5.883193769978312,-4.340464443349217,-4.7483054789281045
156,0.9446782922429344,-6.744940188385598,-5.891204512186867,-4.346800022919911,-4.747030401567162
157,0.9411641352865403,-6.754929958880587,-5.904588492288811,-4.36204278313706,-4.7605152512660895
158,0.9419395240651279,-6.764152555051171,-5.9147875559536045,-4.376050642590222,-4.7688334127569325
159,0.9402198194978107,-6.773112466726373,-5.926433432434195,-4.376538586149212,-4.774861980170672
160,0.9421920349480866,-6.782776018983773,-5.941164594396329,-4.379576523125131,-4.778710112307216
161,0.9425917466118471,-6.785277177511543,-5.945359029416045,-4.377212364486298,-4.7815944334871325
162,0.9385186284696453,-6.793851841477153,-5.954577102126207,-4.38617371333532,-4.795044573230949
163,0.9471818070668786,-6.795338891508496,-5.957858454412371,-4.385349481074538,-4.801202428555651
164,0.9413776551062043,-6.8067690665998075,-5.969894535000184,-4.394114155597153,-4.809336429241849
165,0.9412489728841413,-6.826379293738001,-5.991764592374274,-4.397790019847247,-4.817666615916188
166,0.9388404926404326,-6.835425185600167,-6.003157368077097,-4.399249763005314,-4.820290415203671
167,0.9475214289995804,-6.839288518427084,-6.00925153117822,-4.392350752174728,-4.818819415769539
168,0.9390803563394223,-6.851118952173789,-6.0167612943207,-4.396837207735033,-4.823923317851035
169,0.9415329768270945,-6.865985988976921,-6.029658852523792,-4.3987193454542295,-4.83129594067036
170,0.9385224676313785,-6.874613652171963,-6.034647796438486,-4.410245871777151,-4.841999528498984
171,0.940270732659003,-6.891355841676533,-6.053419850892885,-4.413149940430792,-4.846064734257684
172,0.9329552540158556,-6.9110178209721065,-6.075598067391607,-4.420441890197989,-4.857384242638865
173,0.9418285886428679,-6.925654557069724,-6.088503158903864,-4.434216669440144,-4.872669965266483
174,0.9424201529464687,-6.934768098468473,-6.099580331430124,-4.436473414375211,-4.878387600955244
175,0.9368540874097595,-6.94737309206751,-6.108661001503904,-4.446497556548978,-4.8903356299098935
176,0.9491123905481588,-6.947305101898684,-6.113199762858496,-4.444010833985726,-4.892949428334041
177,0.9414679282452317,-6.950854871896146,-6.114944278388834,-4.44296425341697,-4.902645566386021
178,0.9398238600498963,-6.960258258931392,-6.124500340267397,-4.4455247355974885,-4.907268130625333
179,0.9375642187972197,-6.974511612433999,-6.138713253492438,-4.460114295771703,-4.920396712242068
180,0.9490184234370281,-6.971682338027154,-6.1423981588845855,-4.451817779681427,-4.918331166668642
181,0.9438968464310176,-6.978970759967028,-6.149059215853375,-4.461590426544563,-4.9299424148384485
182,0.9385307799190479,-6.990499194369355,-6.161753978162961,-4.478199110042035,-4.945817727623325
183,0.9387884267631104,-7.003971305450297,-6.1760493384589195,-4.485704179851768,-4.956525868427869
184,0.9416983903360211,-7.01397280199067,-6.183953062843208,-4.491575705035159,-4.966411663920193
185,0.9400680372725928,-7.030318155306639,-6.194121234631684,-4.498597385827405,-4.976244868192528
186,0.939493816334553,-7.039054960957195,-6.20487563976454,-4.502494374872719,-4.975465052886648
187,0.9498234473754488,-7.043881583095672,-6.210202888586425,-4.496194512937125,-4.974199111797414
188,0.9413552655104596,-7.050377543743677,-6.219476360886975,-4.495792951085226,-4.972061059359108
189,0.9451338601604519,-7.060876585391581,-6.2288780951855705,-4.500327808573591,-4.977504157288279
190,0.9389494313626511,-7.0731227477806575,-6.23909704915668,-4.513920340396872,-4.98601932850879
191,0.9465616860761009,-7.079276045399833,-6.24504197159558,-4.522597919683295,-4.993173041189027
192,0.9389536621823618,-7.087769694457668,-6.259640847929741,-4.5161434585135085,-4.99429279966635
193,0.9363808846199455,-7.099050567994823,-6.2695357147652295,-4.522427025610322,-5.000266096848405
194,0.9410882926098036,-7.10460163581183,-6.27499967613684,-4.529458702310373,-5.010334933707257
195,0.9467162701389097,-7.107959019192013,-6.282984191543457,-4.529050184852911,-5.009651047691981
196,0.9480336235364756,-7.112979840566893,-6.292175139821486,-4.526616369873245,-5.012442167393876
197,0.9492406783667199,-7.11855334802337,-6.297945659096897,-4.520178922052432,-5.009752205715698
198,0.9470240229472929,-7.122189596605312,-6.304691216365187,-4.517152247081023,-5.010871628456382
199,0.9409824373718463,-7.12977136007439,-6.312314318758138,-4.531521597374795,-5.023052341933073
200,0.9423737051550776,-7.132577100401124,-6.317288164407335,-4.530575035865028,-5.023069101373492
201,0.9467971908916791,-7.135628439734929,-6.321221738387849,-4.537187294653407,-5.032590020288774
202,0.9402242340667906,-7.148306262713048,-6.332688915950792,-4.539615919974306,-5.040413050852927
203,0.945107181785152,-7.155473017552341,-6.336399065430143,-4.544346975487777,-5.0492212866129345
204,0.9367365925392395,-7.165310629440746,-6.346551389283813,-4.550678865993469,-5.058822878238383
205,0.9368905904169409,-7.182157627436383,-6.362981448721223,-4.551733687066606,-5.070560487704634
206,0.9376049916006719,-7.195910101332519,-6.37111046491596,-4.552817483753251,-5.076971793746633
207,0.9422202407489969,-7.204998743674309,-6.379687904132841,-4.553193631171367,-5.0783224238941145
208,0.9485200653713456,-7.203402715772328,-6.383166022456373,-4.55120561482272,-5.07907682560654
209,0.9350440101447113,-7.218483374059,-6.393974392626123,-4.562728111636967,-5.083890545334645
210,0.9382895573934381,-7.23064623962638,-6.403730300520729,-4.571600978090324,-5.093422297665968
211,0.9400988919337543,-7.2394831282963565,-6.413481441701348,-4.5788192480812135,-5.101120957517818
212,0.9401033014166188,-7.252062592977351,-6.42526584605254,-4.58409706739718,-5.107724454113018
213,0.938480311914045,-7.262379884478375,-6.432735870398873,-4.592972281582767,-5.118143530197258
214,0.942904093217807,-7.26829009399645,-6.440243888121821,-4.59635686045774,-5.126139014148585
215,0.9419582722183973,-7.276121483752842,-6.444019234470023,-4.605054347623244,-5.133178842579039
216,0.9415715447399331,-7.282010782500743,-6.450833214554588,-4.607740823534,-5.145499935496951
217,0.9408218687516786,-7.290453645655772,-6.4565072749743875,-4.612569990254522,-5.1528938386192475
218,0.9500673955369178,-7.2946633484892835,-6.459983119967768,-4.614611629785599,-5.157047043017939
219,0.9400920273074495,-7.304337824797789,-6.469785483290199,-4.616413133841493,-5.164242438929681
220,0.9419900115251633,-7.312523277710049,-6.479430197532697,-4.621938397775801,-5.176954799739114
221,0.9448386705482775,-7.317615581120158,-6.485588054972404,-4.621046117430581,-5.180857663486913
222,0.9379672481310075,-7.329751376129448,-6.4996278903423415,-4.625165167269372,-5.1918986643399245
223,0.9466105516308432,-7.331452376123055,-6.504595556718253,-4.630843850800066,-5.197383034790118
224,0.9397455200307029,-7.341487558190816,-6.518504545358311,-4.637019213765604,-5.203814299081976
225,0.9421409334398769,-7.349369238532504,-6.524672215525444,-4.641423067931421,-5.2095613597800305
226,0.936306484460317,-7.358031146526409,-6.533700311676632,-4.654480773834218,-5.218636860076991
227,0.9390722916854067,-7.366700634123621,-6.540024676135087,-4.659382799730479,-5.2293730871492485
228,0.9452263104538136,-7.372592913062322,-6.5473116864840435,-4.655690352712698,-5.2309833781608965
229,0.9411268962196003,-7.374560454371677,-6.546751687051474,-4.656009884116822,-5.234077576662838
230,0.939696843110342,-7.382533283516809,-6.554958995788263,-4.661932036102789,-5.241396166388971
231,0.946742362800757,-7.391819952138663,-6.562642020240066,-4.660202511373456,-5.245309261291042
232,0.9413610687707343,-7.397874632165898,-6.571861015314408,-4.668579389936988,-5.251510421147952
233,0.9399089895428382,-7.402539909227775,-6.577407772486354,-4.670090462065166,-5.261004288436992
234,0.9402086438152012,-7.409662593316465,-6.585210136591616,-4.6817477228041655,-5.2735595462125096
235,0.9528589082798324,-7.410907847285921,-6.586434758048648,-4.683871218562085,-5.275712133473767
236,0.9436349463332734,-7.420439806798377,-6.595438889552471,-4.6837302056325045,-5.280148671496813
237,0.9482483356929843,-7.4251216446835695,-6.597726484206913,-4.68977654117194,-5.285709392149583
238,0.9369025431371371,-7.4412638669783195,-6.609328708391714,-4.6977258151083126,-5.295496980208887
239,0.9391549464719465,-7.44811866645377,-6.614816364671556,-4.701833456319092,-5.301640985652809
240,0.9480928739186015,-7.4499311319938615,-6.623355909327995,-4.7022736551666044,-5.302804250440372
241,0.9407900603394466,-7.4553988707102175,-6.629958575105934,-4.703449776634461,-5.306502310037789
242,0.9474185956445318,-7.459345795048288,-6.634404494412612,-4.703294789024687,-5.309104162889916
243,0.9414558840992756,-7.466724267938407,-6.640361388841054,-4.708598986765602,-5.317568454931175
244,0.9422390317700454,-7.476967698960907,-6.650001264027639,-4.7080590654697065,-5.322070861777359
245,0.9352296809240963,-7.4864270747494395,-6.659275419629992,-4.7167746924155995,-5.325325781203922
246,0.9375258952352767,-7.496673589758009,-6.672389216481505,-4.720526084052666,-5.335476197726922
247,0.9450723125093187,-7.499378867542783,-6.678902050859745,-4.719264116529797,-5.339598404703025
248,0.9476176115802172,-7.503864111316579,-6.683447164893507,-4.716399574440353,-5.343292083070837
249,0.9402516663179603,-7.515937712164935,-6.696119817756121,-4.72410461927855,-5.354566816252482
250,0.937385180649112,-7.525332985367336,-6.708608922081325,-4.7280630277334765,-5.35867645973326
251,0.9428640381308637,-7.528547228991919,-6.709990241103327,-4.736395160579314,-5.367263516783325
252,0.9398334120982986,-7.538856844653303,-6.719848263998771,-4.739208036075547,-5.371468673535324
253,0.9466291284473103,-7.5432527880201325,-6.72645785925285,-4.741063879211029,-5.375319722898879
254,0.9418855057725668,-7.549708130870923,-6.732371690614882,-4.74484028381967,-5.378193744617468
255,0.9461040129566313,-7.556987011582924,-6.740821428392533,-4.743370345744293,-5.381496921568052
256,0.9400727836773655,-7.561567238248638,-6.748173035595377,-4.747439087551451,-5.389301905502711
257,0.9430911445003162,-7.565781129731478,-6.755150148606865,-4.750425403473369,-5.390164403878901
258,0.9431903573897622,-7.574120311775171,-6.763368387292315,-4.751430555647915,-5.392155124287603
259,0.9400992331980154,-7.5814046716635755,-6.770305146288163,-4.754168507946927,-5.393579525655665
260,0.9416496578220674,-7.587417987048162,-6.773237437892829,-4.762422667973201,-5.400036817137533
261,0.9476479962226289,-7.590111819617782,-6.780946702953835,-4.762127612923594,-5.400289229715433
262,0.9493574748610141,-7.591831097818188,-6.783649906345089,-4.767580625530117,-5.408932678735896
263,0.9412100971808527,-7.601372291202963,-6.793608804099533,-4.767106969059158,-5.41483366975736
264,0.9360278452906052,-7.619100802080672,-6.8085703201249785,-4.773615745167938,-5.423677301039557
265,0.9436185050001483,-7.6226913749044165,-6.812979028474954,-4.78221259327127,-5.4319792672641265
266,0.9463890384730449,-7.625400930679962,-6.821213529691943,-4.776137019064458,-5.4313897946261935
267,0.9420470385858766,-7.6307330043124955,-6.829578004026624,-4.775535465728961,-5.436141494889636
268,0.9376308704756207,-7.642664509065614,-6.838148190904701,-4.778042254341932,-5.446441461544219
269,0.9415751904504829,-7.649316919147738,-6.8466858338276255,-4.779369824394471,-5.452143829191742
270,0.9430503380916604,-7.6530310260618535,-6.847391453366556,-4.77652575779291,-5.456923709092688
271,0.9426428678566072,-7.661137032764573,-6.850216395717575,-4.787860700926198,-5.463462182976945
272,0.9375149844162072,-7.668135230047717,-6.859269066009643,-4.7919405405005575,-5.469502286349297
273,0.9410795590702132,-7.679065416548138,-6.872567056761808,-4.793209552258933,-5.474318246150607
274,0.9365610346166482,-7.6924961287319,-6.886572093351008,-4.804897398892518,-5.4877195873330304
275,0.9429427629607432,-7.700032876831291,-6.892255132574455,-4.806770620982558,-5.491121559581622
276,0.9368898707346927,-7.709271507833353,-6.904361226080131,-4.809916392617511,-5.491382943244167
277,0.9394417331270087,-7.71730639779753,-6.911251546196013,-4.823538746175229,-5.500539371655208
278,0.9458665796576988,-7.721491098051992,-6.91655698413369,-4.827204895038317,-5.503735323858157
279,0.9379975367238427,-7.7254027872347555,-6.923825045807733,-4.834565102918592,-5.5098253634845555
280,0.9458680909800156,-7.732927148452192,-6.930039023870398,-4.839500304782578,-5.513074924479804
281,0.9414438824662813,-7.737945802030746,-6.935100821118205,-4.843466857713332,-5.52047912608042
282,0.9389925151479149,-7.744824552383959,-6.9452776192869345,-4.850837251304164,-5.5291787598884765
283,0.9406279508970727,-7.752523638816268,-6.951316497870753,-4.858233153573254,-5.533836749093643
284,0.9411799761620977,-7.759242397574389,-6.958435139964424,-4.862539341468588,-5.537428505338158
285,0.9405555721675687,-7.76838955591383,-6.969330841954796,-4.867384649389193,-5.541961624888958
286,0.9481521510702813,-7.768973625432603,-6.9740281532909645,-4.867327078361715,-5.545447064374954
287,0.9473779439703266,-7.769507069821654,-6.978343813992544,-4.872568226654183,-5.553738373580604
288,0.9374625434495985,-7.779314091814758,-6.985788822996314,-4.873333691802706,-5.5614425078066665
289,0.9455544455544456,-7.7816183287483485,-6.9906071465843045,-4.879969535476024,-5.567891723444356
