episode,service_level,rebalancing_imbalance,squared_starvation_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
49,0.932586967614131,-3.536734252883179,-2.882321439623871,-1.901421386279562,-2.8161736764589382,0.044177,0.1,0.13133,0.2,1380,866,1422,33317,37932,37928,0,0,0,0,3796,3781,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.942078109064731,-3.3517963199333294,-2.8797312222862725,-1.8814833510842948,-2.8291142133649094,0.04368,0.1,0.130208,0.2,1356,575,1315,33338,38151,38145,0,0,0,0,3795,3793,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.937738284650716,-3.395678253191509,-2.898460127293909,-1.8782718973222223,-2.8240405781396447,0.043193,0.1,0.129095,0.2,1296,778,1213,33311,38122,38115,0,0,0,0,3799,3798,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9418713556300795,-3.3202728331096973,-2.8701767145149986,-1.895853273799719,-2.8452972412730455,0.042717,0.1,0.127991,0.2,1248,676,1309,33099,37995,37991,0,0,0,0,3699,3716,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9405487804878049,-3.3103330640420374,-2.8672961557206382,-1.951675268623215,-2.906093609363869,0.042252,0.1,0.126897,0.2,1334,655,1377,33456,38292,38282,0,0,0,0,3703,3698,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.943433261955746,-3.524113132064659,-2.943070811372058,-1.9690114791633797,-2.9205547730620403,0.041796,0.1,0.125813,0.2,1222,680,1252,33624,38540,38536,0,0,0,0,3793,3789,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9482484315432413,-3.215674517786584,-2.8675292808720636,-1.9051898636749864,-2.899752932530569,0.041351,0.1,0.124737,0.2,1144,580,1048,33313,38199,38191,0,0,0,0,3848,3842,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9406487642585551,-3.219109532040151,-2.868301257415715,-1.911982797515437,-2.9166607859286016,0.040914,0.1,0.123671,0.2,1261,737,1188,33664,38754,38749,0,0,0,0,3767,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9458674255899443,-3.1865649941282785,-2.8810962422444617,-1.8592118645282096,-2.888778662203019,0.040487,0.1,0.122614,0.2,1185,641,1253,33732,38741,38736,0,0,0,0,3777,3783,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9457863984097343,-3.0816672947963673,-2.8594036006487533,-1.8207517149355121,-2.9033851785682177,0.040069,0.1,0.121566,0.2,1151,649,1092,33202,38134,38123,0,0,0,0,3874,3861,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
