episode,service_level,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-15.901049495637418,-15.692394619882107,-0.9752141465456226,-0.6977054445509566
1,0.9415628054740958,-22.53616963359498,-21.522614853341935,-1.1996522613559208,-0.8187365912409501
2,0.9389932518694145,-29.080584501592188,-27.413111371993026,-1.4115642423659969,-0.9477158568418333
3,0.9365546091121283,-35.198197459824364,-32.734117561572376,-1.59127595342962,-1.0509009260732811
4,0.9330605173546807,-41.45999242466833,-38.17104346893337,-1.7771214812996154,-1.1552545103543348
5,0.9331538001196888,-46.99730966852146,-43.168240205835446,-1.9802971147238986,-1.2678520308665915
6,0.9439100101422996,-51.12809254274937,-46.418934225393606,-2.1144294440301166,-1.3032018123859745
7,0.9380209895052474,-55.692482891390235,-50.2612040701428,-2.261062292195671,-1.3704121939367127
8,0.9336136978071493,-60.321644192675365,-54.074042547570606,-2.4376952554076925,-1.4149069972620747
9,0.9396230980973411,-63.735717274991316,-57.01127166899594,-2.558978112917065,-1.4430339419875986
10,0.9423925527413407,-66.71552083117253,-59.407402061816356,-2.650263147262135,-1.4821262361870593
11,0.934479344793448,-70.50123153818578,-62.57193992253413,-2.760014373729955,-1.527588321943577
12,0.9367291414752116,-73.81153685629761,-65.32975491498321,-2.8996097631473936,-1.569169465966655
13,0.9371568954535804,-76.59157218268588,-67.74592600378351,-2.9995151934589437,-1.6054550562915941
14,0.9393375735029401,-79.32676023446545,-69.97789476244664,-3.108342474956975,-1.6305418482335106
15,0.9385869565217392,-81.88548945789519,-72.02801982260023,-3.1988822229060716,-1.6643121787343007
16,0.9393404721343392,-83.89768738771261,-73.79954144053097,-3.277631987121879,-1.7035807900075683
17,0.9334453579787554,-86.8318793984164,-76.16157636990543,-3.388214511506328,-1.735190606997816
18,0.9325909428359317,-89.51298283154159,-78.29773931003984,-3.5178933970822874,-1.7746100639663838
19,0.9351893563984743,-91.97304031200095,-80.40761374517994,-3.6156458830906484,-1.8052295360184307
20,0.9367209399415518,-94.14943897256273,-82.1810749653821,-3.699121039616678,-1.8595898914036437
21,0.936302638370222,-95.87878454499455,-83.54725710857426,-3.7652428510965326,-1.8683751165888012
22,0.9371588014072546,-97.93975066205988,-85.17873711214098,-3.8413445859952753,-1.8850215572446514
23,0.9415413195901001,-99.89985848476407,-86.77545698170807,-3.917447828146977,-1.9046781533792292
