episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,imbalance_asymmetry
0,0.8784344852851386,-3.0758904822281474,-2.3329627866754272,-2.54396404101545,-1.9678974260197217,-1.261658842095738
1,0.9252067492653964,-8.250434398007936,-6.1918965949564875,-6.512744807984181,-5.042729315786082,-3.7441917083996445
2,0.9281061519903498,-12.958424439698751,-9.634881721301964,-9.959340133481025,-7.675022334991388,-6.256322755984829
3,0.9240388372861995,-17.44186384277725,-12.891149573056616,-13.117023161384111,-10.110734258430604,-8.763485554801727
4,0.9286944436051606,-21.71676315409125,-15.971086775997467,-16.05624453761202,-12.376989923033499,-11.222200874627854
5,0.9246065375302663,-25.77757720235316,-18.891683061368155,-18.79441692584506,-14.510536666232436,-13.58705117695719
6,0.9059936530746662,-29.975468027950043,-21.893446054354357,-21.609535211233244,-16.681431253658566,-16.027984527657793
7,0.9122129528638387,-33.96207516678191,-24.732231892712043,-24.242243862129573,-18.726013886862052,-18.379855326110164
8,0.9191563079354466,-37.94144456346424,-27.565065294340865,-26.84671540000012,-20.75823505857234,-20.73136495474525
9,0.9112382807743821,-41.78117976128535,-30.294772423846883,-29.324129219259486,-22.700749777899695,-23.01474626200572
10,0.9104429069836202,-45.50489454147018,-32.93982741754303,-31.731396341159957,-24.591140406506167,-25.221772713806377
11,0.9083493136091072,-49.120021874213094,-35.50167349201306,-34.0575281613331,-26.420139394889116,-27.36175869892036
12,0.9145398993529834,-52.83316414548485,-38.12686858846995,-36.43850696755333,-28.289501535623025,-29.551996517304595
13,0.91204289415025,-56.144588200493125,-40.45626632842878,-38.55404665817728,-29.933071835942368,-31.524507847312698
14,0.9165854549884274,-59.5917602979032,-42.889169383758876,-40.744655015032386,-31.649824665991,-33.56658008538087
15,0.9126665256925355,-62.88835684408261,-45.215275474567164,-42.81959298102256,-33.28899859183091,-35.52479125098848
16,0.9063526180667503,-66.08482887385662,-47.467223131733085,-44.834712076265234,-34.87916317607815,-37.429470122905045
17,0.9182988755894088,-69.2097996741375,-49.669279190570464,-46.79646199620287,-36.428068875491455,-39.2792276336924
18,0.916480396302785,-72.2334390281758,-51.79278278698854,-48.69999873318788,-37.9215476814065,-41.07413006688011
19,0.8994554589488252,-75.12106047665601,-53.82903230534968,-50.51353105611774,-39.345270434799126,-42.78551969594729
20,0.9101716503912173,-77.7608840865534,-55.702947386370106,-52.16506837348381,-40.65816392414962,-44.33678059622051
21,0.9115312932122888,-80.48887395833079,-57.63637130701521,-53.870524131907146,-42.01943153415918,-45.935404192141185
22,0.9134224288204532,-83.09526079497522,-59.47658850038375,-55.5068638780216,-43.30715251882216,-47.46520857768068
23,0.9128645661250112,-85.55321266834233,-61.2184643753168,-57.026122381850634,-44.52795429618537,-48.91425000015612
24,0.9037168781840653,-88.01546322092916,-62.965885434062976,-58.55215465542641,-45.745803441347796,-50.3535317751728
25,0.9026626059162319,-90.54266069709468,-64.76823069013605,-60.10407312368192,-47.006023509276545,-51.83477086164687
26,0.9161493477282951,-92.86151190304311,-66.4161663253093,-61.53626739171309,-48.152002785230096,-53.200465790689734
27,0.9104684023810955,-95.14492107519075,-68.03888061697951,-62.9485664107147,-49.28585957541604,-54.526883988228654
28,0.9143818997937644,-97.40996124375044,-69.65200093396952,-64.33725049050324,-50.41041872402683,-55.851479180070974
29,0.9161379145217288,-99.44368911958239,-71.1057017622331,-65.57469873825563,-51.427028457335,-57.047910391070495
30,0.9097651792685124,-101.6435354974437,-72.67793412600436,-66.90638607429017,-52.517919240169626,-58.34057460758298
31,0.9048597678916828,-103.65896660200042,-74.11339643486285,-68.14145927177518,-53.516638156061106,-59.51515248622941
32,0.921455071939191,-105.58372686441184,-75.48077664561725,-69.32813139830867,-54.46884790973653,-60.64216679914493
33,0.9038363934915659,-107.48523170144364,-76.83940864076214,-70.48780540559109,-55.41501347658356,-61.74421788949887
34,0.9166793556049578,-109.3249985375192,-78.15028557516627,-71.61456871169177,-56.32237893850927,-62.82478081864333
35,0.909669930652698,-111.21727496878763,-79.50113345164532,-72.77300039022316,-57.25602712331695,-63.92491894483017
36,0.909892649697412,-112.95823394500306,-80.7451016198982,-73.82878959245308,-58.11390228216727,-64.93993131167602
37,0.908906637623283,-114.59700890478223,-81.91729980181789,-74.82558652498888,-58.92807444893332,-65.9002703203916
38,0.9187093242503497,-116.34768014676546,-83.16887734826514,-75.89886343899714,-59.79266770164453,-66.90900261980536
39,0.9044397463002114,-117.95183405227212,-84.31851922961364,-76.87001177278579,-60.5831167884864,-67.84308876668129
40,0.9055014240743516,-119.59692941916474,-85.49679085807419,-77.86015251873492,-61.395011134930584,-68.7956121723914
41,0.9127961797000943,-121.12861576726745,-86.59452576081468,-78.78171468019609,-62.15054394007772,-69.68597924802461
42,0.899154078549849,-122.63278865387349,-87.67313590927965,-79.69116189619005,-62.89306109242046,-70.56205905701903
43,0.9090717490139403,-124.0289555787147,-88.67665545731263,-80.52793069143381,-63.58664780613133,-71.3686670891193
44,0.9113524664765488,-125.48901894091516,-89.72646585652738,-81.40365042309672,-64.31124862435456,-72.21370768822803
45,0.9045371498172959,-126.96002034175979,-90.78419151162463,-82.28228707702308,-65.04481180205106,-73.06799717245836
46,0.9112601184003866,-128.35598089868515,-91.78915838291019,-83.11311003628367,-65.73329679261518,-73.87672872192121
47,0.9131771377406357,-129.6303446740245,-92.69981900864494,-83.8764008410757,-66.35908924835628,-74.61531665266743
48,0.9117205913863295,-130.93598878561065,-93.63843168108704,-84.65775541883633,-67.0013152173319,-75.36685053034064
49,0.9077777777777778,-132.14115645507388,-94.50458567846461,-85.38492856772471,-67.59616988286146,-76.058672865062
50,0.9147490948262964,-133.37947570800182,-95.39539447791351,-86.1232611890422,-68.20581143880824,-76.76842851965533
51,0.905828530687422,-134.48997093760477,-96.19311474274106,-86.78463327760387,-68.7509779563542,-77.40609700350112
52,0.9151456545388613,-135.56043976469323,-96.96245042657472,-87.42302068166072,-69.27480927440718,-78.0218934177344
53,0.9126070623591285,-136.65107912352926,-97.74283058929947,-88.07039056235092,-69.80449454902995,-78.66041242315467
54,0.9030701364834058,-137.7730666949715,-98.54591032099364,-88.73360203909968,-70.35421780152735,-79.30702808576139
55,0.908282864804604,-138.7840826819076,-99.27180877536686,-89.33044482845222,-70.84900217020378,-79.88739853677171
56,0.9079681036033336,-139.82091242246526,-100.0145991958563,-89.94947881161161,-71.35735528919368,-80.48436194679518
57,0.910953789168683,-140.7616241611055,-100.68751222512128,-90.50658593295928,-71.81396417486339,-81.02572155911344
58,0.9159183673469388,-141.7230129157098,-101.37963775134467,-91.0792516903025,-72.28663644375911,-81.57057178289199
59,0.9087611855991914,-142.70681521428247,-102.08965952370234,-91.664202303993,-72.77547028763499,-82.12739634114479
60,0.9191064115885337,-143.6606102760975,-102.77609143465416,-92.22937994765178,-73.24308070527887,-82.66671616583331
61,0.9175824175824175,-144.5779326703454,-103.43063637815452,-92.78175028645192,-73.68832869955153,-83.19396172374095
62,0.8994394889103182,-145.4306365247657,-104.03888108740439,-93.29101931592477,-74.1017901614138,-83.68455800496238
63,0.9095106740225474,-146.29391445548808,-104.65672639331429,-93.80512024509972,-74.51982003063314,-84.17865333139572
64,0.9118958551548706,-147.11776114567704,-105.24504244442342,-94.29783657766484,-74.91790451041156,-84.645741172283
65,0.9144986932763126,-147.91344848735338,-105.81595793863085,-94.77213549757859,-75.3057459088381,-85.09982420661072
66,0.9107354235590494,-148.68492351469158,-106.36742560199464,-95.23453558629446,-75.68175016520391,-85.53891484632155
67,0.9048959425063632,-149.43970959619358,-106.90684464092915,-95.68579441818547,-76.04745804549907,-85.9692500962128
68,0.9095927601809954,-150.20396847873135,-107.45529308252259,-96.13813480199138,-76.41898644167796,-86.4074534701176
69,0.9136249735833106,-150.97009026011324,-108.00526475520388,-96.59641470812497,-76.79343404086751,-86.84448524360825
70,0.905907365223994,-151.6946645438509,-108.5238845578021,-97.02861093304202,-77.14604121703631,-87.2568254244018
71,0.9143495456329439,-152.37625031386483,-109.01244304291706,-97.43493488946544,-77.4778884332039,-87.64647507191
72,0.9122853917899364,-153.0861920716321,-109.52303069628869,-97.85291544907642,-77.82237673282958,-88.05077395696061
73,0.9078711714172966,-153.74646854565052,-109.99488757516541,-98.24330840363812,-78.14027664399147,-88.42701053465554
74,0.9163211345472027,-154.39935467291195,-110.46386786720997,-98.63091418652193,-78.45845446577945,-88.79859370515342
75,0.9092275323113916,-155.02149702472786,-110.90989686923332,-98.99913322232602,-78.76089909593506,-89.15406892954256
76,0.9147904608951244,-155.6512213967031,-111.36358583013005,-99.37093096133297,-79.06755808119665,-89.5130674372382
77,0.9067990605583137,-156.25149773275646,-111.79447851587095,-99.72467365270357,-79.36030585711765,-89.85595625499217
78,0.9120768219211597,-156.8238463079265,-112.20503442232449,-100.06583480588702,-79.63921410303443,-90.17880095612857
79,0.9132206640297256,-157.3911789884875,-112.61229322395641,-100.40038055516096,-79.9146097027289,-90.49991591139297
80,0.9133485934582254,-157.94041790563494,-113.01027023772265,-100.72279164890813,-80.18643219798636,-90.80733225332371
81,0.9168555154039322,-158.48621197364915,-113.40193616575466,-101.04567797914066,-80.44949637184047,-91.11589545660942
82,0.9090141694302081,-159.0107670639204,-113.77972559563378,-101.35466030789641,-80.70481298689415,-91.41020327865775
83,0.9108525954499893,-159.531506276828,-114.15429016930987,-101.66230108853799,-80.95650442939653,-91.70287189960038
84,0.9124339513148652,-160.02174041569387,-114.50711604593981,-101.95117666526197,-81.19523175818877,-91.98030085607215
85,0.9130303030303031,-160.50491196285907,-114.85394057522656,-102.23602268045734,-81.42928102726273,-92.25329434617396
86,0.9088610642908741,-160.95964104334143,-115.18006820706668,-102.50286514475384,-81.64845068559819,-92.5139957278569
87,0.9110789370494374,-161.40937231612318,-115.50326605682976,-102.76964354261278,-81.86640671719162,-92.77086769866295
88,0.9037102743706604,-161.84038131737893,-115.8129674085466,-103.02156646306142,-82.07459078512937,-93.01656198620063
89,0.9099584936528615,-162.31249132422235,-116.15238976579474,-103.29788579397506,-82.30247404120037,-93.28596751549628
90,0.9105915543683785,-162.74392068163806,-116.46146987343386,-103.55093926756379,-82.51079553869268,-93.53376061193599
91,0.9149285497111584,-163.17881889651056,-116.77489820153227,-103.80513008095718,-82.72284958151968,-93.7824137072017
92,0.9111741730745758,-163.58493027183357,-117.0671834599811,-104.0447782891693,-82.91936406078052,-94.01284420464945
93,0.9067122417495992,-163.99252793094814,-117.35727394620689,-104.28416968034452,-83.11163645088104,-94.24595493503584
94,0.9201827142685419,-164.37901544642122,-117.63334352382316,-104.50912455301449,-83.29643998015587,-94.46595646985338
95,0.9055577382211611,-164.73362546236834,-117.885801322482,-104.71560790044634,-83.4642200021486,-94.67019402039769
96,0.9206025562994522,-165.11011078502332,-118.15621149940019,-104.93429841187897,-83.6467402320479,-94.88503208645238
97,0.9129900491547775,-165.47718895461784,-118.41973645397304,-105.14724225909333,-83.82411172712446,-95.09709610522934
98,0.9045983245947086,-165.80901200860345,-118.65702324074299,-105.34172047629889,-83.98304717107004,-95.28582892103422
99,0.9086675679735616,-166.1508758949947,-118.901743170544,-105.54206980036557,-84.1477421334456,-95.48211839274319
