episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.6710438448702917,-0.5575903371558525,-0.5056647968551261,-0.4022405242736568
1,0.9370954752885734,-0.9588252479075592,-0.8004759084912374,-0.7090358357507157,-0.5828601119953398
2,0.9325321526460046,-1.2653411373843122,-1.0524518120722264,-0.9374976181243226,-0.7733822943800683
3,0.9341432984790874,-1.5285000600031713,-1.265148428963045,-1.1392512604202834,-0.9493119007778706
4,0.9378182146838189,-1.7305799340297556,-1.4391708307869644,-1.266942039818148,-1.087447625145058
5,0.9415237981057427,-1.9203085873235164,-1.58654668101888,-1.4116700759026808,-1.1958670239156763
6,0.9373008716561466,-2.111777155292777,-1.749438160253826,-1.5633699020353504,-1.3355919900225135
7,0.9318951684792298,-2.3301795527560833,-1.9403785431399192,-1.7168107637230325,-1.4975338864597294
8,0.9365041332215167,-2.482455900781513,-2.075276305326043,-1.8127404987300777,-1.6092202529806037
9,0.9409749353849852,-2.6306563610126203,-2.1980445840441303,-1.8894813408479463,-1.6975354645051193
10,0.9337710789434412,-2.806457279409348,-2.3355458477152875,-1.9982930800170517,-1.7933797001586387
11,0.9430307405402154,-2.8832574527178654,-2.4040625369934543,-2.0340079688137003,-1.827171257366771
12,0.9379468620354842,-3.0392872476269783,-2.5229533645016153,-2.1403219994244433,-1.9366063919346224
13,0.9375,-3.159574764343369,-2.61532745333398,-2.2426828895172988,-2.0266997503561535
14,0.946375311948384,-3.2344498213662374,-2.6782526504088207,-2.2815110134258556,-2.072051485003696
15,0.935417597141581,-3.3429354200319406,-2.7706343777902935,-2.3524283328505233,-2.133006589576459
16,0.9422029665733971,-3.443334771829438,-2.8543881279098535,-2.423746997314926,-2.194051011012823
17,0.933970720047804,-3.553106436947283,-2.9481727754687626,-2.493625886919447,-2.256358384444024
18,0.9367483296213809,-3.6526176306509104,-3.020397958406929,-2.535500819188461,-2.322698525126013
19,0.9414208050821575,-3.7137396753814143,-3.0760968482705406,-2.5886152137332696,-2.377126970127306
20,0.9404939895939238,-3.799101116151013,-3.144917089254382,-2.6588470205343206,-2.4461907635490117
21,0.9331281560940629,-3.901613683890236,-3.2365852395899464,-2.72098561054911,-2.517658959335292
22,0.9376711320476961,-3.980332684907564,-3.3144504905436047,-2.7808931375649046,-2.572795611685065
23,0.9431960049937578,-4.030139458829653,-3.3537489316281732,-2.7972472884565556,-2.60594575505379
24,0.9305618044932361,-4.116124509372439,-3.412668770891685,-2.8580365523858133,-2.667938530208135
25,0.9367173252279635,-4.162609761197968,-3.4493099795695685,-2.8873751322716896,-2.716166293781816
26,0.9368587449296111,-4.222047915577952,-3.489997170633381,-2.9131220043112322,-2.7423737530366723
27,0.9352410982538597,-4.291066034389942,-3.5554810509133628,-2.9266905674340458,-2.7678556658569495
28,0.932250217724256,-4.363124096785316,-3.600222242980858,-2.97800083505486,-2.8123185847054897
29,0.9362573446495341,-4.433943812704678,-3.655870623272215,-3.014422798447867,-2.850749133242012
30,0.9419614488455835,-4.441340866778249,-3.6656972011328715,-3.0223776306489367,-2.875578842334733
31,0.9454341973926983,-4.452834228532109,-3.669913674227444,-3.0495798609162748,-2.898973347854027
32,0.9434600419036216,-4.515480470456538,-3.7143002894562054,-3.0796153361071217,-2.9387826664496353
33,0.935155412647374,-4.564652471432127,-3.7646260765793333,-3.1303478087180236,-2.985412361063485
34,0.9334171983107198,-4.612064783860043,-3.810401226416216,-3.1613407628570505,-3.01521672553576
35,0.9339835181122903,-4.666130500001121,-3.848166738448926,-3.20063636039044,-3.0609076475927894
36,0.9377321193243081,-4.706618109291633,-3.88068299243725,-3.205934084020423,-3.076927804778087
37,0.9371733966745843,-4.742529019039362,-3.911893762539683,-3.235265506454038,-3.1071959205153084
38,0.9411024942360092,-4.769381815362451,-3.93579492171506,-3.252960088344509,-3.1381608404398897
39,0.9409332367499699,-4.7842784933400635,-3.950784089946689,-3.255792620815399,-3.144041311972122
40,0.9355354449472096,-4.822080558709335,-3.9893907130746777,-3.2898560660328586,-3.1766127659926986
41,0.933404972985881,-4.865914934993108,-4.013018597690298,-3.331813492316495,-3.217986961658007
42,0.9408019793018133,-4.882798883345802,-4.013586850350963,-3.3281800536619124,-3.2294731582091254
43,0.9349767138322802,-4.9207354617917485,-4.031256946615011,-3.3517844902380927,-3.2449009431217863
