episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,imbalance_weighted_distance,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9214546561168594,-44.60445170367975,-30.713018675750032,-16.18021779386878,-23.262566211713917,-5.905175872602166,-5.506960638063015,-4.280956741955788,-64.10167204888668,-55.48307248605726
1,0.9231373734320689,-52.97694673187039,-39.016756888133706,-14.76333644648405,-21.711662119927013,-6.07342262995993,-7.937392610973921,0.0,-56.08800490623679,-65.12463834683804
2,0.9195298099295923,-61.762758451151676,-47.544475736267856,-16.51673298334509,-20.603441980454203,-7.630645690357343,-7.812542893430462,-0.01594827196538265,-54.10888406856631,-74.01210560770917
3,0.9193320719584347,-58.01560364823152,-48.82494910132408,-16.202362361842376,-17.731493787394573,-10.211893585595094,-11.124197052930066,-0.25330305095254724,-49.81958329645699,-72.80401700961447
4,0.9077162154085231,-67.49624227542373,-52.258151323364636,-9.19631065226036,-18.34947474678545,-9.110700503081475,-13.939325414957738,0.0,-52.45308772802199,-77.99505044824332
5,0.9174516079865874,-63.835258613668955,-51.39771826968716,-6.039156244855786,-12.957484151840124,-12.12104903137645,-12.102480176780091,-2.562185792352322,-79.06921070775954,-79.62995952704466
6,0.9101204819277109,-67.30098919420587,-55.80264169439399,-6.515413118835646,-11.078178928905048,-11.911666248179499,-13.928301950940078,0.0,-51.04688387508912,-82.44847547871503
7,0.918622848200313,-60.05052658352131,-52.350139461112065,-3.6130057193863596,-2.4473409611270958,-11.289291436348337,-11.929194606501165,-0.0506058427365286,-35.21200606193952,-75.06207707309912
8,0.9207068418667875,-62.74275553330128,-58.821623825119644,-3.467164349010719,-1.6628187278618798,-11.828700473633383,-13.249219638479303,-0.6524891495603196,-52.04784951629268,-81.29848507860424
9,0.9046605013385252,-79.18787104522893,-68.47363104752344,-8.70028356083049,-11.285207846986543,-16.518531259271363,-18.256134034857745,-1.3880219279699504,-61.15192765171555,-100.38654074614914
10,0.9158295601067499,-74.41959371320938,-66.9535332046336,-5.398396894812375,-3.468484242519767,-17.004555855031512,-16.04206224737247,-0.33114159621472683,-39.843605110837785,-91.73088622547651
11,0.9192466697289848,-72.45229828494287,-67.64378521051226,-7.0145416338017,-3.9635035992305836,-17.912405632052796,-19.626190802967006,0.0,-46.80636512336725,-92.45887326928751
12,0.9105601194921583,-73.90347336855342,-73.40537003552586,-7.177202878476643,-6.534342069688734,-19.231547296418025,-23.126302628699733,0.0,-51.455584038627364,-99.21219282594126
13,0.9113581641449422,-70.33058420343482,-74.28524350318895,-0.28111918306899686,-3.8726421592707254,-18.382143030518662,-24.44179502474647,-0.05786690850356416,-42.0081695403557,-96.79962246784076
14,0.9153523717620096,-69.93200356918516,-75.90599858026299,-2.486273096649078,-0.5679412546075387,-19.1853389161391,-24.53360414951713,-1.5904524841397187,-41.85389730845304,-97.2989155011226
15,0.9144482090997096,-71.02358119584454,-78.49299010844469,-1.4424429086847006,-0.034845896351372335,-16.964573143396223,-23.236674874266793,-0.18777329748308413,-62.56523818488573,-101.8197176089178
16,0.9066313954187458,-68.21239357611745,-77.8699988625615,0.0,0.0,-17.778550276277596,-22.345369250825424,0.0,-51.006495542204675,-99.10970528296647
17,0.9159628378378378,-67.55337888250956,-80.24851399953802,-3.83855887994402,-0.16708379304136062,-18.60500805262582,-22.006413130884738,-0.13700250646507298,-53.37408408578306,-101.4254580622475
18,0.9148929764879429,-70.2031426616308,-81.95721298953087,-0.5467982685740309,-1.9757300016819774,-19.846039601963803,-22.461734573368165,-0.0012212818098445628,-55.502928747650024,-103.95714370523086
19,0.9187818781878188,-69.2311100691732,-80.53965599117014,-0.35276801441148287,-2.447352130493513,-20.557857270739927,-23.718109456079787,0.0,-45.13731005619109,-101.77994239582101
20,0.916323116448587,-78.94249160941209,-85.68762997964329,-7.2728134836251535,-2.5413446789450496,-21.773452917754124,-23.57180058104286,-1.9326315969333947,-70.02369740025395,-113.27877094624085
21,0.9113158132394111,-82.26004582807064,-91.75578474801621,-8.200055607887316,-4.001573345949757,-21.564510969305132,-27.267172183210164,-0.10115142429878643,-62.7998991854438,-117.28262017293632
22,0.9126600881797187,-81.24423184341896,-92.56003168554433,-5.026187253029109,-8.257155900638198,-21.218109239744212,-27.618217875439985,0.0,-67.48550283722307,-114.71005423905588
23,0.9178082191780822,-71.68041223017568,-88.57360227697983,-1.656477084130639,-5.635119341935127,-18.84009936281068,-25.781773845781643,0.0,-38.77478556398057,-100.26957467612712
24,0.9204128092275004,-63.11689677707821,-86.82565027610357,-0.00012139940403997877,-0.001523872399060394,-18.843290981019,-25.68182850943129,-0.0006395226902233682,-28.64989909265898,-91.15649390228252
25,0.917435075732382,-63.17438972547475,-86.05368860067186,-1.2447624730500233,-5.35223837963273,-19.176914338269203,-24.156803117474343,-0.09291536359857223,-49.88213723989111,-90.39533383352385
26,0.917004048582996,-67.83320816509942,-92.96023610308535,-4.3499080914977215,-6.587452596591992,-19.541631211669433,-24.649616426250365,-0.0032843529817294845,-53.09544180284896,-96.82901319558091
27,0.9072196064227936,-71.72097187276438,-96.12739500350553,-5.927226099882068,-6.6356315210926855,-19.225014407262613,-25.83550175694461,-0.331012509545605,-52.42486971586526,-100.37526040647953
28,0.922277926210561,-68.50723973486636,-92.57939790224647,-2.33793023619061,-2.6532618555214236,-20.44932811388338,-23.911769015477702,-1.5064801768645921,-59.012434720517305,-98.13176509822186
29,0.9165450918510137,-70.71519785702709,-93.78664809098504,-2.8633551728687374,-1.8815574187006847,-21.824431487674286,-24.7360825571701,0.0,-56.35763975484651,-103.39485542709447
30,0.9178174058832496,-72.92964359701804,-94.69115882355302,-3.9954790590027796,-0.23943814937291472,-22.709877410968105,-25.14341227237235,-0.163678452812013,-47.39448720592905,-104.01844181680806
31,0.9254703547732299,-72.93064979958545,-97.47177268397738,-5.100402722539822,-2.145297308238322,-22.12082862983248,-23.55742512014546,-1.2977048762859866,-51.18479229889093,-103.25088104879879
32,0.9195123412413132,-77.66497612034028,-99.45170289673668,-2.8910158803317665,-6.272710392323534,-22.55882757587961,-26.533897512251077,0.0,-61.72855414037207,-109.30486120500257
33,0.920101933743067,-79.39869494515656,-100.31134679615037,-4.501507507154287,-4.246218118238,-24.631483441532133,-25.7771960194411,-1.9411143647338964,-62.25289976429427,-109.95215774669933
34,0.9122690295460731,-83.80807099476591,-105.71771380237998,-3.3017738673794508,-6.060372615487357,-24.549522655575988,-25.291500205313795,-5.432211405139771,-75.02313699063683,-116.6672167464099
35,0.9180539695895186,-78.98448325174004,-104.35479563218783,-2.0788319352505322,0.0,-25.836922055372938,-23.5037239786088,0.0,-41.91252065103476,-107.81906939484614
36,0.9124299837776622,-80.42609817439966,-106.00936181925249,-4.153059283042844,0.0,-26.151235458779286,-23.211411981699182,0.0,-42.78820172863305,-107.46453078069756
37,0.9202096857761117,-80.51863997896281,-105.96047933615624,0.0,-0.7468257555462965,-26.72594702017516,-23.352274621325787,0.0,-46.67174182825737,-104.54298282372125
