episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,imbalance_weighted_distance,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9155294472059045,-45.212415853822385,-32.53772321298537,-17.590330225750435,-21.004875246277155,-2.9469682420804935,-5.823794187573499,-4.589296703884593,-70.55363903269217,-57.00699579642021
1,0.9130461018585566,-53.379050118573794,-36.07215881126533,-17.540857876995414,-21.61482867876727,-5.49733651730844,-10.186511837010569,0.0,-58.47987109133934,-65.22783926517094
2,0.9143191081275474,-59.22190536806564,-40.68648939966104,-18.944149942817223,-20.184887469663746,-8.39619977381453,-11.090216016732485,-0.4346949993026898,-77.58965780225806,-74.26929663349664
3,0.9114924157896324,-62.93113657541733,-46.82162222364714,-15.50286125905707,-17.328448083107368,-6.733073885120909,-11.002470958085453,0.0,-70.88756144470314,-79.69862947729978
4,0.9179683931670777,-58.88517439295413,-46.51433227845419,-10.25392563032015,-8.041021496100411,-9.337412258729278,-10.190551905134207,-0.1499530566691266,-49.05529039954731,-73.98726650673235
5,0.9168498720072278,-61.10684122820302,-52.18906224589668,-7.882970853896068,-8.528055255854316,-10.021111592935274,-11.088374193168084,0.0,-56.443306576932876,-77.18893168602429
6,0.9016917742706839,-79.71649299495753,-66.08011314557997,-11.716594020125614,-16.059486177593158,-10.641246696235424,-14.823014795956247,0.0,-88.84343964799903,-103.0725911737867
7,0.9215090936419661,-66.62256417578233,-56.490694690953255,-6.393616145661032,-3.266752690934835,-11.904764471376499,-14.28499630755664,-0.10149495978611942,-38.667478118421386,-84.36047134507264
8,0.92312398666218,-70.88497445800085,-62.58566606516693,-5.237842182088764,-8.595313336969312,-13.38453987792989,-15.014679160435994,0.0,-50.107446569515986,-89.66414881080588
9,0.920282078798099,-64.98328613356621,-63.22505342812155,-2.158769488843344,-7.2462429484110835,-15.028431041107993,-12.973448538799346,-0.033457315894305645,-41.439797452835826,-85.43956884463363
10,0.9088003859024993,-71.502932854736,-71.35575922743809,-8.206880261161945,-7.165853952601034,-16.683547008375385,-14.397523685389446,-1.27379875896082,-71.60488256022887,-95.7431906971351
11,0.9188647046495614,-65.19118090506788,-66.12840428282168,-1.4400703773009307,-4.990604283199248,-15.334020396841158,-14.12954034343626,0.0,-52.33377259156543,-85.6310037214579
12,0.9178398823282202,-65.61748243607917,-66.8908764022139,-4.16631304961266,-4.005632414900015,-16.277999873689772,-15.168061635879678,0.0,-49.10488357009938,-87.00196469825977
13,0.9185646106445962,-63.049940074429806,-68.83795819883562,-1.4197845447560724,-0.42969834036390553,-16.744222939276465,-15.551770410586403,-0.17798713992589846,-30.285531922836203,-83.58910758859594
14,0.9092034169458783,-68.8725858886836,-79.69046801174278,-4.0112508345226825,-13.069196275805277,-17.498950939446036,-17.67475186167523,-1.529170870960728,-57.67172349387623,-94.9523282796535
15,0.9234282234738925,-66.29891112146848,-80.12308439134941,-6.7579672665902555,-5.698338530599331,-17.581032684521833,-14.254900134893404,0.0,-54.08780664308955,-93.24309732386737
16,0.9104347564822882,-67.88488752393039,-80.37867207528406,-5.995006853506193,-3.1429292068880836,-19.704023459008535,-19.08285224128981,0.0,-50.46868863481849,-94.90938251870152
17,0.915767331260289,-66.18141802066741,-75.40047836371153,0.0,-2.805576825614168,-22.831360611928982,-21.269993286960162,0.0,-45.272660497294424,-90.87638869793237
18,0.9103366553232863,-71.3539516950907,-81.32893345911457,-1.727038278113751,-5.464236531738005,-22.48553750363122,-22.283739969152045,0.0,-47.29875357382631,-96.74211277842403
19,0.9251940083017506,-62.97083314764708,-79.45202861553261,-0.2719611174657387,0.0,-22.41800487063174,-21.636655395177993,0.0,-29.34995748237844,-88.4623314169019
20,0.9295539428536727,-61.7272995089994,-77.64132125944428,-2.6206013838163815,-0.5873131501279476,-23.194694329637613,-20.03874573194939,-0.03259480514154105,-33.35330278137711,-84.8647081470232
21,0.9205729960377933,-72.39941551953672,-84.77114591402426,-8.854107176692972,-7.834734154596991,-22.657144366712448,-20.35592795808104,-4.744558119347132,-75.65155948833245,-99.59990217774936
22,0.9187248362478216,-75.29877557846955,-85.59055570746942,-0.46691789566248426,-7.347183281197777,-22.36186445231532,-20.350870191097012,0.0,-50.8951548509559,-97.48098966630053
23,0.9208513468573329,-78.10733380145561,-87.62611572711586,-3.6807733601448493,-7.290665080047326,-21.86192814079837,-20.555256059223463,0.0,-52.337775597494925,-99.31811935178898
24,0.918920548771295,-74.64569093523932,-88.13301968253887,-1.8939037311839368,-5.158104079388899,-20.40933699770735,-20.452753925107608,-0.1907667484895821,-50.699532288913915,-95.34302353241284
25,0.9199914916892036,-75.70144709202431,-90.57631088025225,-2.1719976456786347,-2.8271199702094774,-20.369580161194527,-23.064140990022967,0.0,-55.62448511434905,-97.12631114897209
26,0.9166119500984898,-74.1759263119992,-95.59263078505339,-4.71758381416999,-0.9804562931865994,-22.219292073482713,-21.541958092603306,0.0,-61.129928204045214,-98.36577004368013
27,0.9142822866054826,-77.48388651468795,-96.32466211432964,-0.19899695146614427,-0.9082742366397457,-23.331548217009836,-22.567701383833782,-0.04381480797622284,-60.47986359357083,-101.99914854307187
28,0.9129039923954373,-80.41309933663003,-99.65075669399938,-7.934489595342255,0.0,-24.842298706962332,-22.82397834024681,-0.1724018993143578,-63.9001183900803,-105.57313863095817
29,0.9188796249592024,-73.87618824648625,-97.67579013623003,-3.4187937276745752,-2.4370938570488043,-22.86459424887721,-23.497740527425574,0.0,-53.78339841572903,-97.31549979044264
30,0.9170014992503748,-79.81613608694786,-104.32457885300198,-8.260544854633869,-6.528843961538089,-22.55711599510417,-22.72982044055153,-2.193716517949664,-84.94344509153194,-105.68778660231703
31,0.9118499268154255,-78.05779219386703,-107.54050089007501,-1.2273197912015605,-6.834665961574507,-22.418402623435192,-22.106069369936673,0.0,-62.952609681557526,-102.37021347199422
32,0.9202774008744158,-71.57740287782559,-106.10559689382656,-0.7959298482087569,-3.534119578388599,-20.69676796593265,-19.786079781394765,0.0,-52.04231738041345,-93.2593858810315
