episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity,imbalance_weighted_distance,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9207478890229192,-38.425299748926534,-24.2960053568605,-14.223647511935425,-18.32872209838256,-4.388516110133909,-3.8009829409296283,-6.31866960399227,-52.88375535761733,-44.17051943336869
1,0.9143164757603852,-61.977377477358736,-37.095256759118065,-19.092971052899763,-24.95826246026113,-6.306601136806118,-11.100907795946654,-0.8002939874578812,-73.9643163050066,-68.962188304861
2,0.9089901772879732,-64.08332332285946,-39.60752712100225,-16.94302573676281,-19.47669205966193,-7.432534609467536,-13.615163009932623,-0.1542518961296979,-69.72515654279898,-74.55158902742549
3,0.91462857490939,-65.76447474508164,-35.81733317435848,-11.879783170334242,-12.14403480968534,-8.052171206040827,-16.098656294566606,0.0,-55.635823460938404,-73.22265298121069
4,0.9117958012384836,-64.20635461420531,-38.35241432442808,-11.107473280549355,-9.094936625841017,-9.491827420636831,-17.558598194135946,-0.006059773498589542,-56.489209785907256,-73.82360463495823
5,0.9214956100514684,-58.765089610193186,-35.950507798979174,-2.9512932113614103,-5.63991816982958,-9.246025669108105,-15.353192156833607,-0.017019261165221667,-47.265201019339344,-69.77238664924911
6,0.9233483392140163,-66.93191130940893,-47.00961302829531,-8.573517142972307,-8.571260321592987,-11.363952748314157,-16.268394850183945,0.0,-51.98290504789295,-82.1074001984029
7,0.9165581367174486,-68.29294229103083,-49.16115454052638,-6.372909916035696,-6.690902540909523,-12.490326782770614,-15.009296131296193,-0.4765580126395749,-63.02669915791506,-83.5977464496929
8,0.9123065807694624,-72.76627978658148,-57.929875546311386,-6.4321402648302515,-7.492977552555307,-15.456488853124009,-14.671929854303594,-0.3518588788361047,-67.77262827566564,-92.19346897883148
9,0.918482207697894,-68.80337548120823,-64.48221085115202,-3.772113130398915,-8.01407948031292,-15.788538215663007,-17.037680913126515,0.0,-42.967308545575776,-91.0063181012442
10,0.9184774373427887,-63.23692648305919,-65.3761342278274,-2.675827140254603,-2.968811288405483,-16.718138322372706,-14.155098813514654,0.0,-39.33942654430175,-85.62265852913235
11,0.9228689470806246,-59.18215793370265,-65.7979041999326,-1.9534449341935356,-0.653222172518691,-17.684465241752044,-13.61077562772355,0.0,-47.7134896248508,-84.83327606527257
12,0.9124129063126103,-62.05784981065851,-69.0334124809142,-1.530629003116153,-0.9046276959554428,-19.798709762619968,-15.307802667466973,0.0,-49.87807576037207,-87.29563656851121
13,0.9165303773699194,-66.59585385728741,-76.64588667387822,-2.320695343937701,-5.750300596362765,-18.883874417198083,-14.954428557847733,-3.051441366523603,-64.17086439775696,-94.48923918381728
14,0.9111866855268306,-72.60789016518738,-79.58392840796127,-2.3576029482140957,-6.74533731888461,-21.657782935409728,-17.45235217086293,-0.3949842643171676,-71.29651247067034,-100.74545730867212
15,0.9056883959147801,-80.40510825632036,-85.38609485079405,-6.338467406151225,-9.584792219043903,-23.308566973282797,-19.389259886629887,0.0,-61.19201725787871,-109.69786840683481
