episode,service_level,bias,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.8411416532905297,-2.5885745615959115,-0.05750822525489492,-0.03196075836958189,0.01,0.01,0.0,0.97,100,37,0,37
1,0.8263515330823024,-2.68359636573557,-0.12068149900759738,-0.06734642524475548,0.009708,0.01,0.0,0.97,100,39,0,39
2,0.8148991759898171,-2.780662600561771,-0.18501831662370805,-0.10343811983259021,0.009432,0.01,0.0,0.97,100,37,0,37
3,0.823113325864116,-2.8720492557543524,-0.24700789792055786,-0.13523228927425085,0.009172,0.01,0.0,0.97,100,32,0,32
4,0.8059073825725591,-2.9695748740818693,-0.31132550206075255,-0.17288602965633482,0.008925,0.01,0.0,0.97,100,26,0,26
5,0.8070151951268492,-3.0651320088748855,-0.37581251293671014,-0.2100028710666535,0.008692,0.01,0.0,0.97,100,38,0,38
6,0.8136241803071425,-3.153453854305764,-0.43411806955128257,-0.2433708065754078,0.00847,0.01,0.0,0.97,100,38,0,38
7,0.8151148001874289,-3.2377934704225844,-0.4908499797672831,-0.2766412389079642,0.00826,0.01,0.0,0.97,100,33,0,33
8,0.8229950511829707,-3.3167934252105216,-0.5425825840858604,-0.3073975658260183,0.008059,0.01,0.0,0.97,100,30,0,30
9,0.8259395973154362,-3.3923875848286884,-0.5924236094282818,-0.3353446829742672,0.007868,0.01,0.0,0.97,100,36,0,36
10,0.8044372094584389,-3.4762927210934707,-0.6490230717580039,-0.36745488005099475,0.007686,0.01,0.0,0.97,100,43,0,43
11,0.8147774131111672,-3.5529278233215638,-0.7007918063496208,-0.3965761918233319,0.007513,0.01,0.0,0.97,100,36,0,36
12,0.8180853214718965,-3.6258114433763273,-0.7493675754291821,-0.42334010223275914,0.007346,0.01,0.0,0.97,100,24,0,24
13,0.8249647106271426,-3.6943181524865008,-0.7942831628824092,-0.4474655752082102,0.007188,0.01,0.0,0.97,100,36,0,36
14,0.8212134937010384,-3.763319690999957,-0.8403464089628702,-0.4722138396226546,0.007035,0.01,0.0,0.97,100,33,0,33
15,0.8282355703122379,-3.828662336943331,-0.8835506384749461,-0.4960347116049555,0.006889,0.01,0.0,0.97,100,41,0,41
16,0.8157779940270461,-3.895951669166339,-0.9293633617988354,-0.5218911294779031,0.006749,0.01,0.0,0.97,100,35,0,35
17,0.8165453655076917,-3.962755771241984,-0.9737995542050988,-0.5470881727517417,0.006615,0.01,0.0,0.97,100,40,0,40
18,0.8163187096989186,-4.026827448750064,-1.01651142097106,-0.570878224519623,0.006486,0.01,0.0,0.97,100,28,0,28
19,0.8118203871142853,-4.092598821781969,-1.0605580441270397,-0.5965600610972905,0.006362,0.01,0.0,0.97,100,35,0,35
20,0.8191755411649746,-4.153685372989461,-1.1015888573749846,-0.6195826134278807,0.006242,0.01,0.0,0.97,100,27,0,27
21,0.816515783406232,-4.214623985581208,-1.142179361042682,-0.643409969972768,0.006127,0.01,0.0,0.97,100,34,0,34
22,0.8203905426434416,-4.273860510595937,-1.1819427421930306,-0.665191148742655,0.006016,0.01,0.0,0.97,100,30,0,30
23,0.8169844371084013,-4.3318660057950495,-1.2211382672443238,-0.686088347439417,0.005909,0.01,0.0,0.97,100,38,0,38
24,0.8289567777020173,-4.385507413611604,-1.2563380434632079,-0.7053504780047927,0.005806,0.01,0.0,0.97,100,37,0,37
25,0.8112645226469103,-4.443771220823021,-1.2960576398203667,-0.7272520850730043,0.005706,0.01,0.0,0.97,100,34,0,34
26,0.824794412715427,-4.497397608915708,-1.3311979427873344,-0.7470229211444572,0.00561,0.01,0.0,0.97,100,38,0,38
27,0.825752786557977,-4.549265163417248,-1.3659049837341695,-0.7661479212612744,0.005517,0.01,0.0,0.97,100,33,0,33
28,0.8194126749192681,-4.601063940051167,-1.4006843247477985,-0.7851617243222375,0.005426,0.01,0.0,0.97,100,27,0,27
29,0.8209366391184573,-4.65309229466735,-1.4357199529539624,-0.8044281640584726,0.005339,0.01,0.0,0.97,100,36,0,36
30,0.8172068555913796,-4.7039928306210825,-1.4693365376181218,-0.8235239769505777,0.005255,0.01,0.0,0.97,100,30,0,30
31,0.8244202715237372,-4.7517935472045165,-1.5016792852823988,-0.8412748919889478,0.005173,0.01,0.0,0.97,100,30,0,30
32,0.8195679583088173,-4.800879126993431,-1.5341069684555828,-0.8593943048712102,0.005094,0.01,0.0,0.97,100,33,0,33
33,0.8148229601935342,-4.8504096864271675,-1.5672055083574081,-0.8776759389157521,0.005017,0.01,0.0,0.97,100,28,0,28
34,0.8194087188909304,-4.898581102634028,-1.599988114258181,-0.8954798772165745,0.004942,0.01,0.0,0.97,100,36,0,36
35,0.8161284868977177,-4.946089609818919,-1.6329530814117124,-0.9129569882175892,0.00487,0.01,0.0,0.97,100,27,0,27
36,0.8126644182124789,-4.9932367871015035,-1.6648632790492965,-0.9304091682644231,0.004799,0.01,0.0,0.97,100,28,0,28
37,0.8237298427906349,-5.037950002042287,-1.694673758012973,-0.946759995236509,0.004731,0.01,0.0,0.97,100,32,0,32
38,0.8265740120562626,-5.0805594943817605,-1.7230496169982044,-0.9626231721819427,0.004665,0.01,0.0,0.97,100,34,0,34
39,0.8195880608020916,-5.124883015977353,-1.7529132198201722,-0.9797111597225728,0.0046,0.01,0.0,0.97,100,40,0,40
40,0.8241461852263916,-5.167028926062748,-1.7806951739867896,-0.9955003551986442,0.004537,0.01,0.0,0.97,100,43,0,43
41,0.8141026717493157,-5.209984400444663,-1.8093034205039922,-1.0116975701637547,0.004476,0.01,0.0,0.97,100,36,0,36
42,0.8185550770055806,-5.253366681902383,-1.838228053026038,-1.0279381937380994,0.004417,0.01,0.0,0.97,100,39,0,39
43,0.8173145639781283,-5.295684082440331,-1.866122297461332,-1.0435801465558,0.004359,0.01,0.0,0.97,100,33,0,33
44,0.814181830367615,-5.338340014430954,-1.8949061149370399,-1.0600993785620823,0.004302,0.01,0.0,0.97,100,40,0,40
45,0.8104172971518881,-5.380237375414134,-1.9228266288462388,-1.076038750200656,0.004247,0.01,0.0,0.97,100,30,0,30
46,0.8145328951780565,-5.4215680364018,-1.9504749841683462,-1.0921122682852449,0.004194,0.01,0.0,0.97,100,37,0,37
47,0.8139172406858062,-5.462598503404143,-1.9778256814343025,-1.107768484247539,0.004141,0.01,0.0,0.97,100,31,0,31
48,0.819428914737738,-5.501669731591866,-2.003761565600922,-1.12253518782259,0.00409,0.01,0.0,0.97,100,39,0,39
49,0.8219721149000504,-5.539035904899676,-2.028764291323687,-1.1357569743961076,0.004041,0.01,0.0,0.97,100,33,0,33
50,0.8196710305471635,-5.57693044319461,-2.05438926424457,-1.1500346788308542,0.003992,0.01,0.0,0.97,100,36,0,36
51,0.8114450944791877,-5.615706571299569,-2.080554631094566,-1.1647980610874122,0.003945,0.01,0.0,0.97,100,29,0,29
52,0.8232675020660112,-5.651145874985397,-2.104566996439316,-1.1776821231119432,0.003898,0.01,0.0,0.97,100,37,0,37
53,0.813085362590313,-5.689191999049932,-2.129658717331105,-1.192420769488394,0.003853,0.01,0.0,0.97,100,32,0,32
54,0.8187976859226964,-5.725727078834554,-2.154156022473525,-1.2063264813733372,0.003809,0.01,0.0,0.97,100,42,0,42
55,0.813837888500226,-5.762383513171204,-2.179124671524026,-1.2200825421869788,0.003766,0.01,0.0,0.97,100,34,0,34
56,0.823480770204364,-5.796256202888396,-2.2015505118229,-1.2329815412639502,0.003724,0.01,0.0,0.97,100,31,0,31
57,0.810774128686327,-5.833005633331187,-2.2258854516873465,-1.246520820994897,0.003682,0.01,0.0,0.97,100,35,0,35
58,0.8145547398659432,-5.867998827004337,-2.2491971434514575,-1.2595364689307382,0.003642,0.01,0.0,0.97,100,37,0,37
59,0.8151926481746902,-5.902466280983644,-2.272194086950647,-1.2728132682547726,0.003602,0.01,0.0,0.97,100,36,0,36
60,0.815573071279899,-5.9360592922509925,-2.2948161215720835,-1.285955784161597,0.003564,0.01,0.0,0.97,100,28,0,28
61,0.8121309446145096,-5.971131129755152,-2.3181795990420517,-1.2990675520691224,0.003526,0.01,0.0,0.97,100,32,0,32
62,0.8126263306831963,-6.004578900513459,-2.3408334449015924,-1.3121358849353217,0.003489,0.01,0.0,0.97,100,33,0,33
63,0.8154919211855618,-6.037888759018347,-2.3632018747902332,-1.3251901442943246,0.003453,0.01,0.0,0.97,100,33,0,33
64,0.8313464528749854,-6.067951798746924,-2.383074369167351,-1.3362158430309046,0.003417,0.01,0.0,0.97,100,31,0,31
65,0.8188608933577292,-6.099615863790969,-2.4039862822463225,-1.3475650653193623,0.003382,0.01,0.0,0.97,100,36,0,36
66,0.819904020404054,-6.1308061753813545,-2.4247751132384123,-1.359344575530867,0.003348,0.01,0.0,0.97,100,35,0,35
67,0.8127328197953714,-6.1627422340696025,-2.446716998228648,-1.3715171898729586,0.003315,0.01,0.0,0.97,100,35,0,35
68,0.8237899505075077,-6.192578625137799,-2.466735612070215,-1.3826617308919742,0.003282,0.01,0.0,0.97,100,37,0,37
69,0.8181513562417277,-6.223340372641186,-2.487181197471841,-1.394008392362024,0.00325,0.01,0.0,0.97,100,29,0,29
70,0.8255043737675077,-6.251803512037387,-2.5062868360552217,-1.4046902984013472,0.003219,0.01,0.0,0.97,100,33,0,33
71,0.8221189994820297,-6.280949493473252,-2.5256561952332106,-1.415092759305139,0.003188,0.01,0.0,0.97,100,36,0,36
72,0.8138381638465404,-6.311355691883097,-2.5461385818286324,-1.4267095181266514,0.003157,0.01,0.0,0.97,100,38,0,38
73,0.8172568309693069,-6.340909188603851,-2.5660606692246546,-1.4381489543058772,0.003128,0.01,0.0,0.97,100,37,0,37
74,0.8205596107055961,-6.369216274691673,-2.5848753283584047,-1.4486434209961843,0.003098,0.01,0.0,0.97,100,35,0,35
75,0.8246634338227814,-6.396665091217664,-2.6030753175247523,-1.4588125969977574,0.00307,0.01,0.0,0.97,100,36,0,36
76,0.814509830554518,-6.425259475079849,-2.622411251983706,-1.4696488624829935,0.003042,0.01,0.0,0.97,100,40,0,40
77,0.8120058711678954,-6.45458082817408,-2.6418294216825475,-1.4807318904800284,0.003014,0.01,0.0,0.97,100,39,0,39
78,0.8210563415739389,-6.481918193921083,-2.6601002570488714,-1.4907440675098624,0.002987,0.01,0.0,0.97,100,35,0,35
79,0.8316912414214853,-6.5068471604031535,-2.6762195631392034,-1.499480681854705,0.00296,0.01,0.0,0.97,100,22,0,22
80,0.8228500444847325,-6.533139908961536,-2.6936124158601586,-1.5099757425405773,0.002934,0.01,0.0,0.97,100,33,0,33
81,0.8092311319166133,-6.561415124747935,-2.7128010644686587,-1.5207481871299284,0.002909,0.01,0.0,0.97,100,18,0,18
82,0.8300803287246763,-6.586321861631976,-2.7293286976327975,-1.5300385896708202,0.002883,0.01,0.0,0.97,100,33,0,33
83,0.8272750189059743,-6.611555970628479,-2.7459856561019094,-1.5390764102431147,0.002859,0.01,0.0,0.97,100,40,0,40
84,0.824334651294149,-6.637063329327345,-2.7631789956046138,-1.5479880280745035,0.002834,0.01,0.0,0.97,100,23,0,23
85,0.8194467898274174,-6.662533939592407,-2.780424047667243,-1.5575191960198567,0.00281,0.01,0.0,0.97,100,28,0,28
86,0.8130246756550497,-6.6892963247131165,-2.7984010771993026,-1.5680734970596355,0.002787,0.01,0.0,0.97,100,35,0,35
87,0.8127561647517302,-6.715337442779354,-2.815953601753189,-1.5777822798163443,0.002763,0.01,0.0,0.97,100,36,0,36
88,0.8228206945428774,-6.740023181865653,-2.832599259200943,-1.5873902927476016,0.002741,0.01,0.0,0.97,100,29,0,29
89,0.8072484308564487,-6.766703768138908,-2.850576247928133,-1.5975581265570153,0.002718,0.01,0.0,0.97,100,36,0,36
90,0.8138961147939918,-6.792517897824302,-2.8681816241615334,-1.6073823003907373,0.002696,0.01,0.0,0.97,100,29,0,29
91,0.8267929634641407,-6.815637693500803,-2.8837282105876176,-1.615915903427197,0.002674,0.01,0.0,0.97,100,32,0,32
92,0.820857607370275,-6.83929774162964,-2.899619945699636,-1.6249536804540903,0.002653,0.01,0.0,0.97,100,36,0,36
93,0.8175849510508203,-6.863803536291719,-2.9162951824122083,-1.6342396322413844,0.002632,0.01,0.0,0.97,100,34,0,34
94,0.831440323645412,-6.885790113244059,-2.930661712391761,-1.6422583862243836,0.002611,0.01,0.0,0.97,100,35,0,35
95,0.8145296564680623,-6.909723787572939,-2.9467103825524243,-1.6516476437675751,0.002591,0.01,0.0,0.97,100,31,0,31
96,0.8175081446970848,-6.933737272884869,-2.9629381679940137,-1.6608324291726597,0.002571,0.01,0.0,0.97,100,28,0,28
97,0.812137079179673,-6.958386771424908,-2.9794457637805998,-1.670298209837887,0.002551,0.01,0.0,0.97,100,37,0,37
98,0.8103506349152885,-6.982076758800326,-2.9956605388286697,-1.6794367623179385,0.002532,0.01,0.0,0.97,100,25,0,25
99,0.8256613487789182,-7.004366749916318,-3.0104666732473704,-1.6876674601593893,0.002513,0.01,0.0,0.97,100,39,0,39
100,0.8175037543801101,-7.027583672752651,-3.0257883921755266,-1.6963893226769644,0.002494,0.01,0.0,0.97,100,34,0,34
101,0.8188156251055065,-7.050180370699875,-3.0405888453014263,-1.7050586459095904,0.002475,0.01,0.0,0.97,100,28,0,28
102,0.8251093276142285,-7.071813415098135,-3.054974969288744,-1.713309440786482,0.002457,0.01,0.0,0.97,100,37,0,37
103,0.8317499492866319,-7.091846126170313,-3.068144883088911,-1.720494733476205,0.002439,0.01,0.0,0.97,100,27,0,27
104,0.8187884579917174,-7.11409350432975,-3.0829414938212905,-1.7291270136739034,0.002421,0.01,0.0,0.97,100,34,0,34
105,0.8254214655316308,-7.1351953860387365,-3.0967343895691744,-1.7370343527337404,0.002404,0.01,0.0,0.97,100,32,0,32
106,0.8196446983654773,-7.156837240568988,-3.1109083880813824,-1.7452560458578206,0.002386,0.01,0.0,0.97,100,38,0,38
107,0.8414149983033593,-7.174921595139397,-3.122751313645644,-1.751538322997889,0.002369,0.01,0.0,0.97,100,21,0,21
108,0.811975908425396,-7.1971958295198455,-3.1376578151867567,-1.7601074575804005,0.002352,0.01,0.0,0.97,100,24,0,24
109,0.822563585998489,-7.218289540413826,-3.1519656408921537,-1.7679168460483285,0.002336,0.01,0.0,0.97,100,36,0,36
110,0.8197859610685093,-7.239461012624181,-3.1660647573541993,-1.7761646699028062,0.00232,0.01,0.0,0.97,100,42,0,42
111,0.8186132438433247,-7.259826762103399,-3.179654533520366,-1.7839185037522705,0.002304,0.01,0.0,0.97,100,28,0,28
112,0.8209866192695932,-7.280534737813574,-3.1935202518185304,-1.7917055561332855,0.002288,0.01,0.0,0.97,100,40,0,40
113,0.8213160777869077,-7.300492799812465,-3.2067690433775446,-1.7994316003318351,0.002272,0.01,0.0,0.97,100,37,0,37
