episode,service_level,rebalancing_imbalance,squared_starvation_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-2.0143091526813808,-0.7366727717511822,-0.5056497116267565,-0.39665094546508045,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.939334755566239,-2.4080623523190217,-0.8870374500212588,-0.5868450928637494,-0.4893090488916608,0.098228,0.1,0.198803,0.2,1142,877,1384,33281,38163,38156,0,0,0,0,3874,3894,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9398365709838666,-2.7196594626313804,-1.0016130002694432,-0.683239215646733,-0.5797795906326922,0.096518,0.1,0.197613,0.2,1263,747,1520,33409,38171,38161,0,0,0,0,3763,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9407072667718064,-2.9148933993998676,-1.081503002433134,-0.7363395344524812,-0.631038343563344,0.094867,0.1,0.19643,0.2,1379,576,1107,32972,37742,37737,0,0,0,0,3813,3813,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9367982129560685,-3.1461777671760656,-1.1772731900531845,-0.8234098972647299,-0.6874971343968069,0.093271,0.1,0.195254,0.2,1466,656,1469,33575,38216,38210,0,0,0,0,3861,3871,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9456653347862938,-3.141729410058834,-1.1810697907755245,-0.8204617350053438,-0.686388092145551,0.091728,0.1,0.194086,0.2,1146,649,1330,33036,38103,38096,0,0,0,0,3894,3891,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9432819713412075,-3.2541579728067007,-1.2239876496160407,-0.8552578735861537,-0.7286032292950185,0.090235,0.1,0.192924,0.2,1100,792,1354,33358,38490,38485,0,0,0,0,3809,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.938512869399428,-3.388364296044886,-1.2893300036798667,-0.8789488619358921,-0.7669385759905005,0.08879,0.1,0.191769,0.2,1361,703,1571,33568,38225,38218,0,0,0,0,3909,3895,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9429621724178822,-3.495564623707194,-1.3485535564741142,-0.9330750615927716,-0.8097508141900694,0.087391,0.1,0.190621,0.2,1217,707,1282,33732,38641,38628,0,0,0,0,3796,3803,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9407516219855552,-3.468408048966265,-1.3430865805992611,-0.9418435168251295,-0.8219966806010391,0.086034,0.1,0.189481,0.2,1150,786,1254,32676,37624,37614,0,0,0,0,3852,3834,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9327550087043758,-3.5460777154247793,-1.3730373988675397,-0.9858204899757241,-0.8668052191782749,0.08472,0.1,0.188346,0.2,1490,789,1350,33891,38585,38573,0,0,0,0,3868,3852,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9433448935661325,-3.487976968664763,-1.3672100690143025,-0.9639706540106457,-0.8712101660899118,0.083445,0.1,0.187219,0.2,1177,718,1455,33448,38321,38310,0,0,0,0,3878,3858,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9387742917699036,-3.5124681541935643,-1.4016955607904036,-0.9828747665674249,-0.8961792633648024,0.082208,0.1,0.186098,0.2,1240,811,1327,33499,38442,38435,0,0,0,0,3804,3811,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9431709930935938,-3.5619344334201584,-1.4301587715200679,-1.0190659287859691,-0.9210206998471868,0.081006,0.1,0.184985,0.2,1120,789,1251,33592,38639,38625,0,0,0,0,3898,3903,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9434122647237402,-3.449760442570576,-1.414723890060918,-0.9864233072256741,-0.9076648118982673,0.07984,0.1,0.183877,0.2,1067,797,1336,32940,37977,37971,0,0,0,0,3777,3777,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9393814311407259,-3.542128561333574,-1.458299119856258,-1.0330285267310095,-0.9570310006994904,0.078707,0.1,0.182777,0.2,1335,721,1358,33917,38657,38648,0,0,0,0,3819,3809,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9432956919257667,-3.536500635434298,-1.4567255324293429,-1.036733985347127,-0.9568856425791049,0.077605,0.1,0.181683,0.2,1179,694,1523,33031,37918,37914,0,0,0,0,3801,3801,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9433285509325682,-3.5631517596261446,-1.468172863162383,-1.0405192654585782,-0.968755482802093,0.076534,0.1,0.180595,0.2,1185,711,1494,33456,38379,38377,0,0,0,0,3808,3807,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9470320460643333,-3.537193510737136,-1.4689816444788943,-1.0522369263706468,-0.9920558610802656,0.075492,0.1,0.179514,0.2,1149,608,1220,33171,38183,38173,0,0,0,0,3688,3692,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9385687898468689,-3.5668644609794184,-1.4872541891693654,-1.0750768886684985,-1.0208295931993177,0.074478,0.1,0.17844,0.2,1160,902,1187,33566,38417,38413,0,0,0,0,3908,3901,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9398437965778335,-3.611078192512501,-1.515463164819034,-1.0869534805332342,-1.051269184281582,0.07349,0.1,0.177372,0.2,1303,715,1275,33546,38268,38262,0,0,0,0,3867,3867,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9350811857589751,-3.7401994040672353,-1.557634713556666,-1.109532747005825,-1.069789427377398,0.072529,0.1,0.17631,0.2,1223,956,1410,33565,38478,38468,0,0,0,0,3883,3872,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9473449087172767,-3.6504158860445437,-1.5420998171657925,-1.117437926868544,-1.0647314859763732,0.071593,0.1,0.175255,0.2,1133,635,1269,33577,38507,38499,0,0,0,0,3903,3903,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9366393637226971,-3.7143387845681923,-1.568436192957764,-1.1568586302013402,-1.0850510052990079,0.07068,0.1,0.174206,0.2,1299,836,1479,33696,38635,38629,0,0,0,0,3896,3890,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9334802943191636,-3.8492711552267864,-1.6254472164995586,-1.197456811685059,-1.120105905895577,0.06979,0.1,0.173163,0.2,1476,757,1330,33569,38173,38163,0,0,0,0,3775,3775,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9369282619162254,-3.9008031049006635,-1.653224339621186,-1.2211656496350176,-1.1471819306628201,0.068923,0.1,0.172127,0.2,1375,721,1153,33232,37875,37867,0,0,0,0,3827,3840,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9391556792064836,-3.8454512852265843,-1.6432868145023531,-1.2174312756750154,-1.1647470521478895,0.068076,0.1,0.171096,0.2,1272,740,1541,33068,37721,37716,0,0,0,0,3783,3786,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9346426753690009,-3.900995758263309,-1.6571544451122846,-1.2223366760337713,-1.174909897501571,0.067251,0.1,0.170072,0.2,1429,754,1471,33401,38156,38147,0,0,0,0,3774,3772,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9391155357301114,-3.9200443378723078,-1.6785199020471093,-1.2313439327616884,-1.201559605725642,0.066445,0.1,0.169054,0.2,1416,645,1239,33851,38590,38584,0,0,0,0,3769,3789,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9458075273939971,-3.8447541570606676,-1.6576409969362798,-1.202351506113835,-1.1880446616224976,0.065658,0.1,0.168042,0.2,1151,669,1274,33584,38515,38513,0,0,0,0,3871,3870,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9476457229371689,-3.7266535661398983,-1.6257824562228917,-1.1841088869222882,-1.1748631439211414,0.064889,0.1,0.167037,0.2,1112,617,1357,33025,38053,38045,0,0,0,0,3816,3816,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9429221693169227,-3.7381360814751323,-1.640804130830333,-1.19692896573962,-1.1961174230741747,0.064139,0.1,0.166037,0.2,1214,692,1357,33393,38427,38419,0,0,0,0,3814,3823,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.937258337361044,-3.6780800087116967,-1.6345729525962058,-1.1860766949127644,-1.2092379522811683,0.063405,0.1,0.165043,0.2,1356,721,1366,33104,37893,37887,0,0,0,0,3804,3788,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9357381748686097,-3.6075973148805867,-1.6195567271898295,-1.1801763123893216,-1.216419299751585,0.062688,0.1,0.164055,0.2,1371,781,1618,33488,38447,38438,0,0,0,0,3821,3807,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9364021259346005,-3.7005828839646675,-1.649319165335111,-1.1931732477610042,-1.233272641718223,0.061988,0.1,0.163073,0.2,1301,817,1348,33303,38176,38171,0,0,0,0,3717,3718,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9431485136670854,-3.723948436825149,-1.6723917933324495,-1.2245926096871314,-1.2474680191576901,0.061302,0.1,0.162097,0.2,1279,622,1244,33438,38461,38443,0,0,0,0,3855,3875,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9416811143659951,-3.8066748850523506,-1.7055568887893355,-1.2317412214086143,-1.2628276315825722,0.060632,0.1,0.161127,0.2,1187,764,1472,33454,38318,38312,0,0,0,0,3900,3882,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9444013601384,-3.7570113833984284,-1.6890870090097765,-1.2172806747019012,-1.2585806946366012,0.059976,0.1,0.160162,0.2,1137,727,1306,33526,38387,38382,0,0,0,0,3787,3775,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9393858477970628,-3.740013964681673,-1.6960579337432105,-1.2352419494236817,-1.2849610312766182,0.059334,0.1,0.159204,0.2,1307,736,1429,33705,38579,38574,0,0,0,0,3807,3807,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.945756545595515,-3.7277299128189743,-1.6967106697982863,-1.2419532422723853,-1.2945032776063057,0.058706,0.1,0.158251,0.2,1208,611,1134,33534,38406,38399,0,0,0,0,3909,3889,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9502183928678274,-3.6437286282542636,-1.6919390273376425,-1.2403531346443655,-1.2994827414655348,0.058091,0.1,0.157304,0.2,1006,658,1215,33426,38647,38640,0,0,0,0,3785,3773,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9394725078229772,-3.734000368038301,-1.7175354461471533,-1.2435957732901877,-1.3080759319475523,0.057488,0.1,0.156362,0.2,1382,649,1272,33555,38283,38279,0,0,0,0,3906,3912,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9456114590512721,-3.770165441213097,-1.730541002406016,-1.2495414630416328,-1.3269303804810277,0.056899,0.1,0.155426,0.2,1150,665,1343,33371,38257,38249,0,0,0,0,3891,3881,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9360456387929741,-3.8482384517497934,-1.7618879094311557,-1.2597708264975402,-1.3378814863222208,0.056321,0.1,0.154496,0.2,1468,662,1366,33305,38120,38116,0,0,0,0,3946,3966,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9376848331220955,-3.818839417142405,-1.749553500480051,-1.2582674232837694,-1.338300882965221,0.055754,0.1,0.153571,0.2,1246,819,1430,33138,38029,38027,0,0,0,0,3756,3767,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9318776230156316,-3.849634045983333,-1.7710328036549587,-1.2747191767517445,-1.3576448741185785,0.055199,0.1,0.152652,0.2,1391,849,1324,32882,37459,37451,0,0,0,0,3714,3714,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9369750419966403,-3.8249079576686413,-1.7834367018266721,-1.2787538281287185,-1.3756173835462993,0.054655,0.1,0.151738,0.2,1330,771,1283,33336,38101,38097,0,0,0,0,3795,3790,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9340502219177266,-3.8502642452592055,-1.7852733413916375,-1.2927211602235513,-1.389792059391569,0.054121,0.1,0.15083,0.2,1504,710,1339,33571,38156,38152,0,0,0,0,3790,3788,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9367637754948333,-3.8904526403302335,-1.8042505981444934,-1.3143036415475142,-1.4083284352485483,0.053598,0.1,0.149927,0.2,1329,770,1369,33193,37849,37846,0,0,0,0,3820,3820,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9379148770011714,-3.9300924951427327,-1.8142526608520506,-1.330768206633203,-1.426073708841463,0.053085,0.1,0.14903,0.2,1255,812,1438,33293,38033,38026,0,0,0,0,3884,3889,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9417621303904516,-3.876867314229783,-1.8050233029125722,-1.3369735257145259,-1.4288904793224515,0.052582,0.1,0.148138,0.2,1251,691,1256,33346,38264,38258,0,0,0,0,3795,3775,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9316977893521944,-3.9967925946679146,-1.8476731621261162,-1.3892987417384328,-1.4691574172410937,0.052088,0.1,0.147251,0.2,1456,852,1468,33791,38442,38440,0,0,0,0,3954,3953,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9360605428596966,-3.940831853645327,-1.8291813649480537,-1.3804804549100294,-1.471122979917595,0.051603,0.1,0.14637,0.2,1400,746,1587,33563,38307,38304,0,0,0,0,3890,3902,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9429585312921579,-3.9621885935578254,-1.8421939388799264,-1.3900783853566065,-1.4795058179175409,0.051127,0.1,0.145494,0.2,1325,620,1271,34098,38943,38934,0,0,0,0,3889,3869,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9432687177663169,-3.9801726849041814,-1.8477694853502538,-1.407087525332712,-1.491440662248853,0.05066,0.1,0.144623,0.2,1200,714,1376,33738,38676,38671,0,0,0,0,3800,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9405517614850025,-3.964913955620892,-1.8420750571524995,-1.3952187641063367,-1.4807265412198813,0.050201,0.1,0.143757,0.2,1260,716,1382,33239,38009,38001,0,0,0,0,3853,3847,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9321418020679468,-4.046323421890416,-1.8726442082005,-1.4222323747866354,-1.5086650259851877,0.049751,0.1,0.142897,0.2,1499,798,1357,33850,38702,38697,0,0,0,0,3925,3932,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
