,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,global_depot_backlog,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,fleet_failure_risk,fleet_low_health_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,current_station_onsite_shortage_pressure,current_station_depot_shortage_pressure,broken_cargo_distance_pressure,late_broken_cargo_pressure,repaired_idle_away_pressure,depot_pipeline_pressure,depot_queue_pickup_opportunity,degradation_demand_exposure
rebalancing_imbalance,1.0,0.542854477891756,0.7184158131464392,0.13468925247996505,0.13103447253897135,-0.03892053775120603,-0.05502027224718582,-0.03186230503047298,-0.04353317526111265,-0.052394337969146186,-0.058026803462944164,-0.07889731505508993,0.03353681555852557,-0.0374895066254834,0.07595422244302433,0.0801160300482492,-0.03432888393607956,-0.052473228527053495,-0.28725884985053235,-0.3287878222158289,-0.06795344273270311,-0.11916755985875026,-0.0035954073273397847,0.1302279076086922
squared_starvation_penalty,0.542854477891756,1.0,0.14590724285504264,0.31302231152132853,0.37966056417361504,0.1225520131657086,0.13159565560875328,0.3785239017448259,0.34662291514267685,0.1356259798193994,-0.024664473750153446,0.09145900340543942,-0.03919131220642405,0.0133238927627153,0.35922928935793924,0.37406824737395483,0.025740826610818092,0.0009649549997337643,0.04223658218025971,0.013367307277877657,-0.02960766808637538,0.11429294970310515,0.010717938953946606,0.31904185440479593
squared_congestion_penalty,0.7184158131464392,0.14590724285504264,1.0,0.049820665425193714,0.10289176049386758,-0.2462595897299655,-0.3392766448941063,-0.3205689917715463,-0.27496730950687664,-0.33412319250951256,-0.1543898972899271,-0.34279342986831063,0.106089621534062,-0.05268422640668011,-0.17605278217923565,-0.2359769319245935,-0.05694095807084469,-0.07361564866387971,-0.33238902171441087,-0.372953058003488,-0.15239304542548351,-0.41649350164755067,-0.021455430853682823,0.031121501845223467
gross_starvation_risk,0.13468925247996505,0.31302231152132853,0.049820665425193714,1.0,0.7647561183492614,-0.014389126565355044,-0.014360785744292795,0.5566211539066189,0.5212153413824088,-0.014132279983771116,-0.08059661189413113,-0.05587227658356228,0.014277826758795166,-0.029089325913970523,0.10998634734291114,0.08542897174456598,-0.01530227384200796,-0.0220372729697033,-0.04882220483418484,-0.16846418143946992,-0.0678301191933361,-0.08757067566183084,-0.012229374515485678,0.9982823369082009
gross_congestion_risk,0.13103447253897135,0.37966056417361504,0.10289176049386758,0.7647561183492614,1.0,-0.12652562192549677,-0.17398778138594242,0.5040136425460267,0.516239622396555,-0.17087096595507564,-0.16708375368683678,-0.19881959303738486,0.06741091558359968,-0.023780245495902127,-0.006640931337268967,-0.03708768357465263,-0.008505989665096983,-0.025003708297237692,0.014384345179506538,-0.09498220967223671,-0.1498896800971927,-0.23490536221171007,-0.01388331826617325,0.7535338731475858
global_onsite_backlog,-0.03892053775120603,0.1225520131657086,-0.2462595897299655,-0.014389126565355044,-0.12652562192549677,1.0,0.5499365436774628,0.3391095988010332,0.6052373460350097,0.7423576940728467,0.17669037491643794,0.5887846759506794,-0.12452620179881896,0.0327503877179671,0.709399123652667,0.4944748047938983,0.10675060839186674,0.06390973219493976,0.05078410141592048,0.05428962334935074,0.16385706411500064,0.5087431461882135,0.027575841450346094,0.01950972338859204
global_depot_backlog,-0.05502027224718582,0.13159565560875328,-0.3392766448941063,-0.014360785744292795,-0.17398778138594242,0.5499365436774628,1.0,0.5865786519164609,0.24644152023858107,0.9077002271382996,0.18109814460949347,0.8181255786551396,-0.19517190142936028,0.06751877792342484,0.4789243433080226,0.7900341085497541,0.05607678933506377,0.13219849238707002,0.04199596040764432,0.035576224191206485,0.17073638150761675,0.8863154063573665,0.03914109562935477,0.031085772060906066
demand_weighted_depot_backlog,-0.03186230503047298,0.3785239017448259,-0.3205689917715463,0.5566211539066189,0.5040136425460267,0.3391095988010332,0.5865786519164609,1.0,0.6744369484974181,0.5228756203645967,0.08726472285699073,0.43182152055428374,-0.11355579537812471,0.033017435149972636,0.41890755094848975,0.5851163452528119,0.03927365888519751,0.09532270993547892,0.09295811816167594,0.01091796870174757,0.08947761606555614,0.48258496870078693,0.028724847172691196,0.5837161623806656
demand_weighted_onsite_backlog,-0.04353317526111265,0.34662291514267685,-0.27496730950687664,0.5212153413824088,0.516239622396555,0.6052373460350097,0.24644152023858107,0.6744369484974181,1.0,0.3790961408384212,0.04814770608565655,0.2988378359929292,-0.047224607629712013,0.012072060369430121,0.5350577515450835,0.33986220809684714,0.08898128031106024,0.034861881737252784,0.10427497001121937,0.037680053800884496,0.05109218361383493,0.1882837973222818,0.014192082616788266,0.5408596643359319
fleet_broken_fraction,-0.052394337969146186,0.1356259798193994,-0.33412319250951256,-0.014132279983771116,-0.17087096595507564,0.7423576940728467,0.9077002271382996,0.5228756203645967,0.3790961408384212,1.0,0.10237141766092754,0.8348039024559872,-0.17306964063194288,0.06625730614023485,0.5913166274974312,0.72698959113105,0.08503275810769016,0.11833889444606306,0.006654482846519947,-0.0017764381975741044,0.09947746373132667,0.8567569381507707,0.025892561419321187,0.032359148014085654
