,screening_group,family,high_means,expected_sign,priority,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,fraction_zero,p99_abs,near_constant,sparse,poor_scaling,max_abs_target_corr,weak_signal,vif,vif_flag,vif_serious,recommendation_flag
rebalancing_imbalance,base_rebalancing,base_rebalancing,large total deviation from target inventory across stations,negative,baseline,365473.0,0.5380178689956665,0.06744790822267532,0.3296985328197479,0.4066709578037262,0.44130852818489075,0.49134060740470886,0.529826819896698,0.5760102868080139,0.6611930847167521,0.7427838444709778,0.9185374975204468,0.0,0.7427838444709778,False,False,False,0.077146534446609,False,3.699636704221155,False,False,
squared_starvation_penalty,base_rebalancing,base_rebalancing,deep starvation pressure at one or more stations,negative,baseline,365473.0,0.21815834939479828,0.043020155280828476,0.02959166094660759,0.09978946775197983,0.14410075545310974,0.19213096797466278,0.22007212042808533,0.2472202181816101,0.2838287949562073,0.31459117054939195,0.39276885986328125,0.0,0.31459117054939195,False,False,False,0.13793040707768908,False,2.458664787470606,False,False,
squared_congestion_penalty,base_rebalancing,base_rebalancing,deep congestion pressure at one or more stations,negative,baseline,365473.0,0.12584875524044037,0.0326770581305027,0.03273343667387962,0.060627859085798264,0.07758904993534088,0.10229981690645218,0.1228737160563469,0.1469506174325943,0.18315404653549194,0.2127254456281662,0.32863181829452515,0.0,0.2127254456281662,False,False,False,0.3834171980106439,False,3.652903897808879,False,False,
gross_starvation_risk,base_rebalancing,base_rebalancing,high near-future departure pressure relative to available bikes,negative,baseline,365473.0,0.15918388962745667,0.08357378840446472,0.0031585872638970613,0.024231393039226532,0.042692726105451585,0.09743862599134445,0.1463187336921692,0.20875418186187744,0.31594281196594237,0.38261389732360773,0.5957980751991272,0.0,0.38261389732360773,False,False,False,0.04028473753262963,False,1330.1833634401598,True,True,vif;vif_serious;
gross_congestion_risk,base_rebalancing,base_rebalancing,high near-future arrival pressure relative to free docks,negative,baseline,365473.0,0.10134817659854889,0.06140292063355446,0.0010207043960690498,0.012061938643455505,0.02201725207269192,0.05590565502643585,0.08987042307853699,0.13113263249397278,0.22594431638717646,0.2703003573417662,0.4110961854457855,0.0,0.2703003573417662,False,False,False,0.16550933276519933,False,4.659124563745234,False,False,
global_onsite_backlog,maintenance,onsite_backlog,many on-site broken bikes remain in the system,negative,medium,365473.0,0.07389948517084122,0.0247793011367321,0.0,0.0086805559694767,0.02604166604578495,0.0607638880610466,0.078125,0.0911458358168602,0.1085069477558136,0.1215277761220932,0.1475694477558136,0.002911295772875151,0.1215277761220932,False,False,False,0.8029395104273956,False,30.21926912144464,True,True,vif;vif_serious;
global_depot_backlog,maintenance,depot_backlog,many depot-bound broken bikes remain at stations,negative,medium,365473.0,0.11228180676698685,0.04459693655371666,0.0,0.00434027798473835,0.0303819440305233,0.0824652761220932,0.1171875,0.1432291716337204,0.1822916716337204,0.2039930522441864,0.2213541716337204,0.003100092209274009,0.2039930522441864,False,False,False,0.9153680066827801,False,15.773601259580609,True,False,vif;
demand_weighted_depot_backlog,maintenance,demand_weighted_backlog,depot-bound broken bikes are located at high-departure stations,negative,high,365473.0,0.001824599807150662,0.0009803312132135034,0.0,0.00010316543193766847,0.0004701941506937146,0.0011226048227399588,0.001687576761469245,0.0023757824674248695,0.0037032186985015824,0.004723677579313513,0.0057349191047251225,0.003100092209274009,0.004723677579313513,False,False,False,0.5367009026587645,False,6.011685887338043,False,False,
demand_weighted_onsite_backlog,maintenance,demand_weighted_backlog,on-site broken bikes are located at high-departure stations,negative,high,365473.0,0.0011334229493513703,0.0006180033087730408,0.0,0.00010730834037531167,0.0003184233792126179,0.0006872334633953869,0.001048368401825428,0.0014511971967294812,0.0023094399366527796,0.003050941126421086,0.004470061045140028,0.002911295772875151,0.003050941126421086,False,False,False,0.41117124052799153,False,6.349861709656949,False,False,
fleet_broken_fraction,maintenance,fleet_availability,a large share of the fleet is unavailable due to maintenance,negative,medium,365473.0,0.33098188042640686,0.10895808041095734,0.0,0.01953125,0.1106770858168602,0.2734375,0.3450520932674408,0.4036458432674408,0.48828125,0.52734375,0.5598958134651184,0.0010205952286489015,0.52734375,False,False,False,0.9803629839795471,False,204.41646779613535,True,True,vif;vif_serious;
