rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_onsite_backlog,global_depot_backlog,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,fleet_failure_risk,fleet_low_health_fraction,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,current_station_onsite_shortage_pressure,current_station_depot_shortage_pressure,broken_cargo_distance_pressure,late_broken_cargo_pressure,repaired_idle_away_pressure,depot_pipeline_pressure,depot_queue_pickup_opportunity,degradation_demand_exposure
0.57729316,0.16786471,0.12151587,0.061780855,0.065481655,0.0,0.0,0.0,0.0,0.0,0.0,0.012968462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080120267
0.6260423,0.18268043,0.14112867,0.0465606,0.05852114,0.0,0.004340278,4.4136686e-05,0.0,0.0065104165,0.0,0.012971365,1.0,0.0,0.0,0.00013241006,0.0,0.0,0.0,0.0,0.0,0.004340278,0.0,0.00060395454
0.6966004,0.21875119,0.16724578,0.06045286,0.065774776,0.0,0.004340278,4.327146e-05,0.0,0.0065104165,0.0,0.01297322,1.0,0.0,0.0,0.00012981438,0.0,0.0,0.0,0.0,0.0,0.004340278,0.0,0.00078426825
0.5631815,0.15757844,0.14295353,0.13854726,0.09181351,0.0,0.008680556,0.00014690513,0.0,0.013020833,0.0,0.012972886,1.0,0.0,0.0,0.0004407154,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.0017973577
0.5747274,0.17358151,0.137277,0.1436189,0.09545864,0.0,0.008680556,0.00014147966,0.0,0.013020833,0.0,0.012974375,1.0,0.0,0.0,0.00042443897,0.0,0.0007779262,0.0,0.0,0.0,0.008680556,0.0,0.0018633654
0.568313,0.16749044,0.14855786,0.13830848,0.105618104,0.0,0.008680556,0.00013396746,0.0,0.013020833,0.0,0.012976029,1.0,0.0,0.0,0.0004019024,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.0017946948
0.53752404,0.16511707,0.14388597,0.086397715,0.10222007,0.004340278,0.008680556,0.00012520324,1.5268688e-05,0.01953125,0.0,0.012977264,1.0,0.0,0.00086805556,0.00037560973,0.0,0.0,0.0,0.0,0.0,0.008680556,0.0,0.001121206
0.56574726,0.1760584,0.15947783,0.09764659,0.114926256,0.004340278,0.013020833,0.00015449876,1.6551257e-05,0.026041666,0.0,0.0129801445,1.0,0.0,0.00086805556,0.0013917481,0.0,0.0,0.0,0.0,0.0,0.013020833,0.0,0.0012674667
0.54137266,0.16289458,0.1606657,0.09931603,0.1137188,0.004340278,0.013020833,0.00015928295,1.7467379e-05,0.026041666,0.0,0.012981523,1.0,0.0,0.00086805556,0.0014021308,0.0,0.0,0.0,0.0,0.0,0.013020833,0.0,0.0012892734
0.51186657,0.1685657,0.124973595,0.11095591,0.08798018,0.004340278,0.013020833,0.00016693765,1.8933173e-05,0.026041666,0.0,0.012982153,1.0,0.0,0.00086805556,0.0014187432,0.0,0.0,0.0,0.0,0.0,0.013020833,0.0,0.0014404466
0.5067351,0.16051142,0.12364577,0.11582596,0.08633034,0.004340278,0.013020833,0.00017507077,2.049058e-05,0.026041666,0.0,0.012984057,1.0,0.0,0.00086805556,0.0014363937,0.0,0.0,0.0,0.0,0.0,0.013020833,0.0,0.0015038908
0.48877487,0.15978847,0.118081026,0.10478693,0.09323626,0.004340278,0.021701388,0.00048029184,2.1467775e-05,0.0390625,0.0,0.012986528,1.0,0.0,6.440333e-05,0.0046782405,0.0,0.0,0.0,0.0,0.0,0.021701388,0.0,0.0013608184
0.4733804,0.15237808,0.115775384,0.10647088,0.093836956,0.004340278,0.021701388,0.0004892495,2.3808974e-05,0.0390625,0.0,0.012986866,1.0,0.0,7.142692e-05,0.0047035865,0.0,0.0,0.0,0.0,0.0,0.021701388,0.0,0.0013827231
