feature_a,group_a,family_a,feature_b,group_b,family_b,corr,abs_corr,cross_group
gross_starvation_risk,base_rebalancing,base_rebalancing,degradation_demand_exposure,maintenance,degradation,0.997902286771125,0.997902286771125,True
depot_idle_fraction,maintenance,depot_pipeline,repaired_idle_away_pressure,maintenance,depot_pipeline,0.9305882026516223,0.9305882026516223,False
global_depot_backlog,maintenance,depot_backlog,fleet_broken_fraction,maintenance,fleet_availability,0.922221778000802,0.922221778000802,False
global_depot_backlog,maintenance,depot_backlog,depot_pipeline_pressure,maintenance,depot_pipeline,0.907713469038767,0.907713469038767,False
fleet_broken_fraction,maintenance,fleet_availability,depot_pipeline_pressure,maintenance,depot_pipeline,0.9047783584032233,0.9047783584032233,False
fleet_broken_fraction,maintenance,fleet_availability,fleet_failure_risk,maintenance,degradation,0.8535701972856544,0.8535701972856544,False
