feature,corr_reward,corr_td_target,corr_td_error,corr_future_starvation,corr_future_congestion,corr_future_broken_fleet_ratio
rebalancing_imbalance,-0.008407950632672873,0.006850099074934383,0.006850627611134969,0.009156522343004707,0.00677859511723378,-0.077146534446609
squared_starvation_penalty,-0.046666577700013416,-0.0048818842080291715,-0.004881484843292994,0.04793456089343902,0.04376246895825674,0.13793040707768908
squared_congestion_penalty,0.0001438108791817908,0.0023427437024844304,0.0023434682890389985,-0.0008012885006903429,0.0012550668874308584,-0.3834171980106439
gross_starvation_risk,-0.03849023991722601,-0.012076821114459254,-0.012076584399466388,0.04028473753262963,0.03450276868960391,-0.024286246256272834
gross_congestion_risk,-0.03709374831778471,-0.011499180030632078,-0.011499155316157285,0.0381963666121471,0.034583886607975456,-0.16550933276519933
global_onsite_backlog,0.0025329565106632485,-0.0010550213016245424,-0.0010542804689107608,-0.0027262385998746727,-0.0021106451390213317,0.8029395104273956
global_depot_backlog,0.0198936836220475,0.008865323081975598,0.00886598381370739,-0.01993053308676826,-0.019726849716077945,0.9153680066827801
demand_weighted_depot_backlog,-0.029926760402884542,-0.011322407387174303,-0.011321277095291698,0.030989764735049805,0.027533016141348097,0.5367009026587645
demand_weighted_onsite_backlog,-0.03355868249849389,-0.011249961897078954,-0.011249910769078253,0.03458039752531622,0.031236595820757624,0.41117124052799153
fleet_broken_fraction,0.007196711628049962,0.006681374377466849,0.0066820122873412074,-0.007201251300929293,-0.007155053453578414,0.9803629839795471
depot_idle_fraction,0.05757287773343881,0.009118655962468554,0.009119589041670234,-0.058003153549721034,-0.05640179619861333,0.1536232532441942
fleet_failure_risk,0.03961183180535934,0.01250439183878108,0.01250413602937944,-0.03971649947925184,-0.03921308428557131,0.8563506774850275
fleet_low_health_fraction,-0.005055493890117575,-0.020491709473912004,-0.02049178337373629,0.005363096671403311,0.004378842351936438,-0.14166842937436347
maintenance_restoration_value,0.1017830213395099,-0.0017896424340246762,-0.0017896305535922783,-0.1030222692988882,-0.09869492007273878,0.06117508262882344
onsite_shortage_pressure,-0.001406399037835666,0.012216048582432854,0.012216910796666373,0.0015706997059836577,0.0010507314010083217,0.6250690339450647
depot_shortage_pressure,-0.004077500131273513,0.0018626069019109734,0.001863142760670509,0.004513012520031631,0.003133176148170886,0.7381482613212166
current_station_onsite_shortage_pressure,,,,,,
current_station_depot_shortage_pressure,-0.004241460701365544,-0.0012083569495737474,-0.0012082124505963033,0.0043282495340144795,0.004038027672817064,0.04523451177168903
broken_cargo_distance_pressure,-0.019988811286501013,-0.007072088255299374,-0.007072086355421041,0.019545291969635715,0.020843140448065154,0.17065194982976742
late_broken_cargo_pressure,-0.01922082083508296,-0.007499818332392573,-0.007499715858773393,0.01833956880239784,0.021009478489762923,0.17830749838678722
repaired_idle_away_pressure,-0.013962837608501259,-0.006085714905468384,-0.0060847791954499065,0.014149495592142281,0.013503784830006997,0.15744755416987813
depot_pipeline_pressure,0.021599037300886147,0.00946985721139252,0.009470640009425442,-0.021790667230919464,-0.021095452640597326,0.9266346170106485
depot_queue_pickup_opportunity,0.04860532080610456,-0.0006180792862805643,-0.0006182439320960965,-0.050396864980460684,-0.04457914879608802,0.0019847110042253368
degradation_demand_exposure,-0.038035694439906946,-0.011898388600715286,-0.01189816145322381,0.039820555304539845,0.03407073876987867,0.025346651782716174
