,vif
degradation_demand_exposure,1330.6191191225746
gross_starvation_risk,1330.1833634401598
fleet_broken_fraction,204.41646779613535
depot_pipeline_pressure,137.1199714476574
depot_idle_fraction,36.60197299483014
global_onsite_backlog,30.21926912144464
global_depot_backlog,15.773601259580609
repaired_idle_away_pressure,14.759290021744649
fleet_failure_risk,8.679076489188203
demand_weighted_onsite_backlog,6.349861709656949
demand_weighted_depot_backlog,6.011685887338043
late_broken_cargo_pressure,5.979913840952061
gross_congestion_risk,4.659124563745234
rebalancing_imbalance,3.699636704221155
squared_congestion_penalty,3.652903897808879
depot_shortage_pressure,3.584666070222248
onsite_shortage_pressure,2.8217349630901722
squared_starvation_penalty,2.458664787470606
broken_cargo_distance_pressure,2.412105990449962
fleet_low_health_fraction,1.9127144162873826
depot_queue_pickup_opportunity,1.8706948711324403
maintenance_restoration_value,1.842428338340271
current_station_depot_shortage_pressure,1.2183350328784694
current_station_onsite_shortage_pressure,1.1997183347141045
