seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9524,401.221,2006,863,60282,58276,58274,221,42,231,221,221,210,7394,7610,0.0157,0.0328,0.9514,0.0091,0.0143,0.9765,7,11,228,203,231,210
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9542,398.8846,1896,852,60062,58166,58166,227,42,205,227,227,210,7324,7554,0.0079,0.0329,0.9593,0.0091,0.0248,0.9661,7,19,208,214,205,210
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9503,398.8714,2195,755,59410,57215,57218,243,42,250,243,243,233,7251,7486,0.0157,0.0288,0.9556,0.0026,0.0092,0.9882,2,7,241,230,250,233
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9508,397.2735,2142,784,59520,57378,57381,237,42,230,237,237,233,7321,7567,0.0105,0.0276,0.9619,0.0052,0.0169,0.9778,4,13,226,227,230,233
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9548,398.2281,1869,793,58938,57069,57067,220,42,230,220,220,225,7421,7653,0.0105,0.0316,0.9578,0.0052,0.0183,0.9765,4,14,227,207,230,225
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9534,398.6576,1968,801,59402,57434,57433,219,42,220,219,219,228,7502,7736,0.0132,0.0448,0.942,0.0052,0.0196,0.9752,4,15,216,202,220,228
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.9502,399.0288,2106,867,59646,57540,57541,211,42,224,211,211,199,7478,7681,0.0106,0.0317,0.9578,0.0106,0.0251,0.9644,8,19,225,206,224,199
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.955,397.395,1895,769,59136,57241,57240,227,42,218,227,227,213,7328,7555,0.0131,0.0327,0.9542,0.0013,0.03,0.9687,1,23,210,220,218,213
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.951,398.132,2117,796,59402,57285,57285,230,41,217,230,230,216,7322,7558,0.0143,0.0261,0.9596,0.0052,0.0169,0.9778,4,13,213,223,217,216
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,60.0,20,5,12,0.951,399.6857,2053,877,59852,57799,57800,240,42,228,240,240,242,7300,7525,0.0119,0.0264,0.9618,0.0078,0.0247,0.9674,6,19,228,234,228,242
