episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,station_starvation_count,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9205638574626415,-11.985727666978217,-10.68964635330861,-4.540789784588407,-0.571746760845874,0.0,-30.03780655343308,-23.612181304364906,-8.193417055784034,-17.78696215279778,-13.087708501772413
1,0.9186825285176917,-12.760544196531978,-13.54937127982974,-5.633627008711167,-3.4504993741206675,-0.15672409740768198,-30.031291066947514,-23.724668184668975,-8.919398501724247,-29.98841452800569,-14.791420437497234
2,0.9098691890921065,-18.82281206748366,-18.320870683911508,-7.478577910163419,-4.897301559322532,-0.28377355802318815,-37.040382494444714,-30.68637077811663,-9.296613345416652,-35.92515806389077,-18.102248119029515
3,0.9209669071756934,-16.76895269915061,-17.367302996089162,-9.947809028440753,-4.3432266707804414,0.0,-24.882562451628658,-17.93749987575145,0.0,-27.701309015695248,-13.806753819017706
4,0.9118464792988819,-19.139976994785556,-19.336736683331225,-12.539583665681535,-6.808817997754557,-0.790316419791012,-22.983297020113866,-14.137054765061002,-4.7731064474962475,-32.806631011273886,-15.66815387430624
5,0.9139064892946158,-23.20946048917227,-23.14112274164187,-13.293075094938159,-6.470348790222512,-1.3644338054508514,-32.475678702657575,-23.713216783218765,-8.108918382978167,-49.66154774593708,-18.77551796030429
6,0.9188279911915831,-25.779603081468768,-27.054402742376183,-13.864509669583233,-8.698508097845856,-0.2008758254624501,-18.338334535145393,-4.585366446515215,-0.6083814318502452,-26.050819665295325,-18.975037384870962
7,0.9147322244562237,-27.40865090339328,-27.028425413525728,-14.127466070989845,-9.084091523564481,-0.39423435838937143,-16.450463475365233,-3.7590737130753196,-1.8172925212608426,-40.65866975563955,-19.699427728953438
8,0.920779337383653,-29.19151406043028,-28.40754858487586,-18.433169441547335,-10.982365298975788,-0.014943510413979053,-25.97046682166501,-10.180487375998098,-10.028954915432783,-42.62125615788899,-23.021747331368623
9,0.9099690176781483,-29.221968562963188,-29.394283173091782,-19.964141845627427,-11.008124292457646,-0.010150326916904151,-18.5703635612055,-2.173914736967636,-2.7634128640417597,-37.95745320048393,-23.450212721047237
10,0.9201946183285371,-33.05898871890517,-30.16798934554931,-17.42392987083462,-12.920303345019736,-1.0174937288394696,-39.85786758003908,-21.71458626363993,-13.440118436263681,-50.770681568773334,-27.13837394023845
11,0.9083406126690563,-33.96897110619237,-31.320820905595625,-17.365931438671254,-16.295999943157323,-0.7078260165523365,-21.50247217816495,-2.8506147686898213,-1.2043496317092448,-42.66813553735655,-27.229723628569804
12,0.9115604637645691,-30.77406918016727,-36.25494323965648,-17.702849944134428,-16.477616832461067,0.0,-4.8238943258178155,0.0,0.0,-34.495615653970525,-23.910671401087974
13,0.9125367970623046,-34.292620727631004,-39.680562375622685,-19.670577067196753,-15.869182886303722,0.0,-2.7945524460458837,0.0,0.0,-26.739393871073645,-26.174309938781576
14,0.9129352487778544,-34.39681232759128,-38.6890623887,-23.735276702679272,-14.024662846869115,-0.04282284811877435,-3.3878812651864436,-0.6827976009775443,-0.46645796872344225,-37.550356510244214,-26.235747268478896
15,0.9152100491793566,-38.2784541677827,-38.694879867495274,-24.007105593820118,-15.834425254188993,-1.217491763070421,-18.872090089893728,-16.422823667693567,-10.336649350572545,-42.812803890618504,-29.693989537817625
16,0.9181807170542635,-34.905054196302125,-38.1592532308837,-22.53065931820669,-15.246781827940856,-0.16458510955565459,-3.0147865738165884,-2.6013643189919193,-1.4920096436784371,-29.86882743333506,-25.971542040063756
17,0.9172545918987958,-33.8319963856323,-40.319441815246186,-22.64108977054228,-15.83235938266689,-0.09491140515541614,-8.515666196490729,-7.078258296563715,-3.9822326045846936,-36.58396762016288,-26.843329441612557
