episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9251623077052122,-2.5400609396945533,-0.020767628837993834,-0.0090353164163195,-0.003805184640983741,-0.006570566830035711,-0.004513005303294955,0.01,0.01,0.0,0.97,100,11,1,12
1,0.924958207957205,-2.578899532020541,-0.04058760033923987,-0.017873090418673396,-0.0074223984224603915,-0.012638392749174065,-0.00901050096613049,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9231787191986197,-2.6176142622481726,-0.06047277763012589,-0.026579107480124296,-0.010881222270070594,-0.018615269898858783,-0.013442651321643772,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9254855994641661,-2.6540127532117337,-0.07917318123236329,-0.03464034947918258,-0.014372136231794657,-0.024168492252594837,-0.01733086079071081,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9180197494863808,-2.6936699438518787,-0.09981466987000834,-0.04372554378230545,-0.018051818724328015,-0.030771043655218742,-0.02184516399855425,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9253059243015217,-2.728080986676203,-0.11748608354020208,-0.05140694781260873,-0.021542569307338055,-0.036155125058429445,-0.02571233917089959,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9278250385156407,-2.760120095808687,-0.13401859929811183,-0.05870994746145021,-0.02444872984306693,-0.04129674637541433,-0.029349733104224607,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9264144336429274,-2.7921661194081935,-0.15058807343388514,-0.06593857958584312,-0.02739032724878866,-0.046398850155210815,-0.033009221465050434,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9275972043156681,-2.8109902572474095,-0.1596178337742962,-0.07107300291579456,-0.028581533635027967,-0.051366200083970796,-0.036230044344631555,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.925869283901652,-2.838251330623141,-0.17324893122395615,-0.07737553612210188,-0.03095758265686856,-0.0562962354548346,-0.03954967438760377,0.007868,0.01,0.0,0.97,100,11,1,12
10,0.9176986540755802,-2.871778728395958,-0.1905564174002544,-0.0851548595326086,-0.03399237102704163,-0.06177066857780619,-0.04366330500537546,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.922420898585342,-2.9023833940413617,-0.20627574353788455,-0.09203152764550877,-0.036865336594735766,-0.06649810318411552,-0.047242278822204845,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9249274579931169,-2.9306719022545,-0.2209446886608206,-0.09852743928030841,-0.03951226238740517,-0.07124355167328754,-0.05048834086421371,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9248991257565569,-2.9586588497065303,-0.23543018491358095,-0.10518703036835993,-0.04193364380317564,-0.07575170950346555,-0.053616569478019745,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9264951274863169,-2.985578464072362,-0.24916675526940135,-0.11128930184729616,-0.0442862938332528,-0.08026558059072096,-0.05663686815322528,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.9300958809799674,-3.0087290607202952,-0.26050264814355417,-0.11634730437160974,-0.04618600366769521,-0.08395722062158135,-0.059078183974336625,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9253553308020563,-3.034758617996058,-0.2740128165291359,-0.12233271523314687,-0.048634873204490024,-0.08825772556627011,-0.06209521178770649,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9212225715927918,-3.061765662861044,-0.287703410394078,-0.12845242528955184,-0.05096303144013106,-0.09268201987452504,-0.06518924758620369,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9178824510212589,-3.089847045841093,-0.30216549738440335,-0.1349565067642205,-0.0534129053259131,-0.09731672906007675,-0.06862956934596466,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9222237320379114,-3.1134466661177527,-0.3143228137149136,-0.1405172359649688,-0.05545485562626081,-0.10150177211627379,-0.07150417801744276,0.006362,0.01,0.0,0.97,100,11,1,12
