seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9526,400.9212,2031,828,60282,58251,58251,238,42,223,238,238,230,7057,7287,0.0157,0.0328,0.9514,0.0078,0.0183,0.9739,6,14,218,224,223,230
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9487,398.2015,2114,969,60062,57948,57949,186,42,230,186,186,183,7410,7593,0.0079,0.0329,0.9593,0.0104,0.0196,0.97,8,15,232,170,230,183
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.948,398.72,2205,883,59410,57205,57208,243,42,215,243,243,229,7192,7421,0.0157,0.0288,0.9556,0.0013,0.0209,0.9778,1,16,205,231,215,229
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9521,397.3693,2060,793,59520,57460,57463,246,42,217,246,246,240,7112,7358,0.0105,0.0276,0.9619,0.0078,0.0209,0.9713,6,16,215,237,217,240
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9474,397.4728,2173,926,58938,56765,56764,232,42,199,232,232,225,7118,7363,0.0105,0.0316,0.9578,0.0065,0.0261,0.9674,5,20,196,222,199,225
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9539,398.2716,1989,752,59402,57413,57413,228,42,238,228,228,223,7142,7378,0.0132,0.0448,0.942,0.0039,0.0261,0.97,3,20,232,212,238,223
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.951,398.9377,2068,855,59646,57578,57578,210,42,217,210,210,196,7300,7505,0.0106,0.0317,0.9578,0.004,0.0343,0.9617,3,26,212,206,217,196
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9504,396.9913,2098,838,59136,57038,57039,205,42,215,205,205,197,7351,7563,0.0131,0.0327,0.9542,0.0026,0.0235,0.9739,2,18,208,196,215,197
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9505,398.1715,2133,810,59402,57269,57269,206,42,226,206,206,197,7561,7763,0.0143,0.0261,0.9596,0.0052,0.0169,0.9778,4,13,221,201,226,197
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,5,18,0.9505,399.1966,2137,828,59852,57715,57715,238,42,218,238,238,243,7216,7442,0.0119,0.0264,0.9618,0.0052,0.0286,0.9661,4,22,214,238,218,243
