episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
95,0.9374792151646159,-8.26540697591359,-6.383886758880084,-1.829682131872707,-1.1744657226688817,0.036854,0.1,0.113068,0.2,1295,773,1343,33077,37701,37693,0,0,0,0,3510,3506,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9449847842950057,-8.280428320602876,-6.38746455550769,-1.8305130803491427,-1.1754102499015806,0.03661,0.1,0.112391,0.2,1175,669,1175,33518,38537,38531,0,0,0,0,3496,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9399521035981433,-8.313453621207346,-6.39570807301856,-1.8364607814299718,-1.1816062140989136,0.03637,0.1,0.111718,0.2,1230,801,1111,33823,38618,38615,0,0,0,0,3444,3454,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.9404443375522352,-8.325838616113229,-6.40347716540044,-1.836839632002985,-1.1841845516855736,0.036133,0.1,0.11105,0.2,1362,619,1348,33263,38052,38045,0,0,0,0,3432,3432,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.9367596081386587,-8.341782173703594,-6.419795857224858,-1.8388606472906166,-1.1873957218462592,0.035899,0.1,0.110385,0.2,1332,766,1395,33175,37858,37853,0,0,0,0,3499,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.9342869112454366,-8.37411398988414,-6.440761221986058,-1.8391568929902233,-1.1889404249625126,0.035668,0.1,0.109724,0.2,1431,765,1326,33418,38228,38219,0,0,0,0,3508,3519,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.940864933571407,-8.384739906752737,-6.447512232576593,-1.8408933689247458,-1.1906764952457174,0.03544,0.1,0.109067,0.2,1275,679,1287,33043,37867,37860,0,0,0,0,3473,3473,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9418680795332778,-8.396571120753967,-6.448510092364968,-1.8463983334709597,-1.1928506439217548,0.035215,0.1,0.108415,0.2,1269,684,1343,33596,38546,38540,0,0,0,0,3587,3591,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.9424066439984353,-8.422538480842032,-6.468742882519332,-1.8563793762969432,-1.1981241584284945,0.034993,0.1,0.107766,0.2,1279,635,1247,33233,38120,38107,0,0,0,0,3453,3443,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
104,0.9344833697642819,-8.45443173433288,-6.498327067237929,-1.8661472180931749,-1.2021149070816481,0.034774,0.1,0.107121,0.2,1465,753,1376,33854,38528,38524,0,0,0,0,3546,3555,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
105,0.9390273119310014,-8.464075491625149,-6.506076938062056,-1.8714382000163876,-1.203864269621503,0.034557,0.1,0.10648,0.2,1208,828,1455,33392,38315,38308,0,0,0,0,3566,3562,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
106,0.9414724182072579,-8.490624306123895,-6.512991066154425,-1.8756555910825194,-1.2081980717621332,0.034343,0.1,0.105842,0.2,1196,770,1201,33591,38554,38550,0,0,0,0,3504,3511,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
107,0.9362733506739181,-8.521283178863117,-6.530439482638165,-1.8826088246694328,-1.2117697011296944,0.034131,0.1,0.105209,0.2,1373,783,1458,33832,38636,38631,0,0,0,0,3491,3500,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
108,0.9419103197760972,-8.536535491866587,-6.532014205590239,-1.8861198319054318,-1.214490642510052,0.033923,0.1,0.104579,0.2,1251,700,1236,33586,38413,38407,0,0,0,0,3416,3410,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
109,0.9436890867524967,-8.546882090852558,-6.539322791327269,-1.8861478230393098,-1.2173299760425291,0.033716,0.1,0.103953,0.2,1165,707,1282,33244,38087,38081,0,0,0,0,3438,3447,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
110,0.935477153736316,-8.582427457101225,-6.562153960021231,-1.8958612706826,-1.2231865407373286,0.033512,0.1,0.103331,0.2,1394,775,1492,33616,38487,38484,0,0,0,0,3412,3426,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
111,0.9401604502185236,-8.606030594699345,-6.5713579399711906,-1.9012663358452002,-1.2255981037911245,0.033311,0.1,0.102712,0.2,1252,747,1484,33406,38299,38294,0,0,0,0,3531,3511,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
112,0.9435656517602283,-8.60409114178751,-6.570696160609186,-1.9037760409327373,-1.2263731577777008,0.033112,0.1,0.102098,0.2,1236,662,1213,33632,38489,38486,0,0,0,0,3459,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
113,0.937105588936864,-8.620454635974014,-6.584124710906229,-1.907439573392047,-1.2297578911678173,0.032916,0.1,0.101486,0.2,1279,804,1368,33119,38029,38024,0,0,0,0,3458,3465,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
114,0.9403766319716022,-8.62244168589603,-6.581220181482187,-1.9066169876567334,-1.2319099100345925,0.032721,0.1,0.100879,0.2,1221,761,1313,33242,38198,38195,0,0,0,0,3298,3311,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
115,0.9414594788429357,-8.630974735761916,-6.581533550403725,-1.9054210508792222,-1.2340129679798229,0.032529,0.1,0.100275,0.2,1222,737,1273,33464,38391,38385,0,0,0,0,3436,3448,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
116,0.9412275969549841,-8.632803348326929,-6.583327053291924,-1.9071800910132852,-1.2350110479758285,0.03234,0.1,0.099675,0.2,1320,641,1237,33366,38193,38186,0,0,0,0,3528,3533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
117,0.9377831108444578,-8.654122833439482,-6.591243960706261,-1.9153210020172122,-1.2381635418308312,0.032152,0.1,0.099078,0.2,1272,802,1486,33335,38170,38162,0,0,0,0,3396,3394,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
118,0.940623690668582,-8.66797922164448,-6.599510619787458,-1.9207792799525825,-1.238249063187673,0.031967,0.1,0.098485,0.2,1321,663,1300,33414,38184,38176,0,0,0,0,3340,3346,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
119,0.9357085213856592,-8.683579725397383,-6.606421829600939,-1.9232974030949508,-1.2386207088126457,0.031783,0.1,0.097896,0.2,1356,795,1214,33457,38144,38136,0,0,0,0,3489,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
120,0.9344188150158299,-8.708519975800167,-6.622649833885583,-1.9301811300851683,-1.2421247585548192,0.031602,0.1,0.09731,0.2,1256,919,1308,33165,38157,38147,0,0,0,0,3406,3406,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
121,0.9370771110912397,-8.727125032741162,-6.631913628721189,-1.9369648150301289,-1.2477928165613341,0.031423,0.1,0.096727,0.2,1373,738,1454,33549,38398,38390,0,0,0,0,3526,3520,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
122,0.9373960883891055,-8.743810865666251,-6.6471643705435985,-1.9434541111249395,-1.250483075582588,0.031246,0.1,0.096148,0.2,1301,770,1241,33081,37999,37987,0,0,0,0,3437,3449,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
123,0.9373057614152522,-8.74323163536131,-6.651759224594902,-1.9384928678402171,-1.2506674792833896,0.031071,0.1,0.095573,0.2,1392,706,1386,33464,38224,38216,0,0,0,0,3511,3505,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
124,0.9373856718745315,-8.74804663504317,-6.6509402897806575,-1.9434694620809665,-1.2517742962971836,0.030898,0.1,0.095001,0.2,1356,732,1209,33347,38194,38191,0,0,0,0,3483,3479,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
125,0.9401673640167364,-8.772519274993176,-6.662152593440979,-1.9487267941240174,-1.2558405088435893,0.030727,0.1,0.094432,0.2,1254,748,1317,33460,38083,38076,0,0,0,0,3376,3367,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
126,0.9318522516040055,-8.79299718865207,-6.682944338974282,-1.9575808102545917,-1.2605675243467749,0.030557,0.1,0.093867,0.2,1457,816,1526,33354,38192,38189,0,0,0,0,3531,3529,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
127,0.9351552057032526,-8.823757547874687,-6.707906901700468,-1.9619683091895888,-1.264599822502946,0.03039,0.1,0.093305,0.2,1452,731,1210,33665,38414,38410,0,0,0,0,3508,3493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
128,0.9311778153855289,-8.848339637908552,-6.7234632781236625,-1.9699868929613262,-1.2666270523921923,0.030224,0.1,0.092747,0.2,1494,824,1359,33681,38337,38331,0,0,0,0,3487,3486,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
129,0.9419626730885009,-8.852832335782114,-6.726218037544266,-1.9694688088547032,-1.2668809763474782,0.03006,0.1,0.092192,0.2,1305,623,1295,33220,38250,38237,0,0,0,0,3555,3563,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
130,0.9332391487315138,-8.877878766122867,-6.741983726868437,-1.976775359913975,-1.2703311294615285,0.029898,0.1,0.09164,0.2,1493,728,1359,33268,37748,37738,0,0,0,0,3517,3525,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
131,0.9408833387713939,-8.894098729192988,-6.749716171737967,-1.9788119486623779,-1.2706706425522922,0.029738,0.1,0.091091,0.2,1320,673,1185,33713,38555,38547,0,0,0,0,3498,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
132,0.9385484937766821,-8.905963859045144,-6.756703919399418,-1.979915381003099,-1.273359514419508,0.029579,0.1,0.090546,0.2,1358,686,1087,33262,38207,38200,0,0,0,0,3516,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
133,0.9350568215624442,-8.937609122220769,-6.774145045361325,-1.9913548080187273,-1.2784547450423625,0.029422,0.1,0.090004,0.2,1341,842,1327,33614,38576,38572,0,0,0,0,3424,3410,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
134,0.9371124089349148,-8.955135113690714,-6.787530904142464,-1.9917734839408727,-1.2789535289853693,0.029267,0.1,0.089465,0.2,1448,641,1346,33218,38087,38084,0,0,0,0,3478,3477,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
135,0.939137529841951,-8.978309386244382,-6.806745463036911,-1.9987121133192196,-1.2808475333693927,0.029113,0.1,0.08893,0.2,1315,699,1190,33091,38054,38048,0,0,0,0,3535,3539,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
136,0.9441444129494256,-8.986386707756749,-6.8112283856129086,-1.99967403692836,-1.2826028433969927,0.028961,0.1,0.088398,0.2,1200,672,1155,33515,38427,38414,0,0,0,0,3478,3481,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
137,0.9324951354587636,-9.018325998209539,-6.838035409891516,-2.0062184903652933,-1.2870541868117542,0.028811,0.1,0.087869,0.2,1476,779,1338,33405,37791,37781,0,0,0,0,3564,3555,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
138,0.9305204192265992,-9.048879550253517,-6.8601511396408466,-2.0116988425603606,-1.2921052533257438,0.028662,0.1,0.087343,0.2,1538,769,1260,33204,37852,37847,0,0,0,0,3523,3522,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
139,0.9413462405675976,-9.058839801715994,-6.859922523190967,-2.010495465355635,-1.2940076121069761,0.028514,0.1,0.08682,0.2,1286,665,1150,33263,37849,37844,0,0,0,0,3508,3497,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
140,0.9433990442054958,-9.070865777298001,-6.865132150259272,-2.011125002102818,-1.2949615740572307,0.028368,0.1,0.0863,0.2,1277,618,1201,33480,38303,38297,0,0,0,0,3563,3556,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
141,0.9331855791962175,-9.0958371801054,-6.882890464874644,-2.0156741820350534,-1.2991044202090687,0.028224,0.1,0.085784,0.2,1272,989,1486,33840,38748,38741,0,0,0,0,3461,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
142,0.9391145019824583,-9.11491408019648,-6.8874866823798016,-2.022200457851191,-1.2989971742699327,0.028081,0.1,0.08527,0.2,1312,715,1225,33292,38089,38077,0,0,0,0,3478,3486,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
143,0.9397816290112815,-9.137783057801261,-6.901182839250033,-2.028400145040676,-1.3013210761193905,0.02794,0.1,0.08476,0.2,1275,716,1143,33063,37726,37718,0,0,0,0,3455,3474,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
144,0.9461979702897485,-9.15042428685243,-6.898489937933128,-2.030779544839855,-1.3023242745336592,0.027799,0.1,0.084252,0.2,1301,528,1228,33995,38720,38709,0,0,0,0,3518,3534,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
145,0.9414811449341208,-9.163891994850722,-6.90829683995138,-2.035176409738229,-1.3055528567140728,0.027661,0.1,0.083748,0.2,1204,728,1298,33015,37916,37911,0,0,0,0,3590,3588,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
146,0.9332303779069767,-9.176422719360295,-6.9147160935083605,-2.0344127143435964,-1.3085047503615204,0.027523,0.1,0.083247,0.2,1338,867,1085,33024,37779,37772,0,0,0,0,3482,3484,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
147,0.9337296940215596,-9.191504331458308,-6.925901078043235,-2.0349505242260486,-1.3100379483096385,0.027387,0.1,0.082749,0.2,1436,771,1211,33303,38067,38060,0,0,0,0,3404,3406,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
148,0.9346119268804315,-9.206928246872101,-6.936283275069804,-2.039488639682107,-1.3123518660649776,0.027253,0.1,0.082253,0.2,1343,839,1377,33370,38265,38258,0,0,0,0,3445,3439,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
149,0.9430492739823851,-9.213502302142679,-6.944001975893462,-2.0483246832931163,-1.3149127009811963,0.02712,0.1,0.081761,0.2,1256,658,1210,33608,38448,38443,0,0,0,0,3499,3506,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
150,0.9358951337762614,-9.246019384105837,-6.963121919220863,-2.054390913252087,-1.3181151269609506,0.026988,0.1,0.081272,0.2,1416,726,1307,33414,38275,38267,0,0,0,0,3549,3560,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
151,0.9396510083323271,-9.25341242182063,-6.967595745853915,-2.0569979719718754,-1.3218343319832981,0.026857,0.1,0.080785,0.2,1278,721,1331,33124,37890,37880,0,0,0,0,3470,3466,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
152,0.9309170590151313,-9.266136059856436,-6.978435130436251,-2.063966770102048,-1.3241632037937947,0.026727,0.1,0.080302,0.2,1563,770,1379,33771,38488,38482,0,0,0,0,3551,3543,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
153,0.9321419946872735,-9.291036911841362,-6.993377824970906,-2.067191849127417,-1.327181769225377,0.026599,0.1,0.079821,0.2,1447,801,1293,33128,37588,37582,0,0,0,0,3516,3531,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
154,0.9409471083727714,-9.304320194297983,-6.997016658895367,-2.06755116783653,-1.3290765809990799,0.026472,0.1,0.079343,0.2,1241,743,1239,33597,38414,38407,0,0,0,0,3457,3456,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
155,0.9376508087819119,-9.313648718104472,-6.995861040663921,-2.0703231801704316,-1.3280391501251836,0.026346,0.1,0.078868,0.2,1545,548,1303,33569,38157,38152,0,0,0,0,3471,3481,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
156,0.9424195192134764,-9.309696048565293,-6.992269543196773,-2.0704885146838983,-1.3279158273235634,0.026222,0.1,0.078396,0.2,1204,717,1164,33362,38135,38126,0,0,0,0,3474,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
157,0.937018264703236,-9.326744770112288,-7.0037597714123585,-2.075075441326639,-1.329814434277346,0.026098,0.1,0.077927,0.2,1264,836,1221,33343,38070,38063,0,0,0,0,3499,3496,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
158,0.9361560361015204,-9.342504055637656,-7.0073248202517195,-2.0761597604036104,-1.331037662027591,0.025976,0.1,0.077461,0.2,1286,822,1494,33018,37725,37718,0,0,0,0,3478,3497,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
159,0.9375851318218966,-9.354141981873237,-7.017602070361663,-2.0772485981194233,-1.3332572959237736,0.025855,0.1,0.076997,0.2,1350,712,1178,33037,37967,37962,0,0,0,0,3433,3440,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
160,0.9300722556459171,-9.381905412194188,-7.035575515949612,-2.080722607969587,-1.3364146942598902,0.025735,0.1,0.076536,0.2,1404,909,1580,33077,37732,37720,0,0,0,0,3499,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
161,0.9324808184143223,-9.405928164987678,-7.047340500732681,-2.085772605702542,-1.3404369822825957,0.025616,0.1,0.076078,0.2,1458,786,1270,33235,37768,37765,0,0,0,0,3578,3563,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
162,0.933454686520844,-9.416551847669185,-7.0535015903856895,-2.092888231106593,-1.3429059342257093,0.025498,0.1,0.075623,0.2,1367,863,1226,33511,38165,38160,0,0,0,0,3404,3407,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
163,0.9373044524669073,-9.432507959412433,-7.068063324989456,-2.096448157140055,-1.3456837665586088,0.025381,0.1,0.07517,0.2,1398,686,1044,33240,37823,37819,0,0,0,0,3515,3512,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
164,0.9461677186654643,-9.415470889434346,-7.053087333292598,-2.094390646432088,-1.343158694007853,0.025266,0.1,0.07472,0.2,1173,618,1105,33270,38119,38113,0,0,0,0,3462,3462,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
165,0.9371252098824658,-9.430463721163285,-7.053455341548994,-2.097563668327993,-1.3441367891328204,0.025151,0.1,0.074273,0.2,1447,650,1395,33352,38033,38025,0,0,0,0,3553,3544,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
166,0.9347485224942709,-9.45810723738921,-7.069558550025381,-2.1059328331646863,-1.3463579646662949,0.025038,0.1,0.073828,0.2,1405,759,1419,33164,37894,37890,0,0,0,0,3500,3519,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
167,0.932994289793005,-9.485790763145307,-7.090427519918476,-2.1115748336747835,-1.3511442021523967,0.024925,0.1,0.073386,0.2,1467,786,1192,33624,38343,38335,0,0,0,0,3481,3492,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
168,0.9396070383001841,-9.500764383472415,-7.105082000948539,-2.1136800894387284,-1.3534974733962557,0.024814,0.1,0.072947,0.2,1320,681,1187,33133,38035,38027,0,0,0,0,3481,3481,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
169,0.9295473446596174,-9.52204299220276,-7.121524838728571,-2.1139964731282697,-1.353198513777167,0.024703,0.1,0.07251,0.2,1436,936,1289,33668,38552,38548,0,0,0,0,3513,3502,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
170,0.9387513291812244,-9.533677871546308,-7.124109366062678,-2.1171495471995447,-1.3551336593108474,0.024593,0.1,0.072076,0.2,1369,647,1171,32915,37742,37736,0,0,0,0,3509,3499,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
171,0.9348767737117252,-9.564531687601486,-7.145227495705477,-2.1263657036217016,-1.3596026639978764,0.024485,0.1,0.071645,0.2,1267,913,1490,33475,38463,38453,0,0,0,0,3548,3533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
172,0.9397092487439427,-9.57979207311895,-7.155709402485852,-2.1274829840390694,-1.360453768707433,0.024377,0.1,0.071216,0.2,1192,836,1340,33637,38250,38246,0,0,0,0,3552,3552,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
173,0.9426029256522395,-9.592487558600507,-7.159264642203215,-2.127555511403788,-1.363088566495286,0.02427,0.1,0.07079,0.2,1254,649,1267,33155,38050,38045,0,0,0,0,3530,3512,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
174,0.9396041077541301,-9.59482197794806,-7.1615359347023,-2.1300281981249,-1.3651984808972277,0.024165,0.1,0.070366,0.2,1286,743,1194,33595,38372,38365,0,0,0,0,3467,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
175,0.9411871209149341,-9.6036633490217,-7.1681894720982315,-2.1311112923603286,-1.366151418769177,0.02406,0.1,0.069945,0.2,1238,711,1194,33139,37725,37716,0,0,0,0,3444,3451,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
176,0.9352778112570809,-9.628226129720602,-7.188001556396493,-2.1390500236410293,-1.3707540389202209,0.023956,0.1,0.069526,0.2,1540,608,1062,33188,37703,37695,0,0,0,0,3420,3408,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
177,0.9405591269248019,-9.636995936670525,-7.196180395760443,-2.1414050545483607,-1.3725580643162352,0.023853,0.1,0.06911,0.2,1327,661,1246,33445,38148,38141,0,0,0,0,3477,3487,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
178,0.9384845314601704,-9.644116885134894,-7.204646000170823,-2.143676618473907,-1.3721224523701439,0.023751,0.1,0.068697,0.2,1414,644,1449,33455,38186,38181,0,0,0,0,3505,3513,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
179,0.9258845550054341,-9.679427913780087,-7.220367245935424,-2.1529544989685223,-1.377501616214298,0.023649,0.1,0.068285,0.2,1489,966,1335,33124,37751,37744,0,0,0,0,3507,3495,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
180,0.9317313432835821,-9.699960229481977,-7.23409290926108,-2.1576499367190314,-1.3795478671980397,0.023549,0.1,0.067877,0.2,1549,738,1235,33500,38213,38207,0,0,0,0,3510,3507,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
181,0.9406254631688158,-9.718657115648526,-7.2461811489981445,-2.1636556036329493,-1.3826236596659078,0.023449,0.1,0.06747,0.2,1363,640,1472,33735,38343,38342,0,0,0,0,3521,3534,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
182,0.9421752410612685,-9.725852356571844,-7.249788146521841,-2.1658452855228476,-1.3819904427167702,0.02335,0.1,0.067067,0.2,1247,684,1182,33394,38471,38468,0,0,0,0,3422,3436,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
183,0.9370401387808818,-9.744231391611281,-7.260901991432961,-2.1715714180794565,-1.3850142534865084,0.023253,0.1,0.066665,0.2,1328,777,1315,33434,38452,38447,0,0,0,0,3450,3447,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
184,0.9428717855958518,-9.750488065151464,-7.268197187327417,-2.1736425299806945,-1.3865438315968288,0.023155,0.1,0.066266,0.2,1153,742,1326,33171,38219,38215,0,0,0,0,3473,3467,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
185,0.9374533735191429,-9.772864340966523,-7.283790767742838,-2.1780397747156037,-1.3889349711456742,0.023059,0.1,0.065869,0.2,1371,725,1205,33511,38325,38321,0,0,0,0,3485,3481,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
186,0.936998406925366,-9.78456710817556,-7.2881119579433085,-2.181219164074052,-1.392117322030312,0.022964,0.1,0.065475,0.2,1300,796,1343,33269,38036,38032,0,0,0,0,3476,3475,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
187,0.936641744362694,-9.796321249973731,-7.2979421910073405,-2.1826987879127873,-1.393929437735381,0.022869,0.1,0.065083,0.2,1301,826,1215,33571,38462,38454,0,0,0,0,3468,3465,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
188,0.9381186633871258,-9.80846830269192,-7.307390609273708,-2.184758907474652,-1.3967983721421018,0.022775,0.1,0.064694,0.2,1259,804,1394,33338,38180,38176,0,0,0,0,3477,3487,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
189,0.9437255312154449,-9.812851566581708,-7.312756235735478,-2.185522897484673,-1.3971441352848009,0.022682,0.1,0.064307,0.2,1294,589,1223,33461,38357,38348,0,0,0,0,3476,3487,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
190,0.9430792601197391,-9.817451414611766,-7.321098634904334,-2.1875637646271215,-1.3986351186326254,0.022589,0.1,0.063922,0.2,1285,626,1321,33573,38450,38444,0,0,0,0,3402,3392,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
191,0.9421004458354247,-9.828283892387088,-7.330138360855031,-2.1906655752898643,-1.4021040886906904,0.022498,0.1,0.063539,0.2,1175,786,1275,33869,38714,38708,0,0,0,0,3443,3446,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
192,0.9375037575903324,-9.838738610085478,-7.336674918064339,-2.1930559440798385,-1.4023498407397725,0.022407,0.1,0.063159,0.2,1344,735,1473,33266,38255,38250,0,0,0,0,3563,3557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
193,0.9382789317507418,-9.849966858388312,-7.345883365037041,-2.2003683184280276,-1.4043934262103748,0.022317,0.1,0.062781,0.2,1423,657,1376,33700,38457,38448,0,0,0,0,3581,3580,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
194,0.9308264388757803,-9.877715917922082,-7.365959260290488,-2.207642533866832,-1.4054835469485838,0.022227,0.1,0.062405,0.2,1558,758,1364,33481,38168,38162,0,0,0,0,3471,3489,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
195,0.9392564358532233,-9.885080784814823,-7.370336836046622,-2.2114620089219708,-1.4037584221434418,0.022138,0.1,0.062031,0.2,1419,589,1305,33057,37734,37730,0,0,0,0,3519,3528,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
196,0.9395934466019418,-9.894911259339425,-7.37423314630196,-2.2130793285615242,-1.405543912558533,0.02205,0.1,0.06166,0.2,1331,660,1089,32960,37892,37886,0,0,0,0,3581,3589,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
197,0.9376172324075754,-9.908269695024133,-7.385100184714282,-2.2146885259790148,-1.407811896106782,0.021963,0.1,0.061291,0.2,1299,763,1287,33054,37746,37738,0,0,0,0,3496,3496,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
198,0.93823423639415,-9.921675272375714,-7.394947614730003,-2.219329543596078,-1.410104878448062,0.021876,0.1,0.060924,0.2,1275,786,1108,33368,38220,38217,0,0,0,0,3469,3463,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
199,0.9386099341927342,-9.92538954988473,-7.39929121862302,-2.219906744142976,-1.4102802925818967,0.02179,0.1,0.06056,0.2,1291,752,1388,33279,38107,38103,0,0,0,0,3479,3485,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
200,0.9393161116918023,-9.936334368290275,-7.409817703093471,-2.219777997921923,-1.4097092224517198,0.021705,0.1,0.060197,0.2,1409,623,1339,33485,38273,38265,0,0,0,0,3489,3489,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
