episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
16,0.9366933921492653,-4.182045963503411,-3.501090185398512,-0.8968909619627639,-0.5793459490429973,0.077605,0.1,0.181683,0.2,1419,705,1357,33551,38198,38193,0,0,0,0,3363,3363,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9312120490534588,-4.34861672703276,-3.6283953618935016,-0.9354935102414454,-0.5994495989800595,0.076534,0.1,0.180595,0.2,1462,849,1253,33596,38242,38238,0,0,0,0,3471,3470,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9349612794113283,-4.474710865909503,-3.733707721941819,-0.9668413687881796,-0.6172787817923671,0.075492,0.1,0.179514,0.2,1477,715,1195,33703,38387,38383,0,0,0,0,3456,3464,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9300385495723407,-4.638109200576042,-3.854603533103609,-1.0049994891062046,-0.6422995335347514,0.074478,0.1,0.17844,0.2,1503,820,1267,33204,37712,37708,0,0,0,0,3460,3473,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9383192673729575,-4.751266478973094,-3.9353248624423585,-1.0316468389814424,-0.6572782940466128,0.07349,0.1,0.177372,0.2,1372,689,1339,33414,38067,38064,0,0,0,0,3440,3454,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9453490831092717,-4.82755307043239,-3.989097248542468,-1.0442423165733257,-0.6669470642033375,0.072529,0.1,0.17631,0.2,1122,687,1195,33101,38115,38111,0,0,0,0,3416,3425,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9389127536661235,-4.912487079646788,-4.0557086358544705,-1.0628561806609915,-0.6795377682529493,0.071593,0.1,0.175255,0.2,1360,702,1285,33755,38458,38455,0,0,0,0,3375,3385,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.936241207238622,-5.027880060505159,-4.149384570368532,-1.0833738626217262,-0.694796332020664,0.07068,0.1,0.174206,0.2,1512,609,1227,33266,37992,37979,0,0,0,0,3415,3421,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9360143519210644,-5.11085860486402,-4.216515636396541,-1.1024599828301864,-0.7050891999399099,0.06979,0.1,0.173163,0.2,1446,694,1245,33445,38079,38077,0,0,0,0,3491,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9309200693489568,-5.227680033303624,-4.312346410109241,-1.1299950972725408,-0.7209329657558919,0.068923,0.1,0.172127,0.2,1586,725,1246,33454,37886,37875,0,0,0,0,3395,3388,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
