episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9439898041320096,-2.5288318906550247,-0.014701064301092266,-0.005537415026957751,-0.0031795210823567684,-0.0025239110256451568,-0.000994618771921705,-0.003922921505984596,-0.002885385569671166,-3.535434940170318e-05,-3.306807466637381e-05,-0.008055900694461162,-0.00013633428302618994,0.01,0.01,0.0,0.97,100,15,0,15
1,0.9423902691684349,-2.5577307101325344,-0.02948733332497938,-0.011193549509117013,-0.006376858997632707,-0.005171220679730765,-0.0018058826234189649,-0.007823686847289818,-0.005643255533790497,-6.650368303410125e-05,-5.784043008473462e-05,-0.015358997707049075,-0.0006461178251244616,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9376225510734217,-2.5884375072807932,-0.0453298570535781,-0.017320513726877172,-0.009921012543468475,-0.008188480136515254,-0.0028911342791171873,-0.012002749884112426,-0.00899552796374733,-0.00010429891203669913,-9.261726510205508e-05,-0.023511761725215817,-0.0008606960917732789,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9409135798336207,-2.616348456587759,-0.05980816840035407,-0.022863536707812944,-0.013197770651875244,-0.010882997371243578,-0.0038561287919960646,-0.01593009616529658,-0.011736471801694683,-0.00013604149267644808,-0.00011637266582625049,-0.030217563994659864,-0.001078042661151715,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.940098427480157,-2.644376077061033,-0.07412488698181918,-0.028460913803912958,-0.016308740740155703,-0.013519875306530971,-0.0046487482195594005,-0.019930504073169212,-0.014571316697463008,-0.00017206998332615968,-0.0001393258575249151,-0.03730320279473867,-0.0015013392487971732,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.947990227249908,-2.6671945917046767,-0.08565094956390713,-0.03284183274197685,-0.01882698436701207,-0.01554699486894472,-0.005324996568985166,-0.023006392898289534,-0.016837334844625254,-0.00019670343347895757,-0.00015619451634048373,-0.04310604066435559,-0.001564623051797475,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9413951930324094,-2.6927424071349764,-0.09853271567557967,-0.0377157174354212,-0.021709807074761032,-0.017819597109415768,-0.006177409066052464,-0.0265105506377722,-0.019459698415465163,-0.0002231381129766564,-0.00018004528911242,-0.049311721198530056,-0.0016008809552849833,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9411440960640427,-2.716974170781226,-0.11122893106083706,-0.0425907816134182,-0.024555323293748613,-0.020134025853171318,-0.007043078565243626,-0.029870834077636712,-0.022144007606056018,-0.0002518120275547625,-0.0002036734712242978,-0.05574205953175497,-0.0018174916342997192,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9421074057739933,-2.74037386035218,-0.1233138876951419,-0.04725265639383427,-0.027359851712784326,-0.02241969213004504,-0.007867885795523041,-0.0332609438846975,-0.024751370305784733,-0.000281995971828077,-0.0002254203710568701,-0.06171295541511876,-0.0021860539457211315,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9423655335808983,-2.763398751151472,-0.13504429476462848,-0.051840347537445326,-0.029957353522135115,-0.024574625847774517,-0.00868221890881585,-0.036558086244963636,-0.027237930306020845,-0.00030786951690638293,-0.0002480712590733021,-0.0679052048170672,-0.002348708123722321,0.007868,0.01,0.0,0.97,100,13,1,14
