episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9325840809058227,-2.790216978065846,-0.14909035865176265,-0.05720382837391227,-0.03319126039317482,-0.02703601190747843,-0.009705349489523016,-0.04014202704331046,-0.03024375123199063,-0.000344073119453344,-0.00027240150336694174,-0.07533348623119519,-0.0023960201048391135,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9432133663116451,-2.8104127657035254,-0.15928819976167652,-0.0612236143197139,-0.03540052624900209,-0.0289253557192665,-0.010304012890197315,-0.042972056503698994,-0.03246821638413988,-0.00037206477207391177,-0.0002900729002482841,-0.0808857413575417,-0.0025813239767625675,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9421487603305785,-2.8288253114602266,-0.1687054851766507,-0.06513777409146106,-0.03741147248089757,-0.030847511301565548,-0.01080079206445094,-0.045882451161418356,-0.034695456457456295,-0.0003957749283865512,-0.0003096970822162633,-0.08596947085753025,-0.0027118187911800407,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9430901143241426,-2.849402234620541,-0.1794805691481382,-0.06944843164412795,-0.0397652896943092,-0.03300030049348982,-0.011494114953303372,-0.0487867854592659,-0.036924155022864974,-0.0004195880192769424,-0.00033425520546706187,-0.09171488384966707,-0.0027707534203289955,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9431149208678685,-2.8696047079701215,-0.18987448340370316,-0.07341807861285084,-0.042161294115763075,-0.03489879130831279,-0.012166971879609112,-0.051552349062876986,-0.038931055531379447,-0.000439093314328614,-0.0003529088690338983,-0.0967296350611308,-0.0029162158948647095,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9404929813956612,-2.889665917351315,-0.20028096744621945,-0.07754071582787667,-0.04436175002493933,-0.03695618453690309,-0.012802146385842473,-0.054431537848802954,-0.04097852604956406,-0.00046995579881479473,-0.0003704267765464271,-0.10272707823605762,-0.002927588832558233,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9406840911000924,-2.9075811080713914,-0.20956321093038124,-0.08131520466021569,-0.04646386305077699,-0.03880355816121613,-0.013472933473817629,-0.05706629706994853,-0.04312728506392309,-0.0004917786453932382,-0.00038719018139540953,-0.10744190984828193,-0.0031001678097157238,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9416068260538988,-2.9267719245280834,-0.21920139772405514,-0.08507121945119762,-0.0485077871789659,-0.04061145931198608,-0.014023573577174457,-0.05960619239141521,-0.04518959604992766,-0.0005115890603106408,-0.00040998544336745936,-0.11306137462448528,-0.0031614272490669546,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.939474254471504,-2.94653877506317,-0.22936778279190523,-0.08889781162898172,-0.05078677932704399,-0.042405554940112826,-0.01463761151172912,-0.062330742390367185,-0.047280662516987045,-0.000531827567842781,-0.0004295073629148385,-0.11827937752577004,-0.003186116381006999,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9416720453850597,-2.964849225528267,-0.23880483166868147,-0.09257847050536795,-0.05294363827148367,-0.044208128416982045,-0.015252758674603331,-0.06505013976802437,-0.04928672570419331,-0.0005511458346367413,-0.0004452155150039153,-0.12271126144708315,-0.0032728068936499445,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.9411371684372286,-2.9834111195149275,-0.24819779067435438,-0.09616870783238686,-0.055006777271061666,-0.04590867527253549,-0.01577757654382653,-0.06756368110604233,-0.05129527510840099,-0.0005733591508340101,-0.0004634017266392447,-0.12746224004946047,-0.0033713376360925587,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.9400974053522035,-3.001572948666584,-0.25747264801559216,-0.09981557696459535,-0.0570640219761466,-0.04760041488594493,-0.016320874426192407,-0.07009792150926869,-0.05320481162856301,-0.0005995731058602193,-0.0004810116335198381,-0.13268122580636463,-0.003484400519007661,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9429273347148873,-3.017624401482288,-0.2655067009025669,-0.10304962521351271,-0.05883351258240263,-0.04914589924737386,-0.016843721269384392,-0.07260404844707045,-0.05504740090901694,-0.0006179831917804041,-0.000498301638460237,-0.1364966248361658,-0.003684841119195025,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9396702852134043,-3.034590740426626,-0.2740596502744257,-0.10640317537140077,-0.06068896142200681,-0.05081062393951373,-0.017295892136138632,-0.07495650561526357,-0.05692411202232262,-0.0006350320789154769,-0.0005161107783632372,-0.1405910818025588,-0.0037327351980106253,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9407073162609477,-3.051910594421561,-0.28300285979311096,-0.10989374843496022,-0.06267565666510755,-0.05257660754145685,-0.01789458002124681,-0.07738582022106416,-0.05878991791731227,-0.0006578366486935848,-0.0005327515999576964,-0.14559995610988274,-0.004047972240354135,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9348174112333799,-3.070610519099708,-0.29258942007869504,-0.11360435890480028,-0.0648531477399377,-0.05437078906736829,-0.01854081484317811,-0.07998426918838894,-0.06085674167997786,-0.0006812381682073783,-0.0005488428247800689,-0.1503843602620673,-0.00419699686225245,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.9400094314201024,-3.0872778919874264,-0.3011036903926405,-0.11690550618985539,-0.0666961386259987,-0.05598441808808943,-0.019044208073156023,-0.08234669304444776,-0.06265543561081632,-0.0007014675259978205,-0.0005641955697901147,-0.15508292049141353,-0.004214658703216508,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.942116832078865,-3.102611749117814,-0.309055825952761,-0.12002318667474801,-0.06848287399761302,-0.05753924166608684,-0.019523614926185165,-0.08460171901577583,-0.0643625375007038,-0.000717409470689585,-0.0005774775381357641,-0.15883987143201364,-0.004367851944606578,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9444771698335493,-3.116448008427255,-0.31614168142464727,-0.12278909991133222,-0.07005718809165784,-0.05882665303597734,-0.020009065506420683,-0.08667095115855669,-0.06601233773196247,-0.0007327683135506092,-0.0005901578334399603,-0.16211700442105034,-0.004383515600174546,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9399253668903429,-3.129748759699757,-0.3231041468657651,-0.12586124215036068,-0.07158552352473345,-0.06040730843507833,-0.02053608791868281,-0.0889335015842159,-0.06762428670235004,-0.0007503921478158535,-0.0006055867971870105,-0.1661983303798352,-0.0044942362171663105,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9437150766826883,-3.143803351051136,-0.3303383479130959,-0.12864787364315428,-0.07315236708429503,-0.06169970722529226,-0.020950997032941024,-0.09081739088227368,-0.0690591232840075,-0.000768776808779914,-0.0006172560387871584,-0.17023786757478415,-0.004556276967043824,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9411337700047269,-3.158758208200613,-0.33795771285204446,-0.13160735926520695,-0.07484120147101732,-0.06306132844753774,-0.02142617350142539,-0.0928807622095315,-0.07067584698079223,-0.0007890984578977667,-0.000630650896293544,-0.17438299288101966,-0.00464611931248652,0.005173,0.01,0.0,0.97,100,13,1,14
32,0.9413265306122449,-3.1733821391163968,-0.3456242192844316,-0.1345996563301288,-0.07661802426231157,-0.06444982771738322,-0.02202076264376121,-0.09491328057391511,-0.0722321748713017,-0.0008086473019973387,-0.0006432972434843353,-0.17820146528599212,-0.0049615090446837,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.94011580658269,-3.187720982787459,-0.3529593042619939,-0.13749044505201635,-0.07818786137356586,-0.0658051229613666,-0.02247131684905206,-0.09693774982877516,-0.07373258753887375,-0.0008268588570052628,-0.0006585448819089214,-0.1822506452682694,-0.005020435418665051,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9422977416501144,-3.201648001354403,-0.36025684198227925,-0.14026107988358683,-0.07985373747588842,-0.06716383653789647,-0.022978455791256302,-0.09876592713420032,-0.075239752585522,-0.0008421881231079222,-0.0006724808774634962,-0.18581502601295538,-0.005045619740747006,0.004942,0.01,0.0,0.97,100,14,1,15
35,0.9418933328819756,-3.2153489647109215,-0.36723831302340904,-0.14292790756807616,-0.08139050077547602,-0.06840436667564614,-0.02339243781545817,-0.10069051368096514,-0.07664224079187347,-0.0008570606923788188,-0.000685864783079417,-0.18917795821028446,-0.005121778605664936,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9402065683329396,-3.229387420695825,-0.374513210844699,-0.14574129323422386,-0.08306013430739421,-0.069768783945985,-0.023884221420396316,-0.10263424374504879,-0.0781600248636737,-0.0008749004140335986,-0.0006985279800283997,-0.19269459871245323,-0.005243380865600193,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9428114853033678,-3.2413522571316937,-0.3807165564285049,-0.14827288831401592,-0.08438435678828572,-0.07100292950778574,-0.024244846398023052,-0.10447479382496468,-0.07958250973659302,-0.0008920339890581809,-0.000711287149016791,-0.1959057907124439,-0.00536362865843882,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9445637944345607,-3.253917406896554,-0.3870780176701148,-0.15071621391106657,-0.0857547885853724,-0.07215823350623857,-0.02462696265079552,-0.10624547642562376,-0.08094336027349698,-0.0009144438909832836,-0.0007216011335170665,-0.19944634831595126,-0.005434438922183222,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9435823449479106,-3.2665499515712253,-0.39359564462010826,-0.15326540783722073,-0.08716081849671602,-0.0733864402246276,-0.02502609574462977,-0.10802919656448233,-0.0823269774213175,-0.000932736215849427,-0.0007344017476670588,-0.2031718953970661,-0.005550766144531749,0.0046,0.01,0.0,0.97,100,13,1,14
40,0.9405734289048174,-3.2785907486087797,-0.39982376026500566,-0.15579365335095388,-0.08850977720611805,-0.0746595145115224,-0.02545028579477822,-0.10993905325966626,-0.08367148534324544,-0.0009479828972346707,-0.0007446312685465801,-0.20623145282452254,-0.005714953876942947,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.943595690683877,-3.286105345290821,-0.4038045888278298,-0.15786537386775157,-0.08941166200279224,-0.07571795914129256,-0.025861612396950447,-0.11152109647894663,-0.08491745197530555,-0.0009609475221545755,-0.0007550455531269752,-0.20876118599919397,-0.005698627694609811,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9402461930636614,-3.2990376070913587,-0.4104410738203423,-0.16044294634995893,-0.09092980721210356,-0.07696912562243435,-0.026354910362150496,-0.11325759409903707,-0.08631645779424611,-0.0009745810898465033,-0.0007659958983595782,-0.2121123518653941,-0.005729622970760444,0.004417,0.01,0.0,0.97,100,13,1,14
43,0.9409896049896049,-3.311726623367048,-0.41678873871842204,-0.1629007771138677,-0.09228951810221286,-0.07810354753086561,-0.026734213499663026,-0.11498230863047935,-0.08768854626407416,-0.0009865469211507646,-0.0007779050938915441,-0.21536362642482473,-0.005827502785368211,0.004359,0.01,0.0,0.97,100,13,1,14
44,0.9412741267419047,-3.3237190549603963,-0.423063577946714,-0.1653739153413081,-0.09371074557230796,-0.07933205700932562,-0.027171348348917174,-0.11662395103879147,-0.08891233956110015,-0.0010033355364445784,-0.0007882747733843221,-0.21880912356006582,-0.005973336519910154,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9421646187510521,-3.3353009465922994,-0.428985724243752,-0.16763319265821333,-0.09506314818233826,-0.08040423516539391,-0.02759490995308925,-0.11827241078467579,-0.09020606839752414,-0.0010149872772085007,-0.0007966584086367479,-0.2215097083071609,-0.0060818972677493775,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9366030515131678,-3.348406822680926,-0.43573979709822086,-0.1703290141601881,-0.09651854586348282,-0.08173863743173157,-0.028024781879513537,-0.12011264213124258,-0.09166723072957648,-0.0010314864880367296,-0.0008099202619681591,-0.22508343757994628,-0.006133334093211493,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.9376174496644295,-3.3610878218505427,-0.4422727551857624,-0.1728518430596954,-0.09797513256571762,-0.08298132473137816,-0.028440225325805722,-0.12185436418704007,-0.09299121630312822,-0.0010470820966021407,-0.0008183406909489506,-0.2282167931059958,-0.006174129821353662,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9412498129769089,-3.372912793680774,-0.44835962742864005,-0.17521893140409586,-0.09933235019037673,-0.08410635477202189,-0.028822288454569807,-0.12355884068542194,-0.09428936470594175,-0.0010614710394073962,-0.0008298575779260717,-0.23125253908627008,-0.00624854828250289,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9434337308806684,-3.3838799309455725,-0.4538412671142298,-0.17730645366960984,-0.10056355149703872,-0.08504799820415473,-0.0292102836587553,-0.1250281203941245,-0.09545027394557923,-0.0010746111434027387,-0.0008401898374610802,-0.23413638034055764,-0.006345328406532385,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9417597905969999,-3.3949793010352303,-0.459510199313963,-0.1795308399333869,-0.10182439846623105,-0.08605116983611287,-0.029583063043100308,-0.12664781896178917,-0.09670716118323425,-0.0010889616407017536,-0.000851410718937562,-0.23696068279615706,-0.006391779172165644,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9412903660302387,-3.4061430295422768,-0.46524022160396167,-0.1817611881603319,-0.103070544893191,-0.08715604889468928,-0.02988226562296001,-0.12818439246465207,-0.09790422948229213,-0.001100720392094267,-0.0008625559205348303,-0.24005091165228126,-0.006489931427474705,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9430265273311897,-3.416824242601428,-0.47065259995923364,-0.18381847971723497,-0.10433620460920315,-0.0881486217386242,-0.03024156253870845,-0.12964323968577482,-0.0990776003930684,-0.0011117852909119231,-0.0008720303561100258,-0.2426278103225208,-0.00657950046831618,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9362610500937584,-3.428495659609791,-0.4766700374130528,-0.18616578723713972,-0.10565280440853529,-0.08925629426006874,-0.030609228479535813,-0.13130033320401158,-0.1003873314110846,-0.0011291464785473531,-0.0008814419652305163,-0.2459181894672318,-0.006655317741021663,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9446159524848159,-3.4323884184189826,-0.4785928545940843,-0.1875980279173812,-0.10596530166958247,-0.0901769482065633,-0.03076879747244888,-0.13268203619207591,-0.10144973617462048,-0.0011407306941480693,-0.0008895774138022161,-0.24680562659112718,-0.0067505969149734505,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9382441099147675,-3.443770860004489,-0.4843974678155445,-0.18987239310778117,-0.10722321894889103,-0.09129493544336094,-0.031098802040596344,-0.13430198156811618,-0.10265049643641012,-0.0011534063767884679,-0.0009009026800430911,-0.24962501581983426,-0.006800892573124619,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9452504375925677,-3.453323535463686,-0.4893463393162472,-0.19185132043063624,-0.1083242445245401,-0.09228724183680588,-0.03142672028163241,-0.1356737112898192,-0.10364855998740653,-0.0011650549795693959,-0.0009080414916383113,-0.25195348480792923,-0.006927737093741704,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.9396201724658592,-3.4640463063290285,-0.4947879361572251,-0.1939823895733302,-0.10952035570539478,-0.093331441836512,-0.03174854218648744,-0.13720387776696674,-0.10477078519528334,-0.0011773559068514214,-0.000917731552724503,-0.2548219507468933,-0.006990880733183609,0.003682,0.01,0.0,0.97,100,13,1,14
58,0.9425382041927945,-3.4740807979301365,-0.49989640014751213,-0.19599019644495608,-0.11063318090816941,-0.09426802937950073,-0.03207683094806706,-0.13865651185194128,-0.10589722301631435,-0.0011901085344892945,-0.0009274981930517034,-0.2575767159265417,-0.007063612729627706,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9409470093552637,-3.4842684623254083,-0.5050343097942877,-0.19796768263286157,-0.11173176860751051,-0.0952054784164723,-0.03236638316624658,-0.14002619352970883,-0.10696332447202112,-0.0012024535768361203,-0.0009358445884931661,-0.2602313449366671,-0.007160134329823129,0.003602,0.01,0.0,0.97,100,13,1,14
60,0.9399506072600562,-3.494408628799006,-0.5101955129431711,-0.19999929517005055,-0.11278447011667597,-0.09615043048894885,-0.032602037547921944,-0.14139894647821621,-0.10800091046872601,-0.0012158306189760941,-0.0009452829456844871,-0.26313655852023216,-0.007212988232088973,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9439513698171345,-3.5038108389433895,-0.5150835625436592,-0.20191133832130131,-0.11389582061117459,-0.0970980124017416,-0.032897573058770786,-0.1426995497328366,-0.109044470000588,-0.001227407452768753,-0.0009556730501895694,-0.26557606039178316,-0.007267151735597526,0.003526,0.01,0.0,0.97,100,13,1,14
62,0.9394889428263214,-3.513941168587317,-0.5203250859968575,-0.20392672753460397,-0.11503912577671642,-0.09804251000776651,-0.03321588224920767,-0.14407159907388295,-0.11006827884420245,-0.0012383103456736532,-0.0009644637661158803,-0.2682079310790467,-0.007325124082695748,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9368845870453479,-3.5245498094713037,-0.5257685244963177,-0.2060487577201264,-0.11624539347636596,-0.09904645749067549,-0.03356831587190809,-0.14559447022636327,-0.11121552495697933,-0.0012493507359075194,-0.0009765908240437597,-0.271097053708454,-0.0074882351693948135,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.946488630088851,-3.532907982631371,-0.5300150315165257,-0.20768315071125412,-0.11722903316145993,-0.09979245758903563,-0.03388693090436449,-0.1467452726931699,-0.11215590718925328,-0.0012600920944251678,-0.000982774371442952,-0.27313618228497244,-0.007605805527574466,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9407467259199408,-3.541474371006942,-0.5344536812174856,-0.20948920907813512,-0.11822535150017044,-0.10067781542047917,-0.03422556057390206,-0.1480389386111315,-0.11313614157813344,-0.0012726195944677723,-0.0009910609679402078,-0.2755121089248543,-0.007630157472375163,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9401937574505952,-3.5510895119008365,-0.5393066669292128,-0.21132881405465925,-0.11931105258851686,-0.10151438762997436,-0.034533768590586114,-0.14934342988285584,-0.11415804558186111,-0.0012837115792401935,-0.0010006182644818286,-0.2778958608607874,-0.00768695390117581,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9464581013128143,-3.559362289684257,-0.5435417626104664,-0.2129749759282877,-0.12027351584926421,-0.10230941629564211,-0.03480539494915085,-0.15052155458752406,-0.11508669554321474,-0.0012920858159082087,-0.0010083005111511986,-0.27987506021186237,-0.007725592920092009,0.003315,0.01,0.0,0.97,100,13,1,14
68,0.9404755928175779,-3.5569730795702754,-0.5426083264833316,-0.21401481260143074,-0.12004800102070264,-0.10317945454186647,-0.035107532102755024,-0.1517775164546282,-0.1160901335595004,-0.0013011058838665783,-0.0010150575511555535,-0.28041564585404366,-0.007797903873206666,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9425667175470084,-3.5659142839499247,-0.5471208299333532,-0.21576860206668935,-0.12104080858180731,-0.10401503053605905,-0.035380333140324904,-0.15307155890296442,-0.11709102379345625,-0.00131166178414124,-0.001023319464768234,-0.2826562076414591,-0.007880521226471617,0.00325,0.01,0.0,0.97,100,14,0,14
70,0.9467486522911052,-3.573852933527713,-0.5512069121769295,-0.21734445178871692,-0.1219336381033438,-0.10477450533393863,-0.03565158023794763,-0.1541949171362276,-0.11793400193804801,-0.0013205642518088483,-0.0010321749513632955,-0.2847105702721611,-0.007956046765209005,0.003219,0.01,0.0,0.97,100,13,1,14
71,0.9421806811911649,-3.5826763751883317,-0.5557010639504548,-0.21904104921650439,-0.12294216646030845,-0.10552380871426587,-0.03594729509304524,-0.15535773098593084,-0.11885239609025937,-0.0013314756538669531,-0.001039085626121499,-0.2869164917754617,-0.007981162000189562,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.9408016099278886,-3.5916102721915264,-0.5603803257803343,-0.2208618018741529,-0.12398743152905638,-0.10640017007857176,-0.03624525464209846,-0.15662194882146627,-0.11979141848962385,-0.0013431918013729496,-0.0010469254902354863,-0.2892703301570199,-0.008040126352978356,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9406384201805701,-3.6003317894684543,-0.5648243006267837,-0.22261581070063335,-0.12493926177453696,-0.1072508477012095,-0.0364950454447672,-0.15782383754238719,-0.12072010041048527,-0.0013550369838137982,-0.001055831079353776,-0.29175029797221946,-0.008093598153481941,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.940785488322003,-3.609042494653577,-0.5692917148796299,-0.22434187258341365,-0.12592075574096184,-0.1080616759782809,-0.036779561255264194,-0.1589856021640427,-0.12168560970564503,-0.001365752625608121,-0.0010661181003435482,-0.294163401625077,-0.008143945362937709,0.003098,0.01,0.0,0.97,100,13,1,14
75,0.9408010266108334,-3.6176554994440258,-0.5737850788708445,-0.226058724973009,-0.1269532904145737,-0.10888508268056685,-0.037107534478467534,-0.16011545735405047,-0.12262904992702685,-0.0013756234035562187,-0.0010753460275306152,-0.29636310685319855,-0.00815300850973092,0.00307,0.01,0.0,0.97,100,13,1,14
76,0.9456805072061618,-3.6253019243236873,-0.5777169930596338,-0.22755778322189568,-0.12786786257894506,-0.10958796448767154,-0.03740593269804373,-0.1611657629875909,-0.12343919687218478,-0.0013857886392252144,-0.0010826836484875545,-0.29842337341608605,-0.008178088874951391,0.003042,0.01,0.0,0.97,100,13,1,14
77,0.9401696556791237,-3.6329707450778055,-0.5816838081569655,-0.22918834248983538,-0.12875820267496138,-0.11039796886060668,-0.03772855720674522,-0.1623972068133495,-0.12437794719800803,-0.0013947324086764062,-0.0010909830084622327,-0.3003029415313405,-0.008211819599152587,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9451274816083846,-3.6406333078166653,-0.5855254608207244,-0.2306782665931215,-0.12963869427208913,-0.11107176630147761,-0.038004451103441104,-0.16344814039324054,-0.1251858545755794,-0.001403752976826539,-0.0010984460222008424,-0.3020710730355378,-0.008246859469882802,0.002987,0.01,0.0,0.97,100,13,1,14
79,0.9454965829111557,-3.648064056371692,-0.5893860248152726,-0.2321701004457756,-0.13052393837564763,-0.11179778009127454,-0.038281029510101885,-0.16452035286899938,-0.1259834211303174,-0.0014135522697054685,-0.0011039161633648535,-0.30380373547352313,-0.008275243632922993,0.00296,0.01,0.0,0.97,100,14,0,14
80,0.9435198092135095,-3.655868595787296,-0.5934121543996962,-0.23368096980352226,-0.13144775464772981,-0.11250806109000026,-0.03855583469881982,-0.16553993490844418,-0.12678503544874006,-0.0014210301007720222,-0.0011117689268438215,-0.305690033217793,-0.008317280800054823,0.002934,0.01,0.0,0.97,100,13,1,14
81,0.9397945676033446,-3.6642440531838854,-0.5977351883144226,-0.2353476717232598,-0.13240615584535495,-0.11327818550410355,-0.038817983221897015,-0.1666965977403682,-0.12768075492933745,-0.0014310557079385564,-0.0011196744520234128,-0.3078989677259274,-0.008364121728072604,0.002909,0.01,0.0,0.97,100,13,1,14
82,0.944324579442403,-3.6717120470705593,-0.6014781851676889,-0.23687174860427618,-0.1332290890393203,-0.11403676920823098,-0.039061622168219436,-0.16780548267909448,-0.1285766971874469,-0.001438724370066984,-0.0011267882958646148,-0.30955117662154685,-0.008425826232240828,0.002883,0.01,0.0,0.97,100,13,1,14
83,0.9423748642099106,-3.6753479569352305,-0.6031388252947051,-0.23795272832935177,-0.1334939010448309,-0.11452834948908579,-0.0391053995914962,-0.1688153671746232,-0.12934316752588587,-0.0014463110085007641,-0.0011318868472059943,-0.3106118395983384,-0.00846701821274952,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.9447821005176156,-3.682673410885228,-0.606818562341584,-0.23938561548576473,-0.13430859483740498,-0.115186968810257,-0.039342207329904955,-0.16977246992454761,-0.13009085798276113,-0.001454546576348374,-0.0011383336209532294,-0.3124930678966387,-0.008527518391599993,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9340978100456311,-3.691533031843722,-0.6115219155650434,-0.2412167682678263,-0.1353697293221862,-0.1160899955653487,-0.039678749307826756,-0.17103288900238173,-0.13107587851781868,-0.0014655501606685936,-0.001145891210228503,-0.31475397404489086,-0.008629562843693065,0.00281,0.01,0.0,0.97,100,13,1,14
