episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,grad_norm
1,0.45765,0.001,0.5,0.0005,0.8823,959,28,180.8,0.006789,-4.11021,0.0,0.0,5.0868,2.9,25.03,9.7,,0.7201,0.0,-0.16864,0,-3.5106,0.0646
2,0.476622,0.000999,0.4987,0.0005,0.9011,1892,56,339.6,0.059463,-3.49814,0.0,0.0,4.3133,2.8,23.23,8.7,,0.7363,0.0,-0.16125,0,-3.1612,0.4202
3,0.412177,0.000998,0.4975,0.0005,0.8987,2865,88,514.0,0.594462,-3.45211,0.0,0.0,4.0039,2.5,24.1,8.8,,0.7188,0.0,-0.19849,0,-2.8915,0.7325
4,0.361283,0.000996,0.4962,0.0005,0.8851,3950,120,699.4,0.894403,-3.5417,0.0,0.0,4.2476,2.5,23.21,9.4,,0.736,0.0,-0.61786,0,-3.1658,0.801
5,0.331159,0.000995,0.495,0.0005,0.8809,5024,156,884.6,0.892102,-3.70591,0.0,0.0,4.3878,2.8,22.84,8.4,,0.7338,0.0,-0.49869,0,-3.2354,0.8465
6,0.331076,0.000994,0.4937,0.0005,0.9011,6117,188,1072.0,0.872261,-3.0654,0.0,0.0,4.1002,2.3,22.38,8.7,,0.735,0.0,-0.36688,0,-2.67,0.9061
7,0.349267,0.000993,0.4925,0.0005,0.8874,7226,224,1275.7,0.911301,-3.44899,0.0,0.0,3.7234,2.2,23.68,10.0,,0.7335,0.0,-0.35386,0,-2.6322,0.9491
8,0.288448,0.000992,0.4912,0.0005,0.894,8313,256,1465.4,1.051802,-3.27252,0.0,0.0,4.1684,2.9,23.18,7.3,,0.7155,0.0,-0.51496,0,-3.1381,0.9517
9,0.277926,0.00099,0.49,0.0005,0.89,9404,292,1664.2,1.103763,-3.35763,0.0,0.0,4.2927,2.6,24.13,10.1,,0.7278,0.0,-0.27226,0,-3.0862,0.9641
10,0.306752,0.000989,0.4887,0.0005,0.8886,10498,328,2081.6,1.169198,-3.3989,0.0,0.0,3.9328,2.9,22.4,9.6,0.8514,0.7263,0.0,-0.09589,0,-2.7917,0.9691
11,0.302971,0.000988,0.4875,0.0005,0.877,11701,364,2276.7,1.58461,-3.42011,0.0,0.0,3.8854,2.5,19.91,7.6,,0.7203,0.0,-0.70779,0,-2.8498,0.9757
12,0.303814,0.000987,0.4862,0.0005,0.8861,12829,400,2488.3,1.126464,-3.37474,0.0,0.0,3.8951,3.5,21.42,7.8,,0.7183,0.0,-0.32485,0,-2.5453,0.9823
13,0.281513,0.000986,0.485,0.0005,0.8971,13958,400,2684.5,1.318675,-3.01484,0.0,0.0,4.0899,2.9,21.82,7.1,,0.7362,0.0,-0.49469,0,-2.6534,0.973
14,0.316972,0.000985,0.4837,0.0005,0.889,15086,400,2909.2,1.165322,-3.28728,0.0,0.0,3.7655,2.5,23.05,9.1,,0.7148,0.0,-0.32173,0,-2.8467,0.9866
15,0.355624,0.000983,0.4825,0.0005,0.8923,16224,400,3104.0,1.309858,-3.15851,0.0,0.0,3.4982,3.3,20.95,7.0,,0.7217,0.0,-0.45953,0,-2.6139,0.9899
16,0.298327,0.000982,0.4812,0.0005,0.8944,17354,400,3312.8,1.221226,-3.14973,0.0,0.0,4.0451,2.5,23.19,8.1,,0.7191,0.0,-0.31375,0,-2.6707,0.9868
17,0.354454,0.000981,0.48,0.0005,0.8851,18511,400,3540.1,1.229145,-3.33704,0.0,0.0,3.6239,3.3,22.02,7.1,,0.7285,0.0,-0.20467,0,-2.6968,0.9952
18,0.31366,0.00098,0.4787,0.0005,0.8875,19628,400,3766.5,1.298325,-3.35217,0.0,0.0,4.1809,2.6,22.9,8.3,,0.7343,0.0,-0.54031,0,-2.561,0.9902
19,0.377097,0.000979,0.4775,0.0005,0.8923,20773,400,3996.3,1.213383,-3.13517,0.0,0.0,3.5914,2.7,22.54,8.3,,0.739,0.0,-0.10981,0,-2.7279,0.9968
20,0.372695,0.000977,0.4762,0.0005,0.8856,21995,400,4405.8,1.578697,-3.08242,0.0,0.0,3.8044,3.3,21.17,7.2,0.8429,0.7071,0.0,-0.53561,0,-2.7973,0.9986
21,0.409629,0.000976,0.475,0.0005,0.8948,23161,400,4619.7,1.218147,-2.9956,0.0,0.0,3.5721,2.7,21.84,6.6,,0.7137,0.0,-0.21982,0,-2.563,0.9999
