episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_shift_remaining,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
61,0.006253,0.000819,0.4037,0.9111,10000,50,1652.1,1.0,0.005204,-2.7863,26.0,0.0
62,0.005783,0.000816,0.4021,0.9121,10000,50,1679.7,1.0,0.004688,-2.77658,22.9,0.0
63,0.005994,0.000813,0.4005,0.9187,10000,50,1707.1,1.0,0.005879,-2.57051,25.7,0.0
64,0.005934,0.00081,0.3989,0.9063,10000,50,1734.4,1.0,0.005848,-2.96426,21.2,0.0
65,0.006148,0.000807,0.3973,0.9162,10000,50,1761.4,1.0,0.007359,-2.59664,24.6,0.0
66,0.005231,0.000804,0.3957,0.9097,10000,50,1789.2,1.0,0.008093,-2.74654,23.8,0.0
67,0.004847,0.000801,0.394,0.8974,10000,50,1816.5,1.0,0.009066,-3.22759,19.5,0.0
68,0.006151,0.000798,0.3924,0.9129,10000,50,1842.3,1.0,0.008024,-2.73919,24.5,0.0
69,0.004432,0.000795,0.3908,0.9199,10000,50,1869.6,1.0,0.007477,-2.51544,26.2,0.0
70,0.006522,0.000792,0.3892,0.9145,10000,50,1896.6,1.0,0.007868,-2.72927,24.3,0.0
71,0.00567,0.000789,0.3876,0.9163,10000,50,1923.8,1.0,0.00831,-2.71261,25.3,0.0
72,0.005366,0.000786,0.386,0.9126,10000,50,1951.0,1.0,0.007421,-2.75402,22.6,0.0
73,0.005694,0.000783,0.3844,0.9076,10000,50,1978.2,1.0,0.00846,-2.874,20.9,0.0
74,0.005866,0.00078,0.3828,0.9159,10000,50,2005.4,1.0,0.00767,-2.61554,28.1,0.0
75,0.005949,0.000777,0.3812,0.9114,10000,50,2033.3,1.0,0.009353,-2.72878,23.8,0.0
76,0.005813,0.000774,0.3796,0.9143,10000,50,2060.4,1.0,0.009434,-2.68895,22.3,0.0
77,0.006294,0.000771,0.378,0.914,10000,50,2087.9,1.0,0.011501,-2.74197,23.2,0.0
78,0.006044,0.000768,0.3764,0.909,10000,50,2115.5,1.0,0.011658,-2.79304,23.3,0.0
