episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s
181,0.007194,0.000458,0.211,0.9154,10000,50,4818.1
182,0.007483,0.000455,0.2094,0.9228,10000,50,4845.3
183,0.007692,0.000452,0.2078,0.9171,10000,50,4872.7
184,0.005996,0.000449,0.2062,0.9178,10000,50,4899.0
185,0.00687,0.000446,0.2046,0.9106,10000,50,4925.2
186,0.005943,0.000443,0.203,0.9101,10000,50,4952.4
187,0.007091,0.00044,0.2014,0.9237,10000,50,4979.0
188,0.008229,0.000437,0.1998,0.9257,10000,50,5005.4
189,0.006233,0.000434,0.1982,0.9211,10000,50,5031.8
190,0.007392,0.000431,0.1966,0.9168,10000,50,5058.0
191,0.007885,0.000428,0.195,0.907,10000,50,5084.1
192,0.009146,0.000425,0.1934,0.918,10000,50,5110.5
193,0.008838,0.000422,0.1918,0.915,10000,50,5136.7
194,0.006223,0.000419,0.1902,0.9194,10000,50,5163.2
195,0.00804,0.000416,0.1886,0.917,10000,50,5189.6
196,0.007387,0.000413,0.187,0.9173,10000,50,5215.6
197,0.007876,0.00041,0.1854,0.9169,10000,50,5242.8
198,0.007572,0.000407,0.1837,0.9176,10000,50,5270.4
199,0.006797,0.000404,0.1821,0.9159,10000,50,5296.0
200,0.008139,0.000401,0.1805,0.9209,10000,50,5324.0
201,0.007164,0.000398,0.1789,0.9168,10000,50,5351.5
202,0.008138,0.000395,0.1773,0.9148,10000,50,5378.8
203,0.007461,0.000392,0.1757,0.9171,10000,50,5404.7
204,0.00764,0.000389,0.1741,0.912,10000,50,5432.1
205,0.006839,0.000386,0.1725,0.9175,10000,50,5458.5
206,0.00652,0.000383,0.1709,0.9127,10000,50,5484.7
207,0.007606,0.00038,0.1693,0.9178,10000,50,5511.1
208,0.006914,0.000377,0.1677,0.9114,10000,50,5537.3
209,0.006949,0.000374,0.1661,0.9105,10000,50,5563.8
210,0.008047,0.000371,0.1645,0.9194,10000,50,5590.3
211,0.008942,0.000368,0.1629,0.9094,10000,50,5615.6
212,0.007543,0.000365,0.1613,0.9144,10000,50,5642.9
213,0.009073,0.000362,0.1597,0.9176,10000,50,5669.7
214,0.009228,0.000359,0.1581,0.9273,10000,50,5695.9
215,0.006983,0.000356,0.1565,0.918,10000,50,5721.3
216,0.008394,0.000353,0.1548,0.9222,10000,50,5748.2
217,0.007685,0.00035,0.1532,0.921,10000,50,5774.4
218,0.006044,0.000347,0.1516,0.9085,10000,50,5801.9
219,0.008245,0.000344,0.15,0.9233,10000,50,5828.2
220,0.008133,0.000341,0.1484,0.9167,10000,50,5855.2
221,0.007939,0.000338,0.1468,0.9145,10000,50,5882.8
222,0.007896,0.000335,0.1452,0.916,10000,50,5910.1
223,0.008936,0.000332,0.1436,0.9088,10000,50,5937.7
224,0.007731,0.000329,0.142,0.9161,10000,50,5965.0
225,0.007614,0.000326,0.1404,0.9146,10000,50,5992.4
226,0.00698,0.000323,0.1388,0.9176,10000,50,6019.4
227,0.006825,0.00032,0.1372,0.9156,10000,50,6045.4
228,0.008268,0.000317,0.1356,0.9145,10000,50,6072.1
229,0.008446,0.000314,0.134,0.9163,10000,50,6098.6
230,0.008218,0.000311,0.1324,0.9169,10000,50,6125.5
231,0.007672,0.000308,0.1308,0.9229,10000,50,6151.6
232,0.008085,0.000305,0.1292,0.9186,10000,50,6177.8
233,0.008274,0.000302,0.1276,0.9116,10000,50,6204.5
234,0.007798,0.000299,0.126,0.9141,10000,50,6230.4
235,0.007483,0.000296,0.1243,0.9054,10000,50,6257.0
236,0.007477,0.000293,0.1227,0.9165,10000,50,6283.3
237,0.009101,0.00029,0.1211,0.9194,10000,50,6310.0
238,0.008789,0.000287,0.1195,0.918,10000,50,6335.7
239,0.008107,0.000284,0.1179,0.9186,10000,50,6362.0
240,0.007985,0.000281,0.1163,0.9212,10000,50,6388.0
241,0.008098,0.000278,0.1147,0.9153,10000,50,6414.2
242,0.010053,0.000275,0.1131,0.9075,10000,50,6440.9
243,0.008079,0.000272,0.1115,0.9086,10000,50,6467.0
244,0.006819,0.000269,0.1099,0.9147,10000,50,6494.2
245,0.008323,0.000266,0.1083,0.9123,10000,50,6520.5
246,0.009682,0.000263,0.1067,0.9059,10000,50,6546.7
247,0.009104,0.00026,0.1051,0.9253,10000,50,6573.5
248,0.008645,0.000257,0.1035,0.9155,10000,50,6599.9
249,0.00901,0.000254,0.1019,0.9212,10000,50,6626.3
250,0.009193,0.000251,0.1003,0.9129,10000,50,6653.5
251,0.008793,0.000247,0.0987,0.9196,10000,50,6679.9
252,0.007653,0.000244,0.0971,0.9144,10000,50,6706.1
253,0.007069,0.000241,0.0955,0.9135,10000,50,6732.9
254,0.009579,0.000238,0.0938,0.9232,10000,50,6759.2
255,0.008687,0.000235,0.0922,0.9127,10000,50,6785.7
256,0.008833,0.000232,0.0906,0.9185,10000,50,6812.3
257,0.009011,0.000229,0.089,0.9088,10000,50,6838.8
258,0.006904,0.000226,0.0874,0.9206,10000,50,6864.7
259,0.007944,0.000223,0.0858,0.9138,10000,50,6891.0
260,0.009701,0.00022,0.0842,0.9159,10000,50,6917.1
261,0.009495,0.000217,0.0826,0.9116,10000,50,6943.3
262,0.00918,0.000214,0.081,0.9182,10000,50,6969.9
263,0.008884,0.000211,0.0794,0.9206,10000,50,6996.3
264,0.00997,0.000208,0.0778,0.9204,10000,50,7022.9
265,0.009337,0.000205,0.0762,0.9138,10000,50,7049.6
266,0.008348,0.000202,0.0746,0.9114,10000,50,7076.0
267,0.009785,0.000199,0.073,0.917,10000,50,7102.2
268,0.008486,0.000196,0.0714,0.921,10000,50,7128.8
269,0.008546,0.000193,0.0698,0.9204,10000,50,7155.2
270,0.008337,0.00019,0.0682,0.9103,10000,50,7181.9
271,0.010753,0.000187,0.0666,0.9242,10000,50,7207.7
272,0.009153,0.000184,0.0649,0.9252,10000,50,7233.4
273,0.008141,0.000181,0.0633,0.9252,10000,50,7260.5
274,0.007102,0.000178,0.0617,0.9191,10000,50,7287.4
275,0.007358,0.000175,0.0601,0.9191,10000,50,7314.6
276,0.007843,0.000172,0.0585,0.9263,10000,50,7341.8
277,0.006353,0.000169,0.0569,0.9218,10000,50,7369.0
278,0.006926,0.000166,0.0553,0.9196,10000,50,7396.2
279,0.007772,0.000163,0.0537,0.9259,10000,50,7424.7
280,0.007518,0.00016,0.0521,0.9185,10000,50,7452.1
281,0.007748,0.000157,0.0505,0.9175,10000,50,7479.2
282,0.009843,0.000154,0.0489,0.9196,10000,50,7506.4
283,0.007733,0.000151,0.0473,0.9184,10000,50,7533.5
284,0.007361,0.000148,0.0457,0.9174,10000,50,7559.6
285,0.00811,0.000145,0.0441,0.9182,10000,50,7586.4
286,0.010668,0.000142,0.0425,0.9187,10000,50,7612.4
287,0.007786,0.000139,0.0409,0.9121,10000,50,7638.7
288,0.009017,0.000136,0.0393,0.9233,10000,50,7664.9
289,0.010547,0.000133,0.0377,0.9252,10000,50,7691.1
290,0.008737,0.00013,0.0361,0.925,10000,50,7717.2
291,0.007703,0.000127,0.0344,0.9217,10000,50,7743.3
292,0.009694,0.000124,0.0328,0.9206,10000,50,7768.9
293,0.008995,0.000121,0.0312,0.9258,10000,50,7795.5
294,0.008971,0.000118,0.0296,0.9232,10000,50,7820.3
295,0.009841,0.000115,0.028,0.9216,10000,50,7846.0
296,0.010076,0.000112,0.0264,0.9324,10000,50,7872.3
297,0.007975,0.000109,0.0248,0.9291,10000,50,7899.0
298,0.008958,0.000106,0.0232,0.9227,10000,50,7925.5
299,0.00971,0.000103,0.0216,0.9277,10000,50,7952.4
300,0.0078,0.0001,0.02,0.9246,10000,50,7979.8
