episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl
14,0.239543,0.000985,0.4919,0.0005,0.889,14675,400,3072.7,1.222125,-3.34341,0.0,0.0,4.867,2.9,22.98,8.5,
15,0.322288,0.000983,0.4913,0.0005,0.8905,15778,400,3284.5,1.049589,-3.30449,0.0,0.0,4.0443,2.8,23.48,8.8,
16,0.310069,0.000982,0.4906,0.0005,0.8909,16938,400,3497.4,1.540303,-3.10246,0.0,0.0,4.163,2.6,22.06,8.7,
17,0.302384,0.000981,0.49,0.0005,0.8891,18033,400,3704.7,1.205093,-3.3875,0.0,0.0,4.2865,2.3,22.74,9.4,
18,0.274709,0.00098,0.4894,0.0005,0.8912,19164,400,3913.1,1.218812,-3.14935,0.0,0.0,4.7514,2.5,21.9,7.9,
19,0.322366,0.000979,0.4888,0.0005,0.9053,20214,400,4128.7,0.953302,-2.96856,0.0,0.0,4.2562,3.0,23.18,9.7,
20,0.424661,0.000977,0.4881,0.0005,0.899,21310,400,4607.0,0.967494,-3.04868,0.0,0.0,3.4987,3.1,23.07,8.6,0.8611
21,0.391215,0.000976,0.4875,0.0005,0.8922,22468,400,4851.6,1.278547,-3.10865,0.0,0.0,3.8182,2.5,21.18,7.4,
22,0.369936,0.000975,0.4869,0.0005,0.8913,23586,400,5095.7,1.377872,-3.22898,0.0,0.0,4.1101,2.8,23.07,8.4,
23,0.387229,0.000974,0.4863,0.0005,0.8897,24728,400,5350.8,1.338352,-3.19976,0.0,0.0,3.962,2.3,23.14,8.1,
24,0.393199,0.000973,0.4856,0.0005,0.8892,25853,400,5600.9,1.358559,-3.3203,0.0,0.0,4.0117,3.6,22.24,8.2,
25,0.415972,0.000971,0.485,0.0005,0.8948,26970,400,5829.7,1.243773,-3.1697,0.0,0.0,3.9338,2.4,21.9,8.1,
26,0.429162,0.00097,0.4844,0.0005,0.9031,28084,400,6074.8,1.196261,-2.93944,0.0,0.0,3.8259,3.0,22.56,8.2,
27,0.40719,0.000969,0.4838,0.0005,0.8982,29188,400,6304.4,1.271829,-3.05005,0.0,0.0,4.1416,3.6,21.57,8.0,
28,0.462522,0.000968,0.4831,0.0005,0.895,30283,400,6544.5,1.302638,-3.19535,0.0,0.0,3.7343,3.4,23.11,8.2,
29,0.442182,0.000967,0.4825,0.0005,0.9048,31461,400,6814.2,1.414788,-2.74265,0.0,0.0,4.013,2.7,21.93,8.7,
30,0.467311,0.000966,0.4819,0.0005,0.8888,32579,400,7317.6,1.21366,-3.31988,0.0,0.0,3.8103,3.0,22.31,7.4,0.8425
31,0.482054,0.000964,0.4813,0.0005,0.9064,33667,400,7558.1,1.202738,-2.91453,0.0,0.0,3.7617,2.8,22.68,8.3,
32,0.493822,0.000963,0.4806,0.0005,0.9066,34755,400,7799.7,1.228918,-2.89186,0.0,0.0,3.772,3.4,22.68,8.8,
33,0.480177,0.000962,0.48,0.0005,0.8926,35906,400,8043.3,1.466947,-3.10874,0.0,0.0,3.9201,2.9,22.08,9.7,
34,0.513015,0.000961,0.4794,0.0005,0.895,37054,400,8285.2,1.387946,-3.05183,0.0,0.0,3.6791,1.9,22.53,7.4,
35,0.593099,0.00096,0.4788,0.0005,0.9033,38192,400,8538.9,1.242167,-2.80281,0.0,0.0,3.1048,2.2,22.45,8.4,
36,0.491994,0.000958,0.4781,0.0005,0.8924,39356,400,8784.9,1.502871,-3.07165,0.0,0.0,4.0673,2.7,23.38,8.4,
37,0.474741,0.000957,0.4775,0.0005,0.8988,40490,400,9039.7,1.343701,-2.93956,0.0,0.0,4.3315,2.0,23.28,7.1,
38,0.44879,0.000956,0.4769,0.0005,0.8872,41588,400,9277.6,1.356582,-3.4051,0.0,0.0,4.7537,2.2,21.99,8.3,
39,0.491589,0.000955,0.4763,0.0005,0.8962,42682,400,9516.5,1.152038,-3.17727,0.0,0.0,4.094,2.4,22.61,9.0,
40,0.533947,0.000954,0.4756,0.0005,0.8977,43788,400,10014.9,1.262563,-3.10549,0.0,0.0,3.6966,2.3,23.35,9.6,0.8598
41,0.506291,0.000952,0.475,0.0005,0.8969,44867,400,10252.5,1.286947,-3.14036,0.0,0.0,4.0456,2.5,23.67,9.1,
42,0.475149,0.000951,0.4744,0.0005,0.8971,45946,400,10498.5,1.322142,-3.16127,0.0,0.0,4.6191,2.5,22.2,8.6,
43,0.532585,0.00095,0.4738,0.0005,0.8986,47036,400,10738.5,1.184748,-3.0693,0.0,0.0,3.905,1.8,23.23,7.7,
44,0.508536,0.000949,0.4731,0.0005,0.8923,48155,400,10968.2,1.233086,-3.25021,0.0,0.0,4.3193,3.6,21.7,7.2,
45,0.555672,0.000948,0.4725,0.0005,0.9031,49263,400,11200.0,1.361256,-2.93736,0.0,0.0,3.7785,3.5,22.91,8.9,
46,0.556381,0.000946,0.4719,0.0005,0.9019,50000,400,11429.5,1.245727,-3.02877,0.0,0.0,3.8623,3.3,22.58,9.2,
47,0.617268,0.000945,0.4713,0.0005,0.899,50000,400,11689.4,1.297804,-3.08553,0.0,0.0,3.2955,2.8,22.89,8.8,
48,0.570707,0.000944,0.4706,0.0005,0.9021,50000,400,11943.4,1.493265,-2.84922,0.0,0.0,3.8246,2.8,22.76,8.4,
49,0.525395,0.000943,0.47,0.0005,0.896,50000,400,12189.3,1.360287,-3.28189,0.0,0.0,4.405,3.2,23.9,10.0,
