episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,grad_norm
1,0.45765,0.001,0.5,0.0005,0.8823,959,28,179.5,0.006789,-4.11021,0.0,0.0,5.0868,2.9,25.03,9.7,,0.7201,0.0,-0.16864,0,-3.5106,0.0646
2,0.476622,0.000999,0.4994,0.0005,0.9011,1892,56,340.5,0.059463,-3.49814,0.0,0.0,4.3133,2.8,23.23,8.7,,0.7363,0.0,-0.16125,0,-3.1612,0.4202
3,0.412177,0.000998,0.4988,0.0005,0.8987,2865,88,514.5,0.594462,-3.45211,0.0,0.0,4.0039,2.5,24.1,8.8,,0.7188,0.0,-0.19849,0,-2.8915,0.7325
4,0.361283,0.000996,0.4981,0.0005,0.8851,3950,120,698.9,0.894403,-3.5417,0.0,0.0,4.2476,2.5,23.21,9.4,,0.736,0.0,-0.61786,0,-3.1658,0.801
5,0.331159,0.000995,0.4975,0.0005,0.8809,5024,156,867.7,0.892102,-3.70591,0.0,0.0,4.3878,2.8,22.84,8.4,,0.7338,0.0,-0.49869,0,-3.2354,0.8465
6,0.322901,0.000994,0.4969,0.0005,0.8841,6148,192,1043.2,0.899257,-3.46492,0.0,0.0,4.3612,2.1,21.73,7.7,,0.7384,0.0,-0.44667,0,-3.1855,0.9027
7,0.287969,0.000993,0.4963,0.0005,0.8933,7219,224,1247.3,0.897152,-3.29835,0.0,0.0,4.3622,2.9,23.34,10.4,,0.7261,0.0,-0.42253,0,-2.7566,0.9075
8,0.272672,0.000992,0.4956,0.0005,0.8902,8300,256,1441.7,1.10378,-3.37571,0.0,0.0,4.4607,2.4,23.03,8.7,,0.7253,0.0,-0.69392,0,-2.6775,0.9345
9,0.339973,0.00099,0.495,0.0005,0.8998,9383,292,1643.1,0.979868,-3.04183,0.0,0.0,3.6678,2.6,22.88,9.4,,0.7066,0.0,-0.44903,0,-2.3402,0.965
10,0.27086,0.000989,0.4944,0.0005,0.892,10560,328,2054.3,1.255767,-3.06223,0.0,0.0,4.2103,2.8,20.88,7.9,0.8425,0.7364,0.0,-0.6266,0,-2.5181,0.9543
