episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance,starvation_count,congestion_count,hotspot_imbalance_mass,projected_starvation_risk,projected_congestion_risk
0,0.9072895185151977,-54.15638021062449,-27.319155306994116,-14.792176167023369,-24.700561428078743,-12.507803854246518,-93.78035705671154,-76.02785918250163,-0.8972082075165856,-16.563127039840353,-3.494047982059471,-15.012690862577344,-1.1850924857294975,-0.9893884941376294
1,0.9375764619525324,-58.555062333715725,-34.992582345851424,-12.544569537591158,-31.989234612067374,-9.46085228977131,-78.75838035974219,-51.4556316007226,0.0,-23.997332775492982,0.0,-12.809814085196301,-0.04036463749908055,-0.9358038252325381
2,0.9414871144909168,-73.42888715944531,-43.487925658188,-14.659163194358554,-39.09895595335284,-10.53445983193602,-64.14162686319641,-42.14653398435354,0.0,-27.30126002711678,-0.004160952769907069,-14.144857683539032,-0.00986722837482007,-2.0364770349330596
3,0.9344680076453991,-88.16848558807301,-52.55259204609114,-16.858358005166032,-46.47175981550882,-11.602317455433711,-56.07562315504845,-33.13625407978439,-0.27854655654345617,-29.350319672967604,-0.027766375771860533,-14.90321368619664,-0.17458587187491215,-4.015216183924045
4,0.9312919639900039,-106.279670844371,-61.80597767848339,-18.4756085354005,-53.2128528385056,-12.145851117496834,-64.85405482172145,-43.26167771900361,0.0,-27.797619395824984,0.0,-21.6289655659008,-0.14706627683005993,-5.21046857410911
5,0.9437000577279494,-114.0517020873437,-64.7815801177706,-17.237942668215474,-54.76687903597249,-10.1211920397124,-54.186227043872044,-37.458624347184134,-0.038983341813601774,-24.02977168721133,-0.19463116294779192,-26.629208501566513,-0.4964608991965599,-6.263471675676461
6,0.9406593406593406,-121.10049491793697,-67.09267305361391,-16.01863890466661,-55.80528794781002,-8.296614564786685,-41.46789581158088,-32.64076449191709,0.0,-20.366883473190544,0.0,-30.689949236061626,-0.3892326349930872,-7.672282786192431
7,0.9396273141856181,-132.49087036793503,-71.21772842838465,-15.253731152997924,-58.52753039642022,-6.88280101498256,-45.66925678627286,-36.45030719278599,-1.076374616018765,-18.61797678839857,-0.06870170690353114,-38.51675207134454,-0.005192676508132989,-8.918332416124212
8,0.9404177639454153,-137.92832381064392,-72.5827361202227,-14.34692968469655,-59.019335518141276,-5.4536206252955335,-40.72037780905187,-36.26625227864908,-2.624796634134546,-16.248650898174038,-0.009168797742995685,-43.30409167738491,-0.1568734571810966,-9.985203787144588
9,0.9403883787445432,-141.23197806210464,-71.44767219852658,-12.207279438678883,-56.83924260766326,-2.7332302074665207,-35.69684526730035,-31.899844229868076,-2.1676444119659197,-10.143243013535038,0.0,-50.285620176308115,-0.08204455035436825,-11.083639477665905
10,0.9294319619300042,-151.00347588072884,-73.34747153057089,-11.335287156206565,-57.38454748670921,-1.0104934171185238,-42.70453378094176,-36.454723622909796,-0.4675746994086748,-5.858571318318642,-0.006574302748878439,-58.88516256791406,0.0,-12.13271338971293
11,0.9426097342490296,-155.76313252768966,-74.53090150088386,-8.790450631869296,-57.51236898324237,-0.484636733770068,-41.89429192026768,-32.18697545261488,-0.6272018316490655,-2.8769918175821676,0.0,-63.96145045114419,-0.035304364116532136,-13.224388605102396
12,0.9407425250669958,-158.0004141509481,-75.06390425302801,-7.264634221358988,-57.17951445579628,0.0,-34.08317957080152,-26.721420527766618,0.0,-0.4075488128736427,0.0,-65.22884600662235,0.0,-14.248548609775076
13,0.9390574047868085,-163.06171875622312,-75.74354011239093,-5.97903043368819,-56.536312458280804,-0.5464913335201392,-36.33492157640805,-26.424110101486097,-0.7099083160038201,-0.20688214820092427,-0.17508330305816616,-69.47594788695062,-0.10797931389644594,-15.148741762471474
14,0.9427031584018306,-166.7080314950769,-75.17276665371101,-3.7570578088370254,-54.81688202981667,-0.6075572936644296,-33.80642572526802,-25.7891373757653,-1.4624286260384434,-0.00063372460618595,0.0,-73.94118838118396,-0.0783838917167099,-16.069736882930897
15,0.9428683527494417,-168.78059203522577,-74.74507102411373,-1.054785042524105,-53.57076687892269,-0.7617915529823553,-33.586020411406295,-23.371897418155836,-0.960925219785478,-0.14849105120716594,0.0,-79.56211559669657,-0.007020540517291166,-17.177379005365495
16,0.9424746743849494,-174.30180756612248,-75.53968955044839,-0.4834921880302238,-53.075499869971964,-0.3632313372350986,-37.16574612041817,-22.96915296591102,-1.895397273110134,-0.026136644173416344,0.0,-85.7849847615779,-0.06935552114499521,-17.97033470003461
17,0.9380104839692796,-177.3848380306851,-73.83709557166173,-0.16340847843225706,-50.33657097109856,-0.05658532073614466,-35.52942336483432,-20.36711264468786,-2.009771808432101,-0.0008517564651306106,-0.010036144510574262,-92.13119330920435,0.0,-18.648670527675808
18,0.9305659923652649,-183.17692187737987,-74.46934089376914,-0.8544399586625488,-49.8282727629333,-0.7090559357866767,-36.86873105170031,-22.464516717188115,-3.2033458210556556,-0.11096410738165802,-0.17811873935223865,-96.73134405104015,-0.1546011663321229,-19.750575290178173
19,0.9420880669044693,-188.20306992736693,-75.53988956432494,-0.499685818439227,-49.73764701393132,-0.26717088947068685,-41.63173324960707,-23.725895876761612,-0.8620274659368774,0.0,0.0,-103.79892270620604,-0.16150407798900995,-20.562077854090045
20,0.9351388392325111,-190.35863479793045,-74.58726381080716,-0.3085678321913925,-47.69433040210703,-0.15167291315217088,-37.76776930989212,-23.21082188200556,-0.5306668884235582,0.0,0.0,-108.50552270764382,-0.003541355470558335,-21.377064905583406
21,0.9367772251548531,-189.66494773278094,-74.5652342000089,-0.8250585882328971,-46.937221088306934,-0.7224769094004673,-33.34497800691746,-20.87654175843265,-1.5184957226429103,-0.31553681594477223,-0.3020612921358687,-109.66891846894676,-0.3869358227078731,-22.5200248720374
22,0.9397290236344857,-192.69111339055615,-74.84387964403004,-1.3401714154008264,-46.209258423155894,-1.089841228234694,-37.70630639085952,-23.73130192677274,-1.697240351601441,-0.006878625079078812,-0.17870539150824657,-114.5009996110183,-0.4733637716355172,-23.74452541952669
