episode,service_level,squared_starvation_penalty,congestion_severity_max,work_ratio,imbalance_hotspot_distance,multi_horizon_starvation_risk,future_net_pressure
0,0.8635533921508974,-3.8844099166243953,-13.066719629028603,-13.07197330087261,-2.4099270074098422,-4.692986185601304,-1.573497595926309
1,0.8919651733799295,-10.153391153136536,-35.1805129531139,-35.23870634017467,-5.267947857733095,-12.39117232515184,-4.299940687805587
2,0.9051240267970306,-14.90482551827665,-52.640549176106475,-52.73967791498281,-6.963495453811257,-18.30292866305824,-6.460973720776671
3,0.8925940522023827,-18.54945212456327,-66.17578192841616,-66.31913367333856,-8.018349960843144,-22.846263466568466,-8.196767239264826
4,0.8961546493243042,-21.64907086890355,-77.80540133187738,-77.98683898140682,-8.813764556697834,-26.717537264997446,-9.723392777419827
5,0.8922572099464146,-24.186241580191172,-87.20320148879968,-87.4424756632352,-9.358403270806113,-29.8817998902733,-10.970053122293933
6,0.8941466896674797,-26.02355900000974,-93.97676028734917,-94.25413324260789,-9.624958726699136,-32.16999249955333,-11.877045582081303
7,0.8914578553764563,-27.542802313501973,-99.44723790878744,-99.77562622980089,-9.77338942515467,-34.049034915848175,-12.634440303512879
8,0.8911554361930052,-28.89524779040932,-104.2235578112493,-104.59712751296442,-9.852616112651098,-35.709410266992904,-13.30040349269672
9,0.8922395613665121,-29.96172999155877,-107.90131163469441,-108.3081866104249,-9.860366489096604,-37.01541483715607,-13.844593207516377
10,0.8926523297491039,-30.78241922299026,-110.60604177994924,-111.05887226181446,-9.758328848796408,-38.01358594764932,-14.27868222791195
11,0.9021735826113391,-31.44457716203534,-112.69681910293798,-113.20054965005423,-9.616831251106838,-38.802506598597084,-14.645110339721215
12,0.8902838427947598,-32.06317344620458,-114.57335374243112,-115.12386000821952,-9.482540074082976,-39.53466290405898,-14.963029201511034
13,0.8990872515462679,-32.64429761710686,-116.18341747217652,-116.79267214143046,-9.303417650512834,-40.207364999346176,-15.266686309904811
14,0.8771376591873863,-33.12065386842626,-117.4657870527529,-118.15702863777598,-9.194934262367527,-40.75792360446066,-15.526507111153004
15,0.8943752812359382,-33.60660309933589,-118.70815657510113,-119.46139002991686,-9.053255775166656,-41.31163153062593,-15.754889236067667
16,0.8960094180149722,-33.94698665834995,-119.43672553602164,-120.2720589203567,-8.887479453541745,-41.6851342229075,-15.939726551713049
17,0.8805740181268882,-34.331436160341,-120.26986389600769,-121.16354680206301,-8.674497241718615,-42.10820931570696,-16.106186731875606
18,0.8909340004765308,-34.67148488184499,-120.86593246413312,-121.82210113108069,-8.45811831940445,-42.463855260474396,-16.246885533234856
19,0.893020300729132,-35.04851843716713,-121.68332898446663,-122.68962284961309,-8.273075058140208,-42.8786176101657,-16.39248940704833
20,0.8992621682732358,-35.33122352528182,-122.14765661473628,-123.21321812180616,-8.09924500067369,-43.174498648799606,-16.51361992483852
21,0.893317737388279,-35.591279502932494,-122.50094438353837,-123.63168946753565,-7.935653098071434,-43.43705938927268,-16.62534506856608
22,0.8802478464560979,-35.86443395859397,-122.87898515996254,-124.05185594698158,-7.73669594167689,-43.71549721689835,-16.725808987211888
23,0.8994323754049155,-36.12296901691036,-123.25109767016043,-124.4765638207313,-7.558044965264332,-43.97841295161957,-16.821761265206394
24,0.9011879212888795,-36.3716633155481,-123.58499224665458,-124.86305440823168,-7.375638762858445,-44.22738724118137,-16.909760311515527
25,0.8869278102956626,-36.632063789494296,-123.90985289031471,-125.24187347375523,-7.196035710083642,-44.48819472125248,-16.991565662077168
26,0.8987516091369039,-36.761422067082044,-123.84458402813412,-125.22318282651453,-7.0185765035783705,-44.591625953805774,-17.026222671915328
27,0.8936811347172338,-36.95150483434615,-123.87705922686078,-125.31097595572946,-6.805436388742623,-44.76240705587256,-17.086760010717118
28,0.8915348724474338,-37.09615622934611,-123.8342469653725,-125.33454466714184,-6.617098073587161,-44.88392986388282,-17.14925329943785
29,0.8842019935150714,-37.32638031684984,-124.07211690223662,-125.63902729008436,-6.457719505047404,-45.10848389395057,-17.214563479400194
30,0.8742549568179053,-37.465893617600436,-123.92509455192688,-125.55025762338622,-6.24897023869366,-45.21419205397865,-17.254685108633737
31,0.884002165934661,-37.682040865286574,-124.16239005035526,-125.85347493095043,-6.097513675852065,-45.42592217761263,-17.33111167848743
32,0.892780772821733,-37.8585521177571,-124.24784276600201,-126.01116356640041,-5.960813734740073,-45.58667017881819,-17.39159766795627
33,0.8784827627663732,-37.993762793981084,-124.16517381175663,-125.97206500410215,-5.78227153781278,-45.69617048348415,-17.423436010937667
34,0.8780165289256199,-38.15006008015964,-124.13851717782704,-125.99654535110798,-5.627619932812935,-45.826630632030415,-17.464062909804685
35,0.8845344475281345,-38.32649667804988,-124.22272801672459,-126.14854024624825,-5.505874129223965,-45.985963860718705,-17.52118391496668
36,0.8837300039016778,-38.481044888769524,-124.2113377086503,-126.18934105137363,-5.362343419431232,-46.11439291774973,-17.57153650059672
37,0.8813631136129774,-38.6864540334513,-124.3970313992722,-126.43077007576258,-5.231330256671426,-46.30791772176309,-17.639767975060202
