seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,,0.0,672,40320,0.8018,386.977,12314,3635,80470,68156,68156,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3242,0.3229,0.3529,249,248,252,249,0,0
43,,0.0,672,40320,0.8025,385.4426,11766,3994,79804,68038,68037,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3268,0.319,0.3542,251,245,253,246,0,0
44,,0.0,672,40320,0.7937,383.372,12890,3554,79722,66832,66829,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3307,0.3294,0.3398,254,253,257,253,0,0
45,,0.0,672,40320,0.806,382.8845,12187,3196,79284,67097,67097,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3477,0.3333,0.319,267,256,267,257,0,0
46,,0.0,672,40320,0.8024,382.3758,12511,3116,79098,66587,66587,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3307,0.3203,0.349,254,246,254,248,0,0
47,,0.0,672,40320,0.8047,384.5802,12033,3432,79192,67159,67159,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3125,0.3307,0.3568,240,254,241,254,0,0
48,,0.0,672,40320,0.8052,383.1498,12023,3467,79512,67489,67489,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3268,0.3177,0.3555,251,244,252,245,0,0
49,,0.0,672,40320,0.8085,383.3442,11841,3320,79150,67309,67308,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3112,0.3294,0.3594,239,253,240,253,0,0
50,,0.0,672,40320,0.7981,383.7246,12289,3653,78950,66661,66660,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3203,0.3229,0.3568,246,248,247,249,0,0
51,,0.0,672,40320,0.7988,383.1801,13104,3038,80224,67120,67120,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3503,0.3307,0.319,269,254,271,254,0,0
