episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,maintenance_restoration_value,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
14,0.9196202109197704,-3.048892632577134,-0.28094564842621295,-0.13473872258378497,-0.04146180288201115,-0.09539186013888093,-0.04372444923842083,-0.0020357000893729536,-0.016631670711851527,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9250247678538445,-3.0751151517214743,-0.2939637753272744,-0.14086523902561587,-0.04341194823488718,-0.09967736544250758,-0.04565513948589306,-0.002142016711302248,-0.01753298362009997,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9183495178253419,-3.1025597741465964,-0.30792976564864116,-0.14754746334138485,-0.04548384529747863,-0.1042986760445777,-0.04797036391748169,-0.0022411764974811883,-0.018450154671843938,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9159143929404605,-3.1317640560383366,-0.32285712117229937,-0.15471507633693657,-0.04758013765005429,-0.10917571394836795,-0.050058735136318006,-0.002353036521192597,-0.01906399323944832,0.006615,0.01,0.0,0.97,100,11,1,12
18,0.910045852438516,-3.163490261512542,-0.3389409254522456,-0.16261236987163782,-0.049609082569980006,-0.11476698893004127,-0.0522298926655597,-0.0024709567643893954,-0.01972055460702126,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9146652172436049,-3.190966141675575,-0.35297366218489945,-0.16933670141609763,-0.05172725981515715,-0.1194893767694709,-0.05440347168578767,-0.002559212113204399,-0.020528658981697624,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9204416382708626,-3.217455556891798,-0.36629806151480077,-0.17571919059231186,-0.05366028206836569,-0.12401909776327028,-0.056476794858275114,-0.0026729196411684974,-0.0215034266514895,0.006242,0.01,0.0,0.97,100,11,1,12
21,0.9110733983877811,-3.2461794126762618,-0.3807670150089721,-0.18296913751708824,-0.0554588521568234,-0.12880289332895925,-0.05854150457179383,-0.0028006396506190414,-0.022019214544121538,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9188172761917497,-3.270582863457065,-0.39322280356504263,-0.18886758326640277,-0.057406708587472204,-0.13298914341640836,-0.06049919190372759,-0.002892578363602669,-0.0224785621710862,0.006016,0.01,0.0,0.97,100,11,1,12
23,0.9175776972963867,-3.2959877499710717,-0.40607500748922015,-0.19476376854376717,-0.0594413153244793,-0.1369537731620717,-0.06246549600818516,-0.0029945902760010264,-0.023165941081541897,0.005909,0.01,0.0,0.97,100,11,1,12
24,0.9147473873394129,-3.321898253912284,-0.4192973632309417,-0.20088429357602886,-0.061502739735418775,-0.14116038862953367,-0.06448282831226605,-0.0030969410906386257,-0.023763482964701457,0.005806,0.01,0.0,0.97,100,11,0,11
25,0.9115793022079892,-3.348039771360261,-0.43256490171591305,-0.2072356317025294,-0.06340191706941427,-0.14561882108365315,-0.06654134132833872,-0.0032122827881439523,-0.024386721985801104,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.912759364052816,-3.373640226409813,-0.4455303644009159,-0.2133110857459669,-0.06535348597763743,-0.14972776501197427,-0.06851553813318044,-0.0032993733596493047,-0.02549341689149277,0.00561,0.01,0.0,0.97,100,11,1,12
27,0.9163029353946623,-3.3959700705982896,-0.45710169856381355,-0.21891720453834201,-0.06712580462774626,-0.15378978260220488,-0.07045202719151243,-0.003345036377073589,-0.026405503435139453,0.005517,0.01,0.0,0.97,100,11,1,12
28,0.9196013736448724,-3.4181898844379197,-0.4683134861282334,-0.22431826719523276,-0.06869276381673767,-0.1575725598391856,-0.07219509295548572,-0.003426484729468863,-0.02684015581987581,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9195775520109797,-3.4402397709564188,-0.4796422558206516,-0.22971414541112292,-0.07039311425896415,-0.16124269460990415,-0.07396451025642037,-0.0035234941443747156,-0.027630802889952125,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.9086833972900465,-3.4650411476428924,-0.492358370868271,-0.23586768035781705,-0.07227680619125632,-0.1654311052413792,-0.07607618697842514,-0.003625883775139374,-0.028465227020063145,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.9132431656619895,-3.4726916610599106,-0.4973799925317423,-0.2395377869091461,-0.07296615800759478,-0.169274479422375,-0.07787128853418182,-0.0035157744123867234,-0.02919709279630986,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.9139389666633095,-3.4951090861867007,-0.5088604920156153,-0.24512897104098463,-0.07464416153356494,-0.1730807701273535,-0.07956970526335301,-0.0035636834178786035,-0.030027197433618303,0.005094,0.01,0.0,0.97,100,11,1,12
33,0.9171380186282811,-3.5161718697805644,-0.5194931332833194,-0.25029847852782,-0.07611573195150113,-0.17665541027936485,-0.08131523652037512,-0.0036432843817126143,-0.030763747139462155,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9177656839504524,-3.537147234844094,-0.5301264664934358,-0.25530487569006716,-0.07767280663344492,-0.18004451150229603,-0.08286634578417769,-0.003711159027174293,-0.03126377401543192,0.004942,0.01,0.0,0.97,100,11,1,12
35,0.9215649759599106,-3.5570511481100184,-0.5400147126468217,-0.2598079046384038,-0.07911531678812991,-0.1830994940596138,-0.08427230594040874,-0.0037796198317217302,-0.031871242387957695,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9174963717979007,-3.577219102238931,-0.5502860460705218,-0.2645592437210834,-0.08071733039432841,-0.18634156084571277,-0.08591782232305127,-0.0038346722660679822,-0.03220793718667094,0.004799,0.01,0.0,0.97,100,11,1,12
37,0.9196722983308971,-3.5961939960471474,-0.5601179736066657,-0.26915464681653817,-0.08231041309097038,-0.18932510463529154,-0.08761149564753179,-0.0039061812188788507,-0.032858669211947675,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9185125520204054,-3.61534907274995,-0.5697219920876112,-0.2735782541960137,-0.08384679792179944,-0.19242231434780235,-0.08917099374979087,-0.00397916805144651,-0.033414482535547026,0.004665,0.01,0.0,0.97,100,11,1,12
39,0.9154570321021631,-3.634760216033847,-0.5796803088279552,-0.2783696615048643,-0.0853340861816633,-0.19589081874886388,-0.09077448979138993,-0.004055868174658811,-0.034001235735610445,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9149411490113701,-3.6552574055543974,-0.5900898524752068,-0.28325252114567767,-0.08689981337461668,-0.19920123762797756,-0.09227142778923575,-0.004124659402831043,-0.03439311987893654,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.91619191664566,-3.674684909374709,-0.5999491795426085,-0.2880836846855404,-0.08823976455549648,-0.20262990336835882,-0.09374816495919716,-0.004183394755454857,-0.03518887450894056,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9173642448541377,-3.6930185024176994,-0.609317754346218,-0.29239507810876486,-0.08977689801365886,-0.20561151988543722,-0.09527089078277008,-0.0042600744129649825,-0.035773515581055924,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9170285333998835,-3.7117635168790333,-0.6187817985014528,-0.29676756339991395,-0.09126381940133199,-0.20858330072978495,-0.09683636042282055,-0.004321566042683719,-0.0362932468144116,0.004359,0.01,0.0,0.97,100,11,1,12
44,0.9140676117775355,-3.7297735942585435,-0.6280742306707908,-0.30136344935790454,-0.0925334882294998,-0.21187888026270663,-0.0982122206740501,-0.004387042436041285,-0.03687108084729312,0.004302,0.01,0.0,0.97,100,11,1,12
45,0.911731542720587,-3.749264610877279,-0.6380101727569784,-0.30605955763694015,-0.09400156034532052,-0.2150601906101291,-0.09976204206504705,-0.004485777410287048,-0.03745760726200118,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9224019328210463,-3.7656417596364875,-0.6463325247523248,-0.3100151996913712,-0.09518918797856737,-0.2177291441214169,-0.10096518711537573,-0.0045490993021325265,-0.03794529726587605,0.004194,0.01,0.0,0.97,100,11,1,12
47,0.9131054848073019,-3.7817764844418997,-0.6546856038789549,-0.3141298836287974,-0.09650099888691242,-0.22070015536749807,-0.10235513394032521,-0.0046154710608882635,-0.038370195743286296,0.004141,0.01,0.0,0.97,100,11,1,12
48,0.9109873670212766,-3.799723493775628,-0.6641211152023768,-0.31865716723984155,-0.09804132135465303,-0.2238745949416171,-0.10386614007505386,-0.004694084245257292,-0.03892659950251899,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.912996632996633,-3.817562616114406,-0.673220414399509,-0.32315221568672636,-0.0992933296989998,-0.22691526935350734,-0.10519700762263418,-0.0047572140636653855,-0.039602307436635904,0.004041,0.01,0.0,0.97,100,11,1,12
50,0.9166149459028767,-3.8333700384554237,-0.6812785904522243,-0.3271227453279898,-0.10049389345202601,-0.22977999206032987,-0.10672867501553264,-0.004819365479439112,-0.040249083384860954,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9102861952861953,-3.8514418968698343,-0.6904212814704253,-0.33153504923729793,-0.101826727223711,-0.23299055671588856,-0.10815302515854375,-0.0048821172236502555,-0.04085697990014906,0.003945,0.01,0.0,0.97,100,11,1,12
52,0.917828418230563,-3.867540866461536,-0.6987434835032228,-0.3353713298227023,-0.10320361585871157,-0.2356116796808138,-0.10946229473540095,-0.004933852805233067,-0.041280791498628254,0.003898,0.01,0.0,0.97,100,11,0,11
53,0.9105375119344734,-3.8850970296881946,-0.7077750532240947,-0.33988039395761865,-0.10439992133786585,-0.23878631649163212,-0.11070479296158682,-0.005002089709378848,-0.041642528637797105,0.003853,0.01,0.0,0.97,100,11,1,12
54,0.911052207757348,-3.902399743429934,-0.7167138116141307,-0.3443378969079121,-0.10558071371501189,-0.24193323257829746,-0.11203804553676555,-0.0050667133246237546,-0.04198498047367955,0.003809,0.01,0.0,0.97,100,11,1,12
55,0.9130944603581419,-3.917722509032054,-0.7245288745686026,-0.34821561323272476,-0.10669194109968934,-0.24480543024775614,-0.11319949126473314,-0.005126745539926544,-0.04251246877122531,0.003766,0.01,0.0,0.97,100,11,1,12
56,0.9212945812144276,-3.9316217804025104,-0.7315961510658797,-0.3515640199147623,-0.10778505018664829,-0.24710869806372435,-0.11435434799524169,-0.0051924478986280324,-0.04308734533592195,0.003724,0.01,0.0,0.97,100,11,1,12
57,0.9143710364728383,-3.9475754483609666,-0.7395464885402812,-0.35545015519646206,-0.10885727824550598,-0.24983919098952315,-0.11552418699572563,-0.005247680922108257,-0.04349953654172011,0.003682,0.01,0.0,0.97,100,11,1,12
58,0.9193466998587095,-3.962349846330359,-0.7469449409618064,-0.3589446233193864,-0.10992298036687466,-0.25228043512417403,-0.11663841187359349,-0.005294824021997765,-0.04392426739097896,0.003642,0.01,0.0,0.97,100,11,1,12
59,0.9166230565356112,-3.977448830128772,-0.754598206213822,-0.3626970964986129,-0.11095474610563305,-0.2548219303018836,-0.11773636612534776,-0.005323570417459417,-0.044370544305438936,0.003602,0.01,0.0,0.97,100,11,1,12
60,0.918467052101295,-3.9911900306391828,-0.761505450786889,-0.3660442180714739,-0.11191774499914013,-0.2570766836002801,-0.11878974782735557,-0.005391192744705102,-0.0447731594116752,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9105642055918299,-4.006989353054789,-0.7695424072131238,-0.3699214160720491,-0.11311427253180398,-0.2597596795163563,-0.1201051745688861,-0.005450537408053198,-0.04531196887261297,0.003526,0.01,0.0,0.97,100,11,1,12
62,0.9134086692528252,-4.02189755243375,-0.7770627761177347,-0.3736708671738946,-0.11409520950470597,-0.26244640962377713,-0.12119351209794191,-0.0055201918196552706,-0.04560663708136005,0.003489,0.01,0.0,0.97,100,11,1,12
63,0.912742915488007,-4.036784189762461,-0.7846982033194165,-0.3773709901705235,-0.11523350604374938,-0.26508766852150273,-0.1224064176897639,-0.005597299028971072,-0.04613184159448718,0.003453,0.01,0.0,0.97,100,11,1,12
64,0.9107698484392251,-4.052027318296351,-0.792492330361803,-0.38109712922903044,-0.11639834278085773,-0.26759415589286856,-0.12362822879498624,-0.005647141141780774,-0.04656719909705299,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9108837584976779,-4.065082173506528,-0.7994057376532616,-0.3846205973218729,-0.11733078565426011,-0.270228024206468,-0.12476789156849823,-0.005686045948430961,-0.04692692609001209,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9117281670751771,-4.0800343508314985,-0.8069511838534379,-0.3882537923308632,-0.11839584948103554,-0.27280739979679514,-0.1258705340715711,-0.0057387996814521084,-0.04746615025352021,0.003348,0.01,0.0,0.97,100,11,1,12
67,0.9167257025267348,-4.093713780334737,-0.8139958005091557,-0.3915547263719962,-0.11952503139699941,-0.2751537856433961,-0.1270140507082392,-0.005801727041414439,-0.04797906411061894,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9113358222698431,-4.1084188903781005,-0.821572954711158,-0.3952297704246688,-0.1206574119848674,-0.27770140780931596,-0.12814608510748518,-0.005862000078120616,-0.04843976964877101,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9186282569669312,-4.121572304230201,-0.8282229878519803,-0.39835698050545737,-0.12165100544588398,-0.27989275644768136,-0.12920368332407878,-0.005915042147546414,-0.04887020670885976,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.914759513296707,-4.132782170504921,-0.8343087466299695,-0.4015308800721087,-0.12248037940559976,-0.28215739771469794,-0.13030510209986182,-0.005976691469360661,-0.04927030208012078,0.003219,0.01,0.0,0.97,100,11,1,12
71,0.9153786966412418,-4.146589408800093,-0.8411882828907742,-0.4047929157398062,-0.12344624166830483,-0.2844524184647235,-0.1313865363195083,-0.006022080538946176,-0.04973132885601337,0.003188,0.01,0.0,0.97,100,11,1,12
72,0.9144131305849414,-4.15991813188513,-0.8480555968492287,-0.4081593784985536,-0.1244215779912892,-0.28681528948176505,-0.13237476321586927,-0.006055797297871373,-0.05003728777496806,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9145923109421208,-4.1698123240309455,-0.8534164500101176,-0.4109660227075295,-0.1251578189499385,-0.2889114336228663,-0.1333856330109856,-0.006069889463822828,-0.05044833193198023,0.003128,0.01,0.0,0.97,100,11,1,12
74,0.9190376041053252,-4.181730985823303,-0.8595821916082694,-0.41399304385733676,-0.12603283532701953,-0.29096694654618155,-0.1343678268402309,-0.006085980999243216,-0.05067225969051105,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9112007561691928,-4.195105094486325,-0.8663616564003029,-0.41728081234534264,-0.1270446477125989,-0.29321126555585486,-0.13541884077137584,-0.006120010950548021,-0.051224062206378915,0.00307,0.01,0.0,0.97,100,11,1,12
76,0.9178344913443582,-4.207015603927333,-0.8724844081841797,-0.42023442734360905,-0.12790940323070873,-0.295244056055282,-0.13633145637274335,-0.006173962795373336,-0.051617838105218215,0.003042,0.01,0.0,0.97,100,11,1,12
77,0.9156264601828983,-4.218594594945112,-0.8785015931882414,-0.42324688159533663,-0.12881169544787766,-0.2974313234252549,-0.1374276473361268,-0.006226370311863126,-0.052001104170764034,0.003014,0.01,0.0,0.97,100,11,1,12
78,0.9117760715065777,-4.231097810455638,-0.8849805569524689,-0.4263915854502532,-0.12982099057064125,-0.29957150178796094,-0.13849318567622568,-0.00626887565067645,-0.052373699639956174,0.002987,0.01,0.0,0.97,100,11,1,12
79,0.9196097759951052,-4.242603487374573,-0.8907812619702571,-0.4292167213373449,-0.1306346181946027,-0.3015514836701361,-0.13933010974678067,-0.006303079353749611,-0.05263173083524773,0.00296,0.01,0.0,0.97,100,11,1,12
80,0.9147921041579168,-4.2536725662359425,-0.8963260618271908,-0.43201413578395137,-0.13141079854349122,-0.30359862148008593,-0.14016837833019247,-0.006274697988164118,-0.05319398058075655,0.002934,0.01,0.0,0.97,100,11,1,12
81,0.9141991022978495,-4.2659903307501885,-0.9025728940852513,-0.43502596078106304,-0.13232489657062702,-0.3056685478771878,-0.1411649829033237,-0.006317530604759017,-0.0536003662033339,0.002909,0.01,0.0,0.97,100,11,1,12
82,0.9175506349393729,-4.27748497195542,-0.9084589553059645,-0.4379080606919164,-0.13318616420796706,-0.3077892972126948,-0.14219933766416606,-0.0063646843709027736,-0.053903819043214125,0.002883,0.01,0.0,0.97,100,11,1,12
83,0.9149263464142994,-4.289411385326081,-0.9145741622685498,-0.44088649896873755,-0.1340559330458465,-0.3098401147729865,-0.14312374260450583,-0.006407290058357401,-0.05421395311235242,0.002859,0.01,0.0,0.97,100,11,1,12
84,0.9174977031654556,-4.300191387144459,-0.9200102489049479,-0.4435705738809911,-0.13483390814435312,-0.3116978509596148,-0.14394464472877874,-0.006427509791208638,-0.05463260109660368,0.002834,0.01,0.0,0.97,100,11,1,12
85,0.9123848620040372,-4.312088335926276,-0.9261832263923405,-0.44656818422682126,-0.13576909485894725,-0.3138586297397893,-0.14493081397896654,-0.006467598333323303,-0.05472693100975352,0.00281,0.01,0.0,0.97,100,11,1,12
86,0.9174405378333871,-4.323270541408444,-0.9318585821257085,-0.44936506426149886,-0.13652505390990433,-0.3158238672599728,-0.14573266212305744,-0.006509344352965818,-0.054979129625804486,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9133303041012437,-4.334551512433297,-0.9376465982331221,-0.45214533729382117,-0.1374180600494671,-0.3177810868498054,-0.1467567411910142,-0.006546538568309769,-0.055449440450929456,0.002763,0.01,0.0,0.97,100,11,1,12
88,0.9207717020279766,-4.344962529409025,-0.9429745523409234,-0.45468488514327554,-0.13819751821098203,-0.3194958922261712,-0.14760673962134138,-0.006581423029609412,-0.055983070783224224,0.002741,0.01,0.0,0.97,100,11,1,12
89,0.9130706480433718,-4.356631001535647,-0.9488787519913975,-0.4575382275264727,-0.13903194662101256,-0.3215273668962732,-0.14847404929357755,-0.0066048252365602305,-0.0562891854154475,0.002718,0.01,0.0,0.97,100,11,1,12
90,0.9182714025196166,-4.365837891819102,-0.9535089102889756,-0.4598536765721495,-0.1396910733340845,-0.3233026270957038,-0.14934609776047017,-0.006626874666246379,-0.05680522487037276,0.002696,0.01,0.0,0.97,100,11,1,12
91,0.9118396899857231,-4.377107004339213,-0.9592685420818838,-0.46271146906570887,-0.140468186906532,-0.32532821728268224,-0.1501820038808486,-0.006677590495301647,-0.057319291846050745,0.002674,0.01,0.0,0.97,100,11,1,12
92,0.9141317426155332,-4.387585574217995,-0.964519391197157,-0.46516627072657624,-0.1412689978356616,-0.32721358672111095,-0.15117416126576924,-0.006683000912709809,-0.05769359269838876,0.002653,0.01,0.0,0.97,100,11,1,12
93,0.9138934412522158,-4.398125832014323,-0.969995081007659,-0.46798587075464626,-0.14198137312361728,-0.3293125987431571,-0.1520384713883484,-0.006726153350913145,-0.05805221863790285,0.002632,0.01,0.0,0.97,100,11,1,12
94,0.9111216891639182,-4.409452690212669,-0.9757458091540452,-0.47072885944894827,-0.14279721774707943,-0.33115929218526746,-0.15296791075293525,-0.006757725341122015,-0.05827826375126338,0.002611,0.01,0.0,0.97,100,11,1,12
95,0.9140033004411814,-4.418246769113989,-0.9801710892050136,-0.47298479323203696,-0.14341439029490885,-0.33292945340357016,-0.15377090776417224,-0.0068141274878653,-0.05860777469745678,0.002591,0.01,0.0,0.97,100,11,1,12
96,0.9134836398053001,-4.428836640976369,-0.9855117735631133,-0.47566629292954105,-0.1440902817256054,-0.3348509866337108,-0.15450590352726828,-0.006858042984891985,-0.05897945657328772,0.002571,0.01,0.0,0.97,100,11,1,12
97,0.9185695097380793,-4.43891219310854,-0.9906368200999226,-0.4781030430225458,-0.14484815115078573,-0.33654857172302716,-0.15533585875368955,-0.006894737452455897,-0.059348708307444084,0.002551,0.01,0.0,0.97,100,11,1,12
98,0.9108410175148767,-4.450154481739218,-0.9963390127035875,-0.4808925536156495,-0.14561173941849995,-0.33843702701716355,-0.15612044366175806,-0.00692278039487823,-0.05949542434613552,0.002532,0.01,0.0,0.97,100,11,1,12
99,0.9144764929897364,-4.459439032271221,-1.0012421345978069,-0.4833021603269758,-0.14633841500295658,-0.3402589004811745,-0.1569254508848492,-0.0069195468793764965,-0.05970571741170483,0.002513,0.01,0.0,0.97,100,11,1,12
100,0.9088707791990915,-4.4687362626589495,-1.0062272398041772,-0.4858984229212848,-0.14707324502976823,-0.34217985923180905,-0.1578879949090114,-0.0069275268443834285,-0.060108133051489036,0.002494,0.01,0.0,0.97,100,11,1,12
101,0.913322632423756,-4.4791853787651945,-1.0116282215940409,-0.48852665796947586,-0.14783551438413833,-0.34395310646989175,-0.15874626012538465,-0.00696524440966149,-0.06034291891969632,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9091946117327339,-4.489888148194089,-1.0171538769145296,-0.49126774907668164,-0.14860846022541332,-0.34590767605472506,-0.15954322596213646,-0.007004392730988839,-0.06060786005847806,0.002457,0.01,0.0,0.97,100,11,1,12
103,0.9228333389778847,-4.498586210253227,-1.0215469920208684,-0.4934296588998341,-0.14920420708351279,-0.34742639547052373,-0.16018389418850928,-0.007033435589368831,-0.06083987197260135,0.002439,0.01,0.0,0.97,100,11,1,12
104,0.9185080787235114,-4.5073935830719085,-1.026218169784133,-0.49565971948478554,-0.1499979672446838,-0.349029834132246,-0.16100175942339515,-0.007082058992283189,-0.061113237198865224,0.002421,0.01,0.0,0.97,100,11,1,12
105,0.9129718942291701,-4.517835035928763,-1.0316292146034232,-0.49836506416093956,-0.1507233306947044,-0.3508999874733798,-0.16182695346758919,-0.007130179881205938,-0.061438935357730505,0.002404,0.01,0.0,0.97,100,11,1,12
106,0.915397659542318,-4.516449382144873,-1.0313188269608442,-0.49941442759085697,-0.15041017987801697,-0.352027833912667,-0.16260697299337118,-0.007042282557702568,-0.06171761285841481,0.002386,0.01,0.0,0.97,100,11,1,12
107,0.9136303886211197,-4.526520864632599,-1.0364064352554883,-0.5019070795386459,-0.1511391325420766,-0.3538110895299579,-0.16345723199610898,-0.007071229851360345,-0.06197974164960529,0.002369,0.01,0.0,0.97,100,11,1,12
108,0.9116598353827186,-4.536132058560747,-1.0413638271713708,-0.5044315538908664,-0.15180189899548982,-0.3557060820733687,-0.16420134067256123,-0.007104731823936734,-0.06220670480679855,0.002352,0.01,0.0,0.97,100,11,1,12
109,0.914551706785205,-4.53842757283411,-1.042616579335745,-0.5053890969748511,-0.15198914779787637,-0.35713543063003683,-0.16494202712777847,-0.007045348889950465,-0.0624254900655599,0.002336,0.01,0.0,0.97,100,11,1,12
110,0.9154329029965652,-4.547851535826798,-1.0474291874368864,-0.5076509965603881,-0.15272449777794458,-0.3588061525151194,-0.1657106950116296,-0.007073425794793755,-0.06266963483171377,0.00232,0.01,0.0,0.97,100,11,1,12
111,0.917966561996096,-4.555965995695139,-1.0515360428071627,-0.509691348819897,-0.15330919177260646,-0.3602464944775499,-0.16642949806351975,-0.007084846907529642,-0.06300102326262676,0.002304,0.01,0.0,0.97,100,11,1,12
112,0.9089095857068001,-4.565979560696283,-1.0566940693114504,-0.5122251417494953,-0.15405627997579416,-0.3620270446018772,-0.1672227640199741,-0.0071086297095559955,-0.06329875688045106,0.002288,0.01,0.0,0.97,100,11,1,12
113,0.9135482108713466,-4.574360855914406,-1.0609510645019038,-0.5143112570968222,-0.15468317174704227,-0.36361627255240503,-0.16795358499272425,-0.007122799399602223,-0.0637416326434131,0.002272,0.01,0.0,0.97,100,11,1,12
114,0.9116946308724833,-4.584167933040813,-1.0660177650272455,-0.5168110190811812,-0.15538365699221993,-0.3653141703609424,-0.16868196431479496,-0.007176666140789615,-0.06414758492757787,0.002257,0.01,0.0,0.97,100,11,1,12
115,0.9144686818850007,-4.5935364016631945,-1.0708071892138145,-0.519191832401658,-0.15599633540940006,-0.36694361689271193,-0.1693263370943672,-0.007211183778921381,-0.0643674830603097,0.002241,0.01,0.0,0.97,100,11,1,12
116,0.9175299752046466,-4.602295032187017,-1.0752514903982977,-0.521264681130221,-0.15673126132208998,-0.36834558609908036,-0.17007926610189691,-0.007242391290638011,-0.06467296784926245,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.9196407783136538,-4.610881319497352,-1.0795757858450352,-0.523340941258391,-0.15736484367548834,-0.3698398402757909,-0.1707690296947458,-0.0072762247983308315,-0.06484631918085278,0.002212,0.01,0.0,0.97,100,11,1,12
