episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
10,0.9446714588242312,-1.135890822240767,-1.4079929060370253,-0.8794854531402142,0.08472,0.1,0.188346,0.2,1269,586,1409,33527,38442,38436,0,0,0,0,3558,3552,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9380988997988879,-1.1637119900692274,-1.4143810513314572,-0.8720884357049005,0.083445,0.1,0.187219,0.2,1401,692,1158,33812,38461,38456,0,0,0,0,3437,3434,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9365422102264207,-1.439947601483237,-1.8927966023675835,-1.2655342029848549,0.082208,0.1,0.186098,0.2,1323,793,1251,33345,38205,38199,0,0,0,0,3606,3602,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9401092233009709,-1.157077102237316,-1.3670536491335399,-0.7492073578773458,0.081006,0.1,0.184985,0.2,1406,568,1060,32960,37721,37717,0,0,0,0,3420,3415,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9391634980988594,-1.2098643431330218,-1.4288365320149372,-0.8370007275699843,0.07984,0.1,0.183877,0.2,1225,791,1139,33138,38017,38012,0,0,0,0,3372,3362,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9378193956222491,-1.2688232550116185,-1.496529582409132,-0.8707661560618696,0.078707,0.1,0.182777,0.2,1293,812,1399,33853,38635,38625,0,0,0,0,3530,3540,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9368007438735415,-1.4278134806303542,-1.7215041069556942,-1.0822899099171028,0.077605,0.1,0.181683,0.2,1383,724,1382,33339,38022,38014,0,0,0,0,3540,3551,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9433632584201964,-1.2706813115638178,-1.3882871309645288,-0.796191504618508,0.076534,0.1,0.180595,0.2,1218,662,1364,33194,38084,38079,0,0,0,0,3580,3578,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9400017830079344,-1.342935799021769,-1.5503878060257583,-0.9430186665311628,0.075492,0.1,0.179514,0.2,1403,616,1103,33651,38409,38405,0,0,0,0,3487,3488,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9356825282384043,-1.4015195786154457,-1.6605551811103478,-0.9773902756369544,0.074478,0.1,0.17844,0.2,1423,718,1335,33288,37876,37868,0,0,0,0,3550,3545,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
