episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk
0,0.8910293185180712,-3.8438821154087783,-2.942544814385474,-0.9752141465456226
1,0.9382183034356948,-5.169210795320512,-3.9318495276052934,-1.1960409646614207
2,0.9431368971598857,-6.315694466704014,-4.765056419916301,-1.3756234979006028
3,0.9407434336090157,-7.482434902403248,-5.628405959474662,-1.5565463552873013
4,0.9390295614247638,-8.759994077271708,-6.505334024728172,-1.7871208067611193
5,0.9352283035984276,-9.96114481046935,-7.392698379731918,-1.9847807940437632
6,0.9388444712626339,-11.133352096154592,-8.2214782151047,-2.1804598073529218
7,0.9344935002695741,-12.287039072558272,-9.076185324430488,-2.3766838905623016
8,0.9394076760350559,-13.276857120519667,-9.804310553239258,-2.525615293742827
9,0.9353357857294865,-14.370288054526995,-10.623609012767128,-2.7236542764757448
10,0.9301430804376578,-15.55265843255462,-11.476011005951037,-2.943515109595371
11,0.9403079139281534,-16.458343080591963,-12.149907591981714,-3.096348373904088
12,0.9420160038218082,-17.322254755422986,-12.75955411090991,-3.2367537971481326
13,0.9425333374395615,-18.127212888722603,-13.341127098147416,-3.36524863879239
14,0.9288365583546306,-19.16208362568918,-14.114558217088383,-3.5379205596505687
15,0.9386404833836858,-19.985112777863904,-14.742763636053128,-3.6736233423664
16,0.940384383660682,-20.757755591410053,-15.279589460590907,-3.7883145611208144
17,0.9402360450412477,-21.527275871004733,-15.853026285613717,-3.914952938449641
18,0.9334505654428039,-22.362576227716115,-16.49645889389929,-4.047726555131472
19,0.9384343449474221,-23.13361617534226,-17.046953409294158,-4.169447826950581
20,0.9405895554072906,-23.819503312933136,-17.563416388570378,-4.2712997983664875
21,0.9335095876257331,-24.580737361692737,-18.118379037073975,-4.407520153137153
22,0.9392293379749115,-25.30682232168751,-18.64375094544247,-4.545865302139616
23,0.9405701886565005,-25.95042388735345,-19.121622977266522,-4.648216418797968
24,0.9423164684048799,-26.557932092324258,-19.573825673797515,-4.759024783848519
25,0.9375946224187004,-27.229754356829325,-20.066349259259965,-4.863010372096909
26,0.939709493240245,-27.84633683244863,-20.527476309377544,-4.961784604916667
27,0.9355648282535075,-28.535873946562866,-21.033551934434826,-5.086040366622418
28,0.9384969233526494,-29.141174026640535,-21.460351777032173,-5.1837012648692085
29,0.9368895567242674,-29.77659809209522,-21.931295277260006,-5.270969793633025
30,0.9374847523786289,-30.383584739041865,-22.365198685820452,-5.385482693877149
31,0.9418446982252087,-30.922870109092266,-22.79307669290444,-5.473703264962988
32,0.9371356451709838,-31.466188314397744,-23.21695370027132,-5.549008459379795
33,0.9450947266803427,-31.95453058137045,-23.58546242118732,-5.628905148791041
34,0.9371523579201935,-32.499421746845414,-23.95727867637607,-5.715423396173071
35,0.9390852137947814,-33.00560163285676,-24.311849151295036,-5.803905113221551
36,0.9400071420069039,-33.52956870291246,-24.681602918089755,-5.893666296943256
37,0.9450301204819277,-33.98236664261521,-25.006517684990026,-5.966111680809504
38,0.9423123633713869,-34.44231351713832,-25.332363210675577,-6.038598322307267
39,0.9361166696986235,-34.95200487711322,-25.729516005622575,-6.1148832006273475
40,0.9398995335486185,-35.42546869974721,-26.076559779467438,-6.193974722214662
41,0.9436420106745469,-35.853503412565466,-26.377325774323364,-6.263427918734712
42,0.9334544696315272,-36.39017641583329,-26.751484958803083,-6.370399154705771
43,0.9423274352315961,-36.81480905767756,-27.048962018809796,-6.437014336159514
44,0.9386015470954042,-37.27787009827505,-27.391468941757754,-6.51426050999239
45,0.9342533207696283,-37.75343299226503,-27.751583162229274,-6.5911235327713085
46,0.9417508010398404,-38.16333604828922,-28.04369144116536,-6.649512683324313
47,0.9346170122725349,-38.632840506255086,-28.399638490587417,-6.728476573386788
48,0.9353713092752759,-39.09419826940813,-28.7352529594013,-6.8142385848715845
49,0.9358080579447714,-39.57377295399667,-29.067889727558306,-6.8947139941329185
50,0.9420889656404454,-39.950279057607425,-29.350951804057242,-6.957968653140462
51,0.9381059582770523,-40.357676199652,-29.650741218936204,-7.019430194311769
52,0.9406744130330618,-40.77681244169569,-29.931780632285932,-7.088709622781475
53,0.9357699543133566,-41.20839424945619,-30.26351504855891,-7.1663773400812225
54,0.9335757867211686,-41.6608241864682,-30.581719512399065,-7.24210785483607
55,0.9390111218568665,-42.07505023759651,-30.878850220317826,-7.310914942429088
56,0.9459467662144526,-42.397030559701776,-31.104009202578737,-7.361965269986033
57,0.9382782891174878,-42.76697704674182,-31.37386091784283,-7.421720467019589
58,0.9454095042445847,-43.06818936622952,-31.60709685593356,-7.460676414075912
59,0.9431358842658724,-43.39583903426208,-31.84384616012559,-7.5161837803824705
60,0.9410575849898948,-43.7272760324823,-32.07446984301963,-7.565800881700287
61,0.9402621610245926,-44.07911949755599,-32.31828433188158,-7.627114243318549
62,0.9420769300171423,-44.40042139002503,-32.56009691703128,-7.6700037513688795
63,0.9459941370243887,-44.68486125491395,-32.77021921688387,-7.706577421502368
64,0.9344153493423434,-45.074388083645104,-33.0581667808455,-7.76441329483154
65,0.9376609994848016,-45.43934499456588,-33.31857777303036,-7.830638195412158
66,0.9377632336454261,-45.79423937192749,-33.56893167419074,-7.889876896131563
67,0.9344921792908824,-46.18341186617631,-33.83249839751236,-7.95270314550111
68,0.9376469170031945,-46.53769262995243,-34.0868201870017,-8.014785283933215
69,0.9361994327511569,-46.87262600660581,-34.340678171808925,-8.072501227684333
70,0.9406279330285506,-47.19396751282098,-34.55172497224966,-8.123031223690425
71,0.9467586290346977,-47.4576593406111,-34.74513014546254,-8.161979878189943
72,0.93623346681228,-47.77945606330392,-34.979638141009495,-8.214479048539836
73,0.939905224714014,-48.088757204653014,-35.20362281788788,-8.267474441094887
74,0.9388733762292096,-48.38774318841853,-35.425109830957275,-8.309721674841473
75,0.9419354838709677,-48.68251732770027,-35.642010833390756,-8.358323624020786
76,0.9362461390829759,-49.01831254720724,-35.89199703367502,-8.41595793929799
77,0.9392953929539295,-49.314790005163864,-36.10847768721,-8.458045705946995
78,0.9293180539516153,-49.677103190709815,-36.38389558570594,-8.522393702015227
79,0.9366760126469009,-50.000068838900624,-36.59874414944818,-8.578128166414707
80,0.937449130316824,-50.31365050046243,-36.81637919091668,-8.63074693759092
81,0.9397940160753033,-50.5971265124017,-37.016409395417924,-8.668277078534045
82,0.9411228027492244,-50.86684132263652,-37.216163413189264,-8.712057226983745
83,0.9343128524784803,-51.19810938579306,-37.44278768014442,-8.763146458748778
84,0.9422044650481883,-51.45980366430027,-37.62446386213538,-8.806501299070364
85,0.9345994101005237,-51.752129609588046,-37.846951578895776,-8.851363500607196
86,0.9435199951855083,-52.00895396688242,-38.03762399766283,-8.893309419914875
87,0.94912698652031,-52.229069693964874,-38.18895996960706,-8.925072938500927
88,0.9491346240976228,-52.42514655412536,-38.32977248627955,-8.954426892125838
89,0.9483031370325046,-52.64491869658843,-38.494632987434194,-8.986753240417181
90,0.93943032085722,-52.912409426711,-38.6995228809187,-9.028849042024541
91,0.9391563335764649,-53.17644867697112,-38.8981472923149,-9.068576738011801
92,0.9470094755265858,-53.38726419922033,-39.05622010699902,-9.098324706785176
93,0.9376064036319106,-53.6555330965318,-39.25838721040605,-9.14631315224723
94,0.943304212541886,-53.895842283255995,-39.433667979672144,-9.181630881866697
95,0.94567165993133,-54.10933079820437,-39.58841932124799,-9.213492349905032
96,0.940957190957191,-54.3402403130457,-39.768606908799,-9.248337452281614
97,0.937041049717106,-54.60433856838498,-39.959335777134974,-9.295988482099709
98,0.9390959126590274,-54.84583820634315,-40.12445391269278,-9.33245226456286
99,0.9417109393866215,-55.07823963984979,-40.291297139869016,-9.366530521582275
100,0.9416728569306195,-55.310716394183906,-40.47417836541016,-9.405091740512978
101,0.9443354731336187,-55.526203172421994,-40.62372335683012,-9.433909250816974
102,0.9398879716981132,-55.77198669873051,-40.80411476208767,-9.46974180393151
103,0.93856726364015,-56.018304240950314,-40.98051811698697,-9.511096923663677
104,0.9430133180321928,-56.22960161423683,-41.13930059774724,-9.537597979996967
105,0.9406003254776686,-56.4517246780507,-41.29600859301379,-9.573080342184081
106,0.9413443913579134,-56.673776612406925,-41.45344154051122,-9.606298723424304
107,0.9358159249167424,-56.90670888637204,-41.63248712860265,-9.642160278258787
108,0.943372445458092,-57.1098782527411,-41.78060859918337,-9.671945385529048
109,0.9392769921910332,-57.3225231764804,-41.94643175030228,-9.706117351914562
110,0.9398875897929128,-57.543836656161815,-42.10317108883579,-9.738119152910777
111,0.9511349114586503,-57.69696360513062,-42.21891851075668,-9.756898412496291
112,0.9421287173735108,-57.89727214587237,-42.36576347336296,-9.785400056942555
113,0.9393016955343825,-58.12194609333621,-42.5301614554989,-9.821593202316258
114,0.9421477678705455,-58.33184997356623,-42.67573565652332,-9.853239897370926
115,0.9478469772533755,-58.51199487396427,-42.80726803290895,-9.879173173948534
116,0.9346325498363582,-58.76100958186123,-42.98265680205879,-9.919929163084547
117,0.9398294471942275,-58.971809640580446,-43.13920217158099,-9.954550219071457
118,0.9424377869050495,-59.167776033612384,-43.274431464638496,-9.990509247728864
119,0.9452986309613359,-59.34240932579176,-43.3991915734291,-10.019308996436989
120,0.9445096446089495,-59.52707697065258,-43.54100644968338,-10.047034477487225
121,0.9314484426973088,-59.76322550777013,-43.725346106577234,-10.084870643770673
122,0.9409680155076326,-59.94392170230365,-43.87183103656596,-10.11212673556732
123,0.9400079459674215,-60.14188940692017,-44.01347998006121,-10.139609458906904
124,0.9408057415113684,-60.332107961839725,-44.15186008372289,-10.168968651495938
125,0.9412223589066578,-60.51934807608127,-44.288865744373545,-10.19871547225585
126,0.9451033650218802,-60.69659003576839,-44.415013456058524,-10.226097631434477
127,0.9419932211452696,-60.87999787395561,-44.55103727975353,-10.253263079615996
128,0.9412944557538019,-61.07761725658792,-44.6983409400855,-10.28390876802313
129,0.9415478492025133,-61.26546520590049,-44.833234357489374,-10.30881682817725
130,0.9453304319313203,-61.435466458206896,-44.95959296240831,-10.3334664613881
131,0.938983562057005,-61.62927013592043,-45.100859004455046,-10.36457600156606
132,0.9445542747650476,-61.79541684207911,-45.21383522027098,-10.39361116045263
133,0.9455587392550143,-61.95128668040434,-45.33269678240332,-10.414026845248936
134,0.9345954731519384,-62.151293792278985,-45.48093215186377,-10.448070178276712
135,0.9435873890419345,-62.30686858552516,-45.59848746185414,-10.473791606485598
136,0.9495383683971546,-62.45917456215409,-45.702738710278986,-10.49755190054606
137,0.9400089941538,-62.64267655119624,-45.83788796306806,-10.526780420882668
138,0.9369234005469242,-62.84058631582086,-45.98005421182263,-10.562150737730542
139,0.9447477353170556,-63.007057623247675,-46.10784676520735,-10.584599553327427
140,0.9360418222554145,-63.19934054495426,-46.2473475433912,-10.61783501384209
141,0.9360346278706264,-63.386772354110526,-46.399909313609676,-10.64514047964259
142,0.9447758030821399,-63.54218568817979,-46.51396898147525,-10.668993962601563
143,0.9377234355754499,-63.73483813088796,-46.65260737063411,-10.697401039628513
144,0.9328921642352234,-63.939286448169234,-46.799341129143365,-10.731274293897552
145,0.9356465726786583,-64.14056987295143,-46.930132502013784,-10.76613743303163
146,0.9479683765398051,-64.28430268381352,-47.033363256769164,-10.786474433297869
147,0.9411265127847371,-64.4612641399724,-47.16032800478025,-10.813197426791305
