episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9244073881460854,-2.540234653196881,-0.02192825050919234,-0.008887329584739156,-0.0050752025280803486,-0.006257807660761768,-0.004180951957446087,-6.288688933287524e-05,-4.656162734588166e-05,-0.01343503732735305,-0.0003874966615787878,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9297057840187228,-2.5763299684088263,-0.04070691780864022,-0.016226103604790182,-0.009276092874115158,-0.011108175885520466,-0.007611368757815961,-0.00011308033503028958,-8.720740212568164e-05,-0.024462145841694326,-0.000607384559246135,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9264619662629613,-2.6131280393877248,-0.060311525293975446,-0.0240509497047076,-0.013671719954886304,-0.01645027577314779,-0.01135525674807079,-0.000170983527752395,-0.00013678744903365735,-0.036374985495788374,-0.0012056163575329666,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.933372404554588,-2.645210588113994,-0.07722295023967328,-0.030899270782509543,-0.017453947564049777,-0.021322906252636057,-0.014490169817864277,-0.00022001504027537096,-0.00017755048959647727,-0.04666337730421707,-0.0014562348319594224,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9287229107296706,-2.679224502920077,-0.09505153344845872,-0.03812206641131282,-0.021318296800773084,-0.026580755006009687,-0.017843311701441975,-0.000283923862127386,-0.0002272363975869319,-0.05840911562136067,-0.001743554059400433,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9337596464502738,-2.70931943977029,-0.11028609952095077,-0.04420471900061666,-0.02461255680607894,-0.030879618877409882,-0.020639236532564206,-0.0003379189758191422,-0.00026906103817041216,-0.06838929556528654,-0.0020090745973826585,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.931157478732668,-2.739794229069457,-0.1260362646425442,-0.05045673552609207,-0.028005872512049765,-0.035243875292956146,-0.023503526439873506,-0.00038449947728826035,-0.0003035600324934741,-0.078006889614052,-0.0024512679461992782,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9291824381784529,-2.7706065280407746,-0.1422414149683276,-0.056810655136845474,-0.03173975281362344,-0.03957362873293024,-0.026605951533235243,-0.0004307759417981088,-0.00033576394201078154,-0.08681858828937353,-0.002867755986123677,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9334837483884101,-2.798060468557995,-0.15645688578438696,-0.06252680381832766,-0.034894568464710174,-0.04369972801826096,-0.029415717156627948,-0.00046869303138690545,-0.0003700454649987587,-0.09507642631681434,-0.0030878942191263164,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9292136530931213,-2.827001705335662,-0.17159511778893077,-0.06849082783676314,-0.03832671299934015,-0.047865292189342365,-0.03219301451614235,-0.0005061291646859747,-0.0004058813370509332,-0.1035152769245545,-0.003497194480561514,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9206391880765548,-2.8591043038666326,-0.18859057778230434,-0.07529231952172079,-0.04222702620498444,-0.052366125136080875,-0.035582511992955757,-0.0005590772059001072,-0.000448634721971934,-0.11401211482027174,-0.0038702748610007485,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9254150616494811,-2.888310266434121,-0.20409167488146843,-0.08150075927138416,-0.04564575714600468,-0.056628019916545605,-0.03860048112210641,-0.0006085681669662998,-0.00047948790341512706,-0.1236961110182726,-0.004026427235989397,0.007513,0.01,0.0,0.97,100,10,1,11
