episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
0,0.9140520083017947,-16.118136231039678,-7.952128686622668,-7.80445010685568,-1.4844221462095575,-2.573215442190285,0.0,-21.87352070368675,-20.464956088435386,-22.03295444516732,-1.4531361698550358,-34.69768300350369,-9.838841876529015
1,0.9157571519776244,-13.912611997834448,-9.2995267980024,-5.736636193322691,-6.660354587289088,-2.918476419773103,0.0,-7.724666857982648,-3.246822611650402,-7.857461729492027,-0.698484430930317,-33.48131549014492,-10.016449854594494
2,0.9217448817003878,-20.140512676465175,-11.340549266740377,-7.902473316124687,-5.874406277427504,-4.536057200185496,-0.7360856873275565,-23.141894075979444,-17.401231985733915,-23.22525714700317,-1.1915393723141636,-51.88105582809225,-13.355085118139472
3,0.9179289451941613,-20.742878167105385,-12.567689634538608,-7.868165909910572,-10.42884962000481,-5.093475758949442,-0.20100720326672727,-15.6958051549691,-9.725071663909905,-15.493565591243133,-0.34063506562582835,-37.818352864058944,-14.624846712792078
4,0.9097416930143769,-18.42428284444551,-9.67539233681907,-9.867486517189276,-11.268079305334915,-1.938861296695928,0.0,-12.353058591055525,-7.280106720746822,-13.048600648080109,0.0,-43.46228884130198,-12.25107494925282
5,0.9176630846072348,-15.606662964656559,-9.952972775104314,-8.841663977370109,-9.328732210761691,-4.078312951708578,-0.8505923728148412,-10.229140552662617,-8.038804509775838,-10.91682170918413,-0.32781746398909445,-45.14877201443705,-9.703261931554332
6,0.9152076486405737,-13.844475250873097,-11.084531099709169,-8.82819100812556,-10.720473845961592,-6.886082279390871,0.0,-10.287142615147562,-5.4537330208272925,-10.802083664429095,-0.3376067586251957,-33.814684138146426,-9.17625220853255
7,0.9209280019183502,-14.378536205468224,-11.237109933083602,-10.4344170928339,-12.130142656128116,-6.825253348030259,0.0,-11.92537925692331,-7.95412569528991,-12.454009587506336,-0.6503924719014667,-35.88435864981045,-9.821933951063103
8,0.9121014514529555,-19.864447689791998,-16.321739932106393,-13.677068385086274,-14.625642213227577,-6.935128800495561,0.0,-10.376283389025708,-2.627447341447146,-11.070007022792826,0.0,-43.392521211674136,-13.907176887831959
9,0.9098540814457537,-21.809363856721383,-18.88255024029452,-14.669516853531755,-12.906714819822882,-9.258604735996583,-0.7670896369059595,-12.375237764954889,-5.246996633541101,-12.936882659923192,-0.09162313264270919,-47.25727602633955,-15.05260276939182
10,0.9213313618395245,-19.13544081161993,-18.933773168469973,-14.29591772683268,-13.277278142694755,-8.290247407297331,-0.1464336308630165,-13.420175905455736,-9.72528874621225,-13.516718104161633,-0.18798748781979838,-51.13861674541182,-12.959356557589544
11,0.9166441299317888,-16.600384019080188,-16.850567589483763,-13.601950369540855,-14.3537175805098,-10.445399196805006,-1.9357525147085168,-23.7117886459108,-17.442328460623827,-23.975210061463784,-0.6358012879661212,-64.07370237980294,-13.410220974610448
12,0.9137905363151783,-12.339388763707744,-16.149666014387442,-13.133039416920099,-14.241382612335627,-13.956292219578659,-0.26293275836263597,-6.753217578367952,-2.047775776788297,-5.070923439155102,-0.03158958477615609,-43.557359027634995,-11.341888208801029
13,0.9179541660342996,-19.09088434917576,-19.113724757569525,-15.309692057021033,-14.66125148131456,-12.694978789776163,0.0,-16.951681999147752,-11.802094817581471,-15.387541693856576,-0.09653182646260602,-44.57052281681497,-14.573896617673103
14,0.9067527038080524,-19.50583409014255,-21.54744380818156,-17.11110348183315,-14.392421314928118,-13.475127469298755,0.0,-10.52665357690087,-5.038507886770522,-9.255519288909976,-0.06160771896519806,-40.90361400949126,-14.158772619229765
15,0.9169743931230704,-10.884435790566828,-18.994413282550642,-12.904134118438535,-14.743549028163496,-14.485885923644592,-0.33707952920365863,-1.3321660324470899,-1.3321660324470899,-1.3321660324470899,-0.055022381607366784,-34.34246276965233,-9.822476907788127
16,0.9158131176999101,-14.061045292961465,-21.63593410267905,-13.621904747454876,-14.30283174091202,-15.508165710930404,-0.981150508728667,-10.66549677966035,-10.745707675859533,-12.07576213867011,-0.45139926454661145,-36.2095516985421,-12.775542489885629
17,0.9115036231884058,-18.48397987130703,-24.369769958431323,-18.974867042028293,-15.543110517517535,-15.225763990041724,-0.09068328523028758,-10.523222441909397,-10.044223347573169,-11.809200614404972,0.0,-38.9832768862578,-14.494539242192879
