episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9252303627272271,-2.539815223164178,-0.03981522316417883,-0.021132987261263506,-0.008962260541510014,-0.003418169590943528,-0.03833841631186348,-0.006385258515710215,-0.0036573799872325267,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9241542807182729,-2.57881290163394,-0.07881290163394092,-0.04144799080043101,-0.017742005281908606,-0.006712948347465332,-0.07582054380730927,-0.012356878125979269,-0.007214323375403776,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9171022651119153,-2.6204722583563242,-0.12047225835632551,-0.06298247400912733,-0.026940722874002485,-0.010031715665378829,-0.11579798693567499,-0.018581963321780397,-0.01106072415125851,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.9218376189918525,-2.6583340702813865,-0.1583340702813876,-0.08288749987845564,-0.03529842934539563,-0.013418831868398096,-0.15210830795186187,-0.024104535207171388,-0.01468662708919358,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9223212510768007,-2.6952076608902695,-0.19520766089027053,-0.10172919167148876,-0.043430151909377795,-0.01637422567896547,-0.18753333313282983,-0.030154857202230483,-0.018017919077380654,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9223661745505675,-2.7305754411957945,-0.23057544119579548,-0.1206553485278752,-0.05155838877436583,-0.01955644637211591,-0.22168523847973692,-0.035704070841770505,-0.021522777156563425,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.9247652601945349,-2.763503238643794,-0.2635032386437949,-0.1377552535021539,-0.05873054743870593,-0.02238349485662768,-0.253299165183091,-0.04062257739338272,-0.024527953478806305,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9172455350417622,-2.799190851639037,-0.29919085163903714,-0.15636575362173247,-0.06674853176511227,-0.02526436219212629,-0.28758325087190223,-0.046291161135198745,-0.027731716731131503,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9282989437276411,-2.8283858850954187,-0.3283858850954187,-0.17168701235260858,-0.07336442734647027,-0.027899395125592898,-0.31559345090030716,-0.050850651574202065,-0.0304126860702591,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.9257836096382308,-2.8579918841572844,-0.35799188415728467,-0.18714745294683352,-0.07989456305933877,-0.0306052466105486,-0.3438966684529379,-0.05541469866859862,-0.033366877857675,0.007868,0.01,0.0,0.97,100,11,1,12
