Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
999,420.0,V0,S0,S45,0,0,-2.8054948504912303,0.0,0.055372868161116966,0.1952685555599439,0.11873463118932298,0.08442912123155868,0.13248877485567673,0.0324881796847222,0.0
999,431.8793803088096,V0,S45,S49,7,0,-2.8445729861996654,0.0,0.057220397162119255,0.19658246088316975,0.12485156513518113,0.04692110327132777,0.15928479794740216,0.01596943479742239,0.0
999,443.97545230736085,V0,S49,S52,11,0,-2.7931577170890476,0.0,0.052236484618811904,0.19105979022414357,0.1202298554771655,0.07390955740859527,0.13858242463117385,0.04143212427308801,0.0
999,456.63245747940204,V0,S52,S31,2,0,-2.812934013844702,0.0,0.04419221551854675,0.17607540594021198,0.13545585892969522,0.0,0.20461834509300833,0.0,0.0
999,463.618743640521,V0,S31,S27,0,20,-3.080668895546925,0.0,0.04801633635967882,0.16650414881934186,0.13522340548465722,0.3229955099422707,0.0,0.16465724980833157,0.0
999,478.88468095270434,V0,S27,S39,0,0,-2.9829291041207724,0.0,0.0634171378146235,0.19029186177998422,0.13505031929416939,0.23726747915330343,0.018858242463117385,0.0790912768333978,0.0
999,487.86746195184884,V0,S39,S54,18,0,-4.604069592034593,0.0,0.08856476670775347,0.0,0.269849851492055,0.0,0.6196279666452854,0.0,0.0
999,508.2791388449398,V0,S54,S10,2,0,-2.458888279147927,0.0,0.05808140041792525,0.0,0.28499649931441084,0.0,0.0,0.0,0.0
999,513.4927416609677,V0,S10,S29,0,0,-2.5545045336734153,0.0,0.06443725534970136,0.0,0.2947175412202183,0.0,0.0,0.0,0.0
999,517.1535636978028,V0,S29,S40,0,0,-2.5728190449965003,0.0,0.06234044296954547,0.0,0.29768067364844814,0.0,0.0,0.0,0.0
999,523.230843962539,V0,S40,S66,0,10,-2.5825661580812067,0.0,0.0562621536701298,0.0,0.3009064078521854,0.0,0.0,0.0,0.0
