Seed,Alpha,Day,Hour,Minute,Time (minutes),Bike ID,Departure Station,Arrival Station,Did Roam
9000,-14.83780917780461,0,5,0,300,B112,S12,S41,False
9000,-14.83780917780461,0,5,0,300,B210,S22,S19,False
9000,-14.83780917780461,0,5,0,300,B402,S37,S16,False
9000,-14.83780917780461,0,5,0,300,B448,S40,S41,False
9000,-14.83780917780461,0,5,0,300,B723,S63,S39,False
9000,-14.83780917780461,0,5,1,301,B191,S19,S56,False
9000,-14.83780917780461,0,5,1,301,B269,S27,S29,False
9000,-14.83780917780461,0,5,1,301,B353,S33,S41,False
9000,-14.83780917780461,0,5,1,301,B653,S58,S64,False
9000,-14.83780917780461,0,5,1,301,B703,S61,S40,False
9000,-14.83780917780461,0,5,1,301,B743,S65,S56,False
9000,-14.83780917780461,0,5,2,302,B192,S19,S52,False
9000,-14.83780917780461,0,5,2,302,B449,S40,S55,False
9000,-14.83780917780461,0,5,3,303,B211,S22,S9,False
9000,-14.83780917780461,0,5,3,303,B241,S25,S28,False
9000,-14.83780917780461,0,5,3,303,B319,S31,S54,False
9000,-14.83780917780461,0,5,3,303,B392,S36,S55,False
9000,-14.83780917780461,0,5,3,303,B450,S40,S41,False
9000,-14.83780917780461,0,5,3,303,B451,S40,S37,False
9000,-14.83780917780461,0,5,3,303,B539,S48,S3,False
9000,-14.83780917780461,0,5,3,303,B591,S53,S11,False
9000,-14.83780917780461,0,5,3,303,B635,S56,S46,False
9000,-14.83780917780461,0,5,3,303,B654,S58,S23,False
9000,-14.83780917780461,0,5,3,303,B756,S66,S46,False
9000,-14.83780917780461,0,5,4,304,B452,S40,S37,False
9000,-14.83780917780461,0,5,4,304,B572,S51,S37,False
9000,-14.83780917780461,0,5,4,304,B724,S63,S35,False
9000,-14.83780917780461,0,5,4,304.74,B269,S27,S29,False
9000,-14.83780917780461,0,5,4,304.76,B703,S61,S40,False
9000,-14.83780917780461,0,5,5,305,B458,S41,S4,False
9000,-14.83780917780461,0,5,5,305,B473,S42,S64,False
9000,-14.83780917780461,0,5,5,305,B483,S43,S39,False
9000,-14.83780917780461,0,5,5,305,B573,S51,S46,False
9000,-14.83780917780461,0,5,5,305,B592,S53,S64,False
9000,-14.83780917780461,0,5,5,305.22,B449,S40,S55,False
9000,-14.83780917780461,0,5,5,305.88,B723,S63,S39,False
9000,-14.83780917780461,0,5,5,305.92,B448,S40,S41,False
9000,-14.83780917780461,0,5,6,306,B229,S24,S31,False
9000,-14.83780917780461,0,5,6,306,B242,S25,S28,False
9000,-14.83780917780461,0,5,6,306,B380,S35,S61,False
9000,-14.83780917780461,0,5,6,306,B453,S40,S41,False
9000,-14.83780917780461,0,5,6,306,B655,S58,S60,False
9000,-14.83780917780461,0,5,6,306,B725,S63,S47,False
9000,-14.83780917780461,0,5,6,306.21,B452,S40,S37,False
9000,-14.83780917780461,0,5,6,306.34,B451,S40,S37,False
9000,-14.83780917780461,0,5,6,306.93,B635,S56,S46,False
9000,-14.83780917780461,0,5,7,307,B253,S26,S46,False
9000,-14.83780917780461,0,5,7,307,B484,S43,S41,False
9000,-14.83780917780461,0,5,7,307,B514,S46,S54,False
9000,-14.83780917780461,0,5,7,307,B574,S51,S38,False
9000,-14.83780917780461,0,5,7,307,B593,S53,S60,False
9000,-14.83780917780461,0,5,7,307,B744,S65,S49,False
9000,-14.83780917780461,0,5,7,307,B745,S65,S49,False
9000,-14.83780917780461,0,5,7,307,B757,S66,S43,False
9000,-14.83780917780461,0,5,7,307.06,B402,S37,S16,False
9000,-14.83780917780461,0,5,7,307.34,B392,S36,S55,False
9000,-14.83780917780461,0,5,8,308,B312,S30,S40,False
9000,-14.83780917780461,0,5,8,308,B393,S36,S55,False
9000,-14.83780917780461,0,5,8,308,B656,S58,S35,False
