Seed,day,time_minutes,total_functional,total_onsite,total_depot
42000,0,1380,768,0,0
42000,1,2820,768,0,0
42000,2,4260,768,0,0
42000,3,5700,768,0,0
42000,4,7140,768,0,0
42000,5,8580,768,0,0
42000,6,10020,768,0,0
42000,7,11460,768,0,0
42000,8,12900,768,0,0
42000,9,14340,768,0,0
42000,10,15780,768,0,0
42000,11,17220,768,0,0
42000,12,18660,768,0,0
42000,13,20100,768,0,0
